DATOS HORARIOS 2022_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
SEPTIEMBRE,1,0,0.016,0.007,0.39,0.018,18,16,21.15,1.58,81.76,74.03,623.39
SEPTIEMBRE,1,1,0.017,0.013,0.26,0.016,18,18,20.74,2.77,55.15,67.3,623.43
SEPTIEMBRE,1,2,0.022,0.006,0.26,0.012,18,9,20.2,1.85,42.88,70.87,623.49
SEPTIEMBRE,1,3,0.028,0.003,0.24,0.01,10,10,19.55,0.48,67.81,76.65,623.49
SEPTIEMBRE,1,4,0.025,0.004,0.23,0.011,9,7,19.88,0.45,70.6,73.32,623.42
SEPTIEMBRE,1,5,0.019,0.006,0.24,0.014,10,17,19.9,0.51,65.68,71.87,623.51
SEPTIEMBRE,1,6,0.014,0.004,0.43,0.017,20,11,19.6,0.45,76.2,74.14,623.6
SEPTIEMBRE,1,7,0.009,0.004,0.57,0.023,22,10,19.36,0.45,59.58,76.16,623.69
SEPTIEMBRE,1,8,0.012,0.003,0.6,0.023,18,12,20.44,0.5,59.6,71.08,623.95
SEPTIEMBRE,1,9,0.022,0.004,0.34,0.018,11,14,21.26,2.88,68.67,65.05,624.07
SEPTIEMBRE,1,10,0.026,0.019,0.27,0.012,18,13,22.31,4.58,68.35,60.75,624.07
SEPTIEMBRE,1,11,0.03,0.025,0.36,0.011,19,18,23.66,3.84,72.02,56.24,624.04
SEPTIEMBRE,1,12,0.04,0.011,0.33,0.012,22,16,24.37,2.41,74.8,53.92,623.65
SEPTIEMBRE,1,13,0.042,0.01,0.35,0.012,12,10,25.41,2.04,72.99,50.91,622.93
SEPTIEMBRE,1,14,0.047,0.012,0.33,0.012,13,12,26.62,1.65,86.81,46.86,622.28
SEPTIEMBRE,1,15,0.048,0.007,0.3,0.012,16,20,27.25,2.13,83.82,43.3,621.48
SEPTIEMBRE,1,16,0.049,0.005,0.32,0.012,10,16,28.57,1.33,70.57,38.21,620.69
SEPTIEMBRE,1,17,0.052,0.004,0.33,0.012,16,17,29.5,1.33,70.61,34.83,620
SEPTIEMBRE,1,18,0.055,0.003,0.32,0.013,14,17,29.64,1.02,43.95,33.81,619.72
SEPTIEMBRE,1,19,0.039,0.002,0.3,0.013,16,14,28.37,2.76,18.77,40.3,619.9
SEPTIEMBRE,1,20,0.026,0.002,0.33,0.014,19,12,25.77,3.2,34.34,49.68,620.44
SEPTIEMBRE,1,21,0.02,0.002,0.43,0.016,14,12,24.47,1.86,51.07,55.16,621.17
SEPTIEMBRE,1,22,0.024,0.001,0.48,0.018,20,10,23.29,1.47,51.94,61.52,621.94
SEPTIEMBRE,1,23,0.034,0.001,0.39,0.017,17,11,22.25,1.42,64.93,62.93,622.4
SEPTIEMBRE,2,0,0.034,0.001,0.33,0.016,14,13,21.23,0.5,47.79,68.24,622.71
SEPTIEMBRE,2,1,0.025,0.001,0.3,0.018,15,9,19.97,0.52,50.57,74.98,622.83
SEPTIEMBRE,2,2,0.016,0.004,0.28,0.018,13,10,20.51,1.13,40.06,69.95,622.65
SEPTIEMBRE,2,3,0.018,0.005,0.26,0.016,9,13,19.92,0.81,46.93,70.93,622.62
SEPTIEMBRE,2,4,0.019,0.003,0.26,0.015,9,10,19.72,1.37,46.57,71.4,622.48
SEPTIEMBRE,2,5,0.02,0.003,0.25,0.014,10,6,19.54,1.64,44.92,71.88,622.51
SEPTIEMBRE,2,6,0.018,0.002,0.37,0.015,10,8,19.35,1.84,53.1,73.41,622.7
SEPTIEMBRE,2,7,0.008,0.003,0.62,0.019,26,13,17.95,1.84,75.49,78.84,622.91
SEPTIEMBRE,2,8,0.011,0.021,0.61,0.019,29,13,18.94,1.84,57.18,76.29,622.9
SEPTIEMBRE,2,9,0.019,0.029,0.4,0.015,31,29,21.13,3.94,75.13,68.83,622.85
SEPTIEMBRE,2,10,0.027,0.015,0.36,0.011,15,18,22.5,3.65,64.46,62.17,622.99
SEPTIEMBRE,2,11,0.035,0.008,0.3,0.01,11,17,23.44,3.2,66.27,57.95,623.17
SEPTIEMBRE,2,12,0.04,0.005,0.35,0.011,3,15,24.96,2.64,75.38,52.67,622.73
SEPTIEMBRE,2,13,0.042,0.002,0.32,0.01,6,12,26.14,3.15,83.73,48.16,622.26
