DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.,PM2.5 promedio ponderado 12 hrs.
JUL,1,0,NA,NA,NA,NA,NA,NA,NA
JUL,1,1,39.67,41.42,9.98,0.802,1.99,NA,NA
JUL,1,2,40.06,38.19,8.65,0.758,1.93,19,NA
JUL,1,3,32.18,34.71,8.42,0.731,4.84,12,NA
JUL,1,4,28.67,33.4,8.3,0.67,5.09,13,NA
JUL,1,5,33.93,34.42,8.24,0.604,3.19,9,NA
JUL,1,6,26.61,33.52,8.2,0.609,11.2,8,NA
JUL,1,7,21.15,31.75,8.17,0.639,13.33,10,NA
JUL,1,8,16.74,29.88,8.15,0.674,16.48,11,NA
JUL,1,9,24.86,28.02,8.15,0.727,12.84,9,NA
JUL,1,10,29.43,26.7,9.78,0.941,15.64,16,NA
JUL,1,11,43.98,28.17,11.27,1.05,10.51,30,NA
JUL,1,12,63.63,32.54,12.52,1.162,13.29,32,NA
JUL,1,13,82.15,38.57,13.96,1.308,11.78,128,NA
JUL,1,14,89.29,46.4,15.63,1.432,11.59,146,NA
JUL,1,15,86.81,54.61,16.77,1.5,8.32,95,NA
JUL,1,16,74.34,61.81,17.12,1.497,6.46,66,40
JUL,1,17,60.3,66.24,17.14,1.468,6.48,51,36
JUL,1,18,57.07,69.7,17,1.277,7.46,64,29
JUL,1,19,50.85,70.56,16.94,1.215,15.99,81,23
JUL,1,20,41.31,67.77,16.97,1.135,11.42,64,22
JUL,1,21,41.23,62.65,17,0.998,6.45,49,20
JUL,1,22,18.47,53.8,17.69,0.914,8.25,43,20
JUL,1,23,22.16,45.72,18.53,0.828,5.93,29,20
JUL,2,0,24.83,39.53,18.19,0.79,4.15,19,16
JUL,2,1,31.35,35.91,18.12,0.763,2.65,14,14
JUL,2,2,28.92,32.39,18.12,0.736,2.97,10,14
JUL,2,3,28.28,29.57,18.13,0.684,2.97,12,12
JUL,2,4,28.14,27.92,18.13,0.65,4.85,9,10
JUL,2,5,28.4,26.32,18.14,0.639,3.99,12,9
JUL,2,6,19.94,26.5,18.14,0.595,9.16,12,10
JUL,2,7,13.73,25.45,18.15,0.628,16.17,13,13
JUL,2,8,13.22,24,18.14,0.671,15.45,14,14
JUL,2,9,16.41,22.13,18.15,0.737,15.9,16,13
