DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
FEB,3,8,14.83,8.36,10.58,1.72,42.69,22.9,
FEB,3,9,18.45,7.85,8.96,1.84,43.75,22.8,
FEB,3,10,18.34,7.36,8.65,1.97,45.91,22.9,
FEB,3,11,21.05,7.85,7.13,2.05,48.23,23.56,
FEB,3,12,14.55,10,5.9,2.07,49.41,24.54,
FEB,3,13,12.3,13.11,5.55,2.09,49.42,24.76,
FEB,3,14,13.12,16,4.85,2.12,49.59,25.17,
FEB,3,15,9.83,18.11,4.7,2.11,50.45,25.04,
FEB,3,16,9.04,20.51,4.52,2.06,51.19,24.76,
FEB,3,17,10.22,22.44,4.34,1.94,51.32,24.55,
FEB,3,18,12.15,23.35,4.25,1.84,52.18,24.48,
FEB,3,19,11.31,23.13,4.09,1.78,53.33,24.18,
FEB,3,20,10.91,21.09,3.93,1.77,52.17,24.15,
FEB,3,21,11.07,17.96,3.77,1.76,49.33,23.52,
FEB,3,22,10.53,14.83,3.64,1.73,46.97,22.49,
FEB,3,23,12.03,12.62,3.54,1.7,45.32,22.08,
FEB,4,0,11.18,10.21,3.43,1.69,43.85,21.69,
FEB,4,1,10.08,8.21,3.32,1.65,41.24,20.82,
FEB,4,2,13.5,6.9,3.23,1.61,39.79,19.48,
FEB,4,3,14.07,6.93,3.14,1.57,38.56,19.06,
FEB,4,4,10.24,11.67,3.04,1.53,37.46,18.52,
FEB,4,5,9.57,14.59,2.95,1.49,36.24,17.99,
FEB,4,6,12.2,16.91,2.87,1.47,33.7,17.59,
FEB,4,7,13.57,17.57,2.77,1.5,32,17.28,
FEB,4,8,13.15,17.45,2.68,1.57,30.89,16.82,
FEB,4,9,12.52,17.25,2.56,1.63,29.29,16.58,
FEB,4,10,11.6,17.48,2.43,1.66,26.14,16.02,
FEB,4,11,11.87,17.9,2.3,1.71,22.96,15.01,
FEB,4,12,10.72,14.8,2.2,1.75,21.12,14.09,
FEB,4,13,10.66,13.58,2.08,1.79,20.72,13.6,
FEB,4,14,11.32,13.09,1.98,1.84,19.84,13.33,
FEB,4,15,12.2,14.51,1.96,1.85,18.85,13.33,
FEB,4,16,12.35,16.77,1.96,1.82,17.56,13.6,
FEB,4,17,11.08,18.79,1.94,1.78,17.04,13.46,
FEB,4,18,10.43,20.39,1.89,1.77,15.71,13.31,
FEB,4,19,12.43,20.8,1.85,1.77,13.99,12.94,
FEB,4,20,15.21,19.52,1.82,1.81,14.42,12.44,
FEB,4,21,13.88,18.29,1.79,1.84,15.4,12.66,
FEB,4,22,14.65,16.56,1.77,1.83,16.29,12.65,
FEB,4,23,14.47,14.58,1.75,1.82,17.06,12.51,
FEB,5,0,13.08,12.75,1.73,1.78,17.15,12.36,
FEB,5,1,11.54,11.39,1.71,1.73,17.11,12.39,
FEB,5,2,11.77,10.36,1.69,1.69,17.07,12.61,
FEB,5,3,10.42,10.21,1.67,1.63,17.14,12.8,
FEB,5,4,9.98,10.6,1.66,1.53,16.97,12.81,
FEB,5,5,9.92,10.56,1.65,1.45,17.04,12.84,
FEB,5,6,10.82,10.87,1.64,1.4,17.14,12.64,
FEB,5,7,12.42,10.99,1.63,1.41,17.44,12.68,
FEB,5,8,10.76,11.21,1.62,1.45,17.48,12.9,
FEB,5,9,13.06,10.97,1.61,1.54,17.12,12.45,
FEB,5,10,10.56,11.03,1.6,1.6,17.08,12.09,
FEB,5,11,9.62,10.97,1.59,1.65,17.04,12.02,
FEB,5,12,9.78,11.35,1.58,1.71,16.67,11.45,
FEB,5,13,11.23,11.52,1.58,1.79,15.73,11.12,
FEB,5,14,11.78,11.83,1.57,1.88,15.3,10.79,
FEB,5,15,11.82,12.49,1.57,1.91,14.36,10.72,
FEB,5,16,10.07,13.45,1.56,1.91,13.92,10.43,
FEB,5,17,10.35,14.63,1.56,1.88,13.89,10.13,
FEB,5,18,9.82,15.28,1.56,1.88,14.02,9.81,
FEB,5,19,10.61,15.31,1.55,1.89,14.27,9.9,
FEB,5,20,11.03,14.96,1.54,1.88,13.46,10.02,
FEB,5,21,10.97,14.66,1.54,1.85,12.26,9.76,
FEB,5,22,8.12,14.51,1.52,1.78,11.45,9.51,
FEB,5,23,9.27,13.97,1.51,1.73,10.64,9.25,
FEB,6,0,10.16,12.59,1.51,1.69,10.24,9.04,
FEB,6,1,10.63,11.23,1.51,1.65,10.43,8.9,
FEB,6,2,10.77,9.92,1.52,1.6,10.3,8.66,
FEB,6,3,10.73,8.87,1.52,1.54,10.16,8.33,
FEB,6,4,10.44,8.16,1.52,1.49,10.1,8.13,
FEB,6,5,10.51,8.13,1.52,1.44,9.97,7.9,
FEB,6,6,10.41,8.1,1.51,1.41,9.65,7.63,
FEB,6,7,13.96,8.27,1.52,1.44,9.29,7.44,
FEB,6,8,16,8.34,1.55,1.61,9.73,7.02,
FEB,6,9,14.19,9.1,1.56,1.66,10.28,7.23,
FEB,6,10,12.72,10.58,1.57,1.7,10.88,7.57,
FEB,6,11,10.93,12.75,1.58,1.72,11.45,7.62,
FEB,6,12,10.2,15.66,1.57,1.76,11.58,7.82,
FEB,6,13,9.76,19.41,1.57,1.8,12.07,7.92,
FEB,6,14,13.11,22.51,1.57,1.85,12.39,7.72,
FEB,6,15,12.09,26.16,1.57,1.82,12.88,7.43,
FEB,6,16,13.45,30.26,1.57,1.68,13.35,7.51,
FEB,6,17,13.72,33.42,1.56,1.65,13.41,7.83,
FEB,6,18,16.07,35.36,1.56,1.66,13.64,7.96,
FEB,6,19,24.39,34.61,1.58,1.77,14.07,7.93,
FEB,6,20,27.31,32.02,1.6,1.92,16.27,7.87,
FEB,6,21,27.93,28.13,1.62,2.1,18.45,8,
FEB,6,22,26.31,24.6,1.66,2.29,20.25,8.34,
FEB,6,23,23.75,20.62,1.76,2.41,22.28,8.98,
FEB,7,0,20.74,16.74,2.31,2.53,24.83,9.95,
FEB,7,1,20.86,12.85,2.55,2.6,26.42,10.83,
FEB,7,2,18.7,9.71,2.66,2.67,27.89,11.27,
FEB,7,3,19.4,8.7,2.75,2.56,29.36,12.08,
FEB,7,4,17.49,8.41,2.83,2.41,30.85,12.9,
FEB,7,5,18.87,8.31,2.91,2.26,32.49,13.53,
FEB,7,6,15.47,8.19,2.99,2.06,34.22,14.43,
FEB,7,7,17.44,8.16,3.05,1.95,35.05,14.7,
FEB,7,8,17.21,8.07,3.12,2.01,35.59,14.94,
FEB,7,9,20.69,8.37,3.27,2.08,39.95,15.54,
FEB,7,10,20.86,8.82,3.97,2.06,43.3,17.4,
FEB,7,11,20.83,10.15,5.44,2.09,44.43,18.7,
FEB,7,12,19.66,12.98,6.77,2.12,45.74,20.06,
FEB,7,13,16.11,17.73,7.4,2.13,46.56,21,
FEB,7,14,15.65,22.82,7.57,2.15,47.45,21.86,
FEB,7,15,16.39,27.23,7.67,2.17,47.57,22.29,
FEB,7,16,16.74,31.68,7.73,2.01,47.6,22.48,
FEB,7,17,16.13,35.66,7.74,1.88,47.64,22.53,
FEB,7,18,23.42,38.06,7.76,1.88,47.65,22.62,
FEB,7,19,24.86,38.03,7.78,1.94,47.51,22.69,
FEB,7,20,25.04,36.5,7.79,2.02,47.38,22.93,
FEB,7,21,22.63,32.91,7.79,2.07,48.98,23.25,
FEB,7,22,25.4,28.44,7.81,2.16,48.67,22.97,
FEB,7,23,24.16,24.88,7.79,2.26,48.4,23.1,
FEB,8,0,23.16,20.99,7.33,2.36,47.56,22.68,
FEB,8,1,22.15,17.34,7.4,2.44,47.59,22.05,
FEB,8,2,21.21,15.1,7.47,2.47,47.86,22.38,
FEB,8,3,18.32,14.19,7.56,2.44,48.09,22.53,
FEB,8,4,18.44,13.58,7.58,2.33,47.71,22.53,
FEB,8,5,17.64,13.29,7.63,2.28,47.1,22.6,
FEB,8,6,17.16,13.77,7.68,2.2,47.05,22.25,
FEB,8,7,16.98,13.61,7.73,2.08,47.81,22.63,
FEB,8,8,16.49,13.95,7.77,2.11,48.19,23.25,
FEB,8,9,20.79,14.46,7.91,2.17,47.04,23.93,
FEB,8,10,23.18,15.42,7.97,2.15,46.25,23.25,
FEB,8,11,21.77,18.61,7.83,2.16,47.48,24.09,
FEB,8,12,15.58,23.76,7.17,2.16,47.68,24.1,
FEB,8,13,12.08,29.93,6.76,2.13,47.56,24.22,
FEB,8,14,10.62,36.07,6.65,2.09,47,24.15,
FEB,8,15,10.26,42.97,6.58,2.06,46.72,24.05,
FEB,8,16,11.04,48.73,6.55,1.9,46.39,23.85,
FEB,8,17,10.1,54.43,6.55,1.74,45.9,23.67,
FEB,8,18,10.14,60.11,6.56,1.66,45.14,23.55,
FEB,8,19,18.1,61.05,6.55,1.64,44.48,23.51,
FEB,8,20,32.32,56,6.6,2.02,43.94,23.35,
FEB,8,21,29.46,49.45,6.68,2.43,46.68,23.83,
FEB,8,22,24.37,43.12,6.68,2.56,48.3,24.78,
FEB,8,23,21.63,36.41,6.66,2.65,48.74,24.45,
FEB,9,0,21.45,30.09,6.63,2.72,48.4,24.51,
FEB,9,1,22.21,23.69,6.38,2.8,48.27,24.51,
FEB,9,2,21.16,16.78,6.32,2.87,48.06,24.5,
FEB,9,3,18.64,12.44,6.37,2.88,47.81,24.09,
FEB,9,4,16.96,12.52,6.49,2.53,48.3,24.02,
FEB,9,5,15.01,12.56,6.49,2.14,48.36,23.93,
FEB,9,6,15.94,12.2,6.49,2.03,47.94,24.15,
FEB,9,7,15.22,11.86,6.46,1.98,48.04,24.6,
FEB,9,8,14.31,11.83,6.37,1.94,47.26,24.04,
FEB,9,9,17.94,12.42,6.22,1.9,44.46,23.13,
FEB,9,10,16.33,13.63,5.74,1.89,43.11,22.38,
FEB,9,11,20.18,16.6,7.98,1.98,42.76,20.96,
FEB,9,12,13.94,21.19,9.21,2.01,43.12,22.03,
FEB,9,13,11.92,27.99,9.68,2.03,43.37,22.11,
FEB,9,14,9.32,33.7,9.81,2.01,43.58,22.15,
FEB,9,15,8.23,37.17,9.85,1.98,43.55,22.21,
FEB,9,16,8.89,41.01,9.88,1.94,43.51,21.86,
FEB,9,17,8.53,44.63,9.9,1.89,43.5,21.58,
FEB,9,18,9.07,48.05,9.91,1.84,43.47,21.43,
FEB,9,19,15.8,47.8,9.93,1.75,43.56,21.32,
FEB,9,20,22.61,43.47,9.91,1.78,43.72,21.2,
FEB,9,21,13.78,38.15,9.86,1.77,39.44,20.74,
FEB,9,22,9.96,33.86,9.84,1.78,37.12,20.11,
FEB,9,23,10.32,31.56,9.81,1.78,35.51,20.01,
FEB,10,0,10.78,28.64,9.79,1.77,34.49,19.53,
FEB,10,1,12.99,24.8,9.77,1.76,33.12,19.21,
FEB,10,2,14.05,20.39,9.69,1.75,31.92,18.42,
FEB,10,3,13.71,18.16,9.51,1.7,31.21,18.02,
FEB,10,4,12.69,17.79,9.34,1.56,30.23,17.49,
FEB,10,5,12.46,16.89,9.26,1.51,29.58,17.19,
FEB,10,6,12.49,15.71,9.18,1.49,28.82,16.65,
FEB,10,7,12.53,14.97,9.17,1.54,28,15.78,
FEB,10,8,12.59,14.48,9.19,1.74,28.76,15.9,
FEB,10,9,14.55,14.43,9.15,2.02,30.86,16.23,
FEB,10,10,23.78,15.15,9.11,2.23,32.17,16.08,
FEB,10,11,15.02,16.2,5.65,2.28,31.04,15.98,
FEB,10,12,10.5,18.91,3.79,2.31,29.64,13.78,
FEB,10,13,9.63,22.24,3.14,2.33,28.8,12.97,
FEB,10,14,10.99,26,2.97,2.37,28.56,12.51,
FEB,10,15,9.77,30.21,2.92,2.33,28.81,12.39,
FEB,10,16,9.44,35.01,2.89,2.13,28.78,12.77,
FEB,10,17,10.89,38.28,2.86,1.89,28.93,13.1,
FEB,10,18,12.67,41.14,2.84,1.72,29.37,13.3,
FEB,10,19,18.61,41.86,2.82,1.74,29.57,13.35,
FEB,10,20,21.84,39.51,2.79,1.84,28.95,13.36,
FEB,10,21,19.73,36.64,2.77,1.91,28.74,13.38,
FEB,10,22,14.26,34.06,2.75,1.89,29.67,13.17,
FEB,10,23,14.32,30.96,2.75,1.88,29.86,13.19,
FEB,11,0,18.06,27.7,2.77,1.9,30.72,13.48,
FEB,11,1,18.77,25.65,2.83,1.89,31.64,14.04,
FEB,11,2,18.29,23.03,2.85,1.86,32.68,14.48,
FEB,11,3,16.64,24.36,2.85,1.8,33.2,14.88,
FEB,11,4,16.37,27.19,2.9,1.69,33.68,15.26,
FEB,11,5,15.56,28.76,2.93,1.62,34.05,15.45,
FEB,11,6,16.1,29.53,2.96,1.62,35,15.68,
FEB,11,7,13.69,29.55,3.03,1.73,35.68,15.94,
FEB,11,8,14.74,29.9,3.11,1.88,36.51,16.52,
FEB,11,9,18.87,30.91,3.14,1.99,38.18,16.71,
FEB,11,10,22.76,31.91,3,2.08,38.79,17.67,
FEB,11,11,20.36,32.56,2.94,2.13,40.32,18.31,
FEB,11,12,13.94,33.82,2.93,2.16,41.03,19,
FEB,11,13,11.6,36.76,2.93,2.16,41.06,19.17,
FEB,11,14,10.26,40.65,2.92,2.15,41.26,19.36,
FEB,11,15,10.19,46.34,2.92,2.05,41.12,19.36,
FEB,11,16,11.35,51.9,2.93,1.9,41.51,19.44,
FEB,11,17,9.71,57.71,2.95,1.77,41.81,19.64,
FEB,11,18,14.5,62.84,2.97,1.71,41.99,20.01,
FEB,11,19,20.37,63.28,2.98,1.73,42.64,20.09,
FEB,11,20,16.4,62.42,2.99,1.75,43.16,20.64,
FEB,11,21,11.34,60.97,2.98,1.75,42.95,20.51,
FEB,11,22,10.78,59.28,3,1.75,42.63,20.89,
FEB,11,23,11.82,55.02,2.99,1.75,42.99,21.03,
FEB,12,0,10.22,50.25,2.94,1.72,42.36,20.84,
FEB,12,1,9.86,45.38,2.86,1.7,41.71,20.56,
FEB,12,2,9.3,41.65,2.81,1.64,40.64,20.37,
FEB,12,3,9.77,40.84,2.77,1.53,39.81,20.05,
FEB,12,4,10.6,40.46,2.7,1.46,39.07,19.72,
FEB,12,5,10.22,39.01,2.65,1.43,38.46,19.48,
FEB,12,6,9.59,36.48,2.59,1.41,37.71,19.29,
FEB,12,7,11.19,34.44,2.48,1.43,36.92,19.08,
FEB,12,8,12.9,32.11,2.35,1.56,35.93,18.27,
FEB,12,9,12.03,29.67,2.24,1.66,32.83,17.86,
FEB,12,10,10.13,28.14,2.15,1.71,29.92,16.56,
FEB,12,11,8.95,27.77,2.12,1.74,27.66,15.51,
FEB,12,12,10.09,28.76,2.09,1.78,26.82,14.73,
FEB,12,13,10.91,29.81,2.07,1.82,27.2,14.54,
FEB,12,14,10.6,31.99,2.06,1.85,27.84,14.41,
FEB,12,15,9.89,36.16,2.04,1.84,28.4,14.39,
FEB,12,16,10.39,38.84,2.02,1.74,28.83,14.32,
FEB,12,17,11.85,41.19,2,1.67,29.31,14.15,
FEB,12,18,11.74,41.38,1.98,1.67,29.6,14.02,
FEB,12,19,15.24,39.05,1.96,1.73,29.11,13.93,
FEB,12,20,15.32,35.22,1.96,1.78,28.53,13.46,
FEB,12,21,12.04,32.94,1.95,1.78,28.18,13.71,
FEB,12,22,11.7,29.69,1.94,1.78,27.65,13.43,
FEB,12,23,11.18,25.21,1.93,1.77,27.45,13.43,
FEB,13,0,12.44,22.19,1.92,1.76,27.72,13.56,
FEB,13,1,15.66,19.06,1.98,1.74,27.55,13.63,
FEB,13,2,15.69,16.92,2.02,1.72,28.07,13.72,
FEB,13,3,15.14,15.9,2.02,1.68,28.48,13.77,
FEB,13,4,15.24,14.86,2.04,1.62,29.3,13.79,
FEB,13,5,15.57,13.05,2.09,1.57,29.69,14.19,
FEB,13,6,14.83,12.01,2.19,1.57,30.3,14.08,
