DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
FEB,18,0,21.64,26.45,18.6,2.06,55,27,16.05
FEB,18,1,13.36,22,18.7,2.06,46,25,15.95
FEB,18,2,10.72,18.25,17.78,2.02,45,20,18.54
FEB,18,3,9.84,15.95,17.94,1.91,45,17,18.11
FEB,18,4,8.76,15.63,NA,1.72,41,18,16.66
FEB,18,5,9.78,15.55,NA,1.59,42,20,16.31
FEB,18,6,10.91,14.01,NA,1.55,41,17,14.42
FEB,18,7,10.48,11.93,NA,1.64,47,18,15.18
FEB,18,8,11.60,10.68,NA,1.75,65,22,14.99
FEB,18,9,14.49,10.82,NA,1.82,62,20,15.65
FEB,18,10,27.16,12.88,NA,1.85,58,21,15.38
FEB,18,11,49.15,17.79,NA,1.89,55,24,15.13
FEB,18,12,64.86,24.8,NA,1.91,55,24,14.75
FEB,18,13,112.67,37.66,NA,1.95,58,25,18.23
FEB,18,14,96.92,48.42,NA,1.98,77,37,20.11
FEB,18,15,62.56,54.93,NA,1.88,63,39,12.45
FEB,18,16,58.43,60.78,NA,1.77,46,28,12.48
FEB,18,17,63.60,66.92,11.99,1.71,34,18,12.01
FEB,18,18,65.34,71.69,11.99,1.7,33,15,13.32
FEB,18,19,36.59,70.12,11.99,1.75,36,13,26.18
FEB,18,20,15.49,63.95,11.99,1.89,45,16,34.98
FEB,18,21,12.55,51.44,12.02,1.93,55,19,31.62
FEB,18,22,13.99,41.07,11.65,1.97,67,22,30.04
FEB,18,23,24.00,36.25,12.04,1.98,63,26,21.6
FEB,19,0,16.77,31.04,12.42,1.99,63,27,21.53
FEB,19,1,15.29,25,NA,1.98,105,24,19.73
FEB,19,2,17.20,18.99,NA,1.96,181,18,19.76
FEB,19,3,10.20,15.69,11.85,1.86,202,15,19.4
FEB,19,4,17.49,15.94,11.85,1.68,132,12,18.61
FEB,19,5,22.87,17.23,11.34,1.6,86,15,19.36
FEB,19,6,13.64,17.18,12.21,1.52,67,18,20.16
FEB,19,7,11.79,15.66,15.04,1.54,54,18,19.98
FEB,19,8,13.88,15.29,18.9,1.58,56,22,18.87
FEB,19,9,24.89,16.49,21.81,1.61,60,25,15.36
FEB,19,10,45.51,20.03,23.04,1.6,58,32,7.95
FEB,19,11,48.47,24.82,23.52,1.6,49,32,7.06
FEB,19,12,59.13,30.02,23.9,1.59,43,NA,6.63
FEB,19,13,62.90,35.03,22.29,1.58,37,NA,8.15
FEB,19,14,64.50,41.39,21.4,1.58,39,31,10.75
FEB,19,15,71.23,48.81,21.08,1.55,40,30,11.05
FEB,19,16,76.83,56.68,21.11,1.49,48,28,12.05
FEB,19,17,83.22,63.98,21.86,1.47,54,23,12.71
FEB,19,18,75.58,67.73,21.25,1.5,49,25,16.23
FEB,19,19,59.30,69.09,20.26,1.61,51,23,25.48
FEB,19,20,46.55,67.51,19.39,1.7,65,21,25.56
FEB,19,21,47.75,65.62,20.24,1.7,62,22,9.15
FEB,19,22,43.81,63.04,20.93,1.69,54,19,7.06
FEB,19,23,34.70,58.47,21.08,1.69,48,22,10.03
FEB,20,0,31.71,52.83,22.89,1.66,49,24,9.85
FEB,20,1,30.36,46.22,25.1,1.64,44,27,8.96
FEB,20,2,31.84,40.75,26.05,1.61,45,28,9.43
FEB,20,3,30.68,37.17,26.51,1.5,41,26,9.86
FEB,20,4,27.93,34.85,27.84,1.42,34,26,10.39
FEB,20,5,27.86,32.36,29.12,1.41,35,29,10.34
FEB,20,6,26.28,30.17,29.22,1.4,36,27,10.37
FEB,20,7,25.09,28.97,28.04,1.4,34,26,11.48
FEB,20,8,20.01,27.5,25.87,1.41,39,28,15.59
FEB,20,9,27.69,27.17,24.8,1.43,40,31,14.01
FEB,20,10,27.06,26.57,26.36,1.45,46,40,12.56
FEB,20,11,31.99,26.74,27.26,1.47,52,46,13.11
FEB,20,12,44.59,28.82,27.67,1.51,51,43,13.82
FEB,20,13,56.13,32.36,28.76,1.54,53,38,15.69
FEB,20,14,78.66,38.9,29.45,1.58,59,40,13.14
FEB,20,15,85.15,46.41,30.14,1.61,56,38,12.29
FEB,20,16,82.53,54.23,30.84,1.66,55,34,12.71
FEB,20,17,85.52,61.45,30.29,1.68,50,28,12.76
FEB,20,18,74.24,67.35,31.28,1.68,45,26,11.9
FEB,20,19,69.29,72.01,32.82,1.66,45,23,8.98
FEB,20,20,67.87,74.92,34.49,1.63,44,18,7.95
FEB,20,21,63.19,75.81,34.49,1.63,42,16,7.33
FEB,20,22,47.62,71.93,35.24,1.6,72,17,9.85
FEB,20,23,47.72,67.25,35.32,1.56,105,17,7.25
FEB,21,0,47.35,62.85,33.59,1.58,77,55,6.81
FEB,21,1,40.81,57.26,31.13,1.94,55,35,6.45
FEB,21,2,45.25,53.64,30.52,2.03,42,29,6.11
FEB,21,3,40.60,50.05,30.67,2.25,30,23,7.64
FEB,21,4,43.15,46.96,28.47,2.43,23,21,6.22
FEB,21,5,37.40,43.74,27.93,2.7,21,15,6.9
FEB,21,6,32.17,41.81,27.98,3.17,18,16,6.55
FEB,21,7,28.46,39.4,27.17,3.42,16,15,7.4
FEB,21,8,27.80,36.96,26.31,3.52,15,13,8.33
FEB,21,9,30.80,35.7,24.83,3.24,11,11,7.02
FEB,21,10,33.88,34.28,23.07,3.15,23,10,7.57
FEB,21,11,35.18,33.6,23.91,2.93,30,10,8.76
FEB,21,12,44.27,33.74,24.18,2.75,40,19,8.21
FEB,21,13,57.35,36.24,22.3,2.45,41,19,7.5
FEB,21,14,65.97,40.46,21.03,2.04,35,17,7.18
FEB,21,15,70.42,45.71,20.23,1.83,34,17,8.07
FEB,21,16,78.11,52,19.78,1.71,31,16,7.69
FEB,21,17,77.59,57.84,20.4,1.68,33,17,7.85
FEB,21,18,63.85,61.59,20.4,1.66,37,17,7.1
FEB,21,19,56.93,64.31,20.4,1.66,35,13,7.35
FEB,21,20,43.51,64.22,20.4,1.68,37,11,7.65
FEB,21,21,32.55,61.12,22.87,1.69,35,9,9.89
FEB,21,22,32.35,56.91,22.97,1.63,32,9,8.93
FEB,21,23,35.30,52.52,22.76,1.6,27,10,6.8
FEB,22,0,36.44,47.31,22.83,1.54,21,9,6.77
FEB,22,1,34.96,41.99,23.22,1.45,20,7,7.03
FEB,22,2,33.31,38.17,23.25,1.57,15,7,6.85
FEB,22,3,36.17,35.57,23.08,1.72,10,7,6.31
FEB,22,4,34.36,34.43,23.15,1.72,11,7,8.21
FEB,22,5,26.25,33.64,24.47,1.7,12,11,12.72
FEB,22,6,23.88,32.58,25.72,1.7,12,14,11.4
FEB,22,7,20.51,30.73,27.17,1.68,15,13,12.33
FEB,22,8,20.32,28.72,29.62,1.69,17,13,12.59
FEB,22,9,24.28,27.38,32.81,1.7,19,15,12.15
FEB,22,10,25.24,26.38,34.37,1.6,25,17,11.13
FEB,22,11,20.10,24.37,36.4,1.47,42,19,14.07
FEB,22,12,33.62,24.27,35.79,1.48,48,32,11.67
FEB,22,13,47.72,26.96,35.07,1.53,43,28,12.23
FEB,22,14,56.57,31.04,34.25,1.58,43,26,11.92
FEB,22,15,57.92,35.72,35.03,1.62,42,22,12.02
FEB,22,16,66.62,41.51,36.37,1.64,39,20,8.95
FEB,22,17,65.73,46.69,35.41,1.66,36,19,10.99
FEB,22,18,70.49,52.34,33.7,1.67,37,20,11.45
FEB,22,19,49.55,56.02,32.13,1.73,43,16,20.33
FEB,22,20,14.60,53.65,30.7,1.95,54,20,36.45
FEB,22,21,6.98,48.55,27.48,2.21,74,23,38.05
FEB,22,22,6.85,42.34,25.17,2.39,86,32,34.18
FEB,22,23,6.74,35.94,24.12,2.48,91,32,29.61
FEB,23,0,6.19,28.39,23.55,2.7,92,35,30.53
FEB,23,1,7.23,21.08,22.51,2.84,105,41,28.94
FEB,23,2,6.95,13.14,22.12,2.89,109,41,25.96
FEB,23,3,8.26,7.98,21.87,2.88,109,41,26.52
FEB,23,4,8.51,7.21,21.39,2.7,96,42,25.63
FEB,23,5,15.19,8.24,19.3,2.46,85,42,19.03
FEB,23,6,10.96,8.75,16.99,2.28,76,36,19.61
FEB,23,7,6.74,8.75,15.06,2.2,70,34,21.55
FEB,23,8,6.38,8.78,12.23,2.07,78,35,22
FEB,23,9,12.15,9.39,8.9,2.02,81,36,22.43
FEB,23,10,29.33,12.19,6.33,2.01,79,39,16.95
FEB,23,11,45.15,16.8,2.3,1.97,62,33,11.94
FEB,23,12,54.31,22.53,1.82,1.94,48,28,11.08
FEB,23,13,55.08,27.51,1.79,1.92,42,25,10.35
FEB,23,14,57.94,33.38,1.83,1.9,38,25,10.76
FEB,23,15,57.63,39.75,1.83,1.88,36,22,10.8
FEB,23,16,60.30,46.48,1.79,1.8,37,23,9.53
FEB,23,17,54.59,51.79,1.79,1.7,35,22,9.07
FEB,23,18,54.14,54.89,1.77,1.66,36,20,9.68
FEB,23,19,45.57,54.94,1.78,1.65,36,20,12.8
FEB,23,20,31.06,52.04,1.79,1.68,40,21,17.08
FEB,23,21,26.47,48.46,1.77,1.69,40,20,15.16
FEB,23,22,20.64,43.8,1.78,1.71,39,20,16.89
FEB,23,23,28.29,40.13,1.79,1.69,40,21,12.92
FEB,24,0,25.25,35.75,1.77,1.68,39,21,15.16
FEB,24,1,24.03,31.93,1.53,1.67,40,21,14
FEB,24,2,24.68,28.25,1.38,1.65,39,18,10.42
FEB,24,3,29.38,26.22,1.15,1.6,31,15,7.79
FEB,24,4,24.93,25.46,1.06,1.54,26,12,9.76
FEB,24,5,14.13,23.92,1.05,1.49,27,14,14.46
FEB,24,6,8.60,22.41,1,1.44,27,15,17.08
FEB,24,7,6.72,19.72,0.89,1.46,30,15,16.91
FEB,24,8,6.51,17.37,0.94,1.65,43,23,17.42
FEB,24,9,10.74,15.71,0.95,1.75,56,33,16.77
FEB,24,10,21.03,15.26,0.98,1.79,48,39,13.31
FEB,24,11,31.32,15.5,1.01,1.84,39,46,11.48
FEB,24,12,39.17,17.28,1.01,1.88,34,44,10.34
FEB,24,13,43.73,20.98,1.01,1.91,116,39,10.44
FEB,24,14,42.71,25.24,1,1.94,106,28,10.13
FEB,24,15,39.71,29.37,0.99,1.91,67,26,10.22
FEB,24,16,43.54,34,0.98,1.73,48,17,11.56
FEB,24,17,45.86,38.38,0.98,1.64,39,14,11.22
FEB,24,18,43.47,41.19,0.98,1.61,36,14,11.24
FEB,24,19,32.76,41.37,0.98,1.59,60,13,12.5
FEB,24,20,11.87,37.96,0.99,1.7,55,11,22.71
FEB,24,21,8.58,33.56,1.01,1.81,61,9,23.45
FEB,24,22,11.42,29.65,1.03,1.89,78,13,22
FEB,24,23,22.58,27.51,1.04,1.91,65,15,14.47
FEB,25,0,22.90,24.93,1.03,1.9,55,14,13.46
FEB,25,1,17.56,21.39,1.05,1.89,92,16,16.09
FEB,25,2,13.92,17.7,1.08,1.88,115,19,18.64
FEB,25,3,11.52,15.04,1.1,1.88,71,18,19.48
FEB,25,4,10.15,14.83,1.13,1.74,55,19,20.52
FEB,25,5,10.08,15.02,1.15,1.61,45,20,20.32
FEB,25,6,19.44,16.02,1.16,1.51,36,21,13.98
FEB,25,7,10.94,14.56,1.18,1.54,35,22,17.78
FEB,25,8,7.86,12.68,1.18,1.65,46,24,18.72
FEB,25,9,11.47,11.92,1.2,1.77,49,28,22.18
FEB,25,10,22.32,12.97,1.23,1.85,56,28,21.61
FEB,25,11,37.32,16.2,1.24,1.86,49,28,11.69
FEB,25,12,37.20,19.58,1.24,1.87,36,24,10.76
FEB,25,13,37.30,22.98,1.24,1.89,27,19,10.71
FEB,25,14,39.06,25.43,1.25,1.9,27,16,9.7
FEB,25,15,41.58,29.26,1.26,1.88,35,16,10.29
FEB,25,16,40.51,33.34,1.27,1.77,36,19,10.24
FEB,25,17,38.58,36.73,1.27,1.67,37,18,9.55
FEB,25,18,35.05,38.32,1.27,1.59,37,17,9.62
FEB,25,19,30.48,37.47,1.27,1.59,38,16,11.08
FEB,25,20,18.05,35.08,1.27,1.64,36,15,16.73
FEB,25,21,18.00,32.66,1.25,1.67,40,14,17.51
FEB,25,22,22.84,30.64,1.24,1.69,40,14,13.78
FEB,25,23,18.61,27.77,1.24,1.69,36,15,13.98
FEB,26,0,18.63,25.03,1.25,1.69,33,15,14.07
FEB,26,1,16.37,22.25,1.25,1.68,32,14,16.54
FEB,26,2,14.41,19.67,1.26,1.68,32,14,19.11
FEB,26,3,11.54,17.31,1.26,1.67,33,15,18.68
FEB,26,4,10.24,16.33,1.34,1.61,33,15,18.33
FEB,26,5,6.98,14.95,1.35,1.55,33,15,18.79
FEB,26,6,6.70,12.93,1.38,1.54,33,15,19.44
FEB,26,7,9.70,11.82,1.64,1.56,41,15,17.4
FEB,26,8,9.82,10.72,2.3,1.61,51,27,17.04
FEB,26,9,18.38,10.97,3.7,1.61,49,31,15.7
FEB,26,10,35.45,13.6,4.44,1.61,50,31,10.78
FEB,26,11,44.80,17.76,5.54,1.61,52,28,10.7
FEB,26,12,56.96,23.6,6.73,1.61,52,31,8.82
FEB,26,13,57.62,29.93,7.84,1.61,47,40,9.68
FEB,26,14,63.62,37.04,8.71,1.59,45,81,9.51
FEB,26,15,63.52,43.77,9.67,1.56,43,86,9.94
FEB,26,16,64.02,50.54,10.61,1.5,47,57,10.71
FEB,26,17,66.69,56.58,11.14,1.51,44,41,11.22
FEB,26,18,62.83,60.01,12.46,1.52,50,34,12.82
FEB,26,19,52.39,60.95,13.25,1.52,59,29,11.96
FEB,26,20,39.32,58.75,13.78,1.51,68,25,12.04
FEB,26,21,37.02,56.18,14.35,1.51,58,20,7.83
FEB,26,22,37.96,52.97,14.99,1.51,48,16,6.43
FEB,26,23,35.80,49.5,15.69,1.52,40,12,7.7
FEB,27,0,26.46,44.81,20.21,1.49,31,26,12.21
FEB,27,1,25.93,39.71,31.03,1.46,30,37,13.5
FEB,27,2,27.09,35.25,37.74,1.44,29,45,12.37
FEB,27,3,24.42,31.75,41.8,1.42,21,37,12.92
FEB,27,4,33.87,31.07,42.02,1.41,16,30,7.11
FEB,27,5,36.77,31.04,42.45,1.54,11,21,6.02
FEB,27,6,37.01,30.92,44.58,1.67,10,16,5.76
FEB,27,7,34.18,30.72,45,2,9,15,6.64
FEB,27,8,33.00,31.53,46.51,2.12,12,13,7.59
FEB,27,9,34.76,32.64,NA,2.13,10,12,7.32
FEB,27,10,34.62,33.58,NA,2.15,11,13,7.31
FEB,27,11,36.49,35.09,NA,2.16,16,13,7.54
FEB,27,12,37.86,35.59,NA,2.18,24,13,9.61
FEB,27,13,30.43,34.79,NA,2.06,31,13,13.95
FEB,27,14,44.82,35.77,NA,1.96,40,NA,16.68
FEB,27,15,62.69,39.33,NA,1.65,45,NA,13.3
FEB,27,16,66.35,43.5,NA,1.59,46,35,12.23
FEB,27,17,56.23,46.19,NA,1.61,45,36,8.96
FEB,27,18,50.58,48.18,NA,1.63,38,28,10.21
FEB,27,19,49.29,49.78,NA,1.66,37,20,11.95
FEB,27,20,17.12,47.19,NA,1.85,41,17,28.68
FEB,27,21,12.93,45,NA,1.96,49,20,28.71
FEB,27,22,13.53,41.09,NA,2.02,56,27,27.04
FEB,27,23,7.41,34.18,NA,2.21,75,26,29.73
FEB,28,0,7.91,26.87,NA,2.32,94,36,27.21
FEB,28,1,14.50,21.66,NA,2.32,92,38,19.51
FEB,28,2,23.44,18.27,NA,2.3,66,34,12.6
FEB,28,3,25.54,15.3,NA,2.26,47,29,10.6
FEB,28,4,21.70,15.87,NA,2.06,39,21,12.34
FEB,28,5,14.83,16.11,NA,1.92,36,22,15.87
FEB,28,6,21.01,17.04,NA,1.83,31,20,11.8
FEB,28,7,16.93,18.23,NA,1.6,29,18,13
FEB,28,8,12.88,18.85,NA,1.46,29,17,16.22
FEB,28,9,17.07,19.17,NA,1.47,32,19,15.37
FEB,28,10,23.69,19.21,NA,1.5,38,17,13.82
FEB,28,11,31.45,19.94,NA,1.53,43,19,14.15
FEB,28,12,42.83,22.59,NA,1.56,46,24,13.28
FEB,28,13,54.09,27.49,NA,1.59,46,22,12.44
FEB,28,14,65.21,33.02,NA,1.62,44,22,9.96
FEB,28,15,62.50,38.72,NA,1.66,42,22,11.78
FEB,28,16,64.10,45.12,NA,1.68,41,24,12.14
FEB,28,17,66.83,51.34,NA,1.69,37,21,12.04
FEB,28,18,65.57,56.57,NA,1.71,36,25,12.88
FEB,28,19,62.08,60.4,NA,1.77,40,23,17.61
FEB,28,20,39.45,59.98,NA,1.83,43,19,21.85
FEB,28,21,44.07,58.73,NA,1.82,45,20,9.41
FEB,28,22,37.53,55.27,NA,1.79,46,17,11.13
FEB,28,23,41.77,52.67,NA,1.81,43,16,9.11
FEB,29,0,45.95,50.41,NA,1.82,40,16,6.72
FEB,29,1,47.74,48.02,NA,1.78,34,13,5.92
FEB,29,2,49.10,45.96,NA,1.73,28,10,6.62
FEB,29,3,45.04,43.83,NA,1.64,26,9,8.01
FEB,29,4,36.62,43.48,NA,1.55,24,10,9.93
FEB,29,5,35.09,42.36,NA,1.53,22,10,8.71
FEB,29,6,35.80,42.14,NA,1.52,20,12,8.74
FEB,29,7,25.59,40.12,NA,1.47,20,11,13.63
FEB,29,8,18.80,36.72,NA,1.45,29,13,16.53
FEB,29,9,32.95,34.87,NA,1.47,29,17,10.87
FEB,29,10,36.18,33.26,NA,1.49,30,16,11.55
FEB,29,11,38.47,32.44,NA,1.5,35,17,14.21
FEB,29,12,48.50,33.92,NA,1.53,40,25,13.96
FEB,29,13,64.08,37.54,NA,1.58,41,25,13.6
FEB,29,14,72.60,42.14,NA,1.63,44,26,11.98
FEB,29,15,75.68,48.41,NA,1.67,45,30,12.13
FEB,29,16,88.02,57.06,NA,1.66,45,26,8.94
FEB,29,17,77.34,62.61,NA,1.68,44,24,11.82
FEB,29,18,72.69,67.17,NA,1.69,41,19,10.57
FEB,29,19,61.83,70.09,NA,1.76,42,18,17.59
FEB,29,20,19.29,66.44,NA,1.96,55,19,37.99
FEB,29,21,11.33,59.85,NA,2.28,89,23,39.94
FEB,29,22,23.69,53.73,NA,2.37,86,27,26.46
FEB,29,23,24.18,47.3,NA,2.42,76,29,22.21
