DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario
MAY,1,0,38.63,44.504592,46.431769,0.578846,25.1381,24.0753,3.66
MAY,1,1,33.55,41.105833,46.485108,0.551032,17.2858,14.5443,5.76
MAY,1,2,27.47,39.259146,46.504858,0.535913,12.8204,9.4536,6.88
MAY,1,3,32.29,37.254031,43.659914,0.532166,11.862,7.495,4.77
MAY,1,4,23.32,33.759033,41.735211,0.518113,11.7082,7.3432,8.08
MAY,1,5,14.53,29.805002,35.82804,0.524841,15.4512,8.2283,12.75
MAY,1,6,9.45,26.659101,26.644195,0.542591,21.722,12.6427,19.02
MAY,1,7,11.19,23.805619,23.166425,0.559363,26.9241,22.0977,19.13
MAY,1,8,17.89,21.213205,21.455559,0.577553,26.9846,26.3735,11.55
MAY,1,9,29.4,20.694346,20.006778,0.597712,23.4087,23.5232,7.92
MAY,1,10,45.85,22.991105,18.555538,0.610612,30.7431,24.1791,5.8
MAY,1,11,58.24,26.234903,17.707229,0.617384,30.1111,18.7447,4.26
MAY,1,12,71.78,32.292384,17.070999,0.625327,27.6915,17.3059,4.17
MAY,1,13,73.36,39.646171,16.645904,0.640339,24.5452,14.8444,5.43
MAY,1,14,80.84,48.569053,15.93232,0.637884,28.8865,20.6952,4.79
MAY,1,15,83.06,57.551919,15.449316,0.624782,25.0285,17.9932,3.59
MAY,1,16,75.93,64.806919,15.218262,0.617441,18.3437,17.3851,4.12
MAY,1,17,72.95,70.251377,15.055797,0.604701,17.9263,12.8525,NA
MAY,1,18,69.89,73.256942,14.88236,0.588812,12.401,10.6153,NA
MAY,1,19,61.61,73.678635,14.719705,0.594507,12.7819,9.7886,7.33
MAY,1,20,59.57,72.152013,14.09445,0.602171,36.1527,9.3584,5.04
MAY,1,21,52.13,69.4978,13.146421,0.603769,47.9894,13.4025,6.89
MAY,1,22,56.09,66.404321,11.268706,0.600773,39.9993,15.8918,6.36
MAY,1,23,60.43,63.575617,7.621457,0.593371,36.1708,19.0421,2.14
MAY,2,0,56.04,61.088684,6.818651,0.57363,27.7127,15.6261,2.38
MAY,2,1,39.97,56.965372,7.606978,0.56988,24.2014,14.0607,5.39
MAY,2,2,31.85,52.209472,8.997631,0.616142,24.0117,15.8986,8.93
MAY,2,3,29.02,48.134597,10.248877,0.605331,27.8636,15.357,8.86
MAY,2,4,27.92,44.179232,10.213078,0.591009,25.6106,19.4543,7.79
MAY,2,5,25.81,40.889538,10.544496,0.579867,31.209,17.862,12.87
MAY,2,6,13.69,35.589772,11.546139,0.596196,37.1179,22.6729,17.54
MAY,2,7,14.39,29.835187,10.582975,0.636169,38.3338,25.5976,22.27
MAY,2,8,17.57,25.026565,10.4635,0.678435,42.5346,22.9912,18.76
MAY,2,9,29.61,23.732032,10.232972,0.706892,38.7158,24.0371,12.62
MAY,2,10,45.62,25.453892,10.27114,0.708467,41.6964,24.9154,13.54
MAY,2,11,63.9,29.813955,10.303624,0.742526,41.571,24.6422,9.34
MAY,2,12,72.64,35.403171,10.242619,0.769151,36.1994,28.8339,6.03
MAY,2,13,83.9,42.663634,10.277488,0.792471,39.729,29.7508,9.13
MAY,2,14,81.3,51.115194,10.288392,0.788881,34.9017,33.5323,6.77
MAY,2,15,87.16,60.211744,10.262139,0.764379,28.3632,30.2397,3.55
MAY,2,16,87.67,68.974548,10.270153,0.732269,25.9958,22.8433,NA
MAY,2,17,77.51,74.961736,10.297302,0.716653,33.8912,20.4817,4.28
MAY,2,18,71.42,78.186956,10.33669,0.68865,34.5862,18.4536,6.56
MAY,2,19,64.58,78.271936,10.30438,0.666216,29.7369,17.9195,6.38
MAY,2,20,54.66,76.024652,10.294549,0.657606,34.8484,17.2439,8.5
MAY,2,21,31.89,69.524465,10.303111,0.681656,41.5268,17.6633,20.62
MAY,2,22,35.91,63.849867,10.218594,0.711544,47.8462,23.5865,18.84
MAY,2,23,41.95,58.198706,10.139269,0.72962,54.5266,24.7423,13.42
MAY,3,0,33.66,51.447356,10.55741,0.732805,55.3747,25.3529,10.84
MAY,3,1,30.05,45.514673,12.700767,0.72305,45.2944,25.9242,8.74
MAY,3,2,33.43,40.766202,12.838504,0.811332,37.3811,25.2967,4.83
MAY,3,3,29.54,36.386663,12.937743,0.859197,31.2781,21.5972,5.83
MAY,3,4,29.65,33.261009,14.38227,0.841198,30.0941,22.0959,7.37
MAY,3,5,23.6,32.224075,15.706563,0.789565,35.3241,25.2263,10.53
MAY,3,6,26.23,31.014552,14.58465,0.751508,35.3336,29.7425,8.83
MAY,3,7,19.46,28.203402,14.335773,0.746655,33.1122,24.2956,11.35
MAY,3,8,23.76,26.966087,14.344244,0.763891,28.5279,22.8242,9.67
MAY,3,9,33.28,27.369812,14.422101,0.786095,28.816,23.342,7.25
MAY,3,10,46.61,29.017081,14.832094,0.698126,31.5516,22.8496,6.53
MAY,3,11,62.73,33.165458,16.097262,0.6632,34.498,23.1633,7.81
MAY,3,12,76.64,39.038721,16.728762,0.697255,35.0554,26.3314,6.39
MAY,3,13,76.06,45.59653,16.851861,0.725291,37.7721,26.3314,5.04
MAY,3,14,80.19,52.341803,16.89093,0.744896,34.1049,NA,4.56
MAY,3,15,80.17,59.92941,16.987624,0.737372,31.6348,NA,NA
MAY,3,16,85.79,67.683249,17.300098,0.734942,25.908,23.3428,2.66
MAY,3,17,92.73,75.114474,17.751055,0.739641,29.6462,22.6517,2.09
MAY,3,18,78.05,79.044729,17.989673,0.742235,28.5044,21.3349,NA
MAY,3,19,66.71,79.542254,18.08326,0.724904,27.2161,20.4494,NA
MAY,3,20,58.44,77.266987,18.120942,0.715568,28.4465,16.7601,9.95
MAY,3,21,35.48,72.194486,18.239028,0.74408,28.9182,15.1563,21.81
MAY,3,22,40.33,67.211629,22.960856,0.727114,42.8542,16.7285,6.59
MAY,3,23,42.61,62.517015,30.118338,0.71036,37.8658,15.5909,4.29
MAY,4,0,35.23,56.197242,31.34673,0.686551,34.1724,17.5607,8.42
MAY,4,1,32.87,48.71496,34.586373,0.701483,31.3486,20.4135,8.64
MAY,4,2,36.79,43.556675,36.332672,0.782714,31.9152,19.8968,4.98
MAY,4,3,33.83,39.447263,36.412869,0.776107,28.4227,15.7423,6.65
MAY,4,4,34.38,36.440475,34.856781,0.74734,31.5149,23.378,1.79
MAY,4,5,33.76,36.224829,33.162277,0.692153,27.1992,18.9071,3.62
MAY,4,6,26.44,34.48901,32.824041,0.688601,28.0931,17.4548,10.77
MAY,4,7,22.31,31.952117,32.759242,0.6982,30.5845,19.5479,9.32
MAY,4,8,18.42,29.850498,32.63476,0.720056,31.3942,19.8825,13.93
MAY,4,9,24.41,28.793935,32.536478,0.704576,39.8803,21.1123,13.95
MAY,4,10,47.43,30.124079,31.966439,0.617258,35.7622,21.2662,6.24
MAY,4,11,58.47,33.204392,30.786368,0.633735,34.8363,19.5936,6.01
MAY,4,12,74.9,38.269138,30.161382,0.655969,36.147,22.9284,6.71
MAY,4,13,91.03,45.428792,30.886121,0.693992,42.6233,24.2565,7.36
MAY,4,14,93.41,53.799231,31.449121,0.713387,42.7182,27.9597,6.39
MAY,4,15,99.43,63.439377,32.200096,0.730436,41.0666,27.3199,5.84
MAY,4,16,89.81,72.362477,32.559502,0.755668,40.1325,27.487,5.84
MAY,4,17,97.42,81.487692,32.804502,0.77075,39.0862,25.3794,5.59
MAY,4,18,77.37,85.230854,32.714061,0.793005,40.3628,25.4314,10.01
MAY,4,19,61.37,85.593275,32.658944,0.814598,53.467,24.206,11.33
MAY,4,20,54.9,83.093758,32.65563,0.831019,63.6305,26.9259,10.26
MAY,4,21,54.64,78.544921,32.545265,0.80699,65.6671,36.0304,7
MAY,4,22,57.85,74.100586,27.830523,0.777749,67.4196,38.6136,1.9
MAY,4,23,50.81,68.022919,20.719862,0.748815,60.9526,31.3541,NA
MAY,5,0,45.72,62.512294,19.06568,0.696604,40.5747,21.4154,NA
MAY,5,1,46,56.085317,12.691653,0.647138,26.3536,16.0984,NA
MAY,5,2,47.53,52.355179,9.19388,0.603687,18.9117,13.4539,NA
MAY,5,3,45.88,50.418702,7.540532,0.556865,12.3471,10.9359,NA
MAY,5,4,40.62,48.633277,9.769539,0.538035,12.0046,10.0413,4.7
MAY,5,5,40.6,46.877463,11.300516,0.531386,12.5862,12.9548,2.92
MAY,5,6,27.95,43.139725,11.198114,0.54353,16.788,12.8002,10.1
MAY,5,7,18.66,39.12064,11.112599,0.577297,21.4451,11.4645,13.79
MAY,5,8,26.56,36.725296,11.033076,0.615397,24.0404,13.0386,13.38
MAY,5,9,29.4,34.6502,11.577288,0.665785,30.4959,15.7092,14.39
MAY,5,10,39.02,33.586258,11.738396,0.692847,32.3391,18.7546,8.21
MAY,5,11,70.57,36.672925,13.248634,0.873039,30.4354,19.1663,12.01
MAY,5,12,97.76,43.814893,16.065163,1.091361,36.8818,25.8901,11.37
MAY,5,13,93.72,50.455989,16.794081,1.16786,36.8988,30.1399,6.69
MAY,5,14,65.97,55.208089,16.754416,1.161525,30.3592,29.4106,4.41
MAY,5,15,71.43,61.804864,16.486376,1.134346,22.8061,25.9243,4.86
MAY,5,16,75.65,67.941123,16.414035,1.105368,25.2458,24.0547,4.26
MAY,5,17,65.01,72.392681,16.303128,1.085416,32.4347,21.7714,4.82
MAY,5,18,54.24,74.295021,16.873825,1.095863,45.0314,18.9954,9.24
MAY,5,19,45.05,71.104165,17.676496,0.934362,44.8692,17.9085,8.55
MAY,5,20,48.62,64.961846,NA,0.70246,40.2836,18.6327,5.96
MAY,5,21,42.77,58.592829,NA,0.612315,30.0437,17.3211,5.47
MAY,5,22,40.38,55.394331,NA,0.65398,19.5275,13.2615,5.92
MAY,5,23,40.32,51.504527,NA,0.730163,14.7141,11.7481,6.85
MAY,6,0,37.35,46.716811,NA,0.718771,16.9058,13.8611,4.24
MAY,6,1,30.01,42.340925,NA,0.691648,15.8363,10.8025,8.83
MAY,6,2,26.24,38.840536,NA,0.657278,14.9449,13.1502,9.58
MAY,6,3,27.04,36.589236,NA,0.647091,13.8725,9.0896,6.45
MAY,6,4,24.07,33.5202,NA,0.645461,12.9785,8.3752,7.7
MAY,6,5,22.39,30.972144,NA,0.649104,11.477,9.8552,8.05
MAY,6,6,16.01,27.926258,NA,0.614351,17.1589,10.6445,14.79
MAY,6,7,9.23,24.040215,NA,0.56219,22.0796,11.5483,19.64
MAY,6,8,14.26,21.15455,NA,0.597237,24.7177,15.3022,16.96
MAY,6,9,26.8,20.754354,NA,0.655442,20.9478,18.9166,14.18
MAY,6,10,32.57,21.545654,NA,0.677583,30.3089,23.6851,10.83
MAY,6,11,47.19,24.064943,NA,0.68528,28.9736,24.9457,7.36
MAY,6,12,54.79,27.90545,NA,0.697006,27.8129,22.335,8.22
MAY,6,13,63.74,33.074479,NA,0.721853,27.1967,19.9316,4.54
MAY,6,14,65.16,39.21805,NA,0.75061,23.9608,21.7963,2.88
MAY,6,15,70.48,46.875055,NA,0.730139,21.0369,21.5259,4.03
MAY,6,16,70.79,53.940862,NA,0.698892,20.1334,19.9119,3.15
MAY,6,17,62.11,58.354546,NA,0.698441,21.8279,16.5081,3.22
MAY,6,18,56.35,61.327154,NA,0.672419,28.6105,15.7231,2.24
MAY,6,19,48.56,61.497885,NA,0.651448,30.9051,15.6735,1.5
MAY,6,20,47.99,60.647523,NA,0.631279,30.454,16.9259,2.61
MAY,6,21,57.5,59.866994,NA,0.604189,36.9169,16.8335,4.75
MAY,6,22,51.14,58.114013,NA,0.556833,26.9063,15.9403,4.66
MAY,6,23,44.92,54.919006,NA,0.54011,21.8546,12.7434,3.37
MAY,7,0,39.8,51.045288,7.61683,0.553702,15.1939,11.2988,3.95
MAY,7,1,29.32,46.945875,10.226941,0.559398,16.7294,10.2542,5.54
MAY,7,2,26.07,43.161175,11.950653,0.561985,18.5098,15.3027,4.25
MAY,7,3,23.27,40.000317,16.323876,0.576159,21.8237,17.8302,6.09
MAY,7,4,19.86,36.484559,20.718318,0.584091,20.8481,20.5325,8.9
MAY,7,5,17.68,31.507681,20.91309,0.580154,21.6328,20.5297,9.38
MAY,7,6,16.54,27.182484,20.990068,0.588988,23.0086,20.6726,11.13
MAY,7,7,9.96,22.812075,20.318755,0.623796,29.0401,19.5303,17.39
MAY,7,8,13.45,19.518933,21.620407,0.641068,31.5364,29.4559,15.31
MAY,7,9,22.47,18.662683,21.758055,0.598822,26.3409,31.6002,9.04
MAY,7,10,37.78,20.126597,23.914373,0.613372,22.897,25.8863,3.11
MAY,7,11,42.24,22.498333,24.163276,0.61075,21.1915,21.1529,4.94
MAY,7,12,52.84,26.620753,24.286701,0.615343,22.7377,23.4055,3.84
MAY,7,13,61.25,32.066395,24.761558,0.659255,18.7434,22.0746,3.83
MAY,7,14,67.67,38.457566,24.498894,0.659068,16.2318,18.6202,4.67
MAY,7,15,71.7,46.174772,24.708897,0.650688,19.1084,16.9062,7.48
MAY,7,16,78.94,54.360756,25.17201,0.655969,20.3206,16.4201,7.71
