DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm],,,,
NOV,1,0,0.0385,0.0412,0.0140,1.143,27,7,0.0071,,,,
NOV,1,1,0.0356,0.0378,0.0145,1.099,25,6,0.0092,,,,
NOV,1,2,0.0383,0.0348,0.0142,1.051,21,9,0.0064,,,,
NOV,1,3,0.0292,0.0337,0.0137,0.943,17,6,0.0123,,,,
NOV,1,4,0.0261,0.0336,0.0138,0.883,17,4,0.0118,,,,
NOV,1,5,0.0289,0.0330,0.0140,0.883,16,3,0.0092,,,,
NOV,1,6,0.0294,0.0324,0.0139,0.881,14,3,0.0090,,,,
NOV,1,7,0.0254,0.0314,0.0143,0.893,16,3,0.0130,,,,
NOV,1,8,0.0270,0.0300,0.0148,0.906,19,5,0.0130,,,,
NOV,1,9,0.0338,0.0298,0.0155,0.914,23,10,0.0127,,,,
NOV,1,10,0.0423,0.0303,0.0155,0.920,25,14,0.0071,,,,
NOV,1,11,0.0435,0.0320,0.0151,0.915,26,11,0.0056,,,,
NOV,1,12,0.0443,0.0343,0.0144,0.909,21,9,0.0046,,,,
NOV,1,13,0.0483,0.0368,0.0135,0.911,23,7,0.0049,,,,
NOV,1,14,0.0465,0.0389,0.0125,0.915,22,6,0.0049,,,,
NOV,1,15,0.0456,0.0414,0.0121,0.907,24,5,0.0045,,,,
NOV,1,16,0.0438,0.0435,0.0114,0.899,32,6,0.0050,,,,
NOV,1,17,0.0451,0.0449,0.0109,0.886,38,7,0.0044,,,,
NOV,1,18,0.0468,0.0455,0.0105,0.882,45,7,0.0048,,,,
NOV,1,19,0.0460,0.0458,0.0101,0.882,47,7,0.0050,,,,
NOV,1,20,0.0458,0.0460,0.0099,0.880,38,6,0.0050,,,,
NOV,1,21,0.0448,0.0455,0.0096,0.874,36,5,0.0044,,,,
NOV,1,22,0.0432,0.0451,0.0094,0.870,26,4,0.0050,,,,
NOV,1,23,0.0452,0.0451,0.0088,0.866,21,2,0.0043,,,,
NOV,2,0,0.0466,0.0454,0.0085,0.861,19,2,0.0039,,,,
NOV,2,1,0.0451,0.0454,0.0078,0.865,18,3,0.0042,,,,
NOV,2,2,0.0402,0.0446,0.0079,0.868,20,5,0.0053,,,,
NOV,2,3,0.0405,0.0439,0.0080,0.874,20,8,0.0054,,,,
NOV,2,4,0.0435,0.0436,0.0075,0.871,19,9,0.0034,,,,
NOV,2,5,0.0431,0.0434,0.0069,0.872,18,9,0.0042,,,,
NOV,2,6,0.0402,0.0430,0.0068,0.872,18,11,0.0046,,,,
NOV,2,7,0.0354,0.0418,0.0063,0.878,19,11,0.0078,,,,
NOV,2,8,0.0287,0.0396,0.0057,0.894,20,12,0.0103,,,,
NOV,2,9,0.0371,0.0386,0.0047,0.898,20,16,0.0068,,,,
NOV,2,10,0.0417,0.0388,0.0045,0.902,25,15,0.0056,,,,
NOV,2,11,0.0423,0.0390,0.0046,0.900,23,14,0.0055,,,,
NOV,2,12,0.0440,0.0391,0.0047,0.909,19,10,0.0046,,,,
NOV,2,13,0.0450,0.0393,0.0055,0.922,21,8,0.0058,,,,
NOV,2,14,0.0452,0.0399,0.0061,0.928,29,8,0.0062,,,,
NOV,2,15,0.0463,0.0413,0.0067,0.928,30,10,0.0059,,,,
NOV,2,16,0.0459,0.0434,0.0078,0.918,32,11,0.0061,,,,
NOV,2,17,0.0455,0.0445,0.0081,0.915,31,16,0.0059,,,,
NOV,2,18,0.0434,0.0447,0.0085,0.913,36,13,0.0070,,,,
NOV,2,19,0.0377,0.0441,0.0088,0.915,37,11,0.0088,,,,
NOV,2,20,0.0384,0.0434,0.0089,0.913,33,10,0.0059,,,,
NOV,2,21,0.0405,0.0429,0.0091,0.902,25,7,0.0051,,,,
NOV,2,22,0.0414,0.0424,0.0092,0.899,20,4,0.0047,,,,
NOV,2,23,0.0421,0.0419,0.0094,0.895,15,3,0.0053,,,,
NOV,3,0,0.0357,0.0406,0.0096,0.893,16,3,0.0102,,,,
NOV,3,1,0.0333,0.0391,0.0098,0.900,24,6,0.0130,,,,
NOV,3,2,0.0344,0.0379,0.0098,0.895,23,10,0.0119,,,,
NOV,3,3,0.0380,0.0380,0.0098,0.889,18,9,0.0104,,,,
NOV,3,4,0.0391,0.0381,0.0099,0.891,19,8,0.0100,,,,
NOV,3,5,0.0433,0.0384,0.0102,0.890,16,8,0.0064,,,,
NOV,3,6,0.0359,0.0377,0.0111,0.891,17,9,0.0088,,,,
NOV,3,7,0.0272,0.0359,0.0117,0.909,21,10,0.0146,,,,
NOV,3,8,0.0359,0.0359,0.0120,0.917,21,13,0.0098,,,,
NOV,3,9,0.0412,0.0369,0.0123,0.915,19,14,0.0081,,,,
NOV,3,10,0.0451,0.0382,0.0139,0.926,23,11,0.0079,,,,
NOV,3,11,0.0484,0.0395,0.0152,0.938,37,15,0.0081,,,,
NOV,3,12,0.0524,0.0412,0.0170,0.942,39,17,0.0082,,,,
NOV,3,13,0.0558,0.0428,0.0179,0.955,40,19,0.0087,,,,
NOV,3,14,0.0583,0.0456,0.0184,0.965,37,18,0.0083,,,,
NOV,3,15,0.0571,0.0493,0.0190,0.961,33,17,0.0080,,,,
NOV,3,16,0.0560,0.0518,0.0191,0.969,34,13,0.0090,,,,
NOV,3,17,0.0552,0.0536,0.0196,0.977,37,11,0.0076,,,,
NOV,3,18,0.0490,0.0540,0.0194,0.983,39,11,0.0074,,,,
NOV,3,19,0.0421,0.0532,0.0193,0.989,45,11,0.0073,,,,
NOV,3,20,0.0405,0.0518,0.0192,0.988,39,10,0.0056,,,,
NOV,3,21,0.0385,0.0496,0.0192,0.982,29,8,0.0053,,,,
NOV,3,22,0.0372,0.0470,0.0194,0.976,24,6,0.0062,,,,
NOV,3,23,0.0374,0.0445,0.0195,0.998,17,4,0.0062,,,,
NOV,4,0,0.0334,0.0417,0.0197,1.070,17,5,0.0083,,,,
NOV,4,1,0.0359,0.0393,0.0200,1.090,13,6,0.0065,,,,
NOV,4,2,0.0347,0.0375,0.0204,1.167,13,4,0.0079,,,,
NOV,4,3,0.0289,0.0358,0.0214,1.455,16,4,0.0116,,,,
NOV,4,4,0.0254,0.0339,0.0220,1.608,16,5,0.0159,,,,
NOV,4,5,0.0313,0.0330,0.0222,1.703,14,6,0.0104,,,,
NOV,4,6,0.0332,0.0325,0.0223,1.704,13,6,0.0086,,,,
NOV,4,7,0.0299,0.0316,0.0231,1.679,16,7,0.0119,,,,
NOV,4,8,0.0266,0.0307,0.0246,1.615,21,9,0.0137,,,,
NOV,4,9,0.0388,0.0311,0.0271,1.585,18,12,0.0070,,,,
NOV,4,10,0.0395,0.0317,0.0274,1.503,19,10,0.0071,,,,
NOV,4,11,0.0425,0.0334,0.0271,1.216,19,13,0.0068,,,,
NOV,4,12,0.0466,0.0361,0.0274,1.059,18,13,0.0056,,,,
NOV,4,13,0.0485,0.0382,0.0282,0.974,20,11,0.0067,,,,
NOV,4,14,0.0514,0.0405,0.0284,1.010,22,10,0.0065,,,,
NOV,4,15,0.0518,0.0432,0.0280,1.041,22,9,0.0064,,,,
NOV,4,16,0.0502,0.0462,0.0272,1.087,25,8,0.0070,,,,
NOV,4,17,0.0464,0.0471,0.0266,1.130,25,7,0.0066,,,,
NOV,4,18,0.0404,0.0472,0.0264,1.134,31,6,0.0075,,,,
NOV,4,19,0.0337,0.0461,0.0264,1.130,35,6,0.0094,,,,
NOV,4,20,0.0334,0.0445,0.0264,1.136,34,6,0.0082,,,,
NOV,4,21,0.0357,0.0429,0.0263,1.127,30,6,0.0066,,,,
NOV,4,22,0.0377,0.0411,0.0260,1.090,25,6,0.0052,,,,
NOV,4,23,0.0370,0.0393,0.0259,1.052,21,5,0.0058,,,,
NOV,5,0,0.0360,0.0375,0.0255,0.984,14,5,0.0059,,,,
NOV,5,1,0.0349,0.0361,0.0249,0.945,15,3,0.0068,,,,
NOV,5,2,0.0382,0.0358,0.0245,0.933,13,3,0.0043,,,,
NOV,5,3,0.0352,0.0360,0.0238,0.929,12,2,0.0068,,,,
NOV,5,4,0.0388,0.0367,0.0231,0.919,12,3,0.0039,,,,
NOV,5,5,0.0393,0.0371,0.0225,0.913,12,3,0.0038,,,,
NOV,5,6,0.0377,0.0371,0.0215,0.910,11,2,0.0042,,,,
NOV,5,7,0.0363,0.0371,0.0199,0.912,11,3,0.0057,,,,
NOV,5,8,0.0352,0.0370,0.0177,0.917,10,4,0.0065,,,,
NOV,5,9,0.0369,0.0372,0.0146,0.923,7,6,0.0064,,,,
NOV,5,10,0.0401,0.0374,0.0139,0.936,11,7,0.0056,,,,
NOV,5,11,0.0437,0.0385,0.0146,0.950,14,7,0.0054,,,,
NOV,5,12,0.0478,0.0396,0.0138,0.998,15,8,0.0055,,,,
NOV,5,13,0.0507,0.0410,0.0126,1.115,18,8,0.0063,,,,
NOV,5,14,0.0523,0.0429,0.0115,1.148,20,8,0.0069,,,,
NOV,5,15,0.0534,0.0450,0.0108,1.159,21,9,0.0065,,,,
NOV,5,16,0.0502,0.0469,0.0106,1.168,25,9,0.0069,,,,
NOV,5,17,0.0476,0.0482,0.0105,1.171,42,8,0.0070,,,,
NOV,5,18,0.0412,0.0483,0.0105,1.176,40,8,0.0076,,,,
NOV,5,19,0.0337,0.0471,0.0105,1.173,44,7,0.0093,,,,
NOV,5,20,0.0345,0.0454,0.0105,1.139,36,7,0.0076,,,,
NOV,5,21,0.0359,0.0436,0.0106,1.031,31,7,0.0062,,,,
NOV,5,22,0.0382,0.0418,0.0106,1.003,24,4,0.0047,,,,
NOV,5,23,0.0351,0.0396,0.0147,0.999,20,4,0.0070,,,,
NOV,6,0,0.0344,0.0376,0.0275,1.028,17,7,0.0086,,,,
NOV,6,1,0.0200,0.0341,0.0287,1.228,21,9,0.0181,,,,
NOV,6,2,0.0272,0.0324,0.0297,1.334,19,10,0.0108,,,,
NOV,6,3,0.0358,0.0326,0.0304,1.316,16,9,0.0043,,,,
NOV,6,4,0.0367,0.0329,0.0316,1.304,12,7,0.0042,,,,
NOV,6,5,0.0358,0.0329,0.0330,1.297,12,5,0.0047,,,,
NOV,6,6,0.0349,0.0325,0.0345,1.294,11,5,0.0050,,,,
NOV,6,7,0.0327,0.0322,0.0362,1.292,10,3,0.0076,,,,
NOV,6,8,0.0300,0.0316,NA,1.266,10,3,0.0102,,,,
NOV,6,9,0.0337,0.0333,NA,1.160,13,4,0.0107,,,,
NOV,6,10,0.0431,0.0353,NA,1.051,16,6,0.0056,,,,
NOV,6,11,0.0450,0.0365,NA,1.062,16,7,0.0067,,,,
NOV,6,12,0.0473,0.0378,NA,1.077,18,9,0.0072,,,,
NOV,6,13,0.0485,0.0394,NA,1.119,23,13,0.0108,,,,
NOV,6,14,0.0543,0.0418,NA,1.190,27,14,0.0138,,,,
NOV,6,15,0.0627,0.0456,NA,1.290,30,16,0.0142,,,,
NOV,6,16,0.0634,0.0498,NA,1.361,36,18,0.0165,,,,
NOV,6,17,0.0572,0.0527,NA,1.340,39,17,0.0207,,,,
NOV,6,18,0.0434,0.0527,NA,1.403,40,17,0.0234,,,,
NOV,6,19,0.0157,0.0491,NA,1.563,53,15,0.0439,,,,
NOV,6,20,0.0095,0.0443,NA,1.698,74,16,0.0417,,,,
NOV,6,21,0.0302,0.0421,NA,1.674,63,18,0.0109,,,,
NOV,6,22,0.0269,0.0386,NA,1.623,45,11,0.0116,,,,
NOV,6,23,0.0261,0.0341,NA,1.528,45,9,0.0113,,,,
NOV,7,0,0.0291,0.0298,NA,1.447,41,20,0.0087,,,,
NOV,7,1,0.0306,0.0265,NA,1.378,31,14,0.0082,,,,
NOV,7,2,0.0299,0.0248,0.0559,1.321,29,11,0.0089,,,,
NOV,7,3,0.0281,0.0263,0.0567,1.158,28,14,0.0091,,,,
NOV,7,4,0.0258,0.0283,0.0557,1.016,24,13,0.0082,,,,
NOV,7,5,0.0216,0.0273,0.0549,1.003,26,14,0.0107,,,,
NOV,7,6,0.0210,0.0265,0.0544,0.990,25,16,0.0113,,,,
NOV,7,7,0.0147,0.0251,0.0543,0.996,31,17,0.0172,,,,
NOV,7,8,0.0210,0.0241,0.0542,1.014,33,23,0.0166,,,,
NOV,7,9,0.0257,0.0235,0.0545,1.038,38,25,0.0155,,,,
NOV,7,10,0.0300,0.0235,0.0542,1.044,43,28,0.0119,,,,
NOV,7,11,0.0374,0.0247,0.0540,1.063,46,27,0.0118,,,,
NOV,7,12,0.0469,0.0273,0.0534,1.091,46,28,0.0140,,,,
NOV,7,13,0.0642,0.0326,0.0551,1.134,52,25,0.0171,,,,
NOV,7,14,0.0724,0.0390,0.0534,1.179,53,32,0.0146,,,,
