DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,2,14,46.92,30.77,NA,2.04,27,15,11.29
MZO,2,15,51.43,35.77,NA,1.98,26,17,10.15
MZO,2,16,46.69,40.3,NA,1.82,26,16,12.1
MZO,2,17,49.67,44.87,NA,1.76,28,13,11.87
MZO,2,18,45.34,47.65,NA,1.73,29,12,12.6
MZO,2,19,29.73,46.09,NA,1.8,34,13,17.93
MZO,2,20,29.56,43.54,NA,1.84,40,13,16.47
MZO,2,21,27.98,40.92,NA,1.86,39,13,16.56
MZO,2,22,32.54,39.12,NA,1.86,41,15,13.59
MZO,2,23,32.49,36.75,NA,1.87,35,14,14.14
MZO,3,0,36.61,35.49,NA,1.84,34,16,10.66
MZO,3,1,31.63,33.23,NA,1.82,31,15,12.13
MZO,3,2,20.40,30.12,NA,1.79,31,14,16.69
MZO,3,3,11.93,27.89,NA,1.71,31,17,20.22
MZO,3,4,12.68,25.78,NA,1.65,31,18,21.78
MZO,3,5,13.74,24,NA,1.62,31,17,21.83
MZO,3,6,14.38,21.73,NA,1.61,37,21,19.16
MZO,3,7,16.35,19.72,NA,1.69,47,21,20.74
MZO,3,8,15.00,17.01,NA,1.98,72,26,19.05
MZO,3,9,34.27,17.34,NA,2.1,83,30,32.67
MZO,3,10,30.00,18.54,NA,2.14,87,34,20.77
MZO,3,11,50.43,23.36,NA,2.15,72,37,10.93
MZO,3,12,48.13,27.79,NA,2.17,47,30,9.91
MZO,3,13,31.03,29.95,NA,2.16,36,21,8.59
MZO,3,14,31.16,32.04,NA,2.17,39,18,13.95
MZO,3,15,33.67,34.21,NA,2.06,42,17,14.24
MZO,3,16,29.43,36.01,NA,1.78,53,14,13.38
MZO,3,17,31.95,35.72,NA,1.65,49,15,12.83
MZO,3,18,28.74,35.57,NA,1.61,49,13,13.81
MZO,3,19,28.09,32.77,NA,1.64,44,20,13.22
MZO,3,20,29.13,30.4,NA,1.65,42,18,13.65
MZO,3,21,32.01,30.52,NA,1.66,35,14,12.41
MZO,3,22,37.73,31.34,NA,1.65,30,11,10.54
MZO,3,23,44.26,32.67,NA,1.63,31,9,7.84
MZO,4,0,44.10,34.5,NA,1.61,24,9,7.61
MZO,4,1,42.66,35.84,NA,1.6,21,11,6.94
MZO,4,2,42.52,37.56,NA,1.58,21,11,6.38
MZO,4,3,44.69,39.64,NA,1.53,20,11,6.63
MZO,4,4,44.53,41.56,NA,1.49,18,10,6.47
MZO,4,5,40.75,42.66,NA,1.46,20,10,6.99
MZO,4,6,33.72,42.15,NA,1.44,19,11,9.61
MZO,4,7,21.69,39.33,NA,1.47,24,13,17.84
MZO,4,8,18.06,36.08,NA,1.55,38,19,20.62
MZO,4,9,28.17,34.27,NA,1.62,41,24,17.36
MZO,4,10,23.53,31.89,NA,1.64,40,22,21.22
MZO,4,11,25.31,29.47,NA,1.68,38,22,15.68
MZO,4,12,31.50,27.84,NA,1.73,31,19,14.82
MZO,4,13,28.77,26.34,NA,NA,26,16,14.25
MZO,4,14,29.41,25.8,NA,NA,27,15,13.95
MZO,4,15,7.54,24.04,NA,NA,31,15,13.5
MZO,4,16,NA,24.89,NA,NA,31,20,13.21
MZO,4,17,NA,24.34,NA,NA,35,20,13.07
MZO,4,18,11.93,22.41,NA,NA,41,20,16.06
MZO,4,19,NA,NA,NA,NA,38,21,14.56
MZO,4,20,NA,NA,NA,0.56,38,13,16.17
MZO,4,21,NA,NA,NA,0.59,38,11,16.93
MZO,4,22,NA,NA,NA,0.61,38,9,16.37
MZO,4,23,8.33,NA,NA,0.62,34,10,14.72
MZO,5,0,7.56,NA,NA,0.63,31,12,14.68
MZO,5,1,8.27,NA,NA,0.64,32,14,14.51
MZO,5,2,7.88,NA,NA,0.63,33,16,14.77
MZO,5,3,8.85,NA,NA,0.61,34,19,14.8
MZO,5,4,8.54,8.24,NA,0.57,35,17,14.52
MZO,5,5,7.49,8.13,NA,0.53,33,18,14.48
MZO,5,6,7.95,8.11,NA,0.49,30,15,13.9
MZO,5,7,9.47,8.25,NA,0.48,38,17,14.15
MZO,5,8,8.65,8.39,NA,0.55,60,23,14.67
MZO,5,9,8.56,8.42,NA,0.59,60,30,15.11
MZO,5,10,7.61,8.39,NA,0.62,64,29,19.23
MZO,5,11,8.48,8.34,NA,0.65,62,32,19.67
MZO,5,12,NA,8.31,NA,0.66,57,32,16.44
MZO,5,13,NA,8.45,NA,0.67,53,30,13.63
MZO,5,14,NA,NA,NA,0.68,52,31,12.63
MZO,5,15,NA,NA,NA,0.67,106,28,12.6
MZO,5,16,48.81,NA,NA,0.6,67,25,7.6
MZO,5,17,38.22,NA,NA,0.55,48,20,9.96
MZO,5,18,43.39,NA,NA,0.52,39,16,10.73
MZO,5,19,28.42,NA,NA,0.53,38,17,15.27
MZO,5,20,20.75,NA,NA,0.56,40,15,16.63
MZO,5,21,29.39,34.83,NA,0.59,64,16,7.68
MZO,5,22,31.19,34.31,NA,0.61,63,14,6.79
MZO,5,23,30.10,33.78,NA,0.66,56,16,7.14
MZO,6,0,31.13,31.57,NA,0.82,53,14,6.68
MZO,6,1,32.67,30.88,NA,0.83,48,15,5.87
MZO,6,2,32.75,29.55,NA,0.97,36,8,6.34
MZO,6,3,31.95,29.99,NA,0.92,30,12,7.11
MZO,6,4,31.18,31.3,NA,0.86,24,14,7.13
MZO,6,5,33.48,31.81,NA,0.83,19,14,5.92
MZO,6,6,30.49,31.72,NA,1.26,21,12,5.75
MZO,6,7,29.32,31.62,NA,1.52,23,15,6.16
MZO,6,8,28.71,31.32,NA,1.62,20,13,7.27
MZO,6,9,30.63,31.07,NA,1.78,24,12,6.51
MZO,6,10,31.75,30.94,NA,1.81,22,12,6.9
MZO,6,11,32.74,31.04,NA,1.88,25,12,NA
MZO,6,12,36.57,31.71,NA,1.97,22,14,NA
MZO,6,13,39.44,32.46,NA,2.04,28,14,NA
MZO,6,14,40.84,33.75,NA,1.67,28,15,NA
MZO,6,15,41.59,35.28,NA,1.47,28,13,NA
MZO,6,16,41.48,36.88,NA,1.27,49,14,NA
MZO,6,17,42.05,38.3,NA,1.23,49,14,NA
MZO,6,18,39.85,39.32,NA,1.04,47,16,NA
MZO,6,19,37.34,39.89,NA,0.97,44,18,NA
MZO,6,20,35.00,39.7,NA,0.89,42,16,NA
MZO,6,21,34.77,39.11,NA,0.8,38,14,NA
MZO,6,22,33.29,38.17,NA,0.86,30,13,NA
MZO,6,23,33.07,37.1,NA,0.76,25,11,NA
MZO,7,0,31.50,35.86,NA,0.77,21,13,NA
MZO,7,1,31.01,34.48,NA,0.81,25,11,NA
MZO,7,2,31.15,33.39,NA,0.93,24,10,NA
MZO,7,3,31.22,32.63,NA,0.93,18,10,NA
MZO,7,4,31.76,32.22,NA,1.01,16,11,NA
MZO,7,5,32.81,31.98,5.74,1.1,17,12,NA
MZO,7,6,31.10,31.7,5.82,1.06,15,12,NA
MZO,7,7,30.44,31.37,5.85,1.06,15,11,NA
MZO,7,8,21.69,30.15,6.78,0.98,16,13,NA
MZO,7,9,25.18,29.42,7.81,0.8,22,16,NA
MZO,7,10,30.92,29.39,8.2,0.69,25,19,NA
MZO,7,11,35.32,29.9,9.01,0.7,29,20,NA
MZO,7,12,33.18,30.08,10.7,0.63,35,22,NA
MZO,7,13,39.59,30.93,11.56,0.6,52,43,NA
MZO,7,14,56.50,34.1,12.25,0.7,61,37,NA
MZO,7,15,53.67,37.01,12.07,0.72,61,32,NA
MZO,7,16,64.11,42.31,12.3,0.77,51,27,NA
MZO,7,17,67.34,47.58,13.62,0.86,51,23,NA
MZO,7,18,64.44,51.77,14.94,0.93,61,29,NA
MZO,7,19,49.47,53.54,15.73,1.03,64,34,NA
MZO,7,20,16.79,51.49,16.31,1.17,69,33,NA
MZO,7,21,26.17,49.81,16.63,1.17,77,39,NA
MZO,7,22,31.69,46.71,16.41,0.97,58,35,NA
MZO,7,23,25.61,43.2,16.88,0.98,46,21,NA
MZO,8,0,32.02,39.19,16.82,0.95,40,15,NA
MZO,8,1,34.81,35.12,17.04,1.06,33,14,NA
MZO,8,2,34.61,31.39,17.19,1.1,30,14,NA
MZO,8,3,35.45,29.64,17.7,1.19,28,13,NA
MZO,8,4,28.35,31.09,18.29,1.05,27,12,NA
MZO,8,5,20.64,30.4,19.55,0.99,25,14,NA
MZO,8,6,17.04,28.57,20.98,0.99,26,17,NA
MZO,8,7,21.47,28.05,21.99,0.92,26,19,NA
MZO,8,8,16.66,26.13,22.82,0.91,26,19,NA
MZO,8,9,19.09,24.16,23.54,0.7,28,23,NA
MZO,8,10,24.89,22.95,24.3,0.59,29,30,NA
MZO,8,11,33.49,22.7,24.14,0.4,32,31,NA
MZO,8,12,34.88,23.52,24.14,0.39,36,30,NA
MZO,8,13,46.57,26.76,24.13,0.41,42,35,NA
MZO,8,14,49.11,30.77,23.49,0.44,39,30,NA
MZO,8,15,54.76,34.93,23.6,0.47,38,30,NA
MZO,8,16,50.14,39.12,23.4,0.49,36,25,NA
MZO,8,17,45.16,42.38,21.78,0.5,32,20,NA
MZO,8,18,44.39,44.81,20.59,0.51,26,18,NA
MZO,8,19,29.46,44.31,19.91,0.54,30,17,NA
MZO,8,20,3.91,40.44,19.48,0.68,38,20,NA
MZO,8,21,2.31,34.91,19.33,0.87,52,25,NA
MZO,8,22,17.58,30.96,19.32,0.86,59,27,NA
MZO,8,23,17.68,26.33,19.69,0.85,47,25,NA
MZO,9,0,15.99,22.06,20.06,0.83,42,23,NA
MZO,9,1,16.90,18.53,19.9,0.81,42,20,NA
MZO,9,2,13.92,14.72,20.73,0.79,35,21,NA
MZO,9,3,14.67,12.87,21.36,0.76,32,18,NA
MZO,9,4,15.31,14.29,21.58,0.61,27,19,NA
MZO,9,5,15.58,15.95,20.61,0.41,24,19,NA
MZO,9,6,16.27,15.79,20.28,0.38,21,20,NA
MZO,9,7,13.20,15.23,20.76,0.37,25,20,NA
MZO,9,8,10.37,14.53,20.56,0.38,29,20,NA
MZO,9,9,12.39,13.96,21.16,0.4,31,22,NA
MZO,9,10,17.95,14.47,21.88,0.43,40,28,NA
MZO,9,11,19.18,15.03,23.19,0.46,42,31,NA
MZO,9,12,32.52,17.18,22.81,0.49,45,33,NA
MZO,9,13,51.03,21.61,22.24,0.52,45,35,NA
MZO,9,14,63.91,27.57,22.31,0.55,46,32,NA
MZO,9,15,62.68,33.75,22.67,0.57,43,31,NA
MZO,9,16,62.69,40.29,22.84,0.57,41,30,NA
MZO,9,17,54.76,45.59,22.97,0.59,41,28,NA
MZO,9,18,55.80,50.32,22.87,0.58,39,24,NA
MZO,9,19,47.98,53.92,22.8,0.6,42,20,NA
MZO,9,20,25.45,53.04,22.71,0.65,47,19,NA
MZO,9,21,19.42,49.09,22.58,0.69,56,21,NA
MZO,9,22,29.66,44.81,22.47,0.7,56,22,NA
MZO,9,23,23.72,39.93,21.54,0.7,48,20,NA
MZO,10,0,24.98,35.22,21,0.69,39,20,NA
MZO,10,1,25.76,31.6,20.54,0.66,30,15,NA
MZO,10,2,21.48,27.31,19.29,0.64,28,12,NA
MZO,10,3,21.87,24.04,18.35,0.59,25,10,NA
MZO,10,4,31.38,24.78,17.37,0.51,23,14,NA
MZO,10,5,24.24,25.39,17.08,0.44,20,11,NA
MZO,10,6,20.19,24.2,16.15,0.42,17,15,NA
MZO,10,7,16.92,23.35,14.94,0.4,19,14,NA
MZO,10,8,15.78,22.2,14.06,0.39,16,13,NA
MZO,10,9,21.77,21.7,12.3,0.4,19,15,NA
MZO,10,10,30.53,22.84,10.65,0.39,22,17,NA
MZO,10,11,30.06,23.86,9.45,0.39,24,17,NA
MZO,10,12,26.03,23.19,10.2,0.41,35,19,NA
MZO,10,13,32.40,24.21,11.41,0.42,39,26,NA
MZO,10,14,39.77,26.66,12.54,0.44,41,29,NA
MZO,10,15,42.20,29.82,13.09,0.47,42,28,13.39
MZO,10,16,48.25,33.88,14.1,0.49,47,26,13.15
MZO,10,17,56.06,38.16,14.85,0.52,50,26,10.49
MZO,10,18,62.08,42.11,16.27,0.56,50,28,10.37
MZO,10,19,47.62,44.3,17.23,0.64,55,29,23.76
MZO,10,20,11.01,42.42,17.55,0.8,66,28,48.86
MZO,10,21,31.34,42.29,17.7,0.84,72,30,8.72
MZO,10,22,29.09,40.95,18.06,0.86,56,25,4.69
MZO,10,23,29.59,39.38,18.62,0.92,49,22,4
MZO,11,0,33.63,37.55,18.87,0.95,42,19,NA
MZO,11,1,31.22,34.45,19.42,1.11,33,16,NA
MZO,11,2,30.31,30.47,19.86,1.2,28,17,NA
MZO,11,3,30.90,28.39,19.78,1.17,22,19,NA
MZO,11,4,20.66,29.59,20.74,1,20,19,8.23
MZO,11,5,23.90,28.66,21.17,1.1,20,19,4.18
MZO,11,6,21.11,27.66,21.32,1.05,20,19,6.4
MZO,11,7,11.45,25.4,21.58,0.98,22,18,13
MZO,11,8,8.10,22.21,21.92,0.93,25,16,15.33
MZO,11,9,12.21,19.83,22.21,0.77,28,18,12.01
MZO,11,10,21.04,18.67,23.55,0.66,37,22,9.71
MZO,11,11,22.89,17.67,25.71,0.61,47,30,15.07
MZO,11,12,31.49,19.02,25.08,0.63,53,41,16.57
MZO,11,13,42.29,21.32,25.99,0.51,52,39,19.78
MZO,11,14,54.98,25.56,27.19,0.53,59,41,15.62
MZO,11,15,67.98,32.62,27.33,0.54,54,41,8.7
MZO,11,16,65.76,39.83,26.51,0.55,49,38,11.25
MZO,11,17,61.40,45.98,25.86,0.55,48,32,12.37
MZO,11,18,59.79,50.82,24.51,0.57,47,27,12.19
MZO,11,19,43.62,53.41,23.61,0.63,47,22,24.71
MZO,11,20,16.85,51.58,23.34,0.73,61,22,39.4
MZO,11,21,11.17,47.69,23.24,0.81,83,25,38.22
MZO,11,22,22.60,43.65,22.93,0.82,82,28,23.38
MZO,11,23,28.05,38.65,22.64,0.82,63,26,7.87
MZO,12,0,25.04,33.56,22.98,0.83,50,24,8.25
MZO,12,1,26.41,29.19,22.97,0.81,41,22,6.3
MZO,12,2,29.10,25.36,22.69,0.8,36,20,NA
MZO,12,3,9.58,21.1,22.78,0.73,33,20,16.1
MZO,12,4,3.15,19.39,22.01,0.61,32,20,24.86
