DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppb]
MZO,18,5,10.03,11.83,9.82,0.46,26,16,NA
MZO,18,6,7.64,9.76,9.29,0.45,27,16,NA
MZO,18,7,4.05,7.55,8.31,0.48,33,18,NA
MZO,18,8,2.66,6.83,7.14,0.53,43,19,NA
MZO,18,9,9.48,7.41,5.49,0.55,47,21,NA
MZO,18,10,21.96,9.34,4.34,0.56,42,24,NA
MZO,18,11,31.13,11.98,2.09,0.58,41,27,NA
MZO,18,12,40.56,15.94,1.5,0.58,36,25,NA
MZO,18,13,45.58,20.38,1.36,0.6,32,22,NA
MZO,18,14,44.41,24.98,1.29,0.6,31,21,NA
MZO,18,15,44.03,29.98,1.29,0.57,27,20,NA
MZO,18,16,48.67,35.73,NA,0.49,27,19,NA
MZO,18,17,53.39,41.22,NA,0.45,26,17,NA
MZO,18,18,45.86,44.2,NA,0.44,29,17,NA
MZO,18,19,35.10,44.7,NA,0.46,32,15,NA
MZO,18,20,29.80,43.35,NA,0.5,64,14,NA
MZO,18,21,30.58,41.48,NA,0.5,60,18,NA
MZO,18,22,20.28,38.46,NA,0.51,46,14,NA
MZO,18,23,19.14,35.35,NA,0.51,34,15,NA
MZO,19,0,25.96,32.51,NA,0.51,30,16,NA
MZO,19,1,27.87,29.32,NA,0.5,29,20,NA
MZO,19,2,27.20,26.99,NA,0.48,27,22,NA
MZO,19,3,22.35,25.4,NA,0.43,22,20,NA
MZO,19,4,8.33,22.71,NA,0.39,22,20,NA
MZO,19,5,3.34,19.31,NA,0.38,24,21,NA
MZO,19,6,2.83,17.13,NA,0.35,24,22,NA
MZO,19,7,2.55,15.05,NA,0.37,28,23,NA
MZO,19,8,1.88,12.05,NA,0.43,41,23,NA
MZO,19,9,6.75,9.4,NA,0.49,49,29,NA
MZO,19,10,15.70,7.97,NA,0.53,49,32,NA
MZO,19,11,37.01,9.8,NA,0.54,43,29,NA
MZO,19,12,40.25,13.79,NA,0.55,36,24,NA
MZO,19,13,46.71,19.21,NA,0.56,31,22,NA
MZO,19,14,50.63,25.19,NA,0.57,29,20,NA
MZO,19,15,57.25,32.02,NA,0.57,31,18,NA
MZO,19,16,59.78,39.26,NA,0.51,33,19,NA
MZO,19,17,62.47,46.23,NA,0.48,33,20,NA
MZO,19,18,58.77,51.61,NA,0.46,36,23,NA
MZO,19,19,50.60,53.31,NA,0.5,40,23,NA
MZO,19,20,23.42,51.2,NA,0.54,41,24,NA
MZO,19,21,24.83,48.47,NA,0.57,39,22,NA
MZO,19,22,26.46,45.45,NA,0.59,39,19,NA
MZO,19,23,29.59,41.99,NA,0.59,38,18,NA
MZO,20,0,21.18,37.16,NA,0.58,35,17,NA
MZO,20,1,21.04,31.99,NA,0.56,35,21,NA
MZO,20,2,22.62,27.47,NA,0.54,36,20,NA
MZO,20,3,23.00,24.02,NA,0.5,34,18,NA
MZO,20,4,18.79,23.44,NA,0.44,34,18,NA
MZO,20,5,9.20,21.49,NA,0.4,35,18,NA
MZO,20,6,6.44,18.98,NA,0.37,35,19,NA
MZO,20,7,7.40,16.21,NA,0.38,34,22,NA
MZO,20,8,8.46,14.62,3.51,0.41,37,21,NA
MZO,20,9,11.97,13.48,3.63,0.45,37,23,NA
MZO,20,10,25.64,13.86,3.61,0.46,39,25,NA
MZO,20,11,33.94,15.23,3.59,0.48,36,23,NA
MZO,20,12,45.15,18.52,3.58,0.5,34,21,NA
MZO,20,13,49.40,23.55,3.57,0.51,32,21,NA
MZO,20,14,47.67,28.7,3.57,0.52,32,21,NA
MZO,20,15,55.60,34.73,3.59,0.51,32,19,NA
MZO,20,16,65.56,41.87,3.8,0.48,31,22,NA
MZO,20,17,63.75,48.34,4,0.46,35,23,NA
MZO,20,18,58.81,52.49,4.16,0.47,37,23,NA
MZO,20,19,44.96,53.86,4.24,0.51,39,23,NA
MZO,20,20,17.28,50.38,4.25,0.61,44,21,NA
MZO,20,21,25.43,47.38,4.28,0.65,54,24,NA
MZO,20,22,34.02,45.68,4.5,0.64,47,22,NA
MZO,20,23,25.69,41.94,5.31,0.63,48,22,NA
MZO,21,0,29.50,37.43,6.13,0.61,53,20,NA
MZO,21,1,27.10,32.85,6.27,0.6,49,23,NA
MZO,21,2,28.21,29.02,6.42,0.58,45,24,NA
MZO,21,3,28.23,26.93,6.54,0.53,41,24,NA
MZO,21,4,29.23,28.43,6.69,0.42,44,27,NA
MZO,21,5,31.11,29.14,6.87,0.39,44,30,NA
MZO,21,6,27.89,28.37,7.15,0.37,39,28,NA
MZO,21,7,20.89,27.77,7.47,0.37,37,28,NA
MZO,21,8,15.99,26.08,8.08,0.38,37,31,NA
MZO,21,9,30.37,26.49,8.24,0.39,37,36,NA
MZO,21,10,34.73,27.3,8.48,0.38,37,35,NA
MZO,21,11,37.11,28.41,9.14,0.38,37,34,NA
MZO,21,12,43.92,30.25,9.9,0.37,39,36,NA
MZO,21,13,52.33,32.9,10.31,0.37,40,36,NA
MZO,21,14,59.15,36.81,10.44,0.39,41,35,NA
MZO,21,15,58.38,41.5,10.53,0.41,40,34,NA
MZO,21,16,56.45,46.55,10.35,0.41,39,30,NA
MZO,21,17,55.95,49.75,10.29,0.42,38,26,NA
MZO,21,18,55.81,52.38,10.25,0.43,39,27,NA
MZO,21,19,47.74,53.71,10.18,0.47,41,27,NA
MZO,21,20,26.80,51.57,10.16,0.56,46,30,NA
MZO,21,21,34.04,49.29,10.13,0.58,61,32,NA
MZO,21,22,30.74,45.74,9.93,0.59,60,29,NA
MZO,21,23,25.79,41.66,9.52,0.59,59,27,NA
MZO,22,0,17.15,36.75,9.88,0.58,55,28,NA
MZO,22,1,16.55,31.83,10.19,0.57,50,29,NA
MZO,22,2,22.03,27.61,10.14,0.55,39,27,NA
MZO,22,3,23.68,24.6,10.13,0.51,32,25,NA
MZO,22,4,16.69,23.33,10.7,0.41,29,25,NA
MZO,22,5,12.64,20.66,11.36,0.37,30,26,NA
MZO,22,6,6.38,17.61,12.22,0.34,28,27,NA
MZO,22,7,6.45,15.2,12.81,0.32,27,29,NA
MZO,22,8,7.86,14.04,12.95,0.32,26,27,NA
MZO,22,9,7.75,12.94,15.06,0.33,31,30,NA
MZO,22,10,16.78,12.28,15.98,0.34,34,37,NA
MZO,22,11,23.00,12.19,16.2,0.35,34,34,NA
MZO,22,12,36.51,14.67,17.17,0.37,37,34,NA
MZO,22,13,57.54,20.28,18.67,0.39,45,37,NA
MZO,22,14,64.32,27.53,19.86,0.41,52,37,NA
MZO,22,15,65.60,34.92,21,0.45,55,NA,NA
MZO,22,16,64.80,42.04,21.5,0.47,49,NA,NA
MZO,22,17,59.70,48.53,21.51,0.47,38,39,NA
MZO,22,18,44.44,51.99,21.41,0.47,35,39,NA
MZO,22,19,47.26,55.02,21.38,0.47,31,NA,NA
MZO,22,20,18.34,52.75,21.36,0.56,37,NA,NA
MZO,22,21,21.14,48.2,21.35,0.58,42,21,NA
MZO,22,22,35.26,44.57,21.31,0.57,37,20,NA
MZO,22,23,29.57,40.06,21.31,0.53,30,17,NA
MZO,23,0,31.65,35.92,20.28,0.51,27,19,NA
MZO,23,1,30.10,32.22,20.77,0.49,26,21,NA
MZO,23,2,20.19,29.19,21.44,0.47,26,20,NA
MZO,23,3,22.67,26.11,21.68,0.46,26,22,NA
MZO,23,4,26.64,27.15,20.98,0.35,21,20,NA
MZO,23,5,11.82,25.99,20.46,0.3,21,17,NA
MZO,23,6,3.53,22.02,19.95,0.31,27,17,NA
MZO,23,7,8.12,19.34,19.83,0.32,33,23,NA
MZO,23,8,4.49,15.94,19.93,0.33,37,23,NA
MZO,23,9,8.28,13.22,19.67,0.36,41,27,NA
MZO,23,10,13.90,12.43,20.98,0.37,51,42,NA
MZO,23,11,30.96,13.47,20.73,0.39,50,69,NA
MZO,23,12,47.45,16.07,19.16,0.42,45,62,NA
MZO,23,13,64.40,22.64,17.34,0.45,44,46,NA
MZO,23,14,60.27,29.73,16.11,0.45,39,34,NA
MZO,23,15,59.93,36.21,15.38,0.45,35,29,NA
MZO,23,16,66.82,44,15.45,0.44,33,31,NA
MZO,23,17,62.14,50.73,15.7,0.43,34,27,NA
MZO,23,18,58.48,56.31,15.81,0.44,36,26,NA
MZO,23,19,40.71,57.52,15.89,0.47,36,21,NA
MZO,23,20,16.99,53.72,15.92,0.54,43,26,NA
MZO,23,21,15.66,47.62,15.94,0.58,46,30,NA
MZO,23,22,26.54,43.41,15.99,0.58,43,34,NA
MZO,23,23,26.01,39.17,15.76,0.59,45,28,NA
MZO,24,0,31.19,34.71,15.65,0.59,41,22,NA
MZO,24,1,19.27,29.36,14.78,0.59,40,20,NA
MZO,24,2,5.03,22.68,14.12,0.59,40,20,NA
MZO,24,3,19.27,20,13.83,0.55,39,21,NA
MZO,24,4,23.06,20.75,13.83,0.46,32,21,NA
MZO,24,5,19.15,21.19,13.53,0.4,31,21,NA
MZO,24,6,15.43,19.8,12.89,0.39,29,21,NA
MZO,24,7,6.69,17.39,12.12,0.42,32,21,NA
MZO,24,8,15.83,15.47,11.32,0.49,41,22,NA
MZO,24,9,8.16,14.08,9.47,0.56,69,22,NA
MZO,24,10,19.66,15.91,7.12,0.58,74,46,NA
MZO,24,11,39.69,18.46,6.53,0.61,55,38,NA
MZO,24,12,52.54,22.15,6.4,0.63,42,32,NA
MZO,24,13,66.25,28.03,6.33,0.64,43,26,NA
MZO,24,14,65.90,34.34,6.26,0.65,40,22,NA
MZO,24,15,67.19,41.9,5.73,0.62,37,22,NA
MZO,24,16,66.90,48.29,5.12,0.56,35,24,NA
MZO,24,17,68.54,55.84,4.74,0.5,35,21,NA
MZO,24,18,63.66,61.33,4.64,0.5,37,21,NA
MZO,24,19,47.46,62.31,4.59,0.52,44,21,NA
MZO,24,20,16.73,57.83,4.57,0.62,51,24,NA
MZO,24,21,27.11,52.94,4.62,0.66,63,24,NA
MZO,24,22,35.91,49.19,4.61,0.65,50,26,NA
MZO,24,23,26.62,44.12,4.78,0.73,37,19,NA
MZO,25,0,15.78,37.73,5.57,0.74,28,14,NA
MZO,25,1,12.26,30.69,5.84,0.73,27,19,NA
MZO,25,2,14.65,24.56,6.22,0.71,34,19,NA
MZO,25,3,22.21,21.41,6.55,0.65,32,20,NA
MZO,25,4,19.80,21.79,6.69,0.54,27,18,NA
MZO,25,5,22.75,21.25,6.75,0.49,29,15,NA
MZO,25,6,10.39,18.06,7.05,0.49,32,16,NA
MZO,25,7,3.29,15.14,7.47,0.43,36,20,NA
MZO,25,8,7.27,14.08,8.17,0.43,42,26,NA
MZO,25,9,14.01,14.29,9.51,0.44,42,26,NA
MZO,25,10,23.64,15.42,10.47,0.45,51,34,NA
MZO,25,11,44.83,18.25,11.66,0.45,51,32,NA
MZO,25,12,49.23,21.93,14.31,0.46,46,31,NA
MZO,25,13,55.69,26.04,15.19,0.47,51,30,NA
MZO,25,14,60.25,32.27,15.59,0.47,48,24,NA
MZO,25,15,62.76,39.71,15.68,0.45,35,22,NA
MZO,25,16,65.84,47.03,15.8,0.42,30,17,NA
MZO,25,17,69.43,53.96,16.03,0.41,25,16,NA
MZO,25,18,72.09,60.01,16.09,0.4,27,15,NA
MZO,25,19,58.10,61.67,16.1,0.44,30,13,NA
MZO,25,20,17.34,57.69,16.13,0.58,47,14,NA
MZO,25,21,30.62,54.55,16.33,0.6,62,20,NA
MZO,25,22,32.11,51.04,18.16,0.61,54,19,NA
MZO,25,23,31.45,47.12,18,0.62,41,21,NA
MZO,26,0,11.95,40.39,17.64,0.63,39,18,NA
MZO,26,1,15.23,33.61,17.68,0.63,51,20,NA
MZO,26,2,17.80,26.83,17.59,0.63,42,22,NA
MZO,26,3,13.84,21.29,18.39,0.59,40,18,NA
MZO,26,4,7.05,20.01,18.48,0.46,36,20,NA
MZO,26,5,5.76,16.9,18.67,0.43,36,20,NA
MZO,26,6,3.07,13.27,18.67,0.41,36,21,NA
MZO,26,7,4.74,9.93,18.57,0.43,36,24,NA
MZO,26,8,7.48,9.37,18.2,0.51,44,26,NA
MZO,26,9,11.50,8.91,16.86,0.55,62,29,NA
MZO,26,10,23.13,9.57,16.74,0.57,67,30,13.99
MZO,26,11,36.76,12.44,19.3,0.63,59,31,14.24
MZO,26,12,45.06,17.19,19.17,0.65,61,36,14.68
MZO,26,13,74.22,25.74,20.98,0.68,61,35,12.56
MZO,26,14,84.51,35.93,21.92,0.7,59,37,5.96
MZO,26,15,84.23,45.86,22.35,0.69,52,36,3.44
MZO,26,16,64.76,53.02,22.4,0.6,46,30,NA
MZO,26,17,64.24,59.61,22.25,0.56,45,22,5.4
MZO,26,18,52.57,63.29,22.18,0.55,42,23,6.91
MZO,26,19,39.48,63.63,22.17,0.52,41,22,14.39
MZO,26,20,18.13,60.27,22.17,0.59,47,17,30
MZO,26,21,35.45,55.42,21.96,0.57,56,19,4.8
MZO,26,22,29.48,48.54,20.16,0.57,52,21,5.58
MZO,26,23,23.57,40.96,20.44,0.58,49,18,10
MZO,27,0,31.99,36.87,20.07,0.58,46,22,2.68
MZO,27,1,28.87,32.44,19.78,0.58,44,18,4.88
MZO,27,2,33.68,30.08,19.45,0.57,42,18,2.94
MZO,27,3,34.14,29.42,18.33,0.54,37,20,NA
MZO,27,4,30.07,30.91,18.12,0.45,35,24,NA
MZO,27,5,26.28,29.76,17.91,0.44,33,22,3.06
MZO,27,6,21.35,28.75,17.64,0.42,33,24,2.76
MZO,27,7,13.30,27.46,17.35,0.43,34,22,10.24
MZO,27,8,11.97,24.96,17.02,0.45,38,23,11.17
MZO,27,9,19.38,23.77,16.92,0.47,37,25,6.19
MZO,27,10,32.15,23.58,16.03,0.49,36,25,3.4
MZO,27,11,35.55,23.76,12.3,0.51,36,22,4.13
MZO,27,12,41.00,25.12,9.8,0.53,35,22,NA
MZO,27,13,45.37,27.51,7.12,0.54,28,18,NA
MZO,27,14,50.15,31.11,5.8,0.55,29,18,NA
MZO,27,15,49.72,35.66,5.3,0.53,27,19,NA
MZO,27,16,51.94,40.66,5.15,0.5,25,16,NA
MZO,27,17,51.60,44.68,5.08,0.48,28,19,NA
MZO,27,18,49.15,46.81,5.06,0.48,36,22,6.61
MZO,27,19,43.72,47.83,5.07,0.49,49,21,6.98
MZO,27,20,34.13,46.97,5.04,0.5,54,20,7.88
MZO,27,21,32.35,45.34,5.01,0.51,51,19,4.57
MZO,27,22,32.62,43.15,4.96,0.51,48,15,2.29
MZO,27,23,29.96,40.68,4.52,0.51,43,14,2.3
MZO,28,0,26.43,37.49,4.43,0.5,35,13,2.08
MZO,28,1,30.75,34.89,4.37,0.49,29,13,NA
MZO,28,2,33.52,32.94,4.32,0.47,28,13,NA
MZO,28,3,29.41,31.15,4.28,0.44,26,14,NA
MZO,28,4,28.90,30.49,4.25,0.41,25,13,NA
MZO,28,5,26.55,29.77,4.21,0.39,25,15,NA
MZO,28,6,17.87,27.92,4.18,0.38,24,16,6.08
MZO,28,7,2.20,24.45,4.15,0.4,26,16,17.26
MZO,28,8,3.43,21.58,4.14,0.46,30,16,15.49
MZO,28,9,8.89,18.85,4.16,0.51,47,26,18.26
MZO,28,10,29.64,18.36,4.15,0.54,48,28,7.2
MZO,28,11,44.85,20.29,4.13,0.55,41,23,NA
MZO,28,12,45.71,22.39,4.11,0.56,35,19,NA
MZO,28,13,46.25,24.86,4.1,0.57,31,19,3.43
MZO,28,14,43.10,28.01,4.09,0.59,29,18,3.98
MZO,28,15,50.18,34.01,4.08,0.57,31,18,NA
MZO,28,16,54.95,40.45,4.08,0.51,26,18,NA
MZO,28,17,51.02,45.71,4.07,0.48,28,15,4.2
MZO,28,18,56.37,49.06,4.07,0.46,29,16,NA
MZO,28,19,56.76,50.54,4.06,0.46,31,18,3.01
MZO,28,20,45.59,50.53,4.05,0.48,34,17,6.7
MZO,28,21,10.17,46.02,4.07,0.62,41,18,32.81
MZO,28,22,29.19,44.28,4.07,0.64,55,20,8.11
MZO,28,23,24.12,41.02,4.07,0.66,52,21,8.65
MZO,29,0,17.18,36.3,4.07,0.68,48,21,11.57
MZO,29,1,12.48,31.48,4.12,0.7,50,22,13.93
MZO,29,2,13.75,26.15,4.16,0.72,49,22,13.24
MZO,29,3,19.36,21.48,4.39,0.72,47,22,7.76
MZO,29,4,39.56,20.73,4.66,0.76,43,22,NA
MZO,29,5,35.91,23.94,4.82,0.62,39,23,NA
MZO,29,6,21.15,22.94,5,0.63,41,25,5.77
MZO,29,7,11.70,21.39,5.11,0.63,45,27,11.24
MZO,29,8,20.28,21.77,5.2,0.63,45,28,7.18
MZO,29,9,31.39,24.14,5.65,0.61,48,32,NA
MZO,29,10,36.79,27.02,6.11,0.59,52,45,NA
MZO,29,11,44.64,30.18,6.56,0.59,51,49,NA
MZO,29,12,52.11,31.74,7.2,0.52,53,44,NA
MZO,29,13,58.19,34.53,8.13,0.55,52,39,NA
MZO,29,14,65.37,40.06,8.43,0.51,56,38,NA
MZO,29,15,68.75,47.19,8.95,0.5,49,34,NA
MZO,29,16,72.72,53.74,9.77,0.49,46,33,NA
MZO,29,17,68.21,58.35,9.97,0.49,45,32,NA
MZO,29,18,69.69,62.46,10.2,0.49,43,28,NA
MZO,29,19,65.58,65.08,10.25,0.5,43,30,4.2
MZO,29,20,49.02,64.69,10.44,0.54,46,26,NA
MZO,29,21,23.38,60.34,12.8,0.53,58,27,NA
MZO,29,22,14.20,53.95,15.32,0.52,82,44,NA
MZO,29,23,19.42,47.78,17.82,0.5,77,45,NA
MZO,30,0,8.78,39.79,20.35,0.48,74,46,NA
MZO,30,1,11.10,32.65,21.97,0.66,70,50,NA
MZO,30,2,19.80,26.41,22.74,0.68,56,41,NA
MZO,30,3,13.04,19.84,23.54,0.77,49,36,NA
MZO,30,4,18.78,16.06,24.09,0.86,43,37,NA
MZO,30,5,19.73,15.61,25.05,0.87,40,34,NA
MZO,30,6,13.67,15.54,26.1,0.87,41,38,NA
MZO,30,7,6.08,13.87,26.43,0.89,42,39,NA
MZO,30,8,8.81,13.88,27.09,0.9,47,36,NA
MZO,30,9,5.77,13.21,29.66,0.75,50,43,NA
MZO,30,10,18.25,13.02,30.79,0.78,50,48,NA
MZO,30,11,31.79,15.36,31.82,0.73,56,48,NA
MZO,30,12,53.27,19.67,31.78,0.64,57,48,NA
MZO,30,13,55.37,24.13,31.06,0.62,51,49,NA
MZO,30,14,64.15,30.44,30.91,0.63,45,48,NA
MZO,30,15,64.21,37.7,30.52,0.63,42,44,NA
MZO,30,16,64.77,44.7,29.81,0.63,41,37,NA
MZO,30,17,61.88,51.71,29.72,0.62,42,33,NA
MZO,30,18,63.76,57.4,29.56,0.55,40,36,NA
MZO,30,19,58.67,60.76,29.57,0.52,41,31,NA
MZO,30,20,30.42,57.9,29.42,0.54,42,29,NA
MZO,30,21,19.14,53.37,27.08,0.57,47,30,NA
MZO,30,22,24.19,48.38,24.58,0.59,52,27,NA
MZO,30,23,28.17,43.87,22.1,0.6,51,26,NA
MZO,31,0,27.54,39.22,19.58,0.59,47,21,NA
MZO,31,1,24.01,34.49,17.94,0.58,43,21,NA
MZO,31,2,21.71,29.23,17.14,0.58,40,19,NA
MZO,31,3,29.06,25.53,16.14,0.56,32,20,NA
MZO,31,4,26.87,25.09,15.33,0.5,27,17,NA
MZO,31,5,19.61,25.15,14.24,0.45,27,16,NA
MZO,31,6,14.10,23.88,13.05,0.41,28,19,NA
MZO,31,7,12.94,21.98,12.69,0.41,35,18,NA
MZO,31,8,23.55,21.48,12.03,0.45,43,19,NA
MZO,31,9,27.35,21.9,9.01,0.49,49,22,NA
MZO,31,10,31.76,23.16,7.43,0.51,49,28,NA
MZO,31,11,42.45,24.83,5.97,0.53,43,27,NA
MZO,31,12,44.76,27.07,5.4,0.56,39,24,NA
MZO,31,13,52.74,31.21,5.21,0.57,37,21,NA
MZO,31,14,61.22,37.1,5.5,0.6,34,21,NA
MZO,31,15,55.19,42.38,5.8,0.59,37,21,NA
MZO,31,16,61.05,47.06,5.85,0.56,41,44,NA
MZO,31,17,61.03,51.27,5.84,0.53,42,37,NA
MZO,31,18,60.87,54.91,6.07,0.52,43,45,NA
MZO,31,19,58.30,56.89,6.35,0.52,46,43,NA
MZO,31,20,59.01,58.68,6.47,0.51,49,35,NA
MZO,31,21,45.20,57.73,6.5,0.5,62,30,NA
MZO,31,22,26.94,53.45,7.46,0.58,55,28,NA
MZO,31,23,19.66,49.01,8.99,0.56,64,27,NA
