DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,PM2.5 Promedio ponderado  de 12 hrs.,NO2 Horario,
AGO,10,14,21.42,7.79,33.62,0.88,13,14,2.14,
AGO,10,15,19.49,9.68,34.68,0.91,22,12,4.69,
AGO,10,16,23.78,12.12,35.57,0.89,19,18,1.3,
AGO,10,17,22.57,14.48,36.94,0.87,13,15,2.67,
AGO,10,18,20.02,16.57,38.51,0.87,22,11,3.87,
AGO,10,19,19.14,18.49,36.48,0.88,56,8,5.43,
AGO,10,20,15.64,19.54,36.62,0.83,32,8,5.65,
AGO,10,21,18.49,20.07,37.95,0.80,23,9,4.18,
AGO,10,22,20.26,19.92,NA,0.74,23,9,2.44,
AGO,10,23,8.68,18.57,NA,0.75,21,9,5.34,
AGO,11,0,6.27,16.38,NA,0.74,17,15,4.72,
AGO,11,1,5.66,14.27,NA,0.72,19,17,3.44,
AGO,11,2,3.39,12.19,NA,0.70,13,11,8.68,
AGO,11,3,4.11,10.31,NA,0.67,12,8,10.66,
AGO,11,4,3.36,8.78,NA,0.64,12,6,5.76,
AGO,11,5,3.39,6.89,NA,0.64,9,7,10.3,
AGO,11,6,3.71,4.82,NA,0.65,12,9,9.54,
AGO,11,7,5.02,4.36,NA,0.63,24,17,10.12,
AGO,11,8,4.7,4.17,NA,0.66,33,26,9.1,
AGO,11,9,5.5,4.15,NA,0.75,29,36,5.57,
AGO,11,10,4.66,4.31,NA,0.78,21,21,1.2,
AGO,11,11,4.77,4.39,NA,0.84,24,14,2.62,
AGO,11,12,4.4,4.52,NA,0.88,18,15,NA,
AGO,11,13,12.51,5.66,NA,0.91,13,11,NA,
AGO,11,14,26.53,8.51,NA,0.91,13,29,2.27,
AGO,11,15,31.95,11.88,NA,0.93,17,23,2.11,
AGO,11,16,34.57,15.61,NA,0.91,19,26,NA,
AGO,11,17,31.12,18.81,43.33,0.84,18,20,2.06,
AGO,11,18,29.9,21.97,45.32,0.88,48,21,1.62,
AGO,11,19,25.95,24.62,44.71,0.83,66,18,1.35,
AGO,11,20,21.94,26.81,42.78,0.79,61,19,1.01,
AGO,11,21,16.55,27.31,42.07,0.80,43,16,3.88,
AGO,11,22,30.96,27.87,40.75,0.79,43,18,2.27,
AGO,11,23,27.62,27.33,39.52,0.74,32,17,4.42,
AGO,12,0,29.57,26.7,38.4,0.73,19,14,5.45,
AGO,12,1,29.8,26.54,37.63,0.72,15,12,4.85,
AGO,12,2,24.68,25.88,37.35,0.67,12,9,6.57,
AGO,12,3,11.2,24.04,37.55,0.67,11,9,17.44,
AGO,12,4,4.12,21.81,37.15,0.68,12,14,10.14,
AGO,12,5,7.46,20.68,37.06,0.63,9,11,4.58,
AGO,12,6,8.21,17.83,36.65,0.64,8,9,7,
AGO,12,7,11.56,15.82,33.92,0.65,6,5,4.87,
AGO,12,8,12.8,13.73,30,0.66,6,4,3.59,
AGO,12,9,16.13,12.02,26.69,0.69,8,6,1.83,
AGO,12,10,17.42,11.11,26.59,0.70,10,7,1.21,
AGO,12,11,18.2,11.99,26.43,0.74,19,11,2.61,
AGO,12,12,24.93,14.59,26.78,0.75,21,15,2.64,
AGO,12,13,35.5,18.09,26.1,0.76,24,18,3.12,
AGO,12,14,42.53,22.38,24.5,0.76,24,18,3.62,
AGO,12,15,44.98,26.56,22.94,0.76,22,19,3.75,
AGO,12,16,50.24,31.24,22.09,0.76,23,18,4.15,
