DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs.[ µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
OCT,1,0,0.035,0.046,NA,0.49,27,12,0.006
OCT,1,1,0.035,0.043,NA,0.48,NA,NA,NA
OCT,1,2,0.036,0.04,NA,0.45,26,13,0.009
OCT,1,3,0.034,0.039,NA,0.44,23,17,0.008
OCT,1,4,0.028,0.037,NA,0.43,22,17,0.012
OCT,1,5,0.02,0.033,NA,0.43,20,16,0.016
OCT,1,6,0.02,0.03,NA,0.44,19,12,0.018
OCT,1,7,0.012,0.028,NA,0.48,22,11,0.023
OCT,1,8,0.019,0.026,NA,0.51,25,12,0.019
OCT,1,9,0.034,0.025,NA,0.52,31,13,0.011
OCT,1,10,0.046,0.027,NA,0.53,30,13,0.008
OCT,1,11,0.052,0.029,NA,0.54,25,13,0.004
OCT,1,12,0.052,0.032,NA,0.54,20,11,0.004
OCT,1,13,0.058,0.037,NA,0.54,18,10,0.004
OCT,1,14,0.059,0.041,NA,0.53,20,10,0.006
OCT,1,15,0.056,0.047,NA,0.51,16,9,0.005
OCT,1,16,0.058,0.052,NA,0.48,16,8,0.005
OCT,1,17,0.055,0.054,NA,0.47,18,6,0.005
OCT,1,18,0.05,0.055,NA,0.47,24,7,0.004
OCT,1,19,0.045,0.054,NA,0.47,27,6,0.006
OCT,1,20,0.044,0.053,NA,0.47,24,5,0.006
OCT,1,21,0.046,0.051,NA,0.46,23,4,0.003
OCT,1,22,0.048,0.05,NA,0.45,16,3,0.003
OCT,1,23,0.047,0.049,NA,0.44,13,2,0.003
OCT,2,0,0.043,0.047,NA,0.44,10,4,NA
OCT,2,1,0.037,0.045,0.008,0.43,14,6,0.008
OCT,2,2,0.035,0.043,0.0069,0.43,17,8,NA
OCT,2,3,0.035,0.042,0.0077,0.43,16,10,0.008
OCT,2,4,0.038,0.041,0.0084,0.43,16,11,0.007
OCT,2,5,0.037,0.04,0.0095,0.44,13,11,0.009
OCT,2,6,0.039,0.039,0.0106,0.45,11,11,NA
OCT,2,7,0.035,0.037,0.0118,0.46,16,10,NA
OCT,2,8,0.032,0.036,0.0139,0.48,19,10,0.01
OCT,2,9,0.045,0.037,0.0154,0.49,20,NA,0.006
OCT,2,10,0.048,0.039,0.0155,0.5,20,NA,0.004
OCT,2,11,0.052,0.041,0.0157,0.51,20,NA,0.004
OCT,2,12,0.054,0.043,0.0162,0.51,22,14,0.005
OCT,2,13,0.055,0.045,0.0171,0.52,22,14,0.004
OCT,2,14,0.055,0.047,0.0177,0.52,26,13,0.004
OCT,2,15,0.054,0.05,0.0182,0.52,26,13,0.004
OCT,2,16,0.054,0.052,0.0184,0.51,25,16,0.003
OCT,2,17,0.052,0.053,0.0185,0.5,25,16,0.003
OCT,2,18,0.047,0.053,0.0185,0.51,25,15,0.004
OCT,2,19,0.044,0.052,0.0184,0.51,25,15,0.005
OCT,2,20,0.043,0.051,0.0184,0.5,25,14,0.004
OCT,2,21,0.042,0.049,0.0184,0.5,25,14,0.004
OCT,2,22,0.039,0.047,0.0186,0.5,23,13,NA
OCT,2,23,0.035,0.044,0.0186,0.49,23,13,0.006
OCT,3,0,0.036,0.042,0.0177,0.49,14,6,NA
OCT,3,1,0.035,0.04,0.0171,0.49,14,6,NA
OCT,3,2,0.032,0.038,0.017,0.48,10,6,0.006
OCT,3,3,0.026,0.036,0.0168,0.48,10,6,0.011
OCT,3,4,0.025,0.034,0.0152,0.48,11,7,0.009
OCT,3,5,0.024,0.032,0.014,0.49,11,7,0.01
OCT,3,6,0.017,0.029,0.0133,0.51,12,9,0.016
OCT,3,7,0.009,0.026,0.0122,0.58,12,9,0.022
OCT,3,8,0.014,0.023,0.0105,0.63,12,10,0.019
OCT,3,9,0.021,0.021,0.0099,0.67,12,10,0.016
OCT,3,10,0.041,0.022,0.0105,0.68,13,11,0.006
OCT,3,11,0.051,0.025,0.0111,0.69,13,11,0.005
OCT,3,12,0.057,0.029,0.0109,0.7,19,11,0.005
OCT,3,13,0.059,0.034,0.0107,0.7,19,11,0.006
OCT,3,14,0.061,0.039,0.0108,0.69,30,13,0.005
OCT,3,15,0.063,0.046,0.0108,0.63,30,13,0.005
OCT,3,16,0.064,0.052,0.0115,0.58,45,16,0.005
OCT,3,17,0.064,0.057,0.0119,0.55,45,16,0.005
OCT,3,18,0.059,0.06,0.0125,0.55,48,22,0.007
OCT,3,19,0.054,0.06,0.0127,0.56,48,22,0.007
OCT,3,20,0.041,0.058,0.0128,0.56,42,26,NA
OCT,3,21,0.04,0.056,0.0128,0.56,42,26,NA
OCT,3,22,0.041,0.053,0.0126,0.55,30,21,NA
OCT,3,23,0.041,0.05,0.0126,0.54,30,21,0.003
OCT,4,0,0.038,0.047,0.0127,0.54,16,8,NA
OCT,4,1,0.035,0.044,0.014,0.53,16,8,NA
OCT,4,2,0.038,0.041,0.0155,0.53,12,6,NA
