DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs.[ µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
OCT,4,3,0.038,0.039,0.0152,0.52,12,6,0.004
OCT,4,4,0.039,0.039,0.0152,0.51,14,7,NA
OCT,4,5,0.038,0.038,0.015,0.51,14,7,0.003
OCT,4,6,0.035,0.038,0.0146,0.51,13,10,NA
OCT,4,7,0.02,0.035,0.0145,0.54,13,10,0.014
OCT,4,8,0.026,0.033,0.0146,0.56,12,9,0.01
OCT,4,9,0.039,0.034,0.0151,0.57,12,9,0.005
OCT,4,10,0.045,0.035,0.015,0.57,11,10,0.003
OCT,4,11,0.047,0.036,0.014,0.58,11,10,0.003
OCT,4,12,0.048,0.037,0.0137,0.59,10,11,0.003
OCT,4,13,0.049,0.039,0.013,0.59,10,11,0.003
OCT,4,14,0.051,0.041,0.0128,0.6,15,10,0.004
OCT,4,15,0.049,0.044,0.0123,0.57,15,10,0.003
OCT,4,16,0.051,0.047,0.0115,0.55,15,10,0.003
OCT,4,17,0.055,0.049,0.0115,0.55,15,10,0.003
OCT,4,18,0.054,0.05,0.0134,0.55,16,14,0.003
OCT,4,19,0.052,0.051,0.0132,0.55,16,14,0.004
OCT,4,20,0.051,0.051,0.0132,0.54,17,15,0.004
OCT,4,21,0.053,0.052,0.0132,0.54,17,15,0.004
OCT,4,22,0.053,0.052,0.0132,0.54,16,15,NA
OCT,4,23,0.053,0.053,0.0132,0.53,16,15,0.003
OCT,5,0,0.052,0.053,0.013,0.53,23,14,0.002
OCT,5,1,0.05,0.052,0.0117,0.53,23,14,NA
OCT,5,2,0.046,0.051,0.011,0.53,20,15,NA
OCT,5,3,0.048,0.051,0.0105,0.52,20,15,0.002
OCT,5,4,0.045,0.05,0.0113,0.52,21,15,0.004
OCT,5,5,0.03,0.047,0.0119,0.52,21,15,0.01
OCT,5,6,0.017,0.042,0.0123,0.55,20,14,0.021
OCT,5,7,0.009,0.037,0.0127,0.61,20,14,0.029
OCT,5,8,0.016,0.032,0.0123,0.66,20,12,0.021
OCT,5,9,0.028,0.03,0.012,0.7,20,12,0.015
OCT,5,10,0.042,0.029,0.0116,0.72,24,15,0.008
OCT,5,11,0.054,0.03,0.0117,0.73,24,15,0.004
OCT,5,12,0.059,0.032,0.0116,0.73,33,20,0.004
OCT,5,13,0.062,0.036,0.0116,0.73,33,20,0.004
OCT,5,14,0.065,0.042,0.0116,0.71,45,24,0.004
OCT,5,15,0.065,0.049,0.0119,0.66,45,24,0.006
OCT,5,16,0.064,0.055,0.0126,0.63,56,33,0.008
OCT,5,17,0.061,0.059,0.0127,0.62,55,37,0.008
OCT,5,18,0.058,0.061,0.0102,0.61,52,35,0.005
OCT,5,19,0.052,0.061,0.0102,0.62,40,28,NA
OCT,5,20,0.049,0.059,0.0102,0.62,42,23,NA
OCT,5,21,0.05,0.058,0.0103,0.61,35,19,NA
OCT,5,22,0.051,0.056,0.0103,0.61,30,18,NA
OCT,5,23,0.049,0.054,0.0104,0.6,27,16,0.004
OCT,6,0,0.046,0.052,0.011,0.59,26,17,0.005
OCT,6,1,0.039,0.049,0.0126,0.57,49,18,NA
OCT,6,2,0.041,0.047,0.0129,0.57,45,23,NA
OCT,6,3,0.04,0.046,0.0135,0.56,42,23,0.007
OCT,6,4,0.041,0.045,0.0135,0.56,37,29,0.006
OCT,6,5,0.04,0.043,0.0141,0.56,31,21,NA
OCT,6,6,0.034,0.041,0.0139,0.57,25,18,NA
OCT,6,7,0.017,0.037,0.0137,0.62,22,15,0.026
OCT,6,8,0.021,0.034,0.0139,0.65,21,13,0.022
OCT,6,9,0.04,0.034,0.013,0.67,24,15,0.011
OCT,6,10,0.051,0.035,0.0124,0.67,24,15,0.006
OCT,6,11,0.051,0.037,0.0134,0.68,23,14,0.008
OCT,6,12,0.055,0.039,0.014,0.69,21,16,0.007
OCT,6,13,0.062,0.041,0.0149,0.7,21,16,0.006
OCT,6,14,0.065,0.045,0.0149,0.7,20,17,0.005
OCT,6,15,0.062,0.051,0.0146,0.66,27,16,0.004
OCT,6,16,0.065,0.056,0.014,0.64,36,17,NA
OCT,6,17,0.059,0.059,0.0138,0.63,38,19,0.006
OCT,6,18,0.054,0.059,0.0137,0.63,31,18,0.006
OCT,6,19,0.052,0.059,0.0137,0.62,29,18,0.006
OCT,6,20,0.053,0.059,0.0137,0.61,30,21,0.004
OCT,6,21,0.054,0.058,0.0137,0.61,38,20,NA
OCT,6,22,0.053,0.057,0.0147,0.6,42,23,NA
OCT,6,23,0.047,0.055,0.0158,0.59,40,23,NA
OCT,7,0,0.041,0.052,0.017,0.59,26,16,0.011
OCT,7,1,0.035,0.049,0.0193,0.59,24,17,NA
OCT,7,2,0.039,0.047,0.0206,0.6,31,22,NA
OCT,7,3,0.034,0.045,0.0208,0.6,30,25,NA
OCT,7,4,0.038,0.043,0.0213,0.6,27,23,NA
OCT,7,5,0.036,0.04,0.021,0.61,26,22,NA
OCT,7,6,0.02,0.036,0.0214,0.63,34,19,0.023
OCT,7,7,0.012,0.032,0.0219,0.67,44,22,0.03
OCT,7,8,0.018,0.029,0.023,0.7,58,28,0.026
OCT,7,9,0.032,0.029,0.0241,0.73,60,29,0.015
OCT,7,10,0.048,0.03,0.0248,0.74,53,29,0.008
OCT,7,11,0.055,0.032,0.0247,0.74,45,27,0.007
OCT,7,12,0.058,0.035,0.025,0.75,39,24,0.006
OCT,7,13,0.063,0.038,0.0242,0.75,33,20,0.005
OCT,7,14,0.063,0.043,0.0241,0.74,29,19,0.005
OCT,7,15,0.056,0.049,0.0241,0.71,24,14,0.005
OCT,7,16,0.053,0.054,0.024,0.67,21,11,0.005
OCT,7,17,0.053,0.056,0.0236,0.65,19,18,0.005
OCT,7,18,0.049,0.056,0.0236,0.65,20,15,0.007
OCT,7,19,0.042,0.055,0.0236,0.65,25,13,0.011
OCT,7,20,0.04,0.052,0.0235,0.65,25,12,0.009
OCT,7,21,0.047,0.05,0.0235,0.65,23,11,0.006
OCT,7,22,0.05,0.049,0.0226,0.64,20,10,NA
OCT,7,23,0.046,0.048,0.0219,0.63,19,11,0.005
OCT,8,0,0.045,0.047,0.0211,0.62,20,10,NA
OCT,8,1,0.042,0.045,0.0193,0.61,20,10,0.007
OCT,8,2,0.041,0.044,0.0182,0.6,22,15,NA
OCT,8,3,0.04,0.044,0.0195,0.59,21,14,NA
OCT,8,4,0.036,0.044,0.0194,0.58,19,17,0.008
OCT,8,5,0.036,0.042,0.0198,0.59,17,14,0.008
OCT,8,6,0.024,0.039,0.0202,0.61,20,15,0.017
OCT,8,7,0.018,0.035,0.0201,0.65,29,14,0.019
OCT,8,8,0.024,0.033,0.0192,0.68,29,17,0.016
OCT,8,9,0.026,0.031,0.0193,0.72,34,19,0.02
OCT,8,10,0.045,0.031,0.0194,0.76,42,23,0.019
OCT,8,11,0.058,0.033,0.0205,0.8,42,25,0.019
OCT,8,12,0.063,0.037,0.0212,0.82,46,28,0.011
OCT,8,13,0.057,0.039,0.0216,0.83,40,25,0.01
OCT,8,14,0.047,0.042,0.0218,0.83,31,23,0.007
OCT,8,15,0.054,0.047,0.022,0.81,23,17,0.005
OCT,8,16,0.061,0.051,0.0225,0.79,19,13,0.006
OCT,8,17,0.059,0.056,0.0227,0.77,24,12,0.009
OCT,8,18,0.055,0.057,0.0229,0.76,32,12,0.015
OCT,8,19,0.033,0.054,0.023,0.81,42,16,0.033
OCT,8,20,0.02,0.048,0.0231,0.89,54,19,0.037
OCT,8,21,0.019,0.043,0.0232,0.93,55,19,0.032
OCT,8,22,0.019,0.04,0.0234,0.97,56,20,0.03
OCT,8,23,0.017,0.035,0.0234,0.98,47,20,0.026
OCT,9,0,0.025,0.031,0.0234,0.98,39,16,0.014
OCT,9,1,0.016,0.026,0.0218,0.97,39,14,0.018
OCT,9,2,0.013,0.02,0.0207,0.95,NA,13,0.021
OCT,9,3,0.018,0.018,0.0191,0.88,NA,17,0.018
OCT,9,4,0.018,0.018,0.0182,0.8,NA,18,0.021
OCT,9,5,0.014,0.018,0.017,0.76,NA,22,0.026
OCT,9,6,0.011,0.017,0.0161,0.74,NA,19,0.024
OCT,9,7,0.007,0.015,0.0154,0.79,NA,18,0.027
OCT,9,8,0.008,0.013,0.0149,0.97,NA,21,0.033
OCT,9,9,0.015,0.013,0.0136,1.07,NA,24,0.032
OCT,9,10,0.034,0.016,0.0129,1.1,43,27,0.018
OCT,9,11,0.054,0.02,0.0107,1.13,39,29,0.017
OCT,9,12,0.071,0.027,0.0092,1.15,30,27,0.013
OCT,9,13,0.071,0.034,0.0086,1.15,37,22,0.012
OCT,9,14,0.066,0.041,0.0081,1.15,52,19,0.011
OCT,9,15,0.074,0.049,0.008,1.09,45,14,0.01
OCT,9,16,0.073,0.057,0.0076,0.93,46,16,0.01
OCT,9,17,0.067,0.064,0.0075,0.85,60,15,0.012
OCT,9,18,0.06,0.067,0.0073,0.84,60,12,0.017
OCT,9,19,0.026,0.064,0.0073,0.91,65,12,0.038
OCT,9,20,0.015,0.056,0.0074,1.05,61,NA,0.05
OCT,9,21,0.023,0.05,0.0075,1.1,NA,NA,0.038
OCT,9,22,0.014,0.044,0.0075,1.14,NA,17,0.039
OCT,9,23,0.04,0.04,0.007,1.15,NA,21,0.015
OCT,10,0,0.024,0.034,0.0063,1.16,55,19,0.024
OCT,10,1,0.027,0.029,0.0059,1.16,50,18,0.015
OCT,10,2,0.015,0.023,0.0055,1.14,44,16,0.024
OCT,10,3,0.023,0.023,0.0057,1.05,47,20,0.014
OCT,10,4,0.021,0.023,0.0058,0.89,46,26,0.017
OCT,10,5,0.017,0.023,0.0058,0.83,41,26,0.019
OCT,10,6,0.007,0.022,0.0059,0.81,43,23,0.026
OCT,10,7,0.007,0.018,0.0059,0.88,52,26,0.026
OCT,10,8,0.009,0.016,0.0066,0.96,63,28,0.028
OCT,10,9,0.016,0.014,0.0071,1,85,32,0.025
OCT,10,10,0.034,0.017,0.0073,1.03,77,34,0.02
OCT,10,11,0.05,0.02,0.0073,1.06,70,36,0.015
OCT,10,12,0.065,0.026,0.0072,1.08,55,32,0.011
OCT,10,13,0.073,0.033,0.0074,1.1,46,25,0.013
OCT,10,14,0.08,0.042,0.0079,1.09,45,26,0.012
OCT,10,15,0.076,0.05,0.0081,1.03,43,25,0.01
OCT,10,16,0.067,0.058,0.0084,0.95,42,26,0.01
OCT,10,17,0.075,0.065,0.0088,0.91,44,27,0.013
OCT,10,18,0.076,0.07,0.009,0.88,48,29,0.013
OCT,10,19,0.061,0.072,0.009,0.85,53,28,0.009
OCT,10,20,0.058,0.071,0.0088,0.83,41,23,0.01
OCT,10,21,0.051,0.068,0.0087,0.82,38,19,0.013
OCT,10,22,0.046,0.064,0.0085,0.82,42,17,0.013
OCT,10,23,0.041,0.059,0.0084,0.83,40,18,0.015
OCT,11,0,0.043,0.056,0.0083,0.82,37,20,0.01
OCT,11,1,0.025,0.05,0.0084,0.82,35,19,0.02
OCT,11,2,0.024,0.044,0.0086,0.81,39,17,0.021
OCT,11,3,0.023,0.039,0.0083,0.81,43,20,0.019
OCT,11,4,0.015,0.033,0.0083,0.82,43,20,0.025
OCT,11,5,0.021,0.03,0.0084,0.8,NA,22,0.016
OCT,11,6,0.015,0.026,0.0086,0.8,NA,22,0.018
OCT,11,7,0.012,0.022,0.009,0.8,37,20,0.019
OCT,11,8,0.013,0.019,0.0083,0.83,37,18,0.019
OCT,11,9,0.022,0.018,0.0079,0.87,42,18,0.019
OCT,11,10,0.034,0.02,0.0087,0.89,53,30,0.015
OCT,11,11,0.049,0.023,0.009,0.89,45,31,0.012
OCT,11,12,0.062,0.029,0.0093,0.9,36,26,0.011
OCT,11,13,0.067,0.034,0.0095,0.9,31,21,0.012
OCT,11,14,0.067,0.041,0.0098,0.88,30,19,0.009
OCT,11,15,0.065,0.047,0.0096,0.86,24,16,0.008
OCT,11,16,0.07,0.055,0.0096,0.82,22,14,0.008
OCT,11,17,0.065,0.06,0.0095,0.77,22,14,0.009
OCT,11,18,0.059,0.063,0.0094,0.76,27,12,0.015
OCT,11,19,0.039,0.062,0.0095,0.83,38,13,0.031
OCT,11,20,0.027,0.057,0.0097,0.89,58,13,0.032
OCT,11,21,0.034,0.053,0.0098,0.89,48,14,0.014
OCT,11,22,0.04,0.05,0.01,0.9,53,10,0.013
OCT,11,23,0.038,0.046,0.01,0.91,47,15,0.012
OCT,12,0,0.033,0.042,0.01,0.92,39,16,0.012
OCT,12,1,0.029,0.037,0.0101,0.91,31,17,0.011
OCT,12,2,0.024,0.033,0.0103,0.89,30,12,0.013
OCT,12,3,0.022,0.031,0.0109,0.81,32,10,0.013
OCT,12,4,0.02,0.03,0.0107,0.73,31,10,0.015
OCT,12,5,0.02,0.028,0.0112,0.72,27,12,0.015
OCT,12,6,0.013,0.025,0.0114,0.72,30,12,0.021
OCT,12,7,0.009,0.021,0.0112,0.76,33,10,0.024
OCT,12,8,0.01,0.018,0.0114,0.82,40,11,0.024
OCT,12,9,0.018,0.017,0.0115,0.86,41,16,0.019
OCT,12,10,0.029,0.018,0.0106,0.89,43,15,0.014
OCT,12,11,0.042,0.02,0.0103,1.04,43,17,0.016
OCT,12,12,0.053,0.024,0.0101,1.07,40,21,0.012
OCT,12,13,0.069,0.03,0.0103,1.09,37,20,0.01
OCT,12,14,0.073,0.038,0.0108,1.1,39,23,0.015
OCT,12,15,0.061,0.044,0.0109,1.05,36,29,0.009
OCT,12,16,0.06,0.051,0.0108,1,32,22,0.01
OCT,12,17,0.049,0.055,0.0105,0.98,50,21,0.011
OCT,12,18,0.032,0.055,0.0103,0.97,74,18,0.016
OCT,12,19,0.032,0.054,0.0101,0.85,56,16,0.011
OCT,12,20,0.032,0.051,0.0103,0.82,45,12,0.009
OCT,12,21,0.043,0.048,0.0103,0.8,46,12,0.01
OCT,12,22,0.046,0.044,0.0101,0.77,35,8,0.006
OCT,12,23,0.04,0.042,0.01,0.76,21,6,0.007
OCT,13,0,0.029,0.038,0.0104,0.76,21,5,0.013
OCT,13,1,0.024,0.035,0.0111,0.75,20,12,0.015
OCT,13,2,0.024,0.034,0.011,0.73,20,15,0.013
OCT,13,3,0.017,0.032,0.0112,0.72,27,15,0.016
OCT,13,4,0.016,0.03,0.0118,0.72,27,21,0.017
OCT,13,5,0.016,0.026,0.0116,0.72,21,17,0.015
OCT,13,6,0.011,0.022,0.0117,0.74,21,16,0.017
OCT,13,7,0.011,0.018,0.0132,0.76,25,15,0.02
OCT,13,8,0.01,0.016,0.0134,0.8,32,26,0.02
OCT,13,9,0.015,0.015,0.0135,0.83,27,23,0.015
OCT,13,10,0.027,0.015,0.0138,0.84,30,23,0.01
OCT,13,11,0.041,0.018,0.014,0.84,27,20,0.008
OCT,13,12,0.05,0.022,0.0144,0.85,26,15,0.009
OCT,13,13,0.056,0.027,0.0141,0.86,23,18,0.009
OCT,13,14,0.055,0.033,0.0132,0.85,23,19,0.008
OCT,13,15,0.055,0.039,0.013,0.84,21,14,0.007
OCT,13,16,0.055,0.044,0.0129,0.8,20,16,0.007
OCT,13,17,0.052,0.049,0.0129,0.77,19,14,0.007
OCT,13,18,0.048,0.051,0.013,0.76,22,11,0.007
OCT,13,19,0.041,0.051,0.013,0.75,25,9,0.009
OCT,13,20,0.038,0.05,0.0127,0.74,23,8,0.007
OCT,13,21,0.037,0.048,0.0126,0.73,22,6,0.006
OCT,13,22,0.036,0.045,0.0126,0.72,21,6,0.005
OCT,13,23,0.029,0.042,0.0134,0.71,19,8,0.009
OCT,14,0,0.028,0.039,0.0132,0.7,21,10,0.01
OCT,14,1,0.03,0.036,0.0123,0.69,13,8,0.007
OCT,14,2,0.03,0.034,0.012,0.69,12,7,0.007
OCT,14,3,0.03,0.033,0.0109,0.68,10,7,0.006
OCT,14,4,0.031,0.032,0.0101,0.67,11,6,0.005
OCT,14,5,0.017,0.029,0.01,0.67,14,5,0.012
OCT,14,6,0.014,0.026,0.0105,0.69,18,11,0.013
OCT,14,7,0.011,0.024,0.01,0.71,20,12,0.016
OCT,14,8,0.014,0.022,0.0102,0.73,22,17,0.015
OCT,14,9,0.018,0.021,0.01,0.76,22,17,0.015
OCT,14,10,0.027,0.02,0.0094,0.79,25,14,0.01
OCT,14,11,0.036,0.021,0.0091,0.8,26,10,0.007
OCT,14,12,0.042,0.023,0.0091,0.82,24,9,0.009
OCT,14,13,0.046,0.026,0.009,0.83,21,11,0.008
OCT,14,14,0.049,0.03,0.0092,0.83,26,13,0.007
OCT,14,15,0.048,0.035,0.0094,0.83,26,13,0.009
OCT,14,16,0.048,0.039,0.0095,0.83,NA,NA,0.007
OCT,14,17,0.043,0.042,0.0095,0.83,45,NA,0.01
OCT,14,18,0.043,0.044,0.0095,0.84,NA,5,0.01
OCT,14,19,0.029,0.044,0.0095,0.9,NA,3,0.025
OCT,14,20,0.021,0.041,0.0095,0.95,49,6,0.027
OCT,14,21,0.03,0.039,0.0095,0.95,60,7,0.009
OCT,14,22,0.028,0.036,0.0103,0.95,60,7,0.008
OCT,14,23,0.024,0.033,0.0112,0.93,33,9,0.01
OCT,15,0,0.023,0.03,0.0123,0.92,28,10,0.01
OCT,15,1,0.021,0.027,0.0127,0.89,25,10,0.01
OCT,15,2,0.02,0.024,0.0131,0.86,25,9,0.009
OCT,15,3,0.019,0.023,0.0145,0.79,95,8,0.011
OCT,15,4,0.016,0.023,0.0147,0.73,NA,12,0.011
OCT,15,5,0.015,0.021,0.0143,0.73,NA,7,0.014
OCT,15,6,0.011,0.018,0.0135,0.74,NA,7,0.019
OCT,15,7,0.008,0.016,0.0125,0.77,NA,11,0.019
OCT,15,8,0.011,0.015,0.0128,0.81,NA,13,0.015
OCT,15,9,0.016,0.014,0.0138,0.84,NA,10,0.015
OCT,15,10,0.024,0.015,0.0164,0.87,NA,14,0.014
OCT,15,11,0.032,0.017,0.0165,0.9,NA,23,0.012
OCT,15,12,0.041,0.02,0.0166,0.91,NA,17,0.009
OCT,15,13,0.045,0.023,0.0167,0.92,22,13,0.009
OCT,15,14,0.046,0.028,0.0169,0.92,NA,13,0.009
OCT,15,15,0.052,0.033,0.0164,0.89,NA,12,0.008
OCT,15,16,0.054,0.039,0.0166,0.87,NA,11,0.008
OCT,15,17,0.05,0.043,0.0166,0.84,NA,12,0.006
OCT,15,18,0.047,0.046,0.0166,0.82,NA,10,0.007
OCT,15,19,0.041,0.047,0.0167,0.79,NA,9,0.011
OCT,15,20,0.038,0.046,0.0167,0.78,NA,9,0.009
OCT,15,21,0.035,0.045,0.0166,0.77,NA,9,0.008
OCT,15,22,0.034,0.044,0.0164,0.75,NA,8,0.009
OCT,15,23,0.028,0.041,0.0161,0.74,NA,7,0.013
OCT,16,0,0.029,0.038,0.0163,0.72,NA,7,0.012
OCT,16,1,0.031,0.035,0.0168,0.72,NA,12,0.011
OCT,16,2,0.035,0.034,0.0172,0.71,NA,10,0.008
OCT,16,3,0.034,0.033,0.0174,0.7,NA,9,0.008
OCT,16,4,0.03,0.032,0.0191,0.69,NA,12,0.01
OCT,16,5,0.02,0.03,0.0196,0.69,NA,15,0.018
OCT,16,6,0.017,0.028,0.0196,0.71,NA,9,0.02
OCT,16,7,0.01,0.026,0.0198,0.76,NA,7,0.025
OCT,16,8,0.025,0.025,0.0194,0.78,NA,12,0.012
OCT,16,9,0.032,0.025,0.019,0.79,NA,11,0.009
OCT,16,10,0.044,0.027,0.0167,0.8,NA,15,0.005
OCT,16,11,0.049,0.028,0.0162,0.81,NA,13,0.006
OCT,16,12,0.05,0.031,0.0158,0.82,NA,11,0.006
OCT,16,13,0.046,0.034,0.0155,0.82,NA,12,0.005
OCT,16,14,0.045,0.038,0.0149,0.81,NA,11,0.006
OCT,16,15,0.044,0.042,0.0148,0.77,NA,10,0.005
OCT,16,16,0.042,0.044,0.0145,0.76,NA,10,0.005
OCT,16,17,0.043,0.045,0.0144,0.76,NA,9,0.005
OCT,16,18,0.041,0.045,0.0144,0.76,NA,11,0.006
OCT,16,19,0.036,0.043,0.0143,0.76,NA,8,0.007
OCT,16,20,0.032,0.041,0.0143,0.76,NA,7,0.006
OCT,16,21,0.03,0.039,0.0143,0.76,NA,4,0.006
OCT,16,22,0.03,0.037,0.0138,0.75,NA,4,0.006
OCT,16,23,0.031,0.036,0.0125,0.75,NA,4,0.005
OCT,17,0,0.027,0.034,0.011,0.74,NA,4,0.007
OCT,17,1,0.029,0.032,0.0101,0.73,NA,4,0.006
OCT,17,2,0.034,0.031,0.0093,0.72,NA,4,0.004
OCT,17,3,0.032,0.031,0.0077,0.72,NA,4,0.006
OCT,17,4,0.027,0.03,0.006,0.71,NA,4,0.008
OCT,17,5,0.029,0.03,0.0055,0.7,NA,5,0.007
OCT,17,6,0.024,0.029,0.0057,0.71,NA,5,0.011
OCT,17,7,0.021,0.028,0.0063,0.72,NA,5,0.01
OCT,17,8,0.017,0.027,0.006,0.75,NA,6,0.016
OCT,17,9,0.03,0.027,0.0056,0.76,NA,7,0.008
OCT,17,10,0.041,0.028,0.0055,0.77,NA,9,0.005
OCT,17,11,0.046,0.029,0.0055,0.78,NA,9,0.006
OCT,17,12,0.049,0.032,0.0065,0.79,NA,8,0.009
OCT,17,13,0.054,0.035,0.0074,0.81,NA,14,0.009
OCT,17,14,0.056,0.039,0.0078,0.82,NA,15,0.01
OCT,17,15,0.055,0.043,0.0078,0.83,NA,12,0.009
OCT,17,16,0.053,0.048,0.0078,0.81,NA,10,0.006
OCT,17,17,0.049,0.05,0.0078,0.81,NA,7,0.007
OCT,17,18,0.051,0.052,0.0077,0.8,NA,6,0.006
OCT,17,19,0.042,0.051,0.0077,0.82,NA,5,0.013
OCT,17,20,0.034,0.049,0.0078,0.83,NA,5,0.017
OCT,17,21,0.036,0.047,0.0078,0.83,NA,6,0.008
OCT,17,22,0.028,0.043,0.0087,0.82,NA,4,0.011
OCT,17,23,0.024,0.04,0.0099,0.81,NA,11,0.01
OCT,18,0,0.026,0.036,0.0104,0.81,NA,10,0.01
OCT,18,1,0.024,0.033,0.0116,0.81,NA,10,0.01
