DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_CRUZ ROJA 2020,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),PM2.5 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,16,1,0.0268,0.0296,NA,NA,12,7,NA
SEP,16,2,0.0247,0.0278,NA,NA,13,8,0.0055
SEP,16,3,0.0223,0.0267,NA,NA,15,13,NA
SEP,16,4,0.023,0.0266,NA,NA,16,16,NA
SEP,16,5,0.0252,0.0262,NA,NA,12,15,NA
SEP,16,6,0.0203,0.0256,NA,NA,15,15,NA
SEP,16,7,0.0111,0.0231,NA,NA,19,15,0.0125
SEP,16,8,0.0124,0.0207,NA,NA,25,16,0.0129
SEP,16,9,0.0174,0.0195,NA,NA,33,25,0.011
SEP,16,10,0.029,0.0201,NA,NA,29,24,0.0058
SEP,16,11,0.0336,0.0215,NA,NA,22,21,0.0046
SEP,16,12,0.0363,0.0232,NA,NA,19,17,0.0046
SEP,16,13,0.038,0.0248,NA,NA,14,15,0.0038
SEP,16,14,0.0381,0.027,NA,NA,10,12,0.0037
SEP,16,15,0.0383,0.0304,NA,NA,9,9,0.0059
SEP,16,16,0.0379,0.0336,NA,NA,11,7,0.0049
SEP,16,17,0.0345,0.0357,NA,NA,10,7,0.006
SEP,16,18,0.0311,0.036,NA,NA,10,9,0.007
SEP,16,19,0.0242,0.0348,NA,NA,11,10,0.0095
SEP,16,20,0.0189,0.0326,NA,NA,11,10,0.0125
SEP,16,21,0.0225,0.0307,NA,NA,12,9,0.0081
SEP,16,22,0.0277,0.0294,NA,NA,14,9,0.0067
SEP,16,23,0.0276,0.0281,NA,NA,11,11,0.0052
SEP,17,0,0.0296,0.027,NA,NA,9,12,0.0057
SEP,17,1,0.0285,0.0263,NA,NA,8,9,0.005
SEP,17,2,0.0276,0.0258,NA,NA,9,7,0.0059
SEP,17,3,0.0225,0.0256,NA,NA,10,6,0.0059
SEP,17,4,0.0154,0.0252,NA,NA,14,10,NA
SEP,17,5,0.0099,0.0236,NA,NA,14,9,0.0143
SEP,17,6,0.008,0.0211,NA,NA,16,12,0.0156
SEP,17,7,0.0075,0.0186,NA,NA,18,13,0.0165
SEP,17,8,0.009,0.016,NA,NA,21,13,0.0127
SEP,17,9,0.0165,0.0146,NA,NA,23,15,0.01
SEP,17,10,0.0278,0.0146,NA,NA,23,20,0.0062
SEP,17,11,0.0329,0.0159,NA,NA,19,17,0.0041
SEP,17,12,0.0348,0.0183,NA,NA,16,14,0.006
SEP,17,13,0.0369,0.0217,NA,NA,14,15,0.0071
SEP,17,14,0.0405,0.0257,NA,NA,14,14,0.006
SEP,17,15,0.0418,0.03,NA,NA,14,15,0.0046
SEP,17,16,0.0406,0.034,NA,0.509,15,15,0.005
SEP,17,17,0.0379,0.0367,NA,0.476,15,14,0.0055
SEP,17,18,0.0348,0.0375,NA,0.453,13,12,0.0068
SEP,17,19,0.0368,0.038,NA,0.409,15,8,0.006
SEP,17,20,0.0309,0.0375,NA,0.406,17,8,NA
SEP,17,21,0.0232,0.0358,NA,0.37,17,11,0.0124
SEP,17,22,0.023,0.0336,NA,0.319,15,11,NA
SEP,17,23,0.019,0.0308,NA,0.272,16,11,0.0087
SEP,18,0,0.0212,0.0283,NA,0.266,17,NA,NA
SEP,18,1,0.0192,0.026,NA,0.256,16,NA,NA
SEP,18,2,0.0211,0.0243,NA,0.243,15,NA,NA
SEP,18,3,0.0234,0.0226,NA,0.234,12,NA,0.0062
SEP,18,4,0.0267,0.0221,0.022,0.231,10,NA,NA
SEP,18,5,0.027,0.0226,0.0214,0.207,8,NA,NA
SEP,18,6,0.0224,0.0225,0.0225,0.2,10,NA,0.0079
SEP,18,7,0.0222,0.0229,0.0287,0.202,13,NA,0.0094
SEP,18,8,0.0252,0.0234,0.0288,0.209,11,NA,0.007
SEP,18,9,0.0294,0.0247,0.0322,0.215,9,NA,0.0051
SEP,18,10,0.0307,0.0258,0.0332,0.227,14,NA,0.0054
SEP,18,11,0.0355,0.0274,0.0345,0.234,11,NA,0.0038
SEP,18,12,0.0376,0.0287,0.0355,0.237,12,NA,0.0046
SEP,18,13,0.0431,0.0307,0.0365,0.247,12,NA,0.004
SEP,18,14,0.0445,0.0335,0.0357,0.258,11,NA,0.0042
SEP,18,15,0.0467,0.0366,0.0371,0.258,13,5,0.0039
SEP,18,16,0.0472,0.0393,0.0385,0.253,14,5,0.0034
SEP,18,17,0.045,0.0413,0.0385,0.251,19,6,0.0036
SEP,18,18,0.0447,0.043,0.0385,0.241,22,9,0.0043
SEP,18,19,0.0406,0.0437,0.0385,0.243,19,10,NA
SEP,18,20,0.036,0.0435,0.0417,0.258,18,11,NA
SEP,18,21,0.0345,0.0424,0.0564,0.26,24,14,0.0075
SEP,18,22,0.0303,0.0406,0.0561,0.264,22,12,NA
SEP,18,23,0.0299,0.0385,0.0612,0.264,20,10,NA
SEP,19,0,0.0297,0.0363,0.0645,0.267,16,10,NA
SEP,19,1,0.0279,0.0342,0.065,0.264,13,9,NA
SEP,19,2,0.0316,0.0326,0.0692,0.267,10,7,NA
SEP,19,3,0.0331,0.0316,0.0696,0.27,11,9,NA
SEP,19,4,0.0342,0.0314,0.0736,0.252,12,11,NA
SEP,19,5,0.0335,0.0313,0.0805,0.245,9,10,NA
SEP,19,6,0.0302,0.0313,0.0793,0.234,7,7,NA
SEP,19,7,0.0285,0.0311,0.0728,0.234,7,8,0.0073
SEP,19,8,0.0257,0.0306,0.0731,0.242,12,10,0.0078
SEP,19,9,0.0313,0.031,0.069,0.248,11,12,0.0055
SEP,19,10,0.0329,0.0312,0.0686,0.256,10,11,0.007
SEP,19,11,0.0351,0.0314,0.068,0.258,18,14,0.0071
SEP,19,12,0.0403,0.0322,0.0674,0.266,20,16,0.0047
SEP,19,13,0.0413,0.0332,0.0666,0.273,14,10,0.0045
SEP,19,14,0.0412,0.0346,0.07,0.28,14,7,NA
SEP,19,15,0.043,0.0364,0.07,0.285,12,6,0.0037
SEP,19,16,0.0429,0.0385,0.07,0.284,11,6,0.0038
SEP,19,17,0.043,0.04,0.07,0.285,11,7,0.0034
SEP,19,18,0.0409,0.041,0.07,0.28,12,8,0.0031
SEP,19,19,0.0384,0.0414,0.07,0.275,14,9,0.0032
SEP,19,20,0.0359,0.0408,NA,0.272,13,10,NA
SEP,19,21,0.0352,0.0401,NA,0.274,13,8,NA
SEP,19,22,0.0313,0.0388,NA,0.274,16,6,NA
SEP,19,23,0.03,0.0372,NA,0.274,16,8,NA
SEP,20,0,0.0311,0.0357,NA,0.269,17,9,NA
SEP,20,1,0.03,0.0341,NA,0.27,21,11,NA
SEP,20,2,0.0283,0.0325,NA,0.267,18,12,NA
SEP,20,3,0.0296,0.0314,NA,0.263,17,11,0.0064
SEP,20,4,0.0312,0.0308,NA,0.255,15,11,NA
SEP,20,5,0.0326,0.0305,NA,0.245,15,10,NA
SEP,20,6,0.026,0.0298,NA,0.239,15,13,NA
SEP,20,7,0.0196,0.0285,NA,0.242,16,12,0.0095
SEP,20,8,0.0251,0.0278,NA,0.248,16,12,0.0069
SEP,20,9,0.0339,0.0283,NA,0.249,14,11,0.0051
SEP,20,10,0.0409,0.0299,NA,0.249,11,11,0.0038
SEP,20,11,0.0437,0.0316,NA,0.252,13,11,NA
SEP,20,12,0.0468,0.0336,NA,0.259,12,11,NA
SEP,20,13,0.0453,0.0352,NA,0.267,15,11,0.0038
SEP,20,14,0.0454,0.0376,NA,0.281,12,11,0.0046
SEP,20,15,0.0444,0.0407,NA,0.284,12,10,0.0047
SEP,20,16,0.045,0.0432,NA,0.284,10,10,0.0046
SEP,20,17,0.0469,0.0448,NA,0.287,11,10,0.0036
SEP,20,18,0.0438,0.0452,NA,0.294,16,10,0.0044
SEP,20,19,0.0401,0.0447,NA,0.301,19,9,NA
SEP,20,20,0.0373,0.0435,NA,0.31,19,10,0.0068
SEP,20,21,0.0396,0.0428,NA,0.307,18,10,NA
SEP,20,22,0.0388,0.042,NA,0.295,14,9,NA
SEP,20,23,0.0362,0.041,NA,0.287,13,9,0.0053
SEP,21,0,0.0306,0.0392,NA,0.29,18,10,NA
SEP,21,1,0.0255,0.0365,NA,0.293,19,13,NA
SEP,21,2,0.0264,0.0343,NA,0.295,19,12,0.0084
SEP,21,3,0.025,0.0324,NA,0.291,18,12,0.0078
SEP,21,4,0.0231,0.0307,NA,0.284,16,14,0.0063
SEP,21,5,0.0233,0.0286,NA,0.286,14,15,NA
SEP,21,6,0.0133,0.0254,NA,0.307,16,13,0.0162
SEP,21,7,0.0123,0.0224,NA,0.33,22,14,0.0177
SEP,21,8,0.0161,0.0206,NA,0.35,25,16,0.0157
SEP,21,9,0.0181,0.0197,NA,0.37,32,18,0.0146
SEP,21,10,0.0271,0.0198,NA,0.382,33,17,0.0099
SEP,21,11,0.0344,0.021,NA,0.403,31,25,0.0093
SEP,21,12,0.0364,0.0226,NA,0.434,31,23,0.0139
SEP,21,13,0.0495,0.0259,NA,0.465,39,25,0.0147
SEP,21,14,0.0594,0.0317,NA,0.463,39,30,0.0107
SEP,21,15,0.0571,0.0373,NA,0.454,36,27,0.0089
SEP,21,16,0.0558,0.0422,NA,0.437,26,22,0.0079
SEP,21,17,0.0629,0.0478,NA,0.429,27,18,0.0106
SEP,21,18,0.0569,0.0516,NA,0.442,31,18,0.014
SEP,21,19,0.0477,0.0532,NA,0.472,33,17,0.0209
SEP,21,20,0.0403,0.0537,0.0295,0.461,38,16,0.0149
SEP,21,21,0.0402,0.0525,0.028,0.444,37,16,0.0111
SEP,21,22,0.0407,0.0502,0.0256,0.435,32,13,0.0076
SEP,21,23,0.0396,0.048,0.0226,0.421,23,12,0.006
SEP,22,0,0.0388,0.0459,0.0207,0.409,15,11,NA
SEP,22,1,0.0381,0.0428,0.0188,0.385,10,10,NA
SEP,22,2,0.0325,0.0397,0.0171,0.35,11,10,0.0053
SEP,22,3,0.0237,0.0367,0.015,0.299,14,12,NA
SEP,22,4,0.029,0.0353,0.0139,0.278,16,14,0.0092
SEP,22,5,0.032,0.0343,0.0137,0.263,16,12,NA
SEP,22,6,0.02,0.0317,0.0119,0.274,15,12,0.0153
SEP,22,7,0.0146,0.0286,0.0106,0.336,23,12,0.0217
SEP,22,8,0.0142,0.0255,0.0081,0.399,26,14,0.0215
SEP,22,9,0.0172,0.0229,0.0066,0.456,30,13,0.0179
SEP,22,10,0.0355,0.0233,0.0039,0.513,25,15,0.0152
SEP,22,11,0.0485,0.0264,0.0021,0.523,20,13,0.0071
SEP,22,12,0.0515,0.0292,0.0016,0.548,18,11,0.0083
SEP,22,13,0.0561,0.0322,0.0015,0.561,14,11,0.0066
SEP,22,14,0.057,0.0368,0.0015,0.566,17,11,0.0107
SEP,22,15,0.0637,0.043,0.0015,0.523,20,13,0.01
SEP,22,16,0.0644,0.0492,0.0015,0.486,20,16,0.0124
SEP,22,17,0.0625,0.0549,0.0016,0.469,28,20,0.0151
SEP,22,18,0.0447,0.056,0.0014,0.434,43,20,0.0114
SEP,22,19,0.0316,0.0539,0.0012,0.445,34,15,0.0127
SEP,22,20,0.0363,0.052,0.0013,0.426,24,13,0.0097
SEP,22,21,0.0383,0.0498,0.0027,0.418,26,11,NA
SEP,22,22,0.0372,0.0473,0.0033,0.395,26,19,NA
SEP,22,23,0.031,0.0433,0.0038,0.384,26,18,NA
SEP,23,0,0.0198,0.0377,0.0041,0.369,26,18,0.022
SEP,23,1,0.0114,0.0313,0.0042,0.345,27,17,0.0256
SEP,23,2,0.0087,0.0268,0.0044,0.337,28,20,0.0245
SEP,23,3,0.0074,0.0238,0.0046,0.317,24,18,0.0231
SEP,23,4,0.0122,0.0207,0.0048,0.317,20,13,0.0213
SEP,23,5,0.0177,0.0182,0.0055,0.32,23,12,0.0146
SEP,23,6,0.0127,0.0151,0.0058,0.344,25,17,0.0195
SEP,23,7,0.0069,0.0121,0.006,0.395,32,19,0.0238
SEP,23,8,0.0074,0.0106,0.0062,0.485,32,18,0.0215
SEP,23,9,0.0153,0.011,0.0067,0.539,34,14,0.0239
SEP,23,10,0.0269,0.0133,0.0077,0.587,35,19,0.0254
SEP,23,11,0.0423,0.0177,0.008,0.629,38,26,0.0165
SEP,23,12,0.0497,0.0224,0.0081,0.649,29,22,0.01
SEP,23,13,0.0514,0.0266,0.0081,0.663,24,20,0.0094
SEP,23,14,0.0521,0.0315,0.0081,0.662,19,22,0.0092
SEP,23,15,0.0555,0.0376,0.0081,0.621,17,19,0.0086
SEP,23,16,0.0608,0.0442,0.0084,0.535,18,18,0.0084
SEP,23,17,0.0559,0.0493,0.0087,0.469,21,20,0.0064
SEP,23,18,0.0477,0.0519,0.009,0.425,24,19,0.0119
SEP,23,19,0.0341,0.0509,0.0094,0.424,24,17,0.022
SEP,23,20,0.0251,0.0478,0.0094,0.467,24,15,0.0285
SEP,23,21,0.0294,0.0451,0.0077,0.479,30,12,0.0206
SEP,23,22,0.0361,0.0431,0.007,0.47,28,11,0.0123
SEP,23,23,0.0313,0.0401,0.0067,0.463,24,12,0.0163
SEP,24,0,0.0213,0.0351,0.0069,0.467,32,17,NA
SEP,24,1,0.0178,0.0304,0.0078,0.481,35,20,0.0215
SEP,24,2,0.0169,0.0265,0.0101,0.482,39,21,NA
SEP,24,3,0.0164,0.0243,0.0106,0.448,32,20,0.0161
SEP,24,4,0.0168,0.0232,0.0114,0.389,29,19,0.0157
SEP,24,5,0.0153,0.0215,0.0114,0.363,26,18,0.0151
SEP,24,6,0.0095,0.0182,0.0124,0.375,26,19,0.0202
SEP,24,7,0.0076,0.0152,0.0131,0.427,35,24,0.023
SEP,24,8,0.0098,0.0138,0.0142,0.475,43,22,0.0221
SEP,24,9,0.0138,0.0132,0.0163,0.509,57,28,0.0217
SEP,24,10,0.0272,0.0145,0.0174,0.542,60,42,0.0216
SEP,24,11,0.0445,0.0181,0.0181,0.547,47,41,0.0081
SEP,24,12,0.0504,0.0223,0.0192,0.548,35,33,0.0076
SEP,24,13,0.051,0.0267,0.0199,0.553,31,29,0.0091
SEP,24,14,0.0482,0.0316,0.0202,0.536,27,26,0.0076
SEP,24,15,0.0448,0.0362,0.0203,0.489,18,26,0.0068
SEP,24,16,0.051,0.0414,0.0194,0.44,16,16,0.0057
SEP,24,17,0.051,0.046,0.0186,0.401,20,16,0.0086
SEP,24,18,0.0432,0.048,0.0179,0.384,21,16,0.0123
SEP,24,19,0.0294,0.0461,0.0172,0.428,23,13,0.024
SEP,24,20,0.0218,0.0426,0.0172,0.472,34,14,0.0263
SEP,24,21,0.0355,0.0406,0.0178,0.469,34,16,NA
SEP,24,22,0.0339,0.0388,0.0183,0.464,32,17,NA
SEP,24,23,0.0283,0.0368,0.0185,0.46,29,14,NA
SEP,25,0,0.0385,0.0352,0.0191,0.452,33,15,NA
SEP,25,1,0.0276,0.0323,0.0194,0.446,35,21,NA
SEP,25,2,0.0268,0.0302,0.0185,0.416,27,18,NA
SEP,25,3,0.0256,0.0298,0.0199,0.36,28,16,NA
SEP,25,4,0.0248,0.0301,0.0202,0.313,25,17,NA
SEP,25,5,0.0238,0.0287,0.0206,0.31,24,19,NA
SEP,25,6,0.0178,0.0267,0.0199,0.325,26,20,0.0139
SEP,25,7,0.0131,0.0248,0.0203,0.36,37,19,0.0185
SEP,25,8,0.0144,0.0218,0.0203,0.387,46,26,0.0176
SEP,25,9,0.0198,0.0208,0.0188,0.421,40,25,0.0144
SEP,25,10,0.0255,0.0206,0.0172,0.461,39,26,0.0138
SEP,25,11,0.0354,0.0218,0.0168,0.493,42,27,0.0114
SEP,25,12,0.0463,0.0245,0.0163,0.52,40,29,0.0111
SEP,25,13,0.0584,0.0288,0.0165,0.55,42,33,0.0116
SEP,25,14,0.0578,0.0338,0.0169,0.548,40,35,0.01
SEP,25,15,0.0599,0.0397,0.0176,0.522,34,29,0.0109
SEP,25,16,0.0607,0.0455,0.0177,0.502,29,26,0.0063
SEP,25,17,0.0547,0.0498,0.0178,0.476,20,19,0.0057
SEP,25,18,0.0532,0.0533,0.0178,0.446,22,16,NA
SEP,25,19,0.0567,0.0559,0.0191,0.431,31,14,0.0103
SEP,25,20,0.0409,0.0553,0.0207,0.424,38,19,NA
SEP,25,21,0.0296,0.0517,0.0213,0.414,41,22,0.0209
SEP,25,22,0.0293,0.0481,0.0243,0.409,43,21,0.0144
SEP,25,23,0.0273,0.044,0.0267,0.401,45,25,0.0116
SEP,26,0,0.0265,0.0398,0.0273,0.399,38,25,0.0107
SEP,26,1,0.0252,0.0361,0.0276,0.399,33,24,NA
SEP,26,2,0.0192,0.0318,0.0272,0.4,32,24,0.012
SEP,26,3,0.0193,0.0272,0.0261,0.393,29,22,NA
SEP,26,4,0.0155,0.024,0.0259,0.385,32,20,0.0148
SEP,26,5,0.0107,0.0216,0.025,0.368,26,24,0.0171
SEP,26,6,0.0078,0.0189,0.0248,0.381,24,17,0.0196
SEP,26,7,0.0095,0.0167,0.0243,0.404,27,17,0.0179
SEP,26,8,0.0137,0.0151,0.0252,0.427,32,20,0.0163
SEP,26,9,0.0154,0.0139,0.0251,0.472,40,25,0.0168
SEP,26,10,0.0291,0.0151,0.0251,0.5,48,33,0.0106
SEP,26,11,0.0404,0.0178,0.025,0.523,42,30,0.0106
SEP,26,12,0.0572,0.023,0.0252,0.54,40,30,0.0106
SEP,26,13,0.0629,0.0295,0.0251,0.564,39,32,0.0085
SEP,26,14,0.0721,0.0375,0.0251,0.567,38,30,0.0087
SEP,26,15,0.0696,0.0451,0.0247,0.566,35,28,0.0088
SEP,26,16,0.0593,0.0507,0.0248,0.547,27,25,0.0062
SEP,26,17,0.0563,0.0559,0.0247,0.501,20,19,0.0032
SEP,26,18,0.0595,0.0597,0.0247,0.469,20,15,0.0041
SEP,26,19,0.0527,0.0612,0.0234,0.446,24,14,0.0062
SEP,26,20,0.0456,0.0598,0.0219,0.422,23,15,NA
SEP,26,21,0.0425,0.0572,0.0209,0.398,21,14,NA
SEP,26,22,0.0374,0.0529,0.0188,0.377,22,13,NA
SEP,26,23,0.0311,0.048,0.017,0.364,23,14,NA
SEP,27,0,0.025,0.0438,0.0162,0.365,31,13,NA
SEP,27,1,0.0209,0.0393,0.0154,0.375,33,13,0.0149
SEP,27,2,0.0159,0.0339,0.015,0.389,29,16,0.0176
SEP,27,3,0.0155,0.0293,0.0145,0.402,27,11,0.0165
SEP,27,4,0.0137,0.0253,0.0135,0.405,27,11,0.0164
SEP,27,5,0.0082,0.021,0.0136,0.411,25,11,0.0185
SEP,27,6,0.0141,0.0181,0.0139,0.424,32,11,0.0146
SEP,27,7,0.01,0.0154,0.014,0.444,32,14,0.0205
SEP,27,8,0.0155,0.0142,0.0132,0.474,40,21,0.0152
SEP,27,9,0.0221,0.0144,0.0138,0.498,35,24,0.0158
SEP,27,10,0.0346,0.0167,0.014,0.514,30,22,0.0096
SEP,27,11,0.0486,0.0209,0.0143,0.524,32,23,0.0091
SEP,27,12,0.0571,0.0263,0.0139,0.547,32,23,0.0098
SEP,27,13,0.0588,0.0326,0.0138,0.557,29,20,0.0083
SEP,27,14,0.0584,0.0381,0.0136,0.561,25,20,0.0089
SEP,27,15,0.0589,0.0442,0.0137,0.543,21,18,0.0078
SEP,27,16,0.0609,0.0499,0.0137,0.513,22,17,NA
SEP,27,17,0.0589,0.0545,0.0137,0.483,17,15,0.0053
SEP,27,18,0.0586,0.0575,0.0137,0.458,20,14,0.0064
SEP,27,19,0.0504,0.0577,0.0136,0.439,24,13,0.007
SEP,27,20,0.0283,0.0542,0.0137,0.472,26,13,0.0235
SEP,27,21,0.0311,0.0507,0.0139,0.489,32,15,NA
SEP,27,22,0.0381,0.0482,0.0137,0.478,29,15,NA
SEP,27,23,0.0296,0.0445,0.0133,0.474,31,15,0.0139
SEP,28,0,0.0342,0.0412,0.0127,0.476,32,14,0.0125
SEP,28,1,0.0439,0.0393,0.0122,0.476,30,16,NA
SEP,28,2,0.0395,0.0369,0.0119,0.474,29,17,0.0084
SEP,28,3,0.0216,0.0333,0.012,0.474,29,16,0.0202
SEP,28,4,0.0318,0.0337,0.0121,0.416,36,19,0.0091
SEP,28,5,0.0318,0.0338,0.0118,0.391,28,22,0.0069
SEP,28,6,0.0148,0.0309,0.0114,0.415,25,19,0.0199
SEP,28,7,0.0066,0.028,0.0111,0.466,45,19,0.024
SEP,28,8,0.0105,0.025,0.011,0.539,62,22,0.0218
SEP,28,9,0.0218,0.0223,0.0102,0.575,49,18,0.0143
SEP,28,10,0.0335,0.0215,0.0109,0.606,44,18,0.0126
SEP,28,11,0.0484,0.0249,0.0122,0.641,48,32,0.0147
SEP,28,12,0.0581,0.0282,0.0127,0.665,50,37,0.0115
SEP,28,13,0.0567,0.0313,0.0126,0.675,39,33,0.0102
SEP,28,14,0.0594,0.0369,0.0126,0.653,35,24,0.0073
SEP,28,15,0.0524,0.0426,0.0121,0.588,30,21,0.004
SEP,28,16,0.0506,0.0476,0.012,0.503,23,15,0.0036
SEP,28,17,0.049,0.051,0.012,0.461,22,13,0.0041
SEP,28,18,0.0447,0.0524,0.012,0.427,21,12,0.0051
SEP,28,19,0.0357,0.0508,0.012,0.387,24,11,0.0068
SEP,28,20,0.0337,0.0478,0.0118,0.359,23,12,0.006
SEP,28,21,0.0398,0.0457,0.0117,0.337,23,10,NA
SEP,28,22,0.0447,0.0438,0.0103,0.324,26,8,NA
SEP,28,23,0.0438,0.0427,0.0097,0.323,25,9,NA
SEP,29,0,0.0428,0.0418,0.0096,0.324,22,10,NA
SEP,29,1,0.0359,0.0401,0.0112,0.325,24,10,0.0055
SEP,29,2,0.0339,0.0388,0.013,0.325,21,16,NA
SEP,29,3,0.033,0.0384,0.0132,0.325,20,15,NA
SEP,29,4,0.0314,0.0382,0.0151,0.326,17,16,NA
SEP,29,5,0.0281,0.0367,0.017,0.333,20,16,NA
SEP,29,6,0.021,0.0337,0.0185,0.357,21,19,0.0136
SEP,29,7,0.0126,0.0298,0.0184,0.401,23,18,0.0182
SEP,29,8,0.0117,0.0259,0.0183,0.451,31,18,0.0203
SEP,29,9,0.0195,0.0239,0.0185,0.472,37,21,0.011
SEP,29,10,0.0288,0.0233,0.0186,0.486,27,22,0.0061
SEP,29,11,0.0386,0.024,0.0176,0.5,24,15,0.0056
SEP,29,12,0.0427,0.0254,0.0173,0.511,25,11,0.0055
SEP,29,13,0.047,0.0277,0.0176,0.52,33,10,0.0058
SEP,29,14,0.0476,0.0311,0.0179,0.515,40,14,0.0053
SEP,29,15,0.0449,0.0351,0.0186,0.489,33,12,NA
SEP,29,16,0.0469,0.0395,0.0195,0.453,24,11,0.0041
SEP,29,17,0.0469,0.0429,0.0204,0.443,31,12,NA
SEP,29,18,0.0426,0.0447,0.0214,0.44,32,14,0.0046
SEP,29,19,0.04,0.0448,NA,0.436,31,13,NA
SEP,29,20,0.0396,0.0444,NA,0.435,27,13,NA
SEP,29,21,0.0388,0.0434,NA,0.431,20,12,NA
SEP,29,22,0.0358,0.0419,NA,0.427,19,11,0.0073
SEP,29,23,0.032,0.0403,NA,0.424,20,10,0.0092
SEP,30,0,0.0328,0.0386,NA,0.424,17,9,NA
SEP,30,1,0.0336,0.0369,NA,0.424,19,8,0.0059
SEP,30,2,0.0347,0.0359,NA,0.42,18,10,NA
SEP,30,3,0.0329,0.035,NA,0.418,16,10,0.0059
SEP,30,4,0.0315,0.034,NA,0.413,15,13,NA
SEP,30,5,0.0273,0.0326,NA,0.409,16,12,0.0097
SEP,30,6,0.0254,0.0313,NA,0.41,15,14,0.0111
SEP,30,7,0.0239,0.0303,NA,0.414,18,14,0.0115
SEP,30,8,0.0219,0.0289,NA,0.428,24,16,0.0124
SEP,30,9,0.0355,0.0291,NA,0.434,28,23,0.0071
SEP,30,10,0.0426,0.0301,NA,0.438,24,17,0.0045
SEP,30,11,0.0476,0.032,NA,0.448,21,14,0.0043
SEP,30,12,0.0517,0.0345,NA,0.456,19,13,0.0045
SEP,30,13,0.0571,0.0382,NA,0.464,19,12,0.0036
SEP,30,14,0.0588,0.0424,NA,0.469,19,12,0.005
SEP,30,15,0.0506,0.0457,NA,0.474,18,12,0.006
SEP,30,16,0.0571,0.0501,NA,0.471,21,NA,0.0056
SEP,30,17,0.0599,0.0532,NA,0.474,22,NA,0.0051
SEP,30,18,0.0532,0.0545,NA,0.5,25,10,0.0105
SEP,30,19,0.0485,0.0546,NA,0.501,26,11,0.0085
SEP,30,20,0.0435,0.0536,NA,0.511,29,13,0.0102
SEP,30,21,0.0456,0.0522,NA,0.508,26,12,0.0054
SEP,30,22,0.0444,0.0504,NA,0.503,23,10,NA
SEP,30,23,0.0345,0.0483,NA,0.495,24,9,0.0085
