DATOS MÓVILES 2020_CRUZ ROJA,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,NO2,MO3,MSO2,MCO,MPM10,MPM2.5
ENE,7,11,6.33,30.43,9.08,1.82,70.90,40.84
ENE,7,12,8.16,35.31,9.72,1.75,70.33,39.70
ENE,7,13,9.20,38.74,9.20,1.70,71.25,40.33
ENE,7,14,8.27,42.56,10.61,1.70,71.76,41.17
ENE,7,15,7.42,47.77,11.73,1.67,71.53,42.21
ENE,7,16,7.31,53.25,13.12,1.60,70.78,41.94
ENE,7,17,8.10,57.39,13.74,1.73,70.40,40.46
ENE,7,18,7.68,59.48,14.12,1.73,69.97,39.12
ENE,7,19,7.35,59.07,14.00,1.67,68.42,38.20
ENE,7,20,7.16,58.35,13.94,1.67,65.19,37.08
ENE,7,21,6.81,59.05,13.88,1.66,61.53,35.07
ENE,7,22,6.94,58.80,14.01,1.69,58.18,33.41
ENE,7,23,7.70,57.30,15.40,1.87,54.14,30.98
ENE,8,0,7.44,55.52,15.97,2.03,50.64,28.28
ENE,8,1,6.94,54.10,16.03,1.86,48.79,27.19
ENE,8,2,5.78,53.76,15.98,1.80,45.90,25.64
ENE,8,3,6.73,53.80,16.08,1.80,43.10,23.88
ENE,8,4,13.05,52.21,18.49,1.79,40.70,22.02
ENE,8,5,11.15,50.92,22.51,1.79,37.39,20.52
ENE,8,6,19.36,48.14,25.64,1.72,34.81,18.80
ENE,8,7,16.70,45.29,26.93,1.52,33.02,17.43
ENE,8,8,20.30,41.55,28.18,1.40,31.06,15.99
ENE,8,9,18.16,38.49,29.79,1.45,29.77,14.57
ENE,8,10,11.69,37.26,31.12,1.47,29.15,14.18
ENE,8,11,10.38,37.11,32.63,1.49,28.89,14.12
ENE,8,12,12.34,38.44,33.05,1.52,29.16,15.13
ENE,8,13,15.52,39.66,32.23,1.56,28.65,15.94
ENE,8,14,14.30,44.73,31.76,1.61,29.03,16.64
ENE,8,15,16.23,50.35,31.57,1.64,29.94,17.09
ENE,8,16,14.95,57.00,29.75,1.64,30.93,17.13
ENE,8,17,15.25,63.33,28.61,1.67,31.75,18.39
ENE,8,18,15.56,67.25,27.91,1.71,32.56,18.79
ENE,8,19,32.26,66.91,27.93,1.84,33.58,19.62
ENE,8,20,46.73,62.44,27.96,2.13,35.54,20.83
ENE,8,21,47.00,56.85,27.99,2.55,39.25,22.20
ENE,8,22,44.50,49.31,27.86,3.12,43.34,23.71
ENE,8,23,43.45,41.33,26.31,3.72,49.88,25.66
ENE,9,0,39.80,33.45,25.61,4.20,57.09,28.76
ENE,9,1,35.64,25.36,25.54,4.48,62.53,31.30
ENE,9,2,30.33,17.55,25.51,4.49,67.11,34.29
ENE,9,3,28.39,12.90,25.27,4.40,70.46,35.92
ENE,9,4,28.67,12.41,22.46,4.17,73.58,38.24
ENE,9,5,28.92,12.79,18.03,3.81,76.58,39.59
ENE,9,6,27.77,13.05,14.48,3.28,79.04,41.08
ENE,9,7,27.73,13.50,12.93,2.81,80.90,41.99
ENE,9,8,27.63,13.71,11.43,2.58,84.07,43.38
ENE,9,9,26.91,13.85,9.78,2.43,87.60,45.05
ENE,9,10,24.49,14.82,9.66,2.48,90.31,46.49
ENE,9,11,23.07,17.80,7.96,2.50,92.20,48.07
ENE,9,12,23.72,24.01,6.16,2.53,93.53,48.99
ENE,9,13,18.70,31.76,5.41,2.50,94.00,50.09
ENE,9,14,15.90,40.64,5.40,2.48,93.18,50.28
ENE,9,15,15.98,50.97,5.39,2.36,92.86,50.43
ENE,9,16,17.04,61.46,5.41,2.13,93.56,49.65
ENE,9,17,15.69,71.64,5.50,1.99,93.67,49.23
ENE,9,18,23.31,78.60,5.58,1.97,94.10,49.43
ENE,9,19,47.52,77.19,5.56,2.30,94.44,49.01
ENE,9,20,48.74,71.30,5.59,2.97,95.45,48.94
ENE,9,21,44.04,63.82,5.63,3.30,96.05,48.85
ENE,9,22,44.63,56.46,5.65,3.70,98.63,49.57
ENE,9,23,37.56,46.35,5.62,3.79,97.56,50.95
ENE,10,0,35.97,36.24,5.63,3.96,94.85,49.74
ENE,10,1,33.26,26.12,5.57,4.07,93.11,49.16
ENE,10,2,30.32,18.47,5.67,4.09,92.69,48.03
ENE,10,3,29.28,17.25,5.87,3.79,94.13,49.53
ENE,10,4,26.06,17.47,5.99,3.12,95.10,50.69
ENE,10,5,26.85,19.59,6.08,2.82,96.02,52.12
ENE,10,6,26.66,18.88,6.41,2.46,96.73,53.62
ENE,10,7,25.06,20.11,6.56,2.49,98.27,54.67
ENE,10,8,23.61,20.51,6.79,2.47,98.41,55.72
ENE,10,9,29.30,21.39,6.91,2.57,98.12,55.82
ENE,10,10,28.41,25.20,5.71,2.56,97.94,56.16
ENE,10,11,24.07,29.55,5.68,2.54,97.09,56.21
ENE,10,12,15.62,34.27,5.58,2.51,95.52,55.62
ENE,10,13,16.02,37.93,5.50,2.46,94.49,54.38
ENE,10,14,15.96,42.16,5.39,2.41,93.88,53.80
ENE,10,15,16.57,45.47,5.27,2.28,93.50,53.28
ENE,10,16,13.08,49.35,5.18,2.11,92.48,52.86
ENE,10,17,13.56,52.52,5.15,1.89,92.29,52.65
ENE,10,18,14.74,51.71,5.14,1.84,91.52,52.21
ENE,10,19,24.10,47.63,5.12,1.89,90.82,51.93
ENE,10,20,24.62,42.62,5.00,2.02,88.92,51.60
ENE,10,21,26.05,36.42,4.93,2.31,87.06,50.73
ENE,10,22,24.92,31.65,4.81,2.43,83.43,49.91
ENE,10,23,24.57,26.99,4.78,2.56,80.09,47.72
ENE,11,0,22.62,22.24,4.96,2.75,78.65,47.10
ENE,11,1,19.28,17.88,4.95,2.78,77.01,46.70
