DATOS MÓVILES 2016_ DIF,,,,,,,
,,,,,,,
MES,DIA,HORA,NO2,MPM10,MSO2 24 HRS,MO3,MCO
FEB,4,23,4.04,111.2029167,4.295416667,24.2625,0.35575
FEB,5,0,7.41,107.19375,5.92125,22.69375,0.32075
FEB,5,1,0.46,104.4191667,5.837083333,21.85125,0.2845
FEB,5,2,0.59,100.2170833,6.131666667,21.70875,0.2345
FEB,5,3,0.44,97.8675,6.131666667,23.28875,0.1695
FEB,5,4,4.05,96.08083333,6.12875,24.9075,0.112
FEB,5,5,8.64,94.94041667,6.127083333,26.04,0.0595
FEB,5,6,11.38,94.03416667,6.127083333,25.3875,0.03825
FEB,5,7,21.11,93.49916667,6.147916667,23.3725,0.07075
FEB,5,8,18.42,93.34125,6.132916667,22.18,0.1295
FEB,5,9,16.11,92.54416667,6.132083333,20.72625,0.18825
FEB,5,10,8.97,91.59541667,6.11875,19.98875,0.22575
FEB,5,11,9.29,86.33916667,6.115833333,19.455,0.26825
FEB,5,12,8.56,80.95,6.11,19.81,0.307
FEB,5,13,9.72,77.90958333,6.1175,21.5725,0.3495
FEB,5,14,12.7,75.86875,6.17125,24.39,0.387
FEB,5,15,5.65,75.20166667,6.237083333,28.79,0.35575
FEB,5,16,0.19,74.47625,6.107083333,32.65625,0.28825
FEB,5,17,0.08,73.03291667,6.035416667,36.38375,0.227
FEB,5,18,0.08,71.51666667,5.846666667,39.18,0.18825
FEB,5,19,15.07,70.19,4.586666667,39.91,0.15325
FEB,5,20,56.82,69.58625,3.73,36.74125,0.4995
FEB,5,21,58.31,73.86166667,3.96125,32.40125,0.95075
FEB,5,22,48.38,80.1275,4.0725,27.47875,1.317
FEB,5,23,42.72,85.69583333,3.674166667,21.9575,1.53575
FEB,6,0,37.35,89.37708333,1.93875,16.6675,1.79575
FEB,6,1,32.95,95.76583333,1.995833333,10.92875,1.96325
FEB,6,2,32.42,102.2279167,1.719166667,5.38875,2.12825
FEB,6,3,36.47,107.83875,1.813333333,1.64875,2.187
FEB,6,4,41.53,111.3570833,2.197083333,1.315,1.8795
FEB,6,5,38.91,116.0954167,2.5,1.435,1.4745
FEB,6,6,36.92,120.815,2.675416667,1.375,1.1495
FEB,6,7,37.4,124.4708333,2.810416667,1.365,1.0145
FEB,6,8,31.54,127.6195833,2.908333333,1.235,0.86325
FEB,6,9,29.78,130.43625,3.12125,1.18875,0.81575
FEB,6,10,13.55,133.1633333,3.213333333,2.915,0.71575
FEB,6,11,7.54,135.5695833,3.645,5.9275,0.6895
FEB,6,12,6.11,142.7375,4.27625,9.28375,0.6395
FEB,6,13,6.6,152.3741667,5.0475,12.85875,0.582
FEB,6,14,5.46,155.49875,5.177916667,16.4825,0.53575
FEB,6,15,6.94,156.8658333,5.32375,20.10125,0.472
FEB,6,16,7.28,158.9133333,5.619166667,23.775,0.39825
FEB,6,17,7.99,161.4316667,6.042083333,27.61125,0.307
FEB,6,18,9.14,163.9245833,6.821666667,29.51,0.28075
FEB,6,19,16.56,168.9230435,8.479583333,28.92,0.28575
FEB,6,20,10.98,172.8536364,8.475416667,28.22,0.29575
FEB,6,21,12.74,170.5914286,8.63125,26.3975,0.30325
FEB,6,22,10.5,165.5275,8.689166667,24.39375,0.3045
FEB,6,23,7.78,160.2573684,8.64,22.565,0.297
FEB,7,0,5.75,159.1461111,8.667916667,20.76375,0.2795
FEB,7,1,4.25,NA,8.711666667,18.88375,0.2595
FEB,7,2,1.99,NA,8.930833333,17.38125,0.2295
FEB,7,3,1.6,NA,9.276666667,17.37125,0.18575
FEB,7,4,0.08,NA,9.0275,17.4925,0.14825
FEB,7,5,0.14,NA,8.865416667,18.145,0.11075
FEB,7,6,0.08,NA,8.71625,18.88125,0.0795
FEB,7,7,12.68,NA,8.643333333,18.0775,0.06575
FEB,7,8,18.98,NA,8.632916667,16.76625,0.07575
FEB,7,9,1.73,NA,8.452916667,17.11625,0.09575
FEB,7,10,7.17,NA,8.423333333,16.8575,0.147
FEB,7,11,1.83,NA,8.02375,16.9975,0.1995
FEB,7,12,2.73,NA,7.704166667,17.26,0.25075
FEB,7,13,0.13,NA,7.074583333,18.535,0.287
FEB,7,14,0.08,NA,7.000833333,20.1875,0.32075
FEB,7,15,0.08,NA,7.058333333,23.32375,0.342
FEB,7,16,2.21,NA,7.807916667,26.61625,0.35325
FEB,7,17,0.08,NA,7.507083333,28.3675,0.35325
FEB,7,18,3.18,NA,6.79625,29.9675,0.332
FEB,7,19,11.66,NA,5.167083333,29.59875,0.33075
FEB,7,20,21.19,NA,4.992916667,27.74375,0.3395
FEB,7,21,28.24,NA,6.1775,24.3675,0.452
FEB,7,22,12.88,NA,7.053333333,22.125,0.4745
FEB,7,23,21.33,NA,7.39875,18.51,0.522
FEB,8,0,15.33,NA,7.405,15.56875,0.537
FEB,8,1,17.26,NA,7.270833333,12.2475,0.5245
FEB,8,2,21.48,NA,6.982916667,8.98375,0.502
FEB,8,3,19.9,82.9,6.593333333,7.20875,0.46325
FEB,8,4,13.84,81.54315789,6.45875,7.16125,0.40325
FEB,8,5,21.18,79.57,6.4875,6.88,0.26825
FEB,8,6,25.37,78.72761905,6.54375,5.2175,0.237
FEB,8,7,24.02,78.18454545,6.542083333,4.71,0.24575
FEB,8,8,23.05,79.18826087,6.560416667,3.7975,0.3095
FEB,8,9,22.85,81.51333333,6.701666667,3.06125,0.4095
FEB,8,10,23.2,83.8125,6.952916667,2.83875,0.48825
FEB,8,11,23.24,85.7075,7.152916667,3.08875,0.54575
FEB,8,12,17.75,87.93958333,6.923333333,3.36875,0.59825
FEB,8,13,17.39,89.39208333,6.808333333,5.285,0.6395
FEB,8,14,18.03,91.04,6.734583333,7.88,0.68575
FEB,8,15,11.4,93.89375,6.455416667,10.85375,0.6395
FEB,8,16,10.56,96.89583333,5.407916667,13.84625,0.552
FEB,8,17,10.81,99.40666667,5.298333333,16.3575,0.46075
FEB,8,18,7.64,101.45125,5.33875,18.435,0.3795
FEB,8,19,10.32,105.1170833,5.685416667,19.33,0.32825
FEB,8,20,23.4,107.4966667,10.91541667,18.105,0.44325
FEB,8,21,24.74,110.7970833,14.8475,16.065,0.5295
FEB,8,22,8.39,112.13875,14.28875,15.07,0.47325
FEB,8,23,5.21,111.9670833,14.50666667,14.0775,0.43825
FEB,9,0,3.06,108.2495833,15.45791667,13.26,0.4095
FEB,9,1,5.33,99.21916667,16.14083333,12.67625,0.387
FEB,9,2,5.01,99.19708333,16.79541667,12.40125,0.3745
FEB,9,3,4.68,98.68833333,17.36333333,12.4975,0.357
FEB,9,4,0.08,97.6725,17.42916667,14.4175,0.1895
