DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
OCTUBRE,1,0,0.0356,0.0390,0.0034,0.8353,12,NA
OCTUBRE,1,1,0.0426,0.0359,0.0034,0.8345,11,NA
OCTUBRE,1,2,0.0364,0.0330,0.0034,0.791,8,NA
OCTUBRE,1,3,0.0322,0.0322,0.0034,0.7521,8,NA
OCTUBRE,1,4,0.0352,0.0337,0.0034,0.7218,9,NA
OCTUBRE,1,5,0.0288,0.0343,0.0034,0.7104,9,NA
OCTUBRE,1,6,0.0225,0.0333,0.0034,0.7188,13,NA
OCTUBRE,1,7,0.0133,0.0308,0.0034,0.7765,15,NA
OCTUBRE,1,8,0.0158,0.0283,0.0034,0.8383,15,NA
OCTUBRE,1,9,0.0243,0.0261,0.0034,0.8662,15,NA
OCTUBRE,1,10,0.0321,0.0255,0.0034,0.8752,14,NA
OCTUBRE,1,11,0.0407,0.0266,0.0034,0.8833,14,NA
OCTUBRE,1,12,0.0508,0.0285,0.0034,0.8959,14,NA
OCTUBRE,1,13,0.0643,0.0330,0.0035,0.9307,17,NA
OCTUBRE,1,14,0.0697,0.0389,0.0036,0.9438,23,NA
OCTUBRE,1,15,0.0555,0.0442,0.0038,0.8972,21,NA
OCTUBRE,1,16,0.0502,0.0485,0.0039,0.8384,NA,NA
OCTUBRE,1,17,0.0475,0.0514,0.004,0.8157,NA,NA
OCTUBRE,1,18,0.0406,0.0524,0.0041,0.8167,NA,NA
OCTUBRE,1,19,0.0282,0.0509,0.004,0.8222,NA,NA
OCTUBRE,1,20,0.0233,0.0474,0.004,0.8271,NA,NA
OCTUBRE,1,21,0.0148,0.0412,0.004,0.8361,NA,NA
OCTUBRE,1,22,0.0117,0.0340,0.004,0.844,NA,NA
OCTUBRE,1,23,0.0044,0.0276,0.004,0.8534,NA,NA
OCTUBRE,2,0,0.0315,0.0252,0.0041,0.8528,NA,NA
OCTUBRE,2,1,0.0371,0.0239,0.0041,0.8463,NA,NA
OCTUBRE,2,2,0.0298,0.0226,0.0041,0.8388,NA,NA
OCTUBRE,2,3,0.0352,0.0235,0.0041,0.8273,NA,NA
OCTUBRE,2,4,0.0317,0.0245,0.0042,0.8102,NA,NA
OCTUBRE,2,5,0.0282,0.0262,0.0042,0.7671,9,NA
OCTUBRE,2,6,0.0256,0.0279,0.0042,0.7385,9,NA
OCTUBRE,2,7,0.0200,0.0299,0.0042,0.7342,22,NA
OCTUBRE,2,8,0.0141,0.0277,0.0042,0.7752,19,NA
OCTUBRE,2,9,0.0230,0.0260,0.0041,0.8149,14,NA
OCTUBRE,2,10,0.0321,0.0262,0.0041,0.8521,11,NA
OCTUBRE,2,11,0.0352,0.0262,0.0041,0.8909,14,NA
OCTUBRE,2,12,0.0419,0.0275,0.0042,0.9164,19,NA
