DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
ENE,1,0,0.0108,0.0216,0.0041,3.78,153
ENE,1,1,0.005,0.0176,0.0046,3.872,204
ENE,1,2,0.0038,0.0139,0.0049,3.98,285
ENE,1,3,0.0051,0.0112,0.0053,4.082,304
ENE,1,4,0.0027,0.0087,0.0058,4.359,365
ENE,1,5,0.0013,0.0064,0.0061,4.427,326
ENE,1,6,0.0013,0.0049,0.0062,4.423,240
ENE,1,7,0.0005,0.0038,0.0062,4.424,188
ENE,1,8,0.0007,0.0026,0.0062,4.408,161
ENE,1,9,0.0031,0.0023,0.0063,4.357,138
ENE,1,10,0.0147,0.0037,0.0065,4.245,107
ENE,1,11,0.0248,0.0061,0.0067,4.087,80
ENE,1,12,0.0295,0.0095,0.0066,3.751,51
ENE,1,13,0.0343,0.0136,0.0066,3.625,32
ENE,1,14,0.0385,0.0183,0.0066,3.544,25
ENE,1,15,0.0407,0.0233,0.0066,3.467,23
ENE,1,16,0.0421,0.0285,0.0066,3.4,28
ENE,1,17,0.0408,0.0332,0.0066,3.353,34
ENE,1,18,0.0416,0.0365,0.0066,3.347,34
ENE,1,19,0.0317,0.0374,0.0066,3.391,44
ENE,1,20,0.0235,0.0367,0.0067,3.47,86
ENE,1,21,0.0253,0.0355,0.0067,3.516,92
ENE,1,22,0.0217,0.0334,0.0067,3.556,95
ENE,1,23,0.0227,0.0312,0.0066,3.588,88
ENE,2,0,0.0142,0.0277,0.0065,3.607,73
ENE,2,1,0.0081,0.0236,0.0061,3.645,69
ENE,2,2,0.004,0.0189,0.0058,3.679,71
ENE,2,3,0.0028,0.0153,0.0056,3.671,70
ENE,2,4,0.0019,0.0126,0.0055,3.638,66
ENE,2,5,0.0026,0.0098,0.0057,3.625,54
ENE,2,6,0.0011,0.0072,0.0059,3.606,48
ENE,2,7,0.0012,0.0045,0.0068,3.596,50
ENE,2,8,0.0008,0.0028,0.0091,3.612,54
ENE,2,9,0.0049,0.0024,0.0162,3.61,72
ENE,2,10,0.0123,0.0035,0.0169,3.584,79
ENE,2,11,0.0244,0.0062,0.0169,3.553,66
ENE,2,12,0.0323,0.01,0.0172,3.516,50
ENE,2,13,0.0409,0.0147,0.0173,3.492,44
ENE,2,14,0.0455,0.0203,0.0173,3.461,37
ENE,2,15,0.0454,0.0258,0.0173,3.443,25
ENE,2,16,0.045,0.0313,0.0173,3.408,25
ENE,2,17,0.0465,0.0365,0.0172,3.372,25
ENE,2,18,0.0423,0.0403,0.0172,3.394,34
ENE,2,19,0.0171,0.0394,0.0171,3.564,42
ENE,2,20,0.0015,0.0355,0.017,3.888,71
ENE,2,21,0.0004,0.0305,0.0172,4.274,103
ENE,2,22,0.0048,0.0254,0.0172,4.543,165
ENE,2,23,0.007,0.0206,0.0174,4.787,172
ENE,3,0,0.0028,0.0153,0.0179,4.919,165
ENE,3,1,0.0205,0.0121,0.0183,5.068,162
ENE,3,2,0.0163,0.0088,0.0186,5.138,172
ENE,3,3,0.0152,0.0086,0.019,5.03,175
ENE,3,4,0.0166,0.0105,0.0189,4.765,145
ENE,3,5,0.0072,0.0113,0.0184,4.413,114
ENE,3,6,0.0077,0.0117,0.0185,4.179,91
ENE,3,7,0.0033,0.0112,0.018,3.964,90
ENE,3,8,0.0014,0.011,0.016,3.914,94
ENE,3,9,0.0035,0.0089,0.0094,3.802,97
ENE,3,10,0.0117,0.0083,0.0087,3.722,90
ENE,3,11,0.0243,0.0095,0.0088,3.682,84
ENE,3,12,0.0382,0.0122,0.0086,3.662,69
ENE,3,13,0.0463,0.0171,0.0088,3.668,56
ENE,3,14,0.0558,0.0231,0.0091,3.668,48
ENE,3,15,0.0532,0.0293,0.0094,3.652,39
ENE,3,16,0.0491,0.0353,0.0097,3.581,32
ENE,3,17,0.0486,0.0409,0.0101,3.553,36
ENE,3,18,0.0399,0.0444,0.0105,3.561,34
ENE,3,19,0.0144,0.0432,0.011,3.716,37
ENE,3,20,0.0019,0.0387,0.011,4.064,63
ENE,3,21,NA,0.0376,0.0107,4.324,106
ENE,3,22,0.0007,0.0297,0.0105,4.536,147
ENE,3,23,0.0003,0.0221,0.0103,4.673,148
ENE,4,0,0.0004,0.0152,0.0098,4.841,146
ENE,4,1,0.0003,0.0083,0.0094,4.963,150
ENE,4,2,NA,0.003,0.0094,5.018,146
ENE,4,3,NA,NA,0.0094,4.902,135
ENE,4,4,NA,NA,0.0091,4.566,110
ENE,4,5,0.0003,NA,0.0102,4.298,99
ENE,4,6,NA,NA,0.0102,4.098,112
ENE,4,7,NA,NA,0.0103,4.006,111
ENE,4,8,NA,NA,0.0103,3.9,111
ENE,4,9,0.0004,NA,0.0099,3.832,110
ENE,4,10,0.0058,NA,0.0108,3.771,110
ENE,4,11,0.0202,NA,0.0111,3.722,94
ENE,4,12,0.0332,NA,0.0122,3.691,75
ENE,4,13,0.043,NA,0.0143,3.682,68
ENE,4,14,0.0484,0.0252,0.0146,3.659,53
ENE,4,15,0.0513,0.0289,0.0142,3.605,43
ENE,4,16,0.0512,0.0317,0.0136,3.531,35
ENE,4,17,0.0521,0.0382,0.0136,3.469,31
ENE,4,18,0.0519,0.0439,0.0136,3.464,33
ENE,4,19,0.02,0.0439,0.013,3.664,45
ENE,4,20,0.0005,0.0398,0.0131,4.429,87
ENE,4,21,0.0003,0.0345,0.0134,4.865,153
ENE,4,22,0.0006,0.0285,0.0137,5.19,171
ENE,4,23,0.0057,0.0228,0.0139,5.272,165
ENE,5,0,0.0073,0.0173,0.014,5.334,135
ENE,5,1,0.0062,0.0116,0.0138,5.369,106
ENE,5,2,0.0082,0.0061,0.0134,5.359,83
ENE,5,3,0.0078,0.0046,0.0128,5.16,64
ENE,5,4,0.0117,0.006,0.0132,4.391,58
ENE,5,5,0.01,0.0072,0.0123,3.94,51
ENE,5,6,0.0106,0.0084,0.0117,3.607,43
ENE,5,7,0.0025,0.008,0.0116,3.553,48
ENE,5,8,0.0016,0.0073,0.0111,3.535,55
ENE,5,9,0.0049,0.0072,0.0111,3.536,66
ENE,5,10,0.0079,0.0071,0.0102,3.564,76
ENE,5,11,0.0193,0.0086,0.01,3.574,81
ENE,5,12,0.0374,0.0118,0.0089,3.57,65
ENE,5,13,0.0462,0.0163,0.0068,3.571,52
ENE,5,14,0.0498,0.0212,0.0063,3.573,51
ENE,5,15,0.057,0.028,0.0061,3.549,46
ENE,5,16,0.0648,0.0359,0.0062,3.516,45
ENE,5,17,0.0655,0.0435,0.006,3.498,49
ENE,5,18,0.053,0.0491,0.006,3.505,47
ENE,5,19,0.0226,0.0495,0.006,3.704,56
ENE,5,20,0.0007,0.045,0.0061,4.185,89
ENE,5,21,0.0001,0.0392,0.0061,4.73,148
ENE,5,22,0.0037,0.0334,0.0059,4.92,167
ENE,5,23,0.0091,0.0274,0.0056,5.077,145
ENE,6,0,0.0007,0.0194,0.0053,5.232,135
ENE,6,1,0.0009,0.0114,0.0053,5.322,123
ENE,6,2,0.0006,0.0048,0.0054,5.388,120
ENE,6,3,0.0006,0.0021,0.0055,5.252,110
ENE,6,4,0.0003,0.002,0.0052,4.824,108
ENE,6,5,0.0001,0.002,0.0058,4.325,107
ENE,6,6,NA,0.0018,0.006,4.168,95
ENE,6,7,0.0002,0.0005,0.0061,4.04,96
ENE,6,8,0.0003,0.0004,0.0067,3.925,106
ENE,6,9,0.0013,0.0005,0.0072,3.897,120
ENE,6,10,0.0075,0.0015,0.0073,3.838,121
ENE,6,11,0.0174,0.0039,0.0074,3.793,110
ENE,6,12,0.0314,0.0083,0.0078,3.753,84
ENE,6,13,0.0362,0.0135,0.0078,3.716,61
ENE,6,14,0.0384,0.0166,0.0078,3.698,48
ENE,6,15,0.0367,0.0212,0.008,3.673,44
ENE,6,16,0.0363,0.0257,0.0082,3.626,41
ENE,6,17,0.031,0.0294,0.0086,3.538,42
ENE,6,18,0.0266,0.0318,0.0086,3.501,33
ENE,6,19,0.0129,0.0312,0.009,3.537,37
ENE,6,20,0.0045,0.0278,0.009,3.667,47
ENE,6,21,0.0003,0.0233,0.0087,3.88,67
ENE,6,22,0.0002,0.0186,0.0085,4.145,95
ENE,6,23,0.0003,0.014,0.0085,4.413,112
ENE,7,0,0.0004,0.0095,0.0086,4.674,134
ENE,7,1,0.0005,0.0057,0.0087,4.809,138
ENE,7,2,0.0003,0.0024,0.0088,4.87,110
ENE,7,3,0.0002,0.0008,0.0088,4.875,93
ENE,7,4,0.0012,0.0004,0.0087,4.795,91
ENE,7,5,0.0017,0.0006,0.0083,4.61,85
ENE,7,6,0.0012,0.0007,0.0085,4.365,82
ENE,7,7,0.0011,0.0008,0.0084,4.126,80
ENE,7,8,0.001,0.0009,0.0087,3.924,86
ENE,7,9,0.0014,0.001,0.0083,3.841,102
ENE,7,10,0.0061,0.0017,0.0079,3.808,106
ENE,7,11,0.0193,0.0041,0.0073,3.754,97
ENE,7,12,0.0267,0.0073,0.0068,3.7,72
ENE,7,13,0.0337,0.0113,0.0067,3.672,55
ENE,7,14,0.0411,0.0163,0.0067,3.641,47
ENE,7,15,0.0452,0.0218,0.0066,3.601,40
ENE,7,16,0.0471,0.0276,0.0069,3.563,40
ENE,7,17,0.0453,0.0331,0.0068,3.549,37
ENE,7,18,0.0432,0.0377,0.0066,3.544,38
ENE,7,19,0.0179,0.0375,0.0064,3.673,44
ENE,7,20,0.0008,0.0343,0.0062,4.066,58
ENE,7,21,0.0003,0.0301,0.0064,4.393,109
ENE,7,22,0.0005,0.025,0.0065,4.642,174
ENE,7,23,0.0007,0.0195,0.0068,4.725,172
ENE,8,0,0.0033,0.014,0.0069,4.757,152
ENE,8,1,0.0021,0.0086,0.0067,4.766,126
ENE,8,2,0.0033,0.0036,0.0067,4.755,108
ENE,8,3,0.0078,0.0024,0.0075,4.63,93
ENE,8,4,0.008,0.0033,0.0074,4.248,82
ENE,8,5,0.0009,0.0033,0.0071,3.946,80
ENE,8,6,0.0013,0.0034,0.0068,3.718,82
ENE,8,7,0.0006,0.0034,0.0065,3.69,82
ENE,8,8,0.0004,0.0031,0.0057,3.698,132
ENE,8,9,0.0006,0.0029,0.0055,3.735,161
ENE,8,10,0.0017,0.0027,0.0062,3.796,160
ENE,8,11,0.0082,0.0027,0.0065,3.83,146
ENE,8,12,0.0225,0.0045,0.0066,3.84,122
ENE,8,13,0.038,0.0092,0.0067,3.833,99
ENE,8,14,0.0379,0.0137,0.0068,3.82,71
ENE,8,15,0.0475,0.0196,0.0069,3.78,48
ENE,8,16,0.0498,0.0258,0.0065,3.732,53
ENE,8,17,0.0468,0.0316,0.0063,3.665,50
ENE,8,18,0.043,0.0367,0.0065,3.605,44
ENE,8,19,0.0349,0.0401,0.0065,3.617,46
ENE,8,20,0.009,0.0384,0.0064,3.796,83
ENE,8,21,0.0008,0.0337,0.0064,4.005,178
ENE,8,22,0.0091,0.0301,0.0063,4.087,206
ENE,8,23,0.0052,0.0248,0.006,4.181,165
ENE,9,0,0.0102,0.0199,0.0059,4.211,121
ENE,9,1,0.0077,0.015,0.006,4.226,93
ENE,9,2,0.0152,0.0115,0.0059,4.216,87
ENE,9,3,0.0177,0.0094,0.0051,4.162,69
ENE,9,4,0.0178,0.0105,0.005,3.962,55
ENE,9,5,0.0159,0.0124,0.005,3.735,46
ENE,9,6,0.0091,0.0124,0.0049,3.66,46
ENE,9,7,0.0072,0.0126,0.0049,3.576,48
ENE,9,8,0.0011,0.0115,0.005,3.567,56
ENE,9,9,0.0035,0.0109,0.0048,3.595,81
ENE,9,10,0.0128,0.0106,0.0042,3.625,88
ENE,9,11,0.0245,0.0115,0.004,3.636,90
ENE,9,12,0.0303,0.0131,0.0042,3.647,77
ENE,9,13,0.0371,0.0157,0.0041,3.649,58
ENE,9,14,0.0345,0.0189,0.0041,3.643,43
ENE,9,15,0.0312,0.0219,0.004,3.637,32
ENE,9,16,0.0299,0.0255,0.0039,3.617,40
ENE,9,17,0.0279,0.0285,0.0039,3.571,47
ENE,9,18,0.0206,0.0295,0.0039,3.547,66
ENE,9,19,0.0094,0.0276,0.0041,3.599,55
ENE,9,20,0.0094,0.025,0.0043,3.661,43
ENE,9,21,0.0054,0.021,0.0044,3.746,40
ENE,9,22,0.0007,0.0168,0.0045,3.887,42
ENE,9,23,0.0023,0.0132,0.0047,3.918,45
ENE,10,0,0.0091,0.0106,0.0048,3.932,38
ENE,10,1,0.0063,0.0079,0.0048,3.949,30
ENE,10,2,0.0018,0.0056,0.0047,3.965,27
ENE,10,3,0.0008,0.0045,0.0047,3.914,30
ENE,10,4,0.0016,0.0035,0.0048,3.851,28
ENE,10,5,0.0061,0.0036,0.0048,3.772,27
ENE,10,6,0.0017,0.0037,0.0047,3.637,25
ENE,10,7,0.0003,0.0035,0.0047,3.615,26
ENE,10,8,0.0002,0.0024,0.0047,3.626,34
ENE,10,9,0.0025,0.0019,0.0047,3.642,48
ENE,10,10,0.0102,0.0029,0.0048,3.644,52
ENE,10,11,0.0177,0.005,0.0049,3.645,47
ENE,10,12,0.0235,0.0078,0.0047,3.637,85
ENE,10,13,0.026,0.0103,0.0046,3.637,59
ENE,10,14,0.028,0.0136,0.0045,3.626,38
ENE,10,15,0.032,0.0175,0.0045,3.612,45
ENE,10,16,0.0339,0.0217,0.0044,3.583,34
ENE,10,17,0.0347,0.0258,0.0043,3.548,30
ENE,10,18,0.0344,0.0288,0.0042,3.526,24
ENE,10,19,0.0255,0.0298,0.0042,3.549,22
ENE,10,20,0.0135,0.0285,0.004,3.631,31
ENE,10,21,0.0155,0.0272,0.0037,3.662,48
