DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
SEPTIEMBRE,1,0,0.0199,0.0248,0.0033,0.8103,18
SEPTIEMBRE,1,1,0.025,0.0221,0.0033,0.8059,24
SEPTIEMBRE,1,2,0.0258,0.0211,0.0033,0.7877,14
SEPTIEMBRE,1,3,0.0253,0.0208,0.0034,0.7636,14
SEPTIEMBRE,1,4,0.0113,0.0196,0.0034,0.7393,11
SEPTIEMBRE,1,5,0.011,0.0196,0.0034,0.7002,12
SEPTIEMBRE,1,6,0.0039,0.0173,0.0034,0.6791,14
SEPTIEMBRE,1,7,0.0021,0.0155,0.0034,0.7004,16
SEPTIEMBRE,1,8,0.0054,0.0137,0.0035,0.7471,17
SEPTIEMBRE,1,9,0.0075,0.0115,0.0035,0.7979,19
SEPTIEMBRE,1,10,0.0196,0.0107,0.0035,0.8529,22
SEPTIEMBRE,1,11,0.0359,0.0121,0.0035,0.8776,21
SEPTIEMBRE,1,12,0.0371,0.0153,0.0036,0.8849,20
SEPTIEMBRE,1,13,0.0365,0.0185,0.0036,0.9001,21
SEPTIEMBRE,1,14,0.0438,0.0235,0.0036,0.8954,15
SEPTIEMBRE,1,15,0.0445,0.0288,0.0036,0.8775,12
SEPTIEMBRE,1,16,0.0433,0.0335,0.0036,0.8345,13
SEPTIEMBRE,1,17,0.0397,0.0376,0.0036,0.7893,11
SEPTIEMBRE,1,18,0.0285,0.0387,0.0036,0.7768,13
SEPTIEMBRE,1,19,0.0208,0.0368,0.0036,0.7969,13
SEPTIEMBRE,1,20,0.0205,0.0347,0.0036,0.8429,14
SEPTIEMBRE,1,21,0.0215,0.0328,0.0036,0.8625,12
SEPTIEMBRE,1,22,0.0199,0.0298,0.0033,0.8799,11
SEPTIEMBRE,1,23,0.0167,0.0264,0.0032,0.8778,10
SEPTIEMBRE,2,0,0.0135,NA,NA,NA,NA
SEPTIEMBRE,2,1,0.0139,NA,NA,NA,NA
SEPTIEMBRE,2,2,0.011,NA,NA,NA,11
SEPTIEMBRE,2,3,0.0048,0.0152,0.0030,0.8317,14
SEPTIEMBRE,2,4,0.0112,0.0141,0.0030,0.7897,31
SEPTIEMBRE,2,5,0.0113,0.0128,0.0030,0.7628,25
SEPTIEMBRE,2,6,0.0058,0.0110,0.0029,0.7682,21
SEPTIEMBRE,2,7,0.0115,0.0104,0.0029,0.7828,16
SEPTIEMBRE,2,8,0.0248,NA,NA,NA,NA
SEPTIEMBRE,2,9,0.0236,NA,NA,NA,8
SEPTIEMBRE,2,10,0.0253,NA,NA,NA,8
SEPTIEMBRE,2,11,0.0222,NA,NA,NA,9
SEPTIEMBRE,2,12,0.0207,NA,NA,NA,11
SEPTIEMBRE,2,13,0.0243,0.0235,NA,0.8798,13
SEPTIEMBRE,2,14,0.0378,0.0255,NA,0.9506,17
SEPTIEMBRE,2,15,0.0582,0.0296,0.0027,1.0789,21
SEPTIEMBRE,2,16,0.0578,0.0337,0.0028,1.1322,24
SEPTIEMBRE,2,17,0.06,0.0383,0.0029,1.1691,28
SEPTIEMBRE,2,18,0.0416,0.0403,0.0031,1.1937,27
SEPTIEMBRE,2,19,0.0351,0.0419,0.0032,1.1964,24
SEPTIEMBRE,2,20,0.0279,0.0428,0.0032,1.1939,20
SEPTIEMBRE,2,21,0.0125,0.0414,0.0033,1.1722,19
SEPTIEMBRE,2,22,0.0112,0.0381,0.0034,1.1117,23
SEPTIEMBRE,2,23,0.0064,0.0316,0.0034,0.9714,21
SEPTIEMBRE,3,0,0.0142,0.0261,0.0034,0.9083,17
SEPTIEMBRE,3,1,0.0227,0.0215,0.0035,0.8459,14
SEPTIEMBRE,3,2,0.0261,0.0195,0.0035,0.7904,10
SEPTIEMBRE,3,3,0.0262,0.0184,0.0035,0.7631,8
SEPTIEMBRE,3,4,0.0247,0.0180,0.0035,0.7275,8
SEPTIEMBRE,3,5,0.0255,0.0196,0.0036,0.6930,9
SEPTIEMBRE,3,6,0.0165,0.0203,0.0036,0.6705,10
SEPTIEMBRE,3,7,0.0119,0.0210,0.0036,0.6661,18
SEPTIEMBRE,3,8,0.0076,0.0202,0.0036,0.6803,21
SEPTIEMBRE,3,9,0.01,0.0186,0.0036,0.7157,22
