DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
FEB,1,0,0.0277,0.0344,0.0247,3.758,60
FEB,1,1,0.0271,0.0311,0.0249,3.748,49
FEB,1,2,0.0287,0.0287,0.0249,3.73,38
FEB,1,3,0.0279,0.0278,0.0248,3.706,30
FEB,1,4,0.0264,0.0274,0.0245,3.683,28
FEB,1,5,0.027,0.0274,0.0234,3.661,26
FEB,1,6,0.0231,0.0269,0.0227,3.646,22
FEB,1,7,0.0215,0.0262,0.0225,3.637,22
FEB,1,8,0.0187,0.0251,0.021,3.639,24
FEB,1,9,0.02,0.0242,0.0212,3.643,23
FEB,1,10,0.0258,0.0238,0.0199,3.648,25
FEB,1,11,0.0279,0.0238,0.0193,3.651,34
FEB,1,12,0.0303,0.0243,0.0191,3.658,44
FEB,1,13,0.0339,0.0251,0.0191,3.665,59
FEB,1,14,0.0372,0.0269,0.019,3.674,64
FEB,1,15,0.0395,0.0292,0.0189,3.68,65
FEB,1,16,0.0393,0.0317,0.0189,3.681,65
FEB,1,17,0.0379,0.034,0.0188,3.688,65
FEB,1,18,0.0354,0.0352,0.0188,3.7,54
FEB,1,19,0.0283,0.0352,0.018,3.724,52
FEB,1,20,0.0211,0.0341,0.0144,3.756,54
FEB,1,21,0.0209,0.0325,0.0137,3.775,66
FEB,1,22,0.0231,0.0307,0.0116,3.78,56
FEB,1,23,0.0209,0.0284,0.0079,3.783,50
FEB,2,0,0.0201,0.026,0.0077,3.783,46
FEB,2,1,0.023,0.0241,0.0076,3.765,41
FEB,2,2,0.024,0.0227,0.0076,3.743,37
FEB,2,3,0.0266,0.0225,0.0076,3.71,32
FEB,2,4,0.0264,0.0231,0.0076,3.664,28
FEB,2,5,0.0229,0.0234,0.0076,3.631,25
FEB,2,6,0.0178,0.0227,0.0077,3.612,25
FEB,2,7,0.0136,0.0218,0.0077,3.6,27
FEB,2,8,0.0077,0.0203,0.0076,3.6,32
FEB,2,9,0.0121,0.0189,0.0073,3.618,41
FEB,2,10,0.0186,0.0182,0.0073,3.633,42
FEB,2,11,0.0239,0.0179,0.0073,3.638,43
FEB,2,12,0.0305,0.0184,0.0073,3.645,44
FEB,2,13,0.0355,0.02,0.0074,3.65,41
FEB,2,14,0.0394,0.0227,0.0075,3.654,40
FEB,2,15,0.0429,0.0263,0.0077,3.651,39
FEB,2,16,0.0462,0.0311,0.0079,3.649,36
FEB,2,17,0.047,0.0355,0.0081,3.647,37
FEB,2,18,0.045,0.0388,0.0085,3.673,38
FEB,2,19,0.0361,0.0403,0.009,3.763,42
FEB,2,20,0.0049,0.0371,0.0095,4.088,65
FEB,2,21,0.0017,0.0329,0.01,4.382,97
FEB,2,22,0.0056,0.0287,0.0108,4.452,97
FEB,2,23,0.0084,0.0244,0.011,4.479,83
FEB,3,0,0.0081,0.0196,0.011,4.485,66
FEB,3,1,0.0054,0.0144,0.0111,4.486,52
FEB,3,2,0.0078,0.0097,0.0111,4.458,46
FEB,3,3,0.0037,0.0057,0.0114,4.377,44
FEB,3,4,0.0066,0.0059,0.0117,4.056,46
FEB,3,5,0.0041,0.0062,0.0121,3.78,51
FEB,3,6,0.001,0.0056,0.0124,3.737,48
FEB,3,7,NA,0.0052,0.0125,3.756,50
FEB,3,8,0.0006,0.0042,0.0126,3.786,64
FEB,3,9,0.0043,0.004,0.0128,3.81,68
FEB,3,10,0.009,0.0042,0.0131,3.831,63
FEB,3,11,0.0155,0.0059,0.0133,3.833,65
FEB,3,12,0.027,0.0088,0.0135,3.83,59
FEB,3,13,0.0341,0.0131,0.0139,3.816,52
FEB,3,14,0.044,0.0192,0.0145,3.806,52
FEB,3,15,0.0558,0.0238,0.0157,3.784,53
FEB,3,16,0.0616,0.0314,0.0167,3.76,51
FEB,3,17,0.0627,0.0387,0.0177,3.753,52
FEB,3,18,0.0562,0.0446,0.0177,3.74,65
FEB,3,19,0.0397,0.0477,0.0175,3.811,62
FEB,3,20,0.0122,0.0458,0.0172,3.946,64
FEB,3,21,0.0016,0.0417,0.0169,4.241,80
FEB,3,22,0.0003,0.0363,0.0163,4.448,109
FEB,3,23,0.0003,0.0293,0.0165,4.739,139
FEB,4,0,0.0023,0.0219,0.0168,4.787,143
FEB,4,1,0.0009,0.0142,0.017,4.822,124
FEB,4,2,0.001,0.0073,0.0173,4.867,107
FEB,4,3,0.0005,0.0024,0.0173,4.829,110
FEB,4,4,0.0007,0.001,0.0171,4.73,99
FEB,4,5,0.0001,0.0008,0.0168,4.475,92
FEB,4,6,0.0002,0.0008,0.0167,4.285,94
FEB,4,7,NA,0.0008,0.0166,4.012,84
FEB,4,8,0.0002,0.0005,0.0166,4.006,78
FEB,4,9,0.0022,0.0007,0.0191,4,99
FEB,4,10,0.0095,0.0019,0.0208,3.982,107
FEB,4,11,0.0282,0.0059,0.0212,3.967,98
FEB,4,12,0.0444,0.0121,0.0211,3.955,87
FEB,4,13,0.0547,0.0199,0.0208,3.936,69
FEB,4,14,0.0588,0.0283,0.0201,3.924,60
FEB,4,15,0.0558,0.0317,0.0187,3.9,51
FEB,4,16,0.0572,0.0389,0.0175,3.851,45
FEB,4,17,0.0597,0.0461,0.0163,3.806,46
FEB,4,18,0.0581,0.0521,0.0158,3.781,44
FEB,4,19,0.045,0.0542,0.0155,3.805,49
FEB,4,20,0.027,0.052,0.0154,3.858,67
FEB,4,21,0.0197,0.0477,0.0152,3.91,101
FEB,4,22,0.01,0.0416,0.015,4.031,92
FEB,4,23,0.0041,0.0351,0.0147,4.164,79
FEB,5,0,0.0006,0.028,0.0145,4.239,82
FEB,5,1,0.0004,0.0206,0.0143,4.328,97
FEB,5,2,0.0004,0.0134,0.0141,4.433,107
FEB,5,3,0.0004,0.0078,0.0139,4.458,99
FEB,5,4,0.0004,0.0045,0.0139,4.431,100
FEB,5,5,0.0004,0.0021,0.014,4.414,87
FEB,5,6,0.001,0.0009,0.014,4.349,93
FEB,5,7,0.0004,0.0005,0.0142,4.283,100
FEB,5,8,0.0004,0.0005,0.0143,4.3,104
FEB,5,9,0.001,0.0005,0.012,4.327,130
FEB,5,10,0.0076,0.0015,0.0121,4.273,132
FEB,5,11,0.0288,0.005,0.0121,4.237,116
FEB,5,12,0.0459,0.0107,0.0122,4.218,94
FEB,5,13,0.0496,0.0168,0.0123,4.183,71
FEB,5,14,0.0534,0.0234,0.0123,4.119,55
FEB,5,15,0.0519,0.0298,0.0123,4.045,50
FEB,5,16,0.0493,0.0359,0.0123,3.952,46
FEB,5,17,0.0485,0.0419,0.0123,3.833,45
FEB,5,18,0.0468,0.0468,0.0123,3.781,41
FEB,5,19,0.0335,0.0474,0.0123,3.785,41
FEB,5,20,0.0208,0.0442,0.0123,3.818,48
FEB,5,21,0.0192,0.0404,0.0123,3.875,61
FEB,5,22,0.025,0.0369,0.0123,3.901,66
