DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2021,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
JULIO,1,0,0.0189,0.0285,0.0018,0.8150,19
JULIO,1,1,0.0170,0.0241,0.0018,0.7810,12
JULIO,1,2,0.0126,0.0205,0.0019,0.7342,12
JULIO,1,3,0.0099,0.0178,0.0019,0.6725,10
JULIO,1,4,0.0129,0.0162,0.0019,0.6296,12
JULIO,1,5,0.0166,0.0157,0.0019,0.6008,11
JULIO,1,6,0.0131,0.0147,0.0019,0.5965,13
JULIO,1,7,0.0054,0.0133,0.0019,0.6172,18
JULIO,1,8,0.0089,0.0121,0.0020,0.6432,22
JULIO,1,9,0.0156,0.0119,0.0020,0.6605,25
JULIO,1,10,0.0242,0.0133,0.0020,0.6759,23
JULIO,1,11,0.0305,0.0159,0.0020,0.6857,22
JULIO,1,12,0.0347,0.0186,0.0019,0.6938,19
JULIO,1,13,0.0412,0.0217,0.0019,0.7067,19
JULIO,1,14,0.0453,0.0257,0.0020,0.7066,50
JULIO,1,15,0.0502,0.0313,0.0020,0.6873,48
JULIO,1,16,0.0414,0.0354,0.0021,0.6736,45
JULIO,1,17,0.0344,0.0377,0.0021,0.6715,52
JULIO,1,18,0.0299,0.0385,0.0021,0.6757,47
JULIO,1,19,0.0284,0.0382,0.0021,0.7002,42
JULIO,1,20,0.0298,0.0376,0.0020,0.7245,43
JULIO,1,21,0.0262,0.0357,0.0019,0.7496,37
JULIO,1,22,0.0273,0.0334,0.0018,0.7588,26
JULIO,1,23,0.0320,0.0312,0.0018,0.7621,17
JULIO,2,0,0.0280,0.0295,0.0017,0.7547,14
JULIO,2,1,0.0265,0.0285,0.0017,0.7436,13
JULIO,2,2,0.0251,0.0279,0.0017,0.7251,10
JULIO,2,3,0.0228,0.0272,0.0017,0.6922,8
JULIO,2,4,0.0214,0.0262,0.0016,0.6625,8
JULIO,2,5,0.0197,0.0254,0.0016,0.6318,9
JULIO,2,6,0.0125,0.0235,0.0016,0.6266,13
JULIO,2,7,NA,0.0223,0.0016,0.6383,15
JULIO,2,8,0.0109,0.0199,0.0015,0.6502,17
JULIO,2,9,0.0185,0.0187,0.0015,0.6612,15
JULIO,2,10,0.0251,0.0187,0.0015,0.6717,15
JULIO,2,11,0.0282,0.0195,0.0016,0.6811,14
JULIO,2,12,0.0321,0.0210,0.0016,0.6907,15
JULIO,2,13,0.0372,0.0235,0.0016,0.6920,31
JULIO,2,14,0.0418,0.0277,0.0017,0.6865,45
JULIO,2,15,0.0414,0.0294,0.0017,0.6743,32
JULIO,2,16,0.0391,0.0329,0.0019,0.6671,25
JULIO,2,17,0.0340,0.0349,0.0019,0.6724,33
JULIO,2,18,0.0387,0.0366,0.0019,0.6672,31
JULIO,2,19,0.0368,0.0376,0.0020,0.6691,22
JULIO,2,20,0.0260,0.0369,0.0020,0.7004,18
JULIO,2,21,0.0241,0.0352,0.0020,0.7218,16
JULIO,2,22,0.0234,0.0329,0.0020,0.7379,15
JULIO,2,23,0.0226,0.0306,0.0020,0.7366,13
JULIO,3,0,0.0184,0.0280,0.0020,0.7327,12
JULIO,3,1,NA,0.0271,0.0020,0.7226,10
JULIO,3,2,0.0059,0.0224,0.0020,0.7269,13
JULIO,3,3,0.0014,0.0174,0.0020,0.7263,19
JULIO,3,4,0.0047,0.0143,0.0020,0.6948,22
JULIO,3,5,0.0039,0.0115,0.0020,0.6783,20
JULIO,3,6,0.0054,0.0089,0.0020,0.6756,21
JULIO,3,7,NA,0.0066,0.0020,0.7061,23
JULIO,3,8,0.0074,0.0048,0.0020,0.7354,26
JULIO,3,9,0.0117,0.0058,0.0020,0.7579,33
JULIO,3,10,0.0196,0.0077,0.0020,0.7599,26
JULIO,3,11,0.0246,0.0110,0.0019,0.7521,17
JULIO,3,12,0.0265,0.0141,0.0019,0.7414,13
JULIO,3,13,0.0288,0.0177,0.0018,0.7317,9
JULIO,3,14,0.0312,0.0214,0.0017,0.7196,9
JULIO,3,15,0.0346,0.0231,0.0015,0.6833,9
JULIO,3,16,0.0325,0.0262,0.0013,0.6532,7
JULIO,3,17,0.0290,0.0283,0.0012,0.6213,8
JULIO,3,18,0.0255,0.0291,0.0011,0.6142,8
JULIO,3,19,0.0219,0.0287,0.0010,0.6195,12
JULIO,3,20,0.0207,0.0280,0.0010,0.6456,12
JULIO,3,21,0.0122,0.0259,0.0010,0.6936,21
JULIO,3,22,0.0122,0.0236,0.0010,0.7138,23
JULIO,3,23,0.0114,0.0207,0.0010,0.7291,21
JULIO,4,0,0.0099,0.0178,0.0010,0.7395,18
JULIO,4,1,0.0073,0.0151,0.0010,0.7551,21
JULIO,4,2,0.0040,0.0125,0.0010,0.7662,31
JULIO,4,3,0.0023,0.0100,0.0010,0.7731,23
JULIO,4,4,0.0011,0.0076,0.0010,0.7664,25
JULIO,4,5,0.0012,0.0062,0.0011,0.7322,24
JULIO,4,6,NA,0.0053,0.0011,0.7275,23
JULIO,4,7,0.0015,0.0039,0.0011,0.7376,31
JULIO,4,8,0.0100,0.0039,0.0011,0.7439,28
JULIO,4,9,0.0145,0.0049,0.0011,0.7421,23
JULIO,4,10,0.0226,0.0076,0.0011,0.7332,17
JULIO,4,11,0.0340,0.0121,0.0012,0.7226,17
JULIO,4,12,0.0402,0.0177,0.0013,0.7076,15
JULIO,4,13,0.0449,0.0240,0.0014,0.6969,12
JULIO,4,14,0.0473,0.0269,0.0014,0.6795,11
JULIO,4,15,0.0485,0.0328,0.0015,0.6526,9
JULIO,4,16,0.0513,0.0379,0.0015,0.6339,8
JULIO,4,17,0.0500,0.0424,0.0015,0.6196,8
JULIO,4,18,0.0416,0.0447,0.0015,0.6139,16
JULIO,4,19,0.0346,0.0448,0.0015,0.6159,19
JULIO,4,20,0.0279,0.0433,0.0015,0.6298,17
JULIO,4,21,0.0141,0.0394,0.0015,0.6698,22
JULIO,4,22,0.0157,0.0355,0.0016,0.6930,22
JULIO,4,23,0.0056,0.0301,0.0015,0.7210,25
JULIO,5,0,0.0063,0.0245,0.0015,0.7334,24
JULIO,5,1,0.0036,0.0187,0.0015,0.7404,18
JULIO,5,2,0.0068,0.0143,0.0015,0.7420,17
JULIO,5,3,0.0166,0.0121,0.0015,0.7442,16
JULIO,5,4,0.0108,0.0099,0.0015,0.7278,16
JULIO,5,5,0.0033,0.0086,0.0015,0.6847,17
JULIO,5,6,0.0020,0.0069,0.0015,0.6678,18
JULIO,5,7,0.0024,0.0065,0.0015,0.6651,22
JULIO,5,8,0.0117,0.0071,0.0015,0.6608,25
JULIO,5,9,0.0155,0.0086,0.0015,0.6603,20
JULIO,5,10,0.0226,0.0106,0.0015,0.6640,18
JULIO,5,11,0.0278,0.0120,0.0014,0.6665,15
JULIO,5,12,0.0371,0.0153,0.0013,0.6812,19
JULIO,5,13,0.0476,0.0208,0.0012,0.6873,50
JULIO,5,14,0.0494,0.0268,0.0012,0.6820,44
JULIO,5,15,0.0474,0.0324,0.0011,0.6553,29
JULIO,5,16,0.0493,0.0371,0.0011,0.6430,20
JULIO,5,17,0.0493,0.0413,0.0011,0.6395,16
JULIO,5,18,0.0481,0.0445,0.0011,0.6380,19
JULIO,5,19,0.0394,0.0460,0.0011,0.6441,32
JULIO,5,20,0.0257,0.0445,0.0011,0.6494,32
JULIO,5,21,0.0284,0.0421,0.0011,0.6614,30
JULIO,5,22,0.0302,0.0397,0.0011,0.6686,25
JULIO,5,23,0.0256,0.0370,0.0011,0.6776,22
JULIO,6,0,0.0289,0.0345,0.0011,0.6792,16
JULIO,6,1,0.0196,0.0307,0.0011,0.6831,12
JULIO,6,2,0.0186,0.0271,0.0011,0.6792,12
JULIO,6,3,0.0240,0.0251,0.0011,0.6599,11
JULIO,6,4,0.0196,0.0244,0.0011,0.6432,14
JULIO,6,5,0.0153,0.0227,0.0011,0.6280,19
JULIO,6,6,0.0154,0.0209,0.0011,0.6179,18
JULIO,6,7,0.0649,0.0258,0.0011,0.6179,17
JULIO,6,8,0.0100,0.0234,0.0011,0.6484,15
JULIO,6,9,0.0109,0.0223,0.0011,0.6590,31
JULIO,6,10,0.0166,0.0221,0.0011,0.6783,24
JULIO,6,11,0.0235,0.0220,0.0011,0.6964,24
JULIO,6,12,0.0195,0.0220,0.0011,0.7187,NA
JULIO,6,13,0.0281,0.0236,0.0011,0.7261,NA
JULIO,6,14,0.0355,0.0261,0.0011,0.7319,NA
JULIO,6,15,0.0419,0.0232,0.0011,0.7243,NA
JULIO,6,16,0.0449,0.0276,0.0011,0.6970,9
JULIO,6,17,0.0449,0.0319,0.0011,0.6825,9
JULIO,6,18,0.0429,0.0352,0.0011,0.6709,10
JULIO,6,19,0.0275,0.0357,0.0011,0.6880,12
JULIO,6,20,0.0183,0.0355,0.0011,0.7035,21
JULIO,6,21,0.0279,0.0355,0.0011,0.7075,19
JULIO,6,22,0.0240,0.0340,0.0011,0.7076,17
JULIO,6,23,0.0242,0.0318,0.0011,0.7084,21
JULIO,7,0,0.0167,0.0283,0.0010,0.7085,24
JULIO,7,1,0.0192,0.0251,0.0010,0.7056,20
JULIO,7,2,0.0235,0.0227,0.0010,0.6951,13
JULIO,7,3,0.0268,0.0226,0.0010,0.6617,14
JULIO,7,4,0.0184,0.0226,0.0010,0.6176,12
JULIO,7,5,0.0184,0.0214,0.0010,0.5991,13
JULIO,7,6,0.0158,0.0204,0.0009,0.5961,11
JULIO,7,7,0.0100,0.0186,0.0009,0.6104,14
JULIO,7,8,0.0119,0.0180,0.0009,0.6288,20
JULIO,7,9,0.0165,0.0177,0.0009,0.6420,20
JULIO,7,10,0.0224,0.0175,0.0009,0.6448,18
JULIO,7,11,0.0279,0.0177,0.0009,0.6480,15
JULIO,7,12,0.0356,0.0198,0.0009,0.6503,13
JULIO,7,13,0.0347,0.0219,0.0009,0.6562,12
JULIO,7,14,0.0391,0.0248,0.0009,0.6554,11
JULIO,7,15,0.0392,0.0284,0.0009,0.6410,13
JULIO,7,16,0.0396,0.0319,0.0009,0.6192,30
JULIO,7,17,0.0396,0.0348,0.0009,0.6093,22
JULIO,7,18,0.0413,0.0371,0.0009,0.6159,19
JULIO,7,19,0.0316,0.0376,0.0009,0.6210,17
JULIO,7,20,0.0295,0.0368,0.0008,0.6363,19
JULIO,7,21,0.0298,0.0362,0.0008,0.6580,17
JULIO,7,22,0.0265,0.0346,0.0008,0.6797,17
JULIO,7,23,0.0326,0.0338,0.0008,0.6873,16
JULIO,8,0,0.0326,0.0329,0.0008,0.6896,15
JULIO,8,1,0.0285,0.0316,0.0008,0.6849,15
JULIO,8,2,0.0276,0.0298,0.0008,0.6733,NA
