DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
DIC,3,12,18.1,45.12,0.005,1.7,44.94,3.02,108.88,19.72,50.35,625.63,27.31
DIC,3,13,22.41,37.19,0.045,1.7,44.14,2.05,153.13,21.58,42.43,624.87,25.47
DIC,3,14,31.54,18.26,0.005,1.7,44.93,1.69,166.06,23.17,32.9,623.87,22.3
DIC,3,15,35.83,25.19,0.005,1.7,47.21,1.43,217.46,24.48,27.92,623.09,20.21
DIC,3,16,39.36,28.6,0.005,1.7,52.3,1.32,248.12,25.2,26.31,622.53,25.5
DIC,3,17,39.58,29.43,0.015,2.15,70.71,1.81,286.35,24.52,26.75,622.44,25.87
DIC,3,18,36.68,12.33,0.055,1.75,62.18,1.78,283.82,23.95,27.91,622.45,31.15
DIC,3,19,20.99,4.76,0.475,15.88,69.9,1.22,296.9,22.41,30.71,622.65,27.57
DIC,3,20,6.47,5.52,0.695,27.29,109.62,1.02,319.92,20.39,36.06,623.11,41.1
DIC,3,21,3.73,3.96,0.915,25,150.61,0.91,293.93,18.63,41.88,623.6,44.51
DIC,3,22,2.15,3.86,1.625,23.41,124.81,0.55,88.92,17.65,44.92,623.92,47.19
DIC,3,23,1.59,5.84,1.755,22.43,134.25,0.8,145.6,16.97,46.72,624.23,42.83
DIC,4,0,2.26,6.44,1.175,18.77,168.13,1.23,113.07,15.92,48.16,624.36,56.57
DIC,4,1,2,3.08,0.235,13.63,113.08,1.33,126.14,14.96,49.28,624.38,56.16
DIC,4,2,1.55,3.94,0.395,10.22,100.06,0.68,118.96,13.65,53.61,624.41,28.04
DIC,4,3,1.48,6.01,0.085,9.32,86.27,1.5,78.5,13.42,55.07,624.19,42.86
DIC,4,4,1.28,14.13,0.125,8.08,77.19,1.06,91.94,12.71,57.66,623.98,31.01
DIC,4,5,1.43,5.24,0.055,6.73,68.86,1.26,118.65,11.89,61.5,624.11,32.25
DIC,4,6,1.02,3.92,0.075,4.53,63.34,0.7,94.91,10.79,62.97,624.34,35.05
DIC,4,7,0.85,2.85,0.465,3.41,89.26,0.76,109.59,9.63,65,624.64,25.85
DIC,4,8,0.85,5.29,1.065,3.35,80.34,0.67,88.38,10.34,64.87,625.07,47.71
DIC,4,9,2.08,17.29,0.635,4.18,93.16,2,107.26,12.67,61.01,625.47,36.65
DIC,4,10,6.88,18.14,0.225,2.54,83.87,2.42,116.21,15.12,56.56,625.74,34.64
DIC,4,11,18.75,16.74,0.125,5.26,86.55,1.78,131.84,18.03,48.93,625.52,31.02
DIC,4,12,29.84,10.63,0.105,6.3,72.85,1.34,166.75,21.27,40.07,624.96,47.09
DIC,4,13,38.59,4.21,0.125,2.59,66.6,1.62,259.76,22.67,36.54,624.15,45.33
DIC,4,14,40.57,2.61,0.095,2.5,67.36,1.95,264.99,24.12,33.18,623.26,32.49
DIC,4,15,40.01,1.66,0.045,1.7,61.41,1.85,248.13,25.25,28.77,622.62,35.71
DIC,4,16,43.59,1.37,0.035,2.25,61.87,2.19,274.84,25.76,26.23,622.05,39.84
DIC,4,17,45.21,0.88,0.005,1.7,71.84,2.13,276.6,25.93,24.67,621.87,35.47
DIC,4,18,27.61,0.8,0.245,14.56,75.39,1.76,278.47,25.2,24.32,621.94,36.62
DIC,4,19,4.25,1.2,1.635,35.42,111.69,1.06,278.52,24,25.61,622.38,31.85
DIC,4,20,1.97,3.88,4.375,32.3,188.28,0.47,212.4,21.86,32.99,622.88,43.09
DIC,4,21,1.65,4.43,5.005,28.74,213.32,0.99,234.7,20.71,37.99,623.24,64.89
DIC,4,22,1.24,3.32,2.095,27.47,255.21,1.65,290.97,18.65,40.9,623.76,67.13
DIC,4,23,1.09,3.37,1.125,25.51,197.29,1.32,212.47,17.49,45.52,624.14,70.47
DIC,5,0,1.45,2.37,0.865,19.88,177.73,1.01,253.87,16.53,48.68,624.32,73.25
DIC,5,1,1.1,2.56,0.675,18.15,170.16,0.71,346.77,15.25,52.14,624.38,76.69
DIC,5,2,0.85,1.49,0.185,18.01,135.34,1.27,299.71,14.31,53.82,624.45,64.76
DIC,5,3,0.91,0.8,0.355,15.03,94.49,0.69,293.03,13.36,55.42,624.53,57.62
DIC,5,4,3.66,0.8,0.515,14.45,97.78,1.17,126.57,13.12,57.28,624.64,46
DIC,5,5,12.38,5.95,0.605,18.53,153.02,1.24,118.04,12.84,59.49,624.84,67.54
DIC,5,6,1.95,7.41,0.505,19.59,146.54,1.27,112.78,12.2,62.01,625.24,98.03
DIC,5,7,1.35,7.26,0.785,22.18,119.01,0.79,82.95,12.14,63.31,625.6,75.5
DIC,5,8,1.27,10,1.315,21.02,116.59,1.14,103.88,12.02,62.87,626.05,80.8
DIC,5,9,3.3,30.33,1.035,18.96,137.46,1.95,109.61,13.9,58.13,626.55,82.36
DIC,5,10,12.14,7.55,0.645,16.04,122.16,2.32,115.14,16.82,53.3,626.82,87.39
DIC,5,11,21.87,3.88,0.435,13.66,99.06,1.46,127.43,19.76,48.9,626.63,75.76
DIC,5,12,30.59,1.6,0.405,13.38,90.99,1.26,171.08,22.22,43.22,626.38,55.11
DIC,5,13,44.39,18.72,1.075,13.91,80.23,1.28,162.3,23.73,38.53,625.55,70
DIC,5,14,60.51,85.35,1.315,13.15,102.43,0.98,231.53,25.66,32.71,624.47,53.3
DIC,5,15,57.72,52.63,0.535,12.41,95.51,0.93,210.57,27.15,27.68,623.8,90.69
DIC,5,16,44.92,18.35,0.415,11.9,90.19,1.21,167.09,28.12,23.19,623.42,59.78
DIC,5,17,36.21,2.51,0.395,13,73.65,2.38,150.11,27.65,22.23,622.96,45.64
DIC,5,18,25,0.8,0.985,26.94,81.36,1.66,182.63,27.27,23.51,623.05,26.79
DIC,5,19,2.67,0.8,2.875,51.91,108.97,1.28,237.49,25.5,26.29,623.19,31.36
DIC,5,20,0.85,1.47,2.815,48.7,177.31,1.06,307.92,23.24,31.34,623.59,51.29
DIC,5,21,0.85,4.26,2.575,43.97,210.38,0.95,316.59,21.55,35.33,623.87,59.3
DIC,5,22,2.52,15.86,1.695,44.97,216.5,1.78,93.21,20.39,39.77,624.5,81.45
