DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MAY,3,11,20.73,4.53,1.18,19.42,97.42,2.27,244.22,25.56,32.1,623.75,43.55
MAY,3,12,20.47,4.4,1.1,19.64,83.74,2.79,267.07,27.33,27.08,623.12,43.59
MAY,3,13,23.6,3.98,1.04,17.66,76.25,2.73,273.88,29.11,22.11,622.36,29.46
MAY,3,14,21.26,3.79,1.07,18.32,59.17,3.55,265.63,30.54,16.49,621.6,30.03
MAY,3,15,24.23,3.99,1.06,18.21,66.16,2.84,250.72,31.51,15.23,620.83,29.83
MAY,3,16,24.3,3.78,1,16.61,69.91,2.91,256.69,32.11,12.81,620.28,34.13
MAY,3,17,24.27,3.94,1.03,15.29,62.95,3.75,198.12,31.98,13.85,620.1,34.9
MAY,3,18,24.05,3.83,1.01,15.14,128.45,5.8,167.99,30.57,17.08,620.16,64.32
MAY,3,19,15.36,3.51,1.02,20.24,211.5,5.24,200.21,29.45,18.58,620.53,47.36
MAY,3,20,12.73,3.58,1.02,21.38,113.66,4.91,203.8,28.17,22.21,621.04,42.26
MAY,3,21,13.92,3.45,1,19.89,61.2,3.98,223.35,27,25.3,621.59,25.81
MAY,3,22,15.65,3.47,0.86,15.83,82.27,4.18,224.19,26.24,26.52,621.95,25.14
MAY,3,23,17.14,3.28,0.74,13.31,56.31,3.76,251.14,26.24,24.88,622.2,20.45
MAY,4,0,14.55,3.58,0.7,12.47,45.34,2.13,275.76,24.46,30.49,622.61,20.84
MAY,4,1,12.98,3.76,0.72,13.51,50.13,2.41,287.89,23.55,31.98,622.77,NA
MAY,4,2,13.76,3.57,0.69,13.31,48.49,2.54,247.45,23.19,29.95,622.76,NA
MAY,4,3,13.86,3.51,0.68,12.33,40.82,1.51,272.37,21.63,33.25,622.84,NA
MAY,4,4,13.68,3.69,0.71,12.64,48.33,1.31,202.43,21.09,36.13,622.88,27.17
MAY,4,5,11.13,5.13,0.77,15.19,56.82,1.02,62.97,20.85,37.03,623.08,43.41
MAY,4,6,4.88,6.21,1.43,23.8,59.89,0.9,236.98,20.35,39.22,623.24,NA
MAY,4,7,4.68,5.79,2.34,23.8,108.98,1.23,276.47,19.27,42.51,623.63,100.35
MAY,4,8,6.28,5.28,1.76,23.8,169.98,1.58,345.27,19.11,43.12,624.06,98.84
MAY,4,9,14.42,4.92,1.09,20.13,132.86,1.44,275.38,21.94,35.55,624.13,56.73
MAY,4,10,17.67,4.4,1.06,22.51,90.04,1.95,278.68,24.14,31.12,624,66.87
MAY,4,11,19.71,4.31,1.12,23.59,110.29,2.8,260.08,26.11,26.92,623.49,50.91
MAY,4,12,20.95,3.86,1.06,20.75,115.96,2.67,238.12,27.92,23.35,622.83,35.71
MAY,4,13,26.14,3.56,0.94,15.69,71.6,1.92,240.83,29.67,19.79,622.34,28.42
MAY,4,14,28.87,3.73,0.89,13.03,74.39,1.97,278.33,30.84,15.99,621.76,31.16
MAY,4,15,29.22,3.42,0.92,13.21,57.72,2.47,286.12,31.59,14,620.98,24.12
MAY,4,16,25.84,3.31,0.83,12.92,57.82,2.32,270.68,31.67,10.82,620.41,24.11
MAY,4,17,23.41,3.46,0.9,16.2,45.66,2.48,266.2,32.04,9.93,619.93,19.24
MAY,4,18,20.43,8.29,1.03,17.7,40.74,2.69,220.08,31.96,12.56,619.91,20.27
MAY,4,19,17.53,28.99,1.21,16.73,55.15,5.21,65.74,28.47,33.01,620.44,NA
MAY,4,20,13.59,45.59,1.19,17.13,116.45,5.39,73.08,26.3,36.67,621.31,73.02
MAY,4,21,15.37,27.27,1.47,11.76,231.99,6.85,62.8,23.69,47.14,622.12,52.64
MAY,4,22,14.72,45.35,1.05,11.67,137.09,5.2,80.97,22.43,50,623.52,43.88
MAY,4,23,9.46,15.92,0.76,13.39,70.54,4.8,89.85,19.34,68.78,624.47,45.18
MAY,5,0,10.13,43.42,0.68,13.34,47.62,6.6,71.43,19.12,66,623.87,32.52
MAY,5,1,11.3,68.95,0.74,12.68,31.72,5.4,68.28,19.54,62.45,623.6,30.25
MAY,5,2,12.02,53.79,0.8,12.41,31.96,5.08,81,19.42,60.12,623.35,22.72
MAY,5,3,8.23,41.24,0.66,13.13,32.23,2.28,92.1,18.45,60.49,623.38,26.48
MAY,5,4,7.5,66.51,0.67,12.67,44.31,1.4,84.37,17.71,61.55,623.4,30.13
MAY,5,5,11.03,27.85,0.72,12.68,37.9,1.69,64.77,17.86,60.92,623.43,23.01
MAY,5,6,7.27,31.82,0.71,17.37,20.14,2.15,93.72,17.1,60.91,623.73,NA
MAY,5,7,7.32,38.02,0.73,19.2,54.95,2.91,78.44,16.97,60.81,624.01,29.78
MAY,5,8,9.11,48.14,0.88,18.92,49.39,1.97,93.86,17.8,59.07,624.4,28.65
MAY,5,9,7.34,32.28,0.83,19.89,53.86,3.58,92.87,19.94,56.29,624.41,31.4
MAY,5,10,7.92,24.28,0.86,20.9,62.27,3.65,108.23,21.53,53.91,624.36,39.23
MAY,5,11,12.14,12.49,0.92,20.14,75.57,3.12,120.91,23.29,49.4,624.03,41.56
MAY,5,12,18.49,8.15,0.86,16.2,74.84,2.61,133.01,25.66,42.26,623.62,55.27
MAY,5,13,21.37,6.45,0.89,16.09,53.07,2.57,172.26,27.14,35.87,622.8,NA
MAY,5,14,25.32,6.65,0.99,15.56,60.52,2.33,228.6,28.78,30.02,621.89,NA
MAY,5,15,28.46,5.17,0.83,12.81,61.77,3.27,309.56,29.54,24.87,621.14,NA
MAY,5,16,25.07,4.26,0.73,12.52,70.51,5.67,131.36,27.75,25.75,620.65,NA
MAY,5,17,28.24,4.01,0.74,12,53.84,3.48,184.48,28.54,24.01,620.51,NA
MAY,5,18,28.24,3.81,0.81,13.65,43.86,2.82,1.18,28.64,23.08,620.54,41.25
MAY,5,19,21.88,3.68,0.67,11.96,43.78,4.54,48.4,26.03,29.71,621.14,35.69
MAY,5,20,14.32,33.86,0.93,16.06,47.31,4.31,84.61,25.03,32.44,622.03,30.43
MAY,5,21,16.47,12.46,0.87,16.94,61.98,1.85,155.82,24.42,36.97,623.06,30.06
MAY,5,22,13.5,5.13,0.93,22.51,57.3,1.71,283.96,23.37,39.39,623.41,30.9
MAY,5,23,12.75,5.18,0.85,22.16,46.3,2.22,112.64,22.71,42.96,623.51,31.93
MAY,6,0,12.06,9.22,0.78,18.52,71.63,2.43,110.21,21.98,48.01,623.42,40.58
MAY,6,1,12.93,5.99,0.74,18.26,72.56,2.17,101.48,21.49,48.92,623.04,45.58
MAY,6,2,10.22,16.16,0.72,18.01,48.95,2.86,76,21.05,50.3,622.95,45.99
MAY,6,3,7.77,29.55,0.68,20.05,56.1,3.63,85.19,20.17,49.14,622.73,46.42
MAY,6,4,7.16,32.2,0.64,18.67,63.96,3.4,89.45,19.51,49.94,622.65,51.02
MAY,6,5,7.87,27.55,0.61,16.42,48.94,2.03,79.85,18.96,51.59,622.86,38.51
MAY,6,6,7.28,23.68,0.64,18.95,47,2.13,93.6,18.51,53.17,623.1,31.15
MAY,6,7,5.77,26.44,0.75,19.69,56.11,2.35,93.02,18.21,54.12,623.45,31.79
MAY,6,8,4.61,33.29,0.82,21.98,57.58,3.18,94.43,19.02,52.6,623.84,36.99
MAY,6,9,5.29,30.64,0.92,24.29,94.79,3.2,102.31,20.32,49.36,624.14,48.79
MAY,6,10,10.27,19.27,0.85,21.36,113.85,2.56,115.32,22.37,44.83,624.21,40.88
