DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
ABR,3,11,26.76,42.96,1.27,20.47,76.21,1.45,127.22,22.29,23.72,623.62,40.7
ABR,3,12,30.06,13.14,0.83,17.52,66.32,1.87,154.89,24.5,18.31,623.25,26.34
ABR,3,13,23.04,5.46,0.85,21.61,45.95,3.26,243.08,26.56,7.9,622.61,16.96
ABR,3,14,17.82,3.98,0.74,20.53,35.07,5,255.7,27.72,5.29,621.86,7.9
ABR,3,15,16.14,4.03,0.72,20.84,35.68,5.09,261.45,28.67,4.16,621.04,4.69
ABR,3,16,18.35,3.87,0.72,21.9,32.35,4.03,253.28,29.26,4.64,620.36,3.82
ABR,3,17,19.98,3.78,0.71,20.7,26.45,3.74,262.16,29.78,3.66,619.84,10.1
ABR,3,18,26.16,3.56,0.66,16.17,31.06,3.9,277.87,29.08,4.17,619.57,7.71
ABR,3,19,18.7,3.57,0.95,23.45,28.79,3.51,252.7,27.75,8.41,619.7,10.57
ABR,3,20,13.37,3.77,1.05,25.08,40.66,3.5,231.89,25.38,12.91,620.26,12.12
ABR,3,21,13.27,3.81,0.93,23.38,58.71,3.01,217.11,24.2,10.91,621.01,11.73
ABR,3,22,12.35,3.86,0.82,21.38,43.82,3.15,208.98,22.4,14.1,621.67,10.69
ABR,3,23,13.91,3.7,0.67,17.22,47.77,2.34,237.72,21.17,17.08,622.14,15.24
ABR,4,0,13.07,3.92,0.59,15.79,42.52,1.38,319.2,19.59,22.37,622.38,16.72
ABR,4,1,8.67,6.32,0.6,19.27,35.22,1.41,335.19,18.74,24.9,622.55,15.57
ABR,4,2,7.49,3.91,0.62,19.26,40.42,0.93,278.04,17.84,27.58,622.38,20.04
ABR,4,3,4.8,4.37,0.69,21.2,41.06,0.73,267,16.47,32.54,621.93,24.58
ABR,4,4,5.2,4.49,0.69,21.81,50.54,1.42,246.28,15.95,33.45,621.54,18.8
ABR,4,5,5.34,4.11,0.74,21.87,43.78,1.1,208.83,16.13,33.45,621.58,21.4
ABR,4,6,4.64,4.62,0.96,19.58,54.35,1,9.93,14.08,40.88,622.01,33
ABR,4,7,4.62,9.49,1.74,19.27,80.56,0.77,75.58,13.97,42.57,622.32,29.92
ABR,4,8,4.86,8.06,1.74,22.04,105.98,1.62,116.42,14.47,39.67,622.59,36.28
ABR,4,9,6.42,10.19,1.33,24.96,165.13,1.87,106.84,17.26,34.38,623.1,32.75
ABR,4,10,16.23,6.53,0.99,25.22,109.94,1.16,38.22,21.05,27.91,623.09,31.71
ABR,4,11,23.27,5.17,0.87,23.15,87.98,1.45,223.62,23.32,22.05,622.83,21.14
ABR,4,12,22.15,4.42,0.86,23.6,63.14,3.32,254.83,25.48,13.71,622.42,18.23
ABR,4,13,22.96,4.32,0.82,22.79,39.46,3.79,255.52,26.85,10.95,621.79,13.66
ABR,4,14,22.14,3.69,0.77,21.4,53.98,4.04,258.04,28.43,8.19,621,12.65
ABR,4,15,25.59,3.54,0.74,17.72,47.92,3.77,250.13,29.5,7.06,620.22,6.99
ABR,4,16,18.13,3.38,0.72,19.91,39.67,5.81,236.28,30.44,4.29,619.65,7.04
ABR,4,17,17.95,3.4,0.68,18.86,55.84,6.23,227.47,30.41,4.47,619.44,7.15
ABR,4,18,18.73,3.51,0.74,19.17,51.73,5.52,244.54,30.38,4.76,619.6,9.21
ABR,4,19,17.68,3.5,0.9,21.99,40.45,4.25,252.83,29.12,8.01,619.91,8.7
ABR,4,20,14.82,3.67,0.99,24.97,40.8,3.95,257.93,26.71,10.45,620.37,11.14
ABR,4,21,12.86,3.46,1.13,26.48,58.22,2.66,270.95,25.04,12.36,620.95,14.23
ABR,4,22,10.42,3.66,1.01,26.27,72.54,1.87,253.47,23.13,15.77,621.58,16.74
ABR,4,23,9.29,3.76,0.96,25.74,69,0.91,249.14,22.42,15.59,622.23,19.98
ABR,5,0,7.72,4.04,0.88,26.67,57.99,1.23,155.12,21.81,16.62,622.55,20.3
ABR,5,1,4.96,4.53,0.93,26.25,90.71,0.83,278.84,20.56,21.07,622.54,35.98
ABR,5,2,4.37,9.39,0.86,25.89,69.61,0.76,31.36,18.52,28.4,622.27,24.67
ABR,5,3,4.65,10.63,0.81,24.36,66.55,1.13,311.9,17.23,29.18,621.91,28.26
ABR,5,4,3.87,6.11,0.69,22.43,57.23,1.14,275.49,15.24,31.32,621.91,19.01
ABR,5,5,4.39,6.32,0.82,23.68,48.72,1.25,242.09,15.38,31.06,622.05,25.75
ABR,5,6,4.24,7.59,1.32,26.06,74.66,1.19,232.86,15.49,29.36,622.32,26.74
ABR,5,7,4.74,7.81,2.07,23.51,108.39,1.18,92.82,14.74,35.05,622.84,39.54
ABR,5,8,4.43,16.65,1.53,22.62,139.46,2.22,111.42,15.05,34.45,623.53,28.31
ABR,5,9,7.44,7.9,1.25,26.26,107.98,2.16,111.15,18.09,28.43,624.01,35.33
ABR,5,10,13.97,59.99,1.04,28.53,119.43,1.72,113.27,21.75,22.1,624.19,49.25
ABR,5,11,30.19,64.67,1.16,23.78,131.63,1.4,119.93,24.83,16.47,624,76.53
ABR,5,12,37.1,28.88,0.97,18.63,103.21,1.81,248.85,26.93,12.79,623.62,50.8
ABR,5,13,29.83,11.08,0.94,23.17,51.15,2.74,246.62,28.09,11.16,623.08,36.55
ABR,5,14,39.13,6.67,0.8,15.38,62.56,2.13,268.13,29.29,9.91,622.53,20.71
ABR,5,15,35.5,4.9,0.83,19.5,49.58,2.28,247.77,30.46,9.16,621.75,20.25
ABR,5,16,39.45,4.1,0.74,14.53,52.9,2.36,267.44,31.27,7.92,621.11,19.42
