DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,1,0,NA,105.78,NA,14.32,15.02,2.57,96.05,18.93,73.36,623.94,NA
OCT,1,1,NA,87.82,NA,14.21,26.3,2.06,91.17,18.4,76.44,623.83,NA
OCT,1,2,NA,47.03,NA,9.45,21.69,1.92,98.33,18.29,76.85,623.56,NA
OCT,1,3,NA,48.45,NA,11.91,22.28,1.35,99.94,18.35,77.61,623.3,NA
OCT,1,4,NA,45.32,NA,13.04,24.34,1.63,78.93,18.61,76.55,622.89,NA
OCT,1,5,NA,8.5,NA,17.04,20.48,1.05,260.75,18.17,78.85,622.64,NA
OCT,1,6,NA,7.9,NA,16.38,15.72,1.1,163.42,18.43,78.24,622.86,NA
OCT,1,7,NA,23.74,NA,16.46,28.65,1.56,93.38,18.63,77.49,622.93,NA
OCT,1,8,NA,64.7,NA,10.68,16.81,2.13,72.7,19.27,75.35,623.2,NA
OCT,1,9,NA,44.04,NA,9.5,17.9,2.49,74.31,19.85,73.35,623.52,NA
OCT,1,10,NA,38.18,NA,12.34,23.05,2.92,94.38,20.56,72.51,623.58,NA
OCT,1,11,NA,37.56,NA,4.63,16.09,3.35,75.87,22.05,64.62,623.61,NA
OCT,1,12,NA,34.67,NA,5.67,9.96,2.71,75.65,23.56,59.74,623.33,NA
OCT,1,13,NA,15.01,NA,3.98,11.01,4,61.65,23.65,59.37,622.65,NA
OCT,1,14,NA,10.3,NA,3.56,13.16,3.07,54.39,24.6,57.83,621.76,NA
OCT,1,15,NA,9.59,NA,3.68,11.63,3.95,62.57,25.31,54.7,620.97,NA
OCT,1,16,NA,3.01,NA,3.05,10.36,3.61,54.52,25.45,53.47,620.46,NA
OCT,1,17,NA,3.21,NA,2.88,9.61,3.98,52.21,25.57,52.28,620.26,NA
OCT,1,18,NA,2.76,NA,3.17,18.55,5.13,53.66,24.22,57.02,620.53,NA
OCT,1,19,NA,1.96,NA,5.05,14.35,4.54,56.27,22.52,62.38,621.14,NA
OCT,1,20,NA,1.81,NA,6.39,9.84,4.04,57.99,21.51,64.76,621.63,NA
OCT,1,21,NA,1.67,NA,4.9,12.41,2.52,54.39,21.08,66.04,622.21,NA
OCT,1,22,NA,1.93,NA,6.89,6.66,1.94,57.5,20.76,67.74,622.71,NA
OCT,1,23,NA,5.06,NA,8.37,13.11,1.46,63.14,20.43,69.91,622.95,NA
OCT,2,0,NA,3.18,NA,9.44,13.54,1.09,69.72,20.08,71.72,622.93,NA
OCT,2,1,NA,2.31,NA,7.5,15.53,1.95,55.39,19.68,72.61,622.69,NA
OCT,2,2,NA,4.52,NA,7.32,7.24,2.37,54.11,19.34,73.18,622.49,NA
OCT,2,3,NA,74.35,NA,9.37,14.51,1.8,75.12,18.99,74.9,622.08,NA
OCT,2,4,NA,73.47,NA,12.03,18.39,1.11,81.45,18.64,76.34,621.6,NA
OCT,2,5,NA,32.18,NA,11.37,23.72,1.33,78.56,18.1,77.5,621.43,NA
OCT,2,6,NA,64.07,NA,17.38,20.49,1.31,98.98,17.84,78.86,621.59,NA
OCT,2,7,NA,48.39,NA,21.7,39.44,1.43,110.55,17.85,78.73,621.75,NA
OCT,2,8,NA,38.31,NA,22.48,45.31,0.95,244.89,19.26,74.09,622,NA
OCT,2,9,NA,41.9,NA,15.66,77.41,2.75,83.49,21.08,66.49,622.31,NA
OCT,2,10,NA,37.59,NA,4.93,32.61,4.6,63.43,21.63,62.86,622.56,NA
OCT,2,11,NA,26.94,NA,5.34,18.3,4,65.23,21.73,62.91,622.71,NA
OCT,2,12,NA,24.73,NA,5.84,9.97,4.35,59.21,22.88,57.46,622.58,NA
OCT,2,13,NA,42.08,NA,8.35,13.16,3.64,77.96,24.45,52.02,622.02,NA
OCT,2,14,NA,30.85,NA,6.53,20,3.29,69.17,25.21,50.53,621.15,NA
OCT,2,15,NA,32.26,NA,6.85,18.86,2.39,76.73,26.3,47.32,620.62,NA
OCT,2,16,NA,28.67,NA,4.22,13.31,3.3,67.52,26.46,47.13,620.14,NA
