DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
FEB,3,12,14.67,27.18,2.05,10.08,40,3.64,95.24,20.04,36.02,626.63,NA
FEB,3,13,18.21,22.64,2.07,9.88,47.64,3.68,97.48,22.27,30.33,625.79,NA
FEB,3,14,23.02,22.67,2.06,9.56,49.08,3.34,99.14,23.62,27.58,624.83,NA
FEB,3,15,26.63,15.29,2.12,9.54,37.32,2.69,118.73,24.74,25.42,623.96,NA
FEB,3,16,26.63,12.43,2.09,9.34,43.75,2.79,115.96,25.23,19.97,623.47,NA
FEB,3,17,24.28,7.48,2.17,10.75,35.24,2.83,145.35,25.45,19.12,623.35,NA
FEB,3,18,31.12,6.37,2.13,10.06,43,1.85,114.62,25.72,17.59,623.47,NA
FEB,3,19,23.71,7.34,2.45,13.15,42.09,1.43,37.63,24.57,20.72,623.61,NA
FEB,3,20,11.81,6.58,2.57,14.44,49.12,3.29,39.9,22.15,31.82,623.88,NA
FEB,3,21,15.11,10.83,2.19,11.46,70.32,5.59,49.74,20.23,43.93,624.53,NA
FEB,3,22,15.21,11.76,2.15,9.15,54.97,4.82,59.15,18.74,50.55,624.91,NA
FEB,3,23,10.7,38.84,2.18,10.8,48.58,5.51,82.18,17.61,56.03,625.31,NA
FEB,4,0,9.87,44.71,2.61,10.45,34.93,5.26,58.63,16.79,59.34,625.51,NA
FEB,4,1,9.97,54.22,2.79,10.78,43.92,5.81,69.45,16.2,62.03,625.66,NA
FEB,4,2,10.77,38.36,2.63,10.29,51.11,4.48,56.8,15.75,62.58,625.74,NA
FEB,4,3,13.85,23.88,2.14,9.7,35.51,4.36,51.41,15.74,60.6,625.48,NA
FEB,4,4,13.65,28.84,2.25,9.12,30.62,4.04,58.81,15.53,60.18,625.34,NA
FEB,4,5,9.44,40.72,2.33,10.44,41.46,1.69,70.25,15.25,61.5,625.42,NA
FEB,4,6,7.82,26.64,2.14,10.21,39.95,2.4,106.48,14.09,66.87,625.5,NA
FEB,4,7,5.08,33.34,2.07,9.36,31.76,3.18,97.81,13.08,71.19,625.85,NA
FEB,4,8,5.24,77.14,2.1,11.41,39.56,3.02,88.92,13.04,72.28,626.09,NA
FEB,4,9,4.55,56.5,2.55,10.03,73.39,1.78,94.07,14.37,67.44,626.5,NA
FEB,4,10,5.73,59.18,2.38,10.32,76.87,4.05,77.33,16.82,61.51,626.9,NA
FEB,4,11,6.9,37.2,2.15,9.89,37.56,4.34,90.12,18.38,58.68,626.99,NA
FEB,4,12,9.94,37.72,2.07,9.44,52.74,3.19,85.87,20.27,53.64,626.58,NA
FEB,4,13,15.69,22.23,2.08,8.89,55.63,2.25,106.11,22.14,45.62,625.76,NA
FEB,4,14,22.48,16.44,2.31,9.57,53.57,1.37,267.78,23.25,41.83,624.81,NA
FEB,4,15,27.51,10.07,2.22,9.91,62.66,1.3,175.31,24.64,35.4,623.76,NA
FEB,4,16,36.65,13.36,2.23,9.07,61.32,1.47,294.93,25.3,33.04,623.05,NA
FEB,4,17,40.94,27.4,2.51,10.18,55.83,1.18,279.07,25.3,31.72,622.79,NA
FEB,4,18,35.67,11.63,2.33,9.17,63.89,1.5,301.55,25.11,28.54,622.77,NA
FEB,4,19,28.62,6.8,2.39,7.68,46.04,1.35,290.89,23.87,31.26,623.15,NA
FEB,4,20,15.23,6.59,2.45,8.14,NA,2.03,339.64,22.34,37.84,623.65,NA
FEB,4,21,19.08,7.07,2.19,8.33,98.85,3.01,49.4,21.76,41.99,624.25,NA
FEB,4,22,15.84,15.38,2.12,8.21,54.65,2.86,51.33,20.8,46.25,624.66,NA
FEB,4,23,9,27.19,2.6,8.29,47.18,2.37,117.84,19.75,50.58,625.33,NA
FEB,5,0,11.81,8.61,2.18,8.89,51.63,2.63,125.98,17.93,61.07,625.5,NA
FEB,5,1,6.8,45.79,2.09,9.13,48.98,3.4,85.2,18.2,58.78,625.04,NA
FEB,5,2,5.8,79.54,2.04,8.81,74.88,3.98,74.92,17.87,58.75,624.88,NA
FEB,5,3,7.47,85.92,2.01,7.77,44.57,4.68,73.74,17.5,58.58,624.52,NA
FEB,5,4,6.76,58.21,2,8.91,37.83,2.95,80.2,16.93,61.06,624.22,NA
FEB,5,5,4.83,39.96,1.98,8.92,37.63,1.99,84.34,16.54,62.24,624.27,NA
FEB,5,6,4.66,40.23,2,9.92,37.64,2.3,97.58,16.24,63.05,624.48,NA
FEB,5,7,5.41,15.48,2.05,8.65,38.37,2.67,110.99,15.68,65.82,624.79,NA
FEB,5,8,4.19,14.7,2.16,8.74,38.15,2.41,111.44,15.26,68.2,625.11,NA
FEB,5,9,4.57,16.53,2.15,9.32,54.63,2.74,105.08,15.85,66.27,625.43,NA
FEB,5,10,5.59,39.84,2.08,9.17,42.51,2.65,88.76,17.02,62.7,625.75,NA
FEB,5,11,6.19,46.96,2.09,10.11,59.96,2.57,91.24,17.99,58.73,625.85,NA
FEB,5,12,9.38,36.68,2.03,9.87,66.71,2.23,88.5,19.11,54.64,625.54,NA
FEB,5,13,12.71,24.34,2.09,10.04,56.05,1.88,107.07,21.26,47.13,624.68,NA
FEB,5,14,21.51,15.68,2.06,9.18,59.65,1.84,116.58,23.43,35.29,623.67,NA
FEB,5,15,26.44,17.63,2.13,8.49,53.92,1.71,148.37,25.02,28.85,622.79,NA
FEB,5,16,30.03,22.9,2.27,8.34,39.35,1.48,159.27,25.98,27.43,622.22,NA
FEB,5,17,32.66,17.41,2.24,8.8,52.99,1.53,175.06,26.18,26.19,622.07,NA
FEB,5,18,36.24,14,2.3,8.19,50.92,1.43,267.65,26.19,25.15,622.26,NA
FEB,5,19,29.3,12.02,2.4,10.08,46.34,1.16,283.19,24.71,28.55,622.46,NA
FEB,5,20,12.03,6.93,2.78,12.75,62.9,1.05,251.87,23.26,33.31,622.8,NA
FEB,5,21,8.15,7.22,3,13.75,82.89,0.99,154.55,21.78,39.17,623.28,NA
FEB,5,22,9.08,11.87,2.72,12.79,104.17,1.28,279.13,20.7,38.67,623.61,NA
FEB,5,23,12.48,21.2,2.35,10.56,68.17,1.49,61.11,19.4,40.16,623.66,NA
FEB,6,0,5.51,53.93,2.33,10.4,52.3,1.33,212.19,18.74,42.41,623.99,NA
FEB,6,1,4.68,38.94,2.6,11.68,63.31,1.07,108.57,18.03,44.09,624.16,30.24
FEB,6,2,4.56,31.7,2.21,9.63,67.49,1.43,109.68,17.18,45.41,624.07,29.86
FEB,6,3,5.86,9.18,2.16,10.34,58.39,1.46,131.29,15.4,50.41,623.89,21.66
FEB,6,4,4.61,9.76,2.13,8.91,47.07,2.22,128.34,14.62,51.87,623.76,21.06
FEB,6,5,5.26,8.82,2.09,9.85,52.58,1.3,130.25,14.58,52.53,623.87,23.92
FEB,6,6,5.35,19.21,2.08,9.95,49.01,1.3,84.34,13.42,56.38,623.87,22.35
FEB,6,7,4.38,19.03,2.3,9.94,47.94,0.93,227.15,13.01,58.43,624.45,24.2
FEB,6,8,3.52,8.59,2.45,9.53,60.79,1.06,348.99,11.92,61.84,624.81,29.44
FEB,6,9,4.71,17.18,2.6,9.35,67.19,0.72,33.08,13.9,58.17,625.31,20.77
FEB,6,10,5.22,32.97,2.29,9.5,88.15,1.67,118.76,16.54,54.59,625.69,27.58
FEB,6,11,12.11,23.56,2.37,8.93,95.54,1.33,201.17,19.09,47.19,625.92,37.91
FEB,6,12,20.27,9.04,2.28,9.55,81.9,1.44,218.21,21.27,39.44,625.34,26.87
FEB,6,13,24.05,7.66,2.24,9.22,48.57,1.97,252.25,22.69,34.73,624.76,20.49
FEB,6,14,30.3,7.31,2.2,8.58,51.87,2.27,286.23,24.03,33.14,623.91,20.44
FEB,6,15,27.79,6.5,3.3,8.58,57.16,2.31,273.08,25.12,28.36,623.08,19.94
FEB,6,16,28.14,6.16,3.12,8.85,42.31,2.07,242.64,25.89,26.79,622.45,12.94
FEB,6,17,30.07,5.84,3.14,9.21,44.65,1.67,211.24,26.27,25.27,622.07,19.18
FEB,6,18,27.95,5.56,2.73,9.14,38.08,2.29,219.1,26.12,25.84,621.98,19.58
FEB,6,19,19.71,5.56,3.05,11.25,47.33,1.98,208.04,25.17,27.51,622.03,27.03
FEB,6,20,9.05,5.66,3.24,13.13,70.02,1.72,220.97,23.69,29.12,622.3,27.76
FEB,6,21,10.1,5.67,2.79,11.21,104.88,1.71,237.13,21.72,33.92,622.81,30.28
FEB,6,22,11.31,5.39,2.63,10.03,85.01,0.88,236.87,20.83,34.05,623.17,32.03
FEB,6,23,7.35,5.8,2.91,10.56,63.94,0.7,307.62,19.76,37.52,623.43,23.7
FEB,7,0,5,5.84,3.1,11.69,85.71,1.1,226.6,19.14,38.51,623.59,31.72
FEB,7,1,7.31,5.49,2.39,9.52,95.02,1.52,221.02,18.2,39,623.7,28.39
FEB,7,2,4.66,5.89,2.38,10.6,72.61,1.18,304.41,15.21,51.24,623.74,32.09
FEB,7,3,4.15,5.61,2.26,9.88,86.25,0.78,332.34,14.75,52.55,623.69,33.5
FEB,7,4,3.63,5.52,2.2,9.94,72.56,0.52,316.21,14.7,51.25,623.47,26.13
FEB,7,5,3.33,5.59,2.21,9.5,60.46,0.61,18.09,13.68,54.61,623.49,30.86
FEB,7,6,4.17,6.85,2.28,11.14,59.59,0.89,122.86,13.29,55.26,623.78,33.08
FEB,7,7,4.52,7.7,2.83,10.71,84.18,0.45,41.13,12.34,59.72,624.32,38.68
FEB,7,8,3.91,10.65,3.97,11.1,106.32,0.81,101.55,12.49,58.41,624.65,37.64
FEB,7,9,4.74,12.49,3.12,8.74,151.18,1.39,110.59,13.89,52.49,624.92,46.5
FEB,7,10,6.45,10.52,2.73,9.18,133.54,1.33,119.97,16.44,47.27,624.92,47.61
FEB,7,11,15.23,8.03,NA,8.99,134.57,1.08,144.92,19.74,39.19,624.94,39.78
FEB,7,12,25.1,8.17,NA,9.59,104.65,1.06,156.91,22.52,32.77,624.61,31.12
FEB,7,13,28.58,6.57,NA,8.97,96.05,2.17,274.05,23.69,29.76,623.9,29.02
FEB,7,14,42.16,6.22,0.74,NA,92.64,NA,NA,NA,NA,NA,NA
FEB,7,15,43.4,NA,0.66,NA,128,NA,NA,NA,NA,NA,NA
FEB,7,16,35.29,7.74,0.63,NA,128,NA,NA,NA,NA,NA,NA
FEB,7,17,31.21,5.39,0.59,NA,128,NA,NA,NA,NA,NA,NA
FEB,7,18,36.85,5.02,0.65,NA,104.09,NA,NA,NA,NA,NA,NA
FEB,7,19,19.75,5.43,1.36,5.92,54.6,1.25,211.64,26.22,21.53,621.42,31.59
FEB,7,20,5.59,6.38,2.54,11.5,73.57,0.93,222.1,24.57,24.97,621.55,44.28
FEB,7,21,4.3,7.86,2.12,11.06,132.17,0.83,318.64,21.91,32.81,621.97,45.74
FEB,7,22,5.69,8,2.59,11.84,158.23,0.85,282,20.88,35.64,622.34,43.24
FEB,7,23,5.11,7.04,1.34,5.69,201.26,1,335.89,18.85,39.67,622.46,54.98
FEB,8,0,4.75,7.37,1.36,8.75,116.19,1.17,135.82,18.2,42.04,622.53,46.83
FEB,8,1,4.1,10.56,1.08,9.25,156.38,2.12,112.29,17.01,43.63,622.63,55.49
FEB,8,2,3.57,8.7,0.83,8.37,128.92,1.31,130.2,16.48,41.6,622.65,45.82
FEB,8,3,3.47,8.24,0.72,8.01,117.72,0.87,116.52,15.76,43.34,622.57,41.82
FEB,8,4,3.88,10.62,0.83,7.91,107.88,0.71,318.79,14.17,51.02,622.51,42.02
FEB,8,5,3.75,9.38,0.73,8.35,129.12,0.92,242.97,13.2,53.27,622.61,54.46
FEB,8,6,4.37,8.82,0.73,8.9,108.07,0.8,206.02,13.27,51.21,622.84,43.14
FEB,8,7,3.85,8.95,1.05,7.32,115.85,0.73,356.28,12.23,57.42,623.24,46.36
FEB,8,8,3.85,9.35,1.25,7.67,138.31,1.22,112.41,12.21,53.97,623.64,44.48
FEB,8,9,4,10.94,1.37,8.62,136.25,1.72,111.49,14.16,46.29,624.06,44.88
FEB,8,10,6.39,9.67,1.03,9.65,150.5,2.06,108.81,16.61,44.2,624.55,37.79
FEB,8,11,9.83,12.66,0.73,7.02,132.39,2.33,114.12,19.79,38.59,624.76,42.29
FEB,8,12,24.67,NA,0.58,NA,113.13,1.23,161.98,23.14,29.39,624.53,34.06
FEB,8,13,37.61,NA,0.56,NA,91.34,1.19,147.09,25.56,23.98,623.78,25.78
FEB,8,14,38.06,5.76,0.56,31.39,86.87,1.6,181.34,27.19,19.87,622.88,25.39
FEB,8,15,37.03,3.16,0.45,NA,69.66,1.49,179.83,28.15,15.25,622.06,15.18
FEB,8,16,34.08,3.16,0.44,NA,46.95,1.96,240.07,28.7,12.1,621.48,13.99
FEB,8,17,35.55,2.92,0.39,NA,36.5,1.81,245.85,29.19,10.64,621.27,16.2
FEB,8,18,29.03,3.2,0.59,NA,36.14,2.32,253.44,28.83,10.05,621.4,20.55
FEB,8,19,13.8,4.04,1.35,NA,42.3,1.6,235.09,27.62,12.79,621.66,19.44
FEB,8,20,4.39,4.67,2.46,NA,72.19,1.14,246.43,25.92,14.98,622.06,32.04
FEB,8,21,3.95,4.71,2.09,NA,139.44,0.96,334.39,22.97,23.9,622.43,33.75
FEB,8,22,4.5,6.06,2.09,NA,129.73,0.9,38.03,21.13,30.77,622.98,41.97
FEB,8,23,4.43,36.07,1.18,NA,182.31,1.65,84.5,20.19,31.15,623.54,55
FEB,9,0,7.4,53.56,0.61,NA,149.53,3.09,82.56,21.94,23.68,623.89,58.5
FEB,9,1,8.38,43.32,0.39,NA,87.59,3.5,80.72,21.86,21.26,624,59.16
FEB,9,2,7.48,44.44,0.28,NA,57.56,2.73,100.57,19.56,27.13,624.16,37.32
FEB,9,3,5.73,19.76,0.25,NA,52.42,2.21,104.19,18.16,27.87,624.22,26.63
FEB,9,4,4.68,48.41,0.19,NA,42.63,2.72,96.07,17.54,27.7,624.11,23.3
FEB,9,5,5.69,21.5,0.15,NA,49.82,2.12,98.18,15.96,31.23,624.22,24.26
FEB,9,6,4.07,18.46,0.32,NA,31.83,1.2,132.03,14.86,33.93,624.56,24.23
FEB,9,7,3.51,8.83,0.52,NA,66.88,1.8,133.92,13.87,37.25,625.17,37.57
FEB,9,8,3.99,8.24,0.78,NA,77.4,1.91,127.14,13.11,47.71,625.69,30.88
