DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,3,11,11.05,45.11,0.85,15.53,31.73,3.58,74.3,18.89,50.78,627.62,9.91
MZO,3,12,12.7,35.04,0.49,14.2,39.15,3.45,70.23,20.71,45,627.24,10.54
MZO,3,13,14.38,34.17,0.41,14.95,39.18,2.66,76.77,22.31,40.72,626.63,18.14
MZO,3,14,15.56,29.07,0.42,16.45,46.72,1.78,92.5,23.62,37.35,625.84,21.5
MZO,3,15,18.31,36.83,0.62,15.9,58.23,1.32,86.98,24.76,35.27,624.86,19.15
MZO,3,16,17.63,26.88,0.45,16.66,51.63,1.85,81.43,25.15,33.84,624.24,24.69
MZO,3,17,20.53,10.25,0.37,13.27,67.59,2.3,54.58,24.98,33.11,623.85,23.81
MZO,3,18,18.62,21.79,0.42,14.34,56.57,3.43,56.68,24.11,34.91,623.97,17.35
MZO,3,19,15.48,8.16,0.38,14.14,67.28,3.94,53.48,21.45,41.24,624.69,14.26
MZO,3,20,13.54,6.54,0.4,12.31,69.1,3.7,51.33,18.9,47.88,625.61,11.25
MZO,3,21,11.11,6.29,0.41,14.18,61.09,2.99,66.87,17.36,52.36,626.27,5.81
MZO,3,22,9.83,30.34,0.8,16.86,29.57,3.93,58.37,16.63,54.77,626.89,8.21
MZO,3,23,4.64,79.99,2.25,22.3,43.07,4.78,61.69,16.4,56.18,627.02,25.87
MZO,4,0,4.93,97.64,2.61,21.15,53.23,4.02,66.83,15.96,58.46,627.15,30.47
MZO,4,1,5.96,95.22,1.61,16.05,40.81,3.83,70.84,15.38,60.79,627.24,24.15
MZO,4,2,4.86,115.51,2.16,20.26,27.04,4.03,58.77,15.12,62.48,627.06,20.16
MZO,4,3,5.74,109.33,1.31,18.87,41.84,3.06,66.79,15.05,63.21,626.88,19.1
MZO,4,4,5.01,120.29,0.93,20.77,26.12,2.06,95.04,14.12,67.11,626.7,20.53
MZO,4,5,4.63,87.25,0.58,19.23,42.71,1.44,99.89,13.55,69.5,626.55,36.09
MZO,4,6,4.83,33.72,0.41,15.42,35.05,1.34,113.76,13.34,69.78,626.69,10.2
MZO,4,7,4.38,44.95,0.47,18.18,11.96,2.57,103.02,12.96,71.8,626.93,8.91
MZO,4,8,4.31,71.9,0.46,21.35,26.31,2.53,95.12,13.57,70.74,627.32,24.13
MZO,4,9,4.91,89.2,0.49,21.19,59,1.8,86.21,15.3,66.07,627.6,26.58
MZO,4,10,6.16,52.32,0.43,18.51,58.19,1.83,89.07,16.78,61.7,627.84,17.95
MZO,4,11,7.25,46.56,0.41,18.32,42.41,1.34,103.19,18.51,56.32,627.72,22.58
MZO,4,12,10.5,46.57,0.46,18.63,48.91,1.06,132.84,20.4,51.04,627.13,23.26
MZO,4,13,16.34,39.96,0.62,19.91,60.91,1.01,227.31,22.21,44.99,626.27,31.52
MZO,4,14,21.76,18.97,0.62,19.57,66.97,1.34,265.92,23.38,40.99,625.61,27.02
MZO,4,15,23.31,11.89,0.66,18.86,62.23,1.2,264.23,24.77,36.63,624.72,21.26
MZO,4,16,31.3,8.41,0.53,16.75,58.02,1.1,285.94,25.52,33.22,623.9,22.27
MZO,4,17,27.79,6.46,0.5,17.14,59.99,1.1,256.38,26.09,30.1,623.53,23.34
MZO,4,18,20.71,6.16,0.58,21.11,53.27,1.18,218.17,25.58,31.09,623.61,18.34
MZO,4,19,16.69,5.93,0.71,24.17,47.86,1.22,209.38,25,31.87,623.78,20.34
MZO,4,20,9.88,7.21,0.78,26.74,50.75,2.07,158.11,22.49,41.09,624.09,22.25
MZO,4,21,8.31,6.87,0.78,26.94,83.68,1.85,105.95,21.19,44.8,624.51,21.07
MZO,4,22,7.83,52.78,0.87,25.59,80.82,3.36,68.61,20.76,49.63,625.23,25.11
MZO,4,23,6.52,76.85,0.56,20.38,67.41,3,78.6,19.4,58.65,625.4,21.68
MZO,5,0,7.66,30.67,0.55,16.05,41.01,2.3,49.62,18.98,57.99,625.6,22.99
MZO,5,1,11.2,13.22,0.38,13.66,34.44,2.67,52.07,17.32,62.39,625.67,12.73
MZO,5,2,11.39,11.92,0.35,12.68,32.85,2.65,56.28,16.56,65.09,625.61,14.54
MZO,5,3,12.57,11.08,0.33,11.94,52.15,2.23,59.22,16.2,65.75,625.58,8.78
MZO,5,4,10.61,27.23,0.63,14.72,17.23,2.24,54.92,16.14,65.13,625.35,8.51
MZO,5,5,4.66,60.91,0.57,17.16,24.76,1.65,90.55,15.55,67.65,625.42,19.23
MZO,5,6,5.77,76.81,0.7,15.78,30.59,1.6,67.42,15.45,67.02,625.51,17.43
MZO,5,7,5.81,34.45,0.44,15.1,29.53,1.34,107.85,14.55,70.37,625.92,15.42
MZO,5,8,4.93,21.46,0.51,17.99,28.53,1,108.24,14.33,71.9,626.48,14.96
MZO,5,9,4.83,25.98,0.51,17.56,33.82,1.13,122.28,16.04,66.31,626.76,11.42
MZO,5,10,5.84,37.42,0.45,18.45,40.89,2.19,100.34,18.34,59.4,626.75,15.34
MZO,5,11,9.37,31.48,0.38,18.11,45.61,2.32,107.15,19.91,53.98,626.55,27.75
MZO,5,12,14.35,23.85,0.42,16.39,41.51,1.72,140.74,21.76,47.82,626.04,15.93
MZO,5,13,16.64,16.35,0.46,16.64,35.43,1.68,194.71,23.28,42.65,625.26,17.52
MZO,5,14,24.07,21.46,0.57,16.17,39.71,1.7,245.66,24.45,37.85,624.47,18.72
MZO,5,15,26.4,13.05,0.5,15.27,48.59,1.89,279.04,25.62,28.96,623.62,18.35
MZO,5,16,27.71,6.95,0.4,13.39,29.87,1.48,299.08,25.95,26.21,622.98,17.44
MZO,5,17,27.53,6.1,0.4,14.25,28.96,1.5,222.94,26.78,25.14,622.65,7.55
MZO,5,18,26.36,8.18,0.41,15.13,31.88,1.74,134.25,26.18,27.05,622.54,23.26
MZO,5,19,25.67,4.06,0.46,15.28,26.95,1.39,288.05,25.69,25.69,622.62,14.19
MZO,5,20,16.42,4,0.65,24.78,33.5,1.3,297.08,24.14,29.78,622.81,18.29
MZO,5,21,5.43,4.17,1.22,35.1,69.82,0.86,296.53,23.3,32.53,623.01,20.63
MZO,5,22,6.31,11.51,0.97,31.84,92.33,1.73,61.35,21.95,36.74,623.5,26.11
MZO,5,23,8.53,69.24,0.54,22.59,76.82,3.49,69.45,20.86,42.23,623.99,19.42
MZO,6,0,6.49,64.56,0.4,23.15,54.04,4.48,67.41,19.98,44.16,624.19,23.99
MZO,6,1,7.72,69.02,0.9,21.99,51.42,2.82,71.3,19.11,45.57,624.26,20.74
MZO,6,2,8.41,112.68,0.83,20.69,40.99,3.26,74.45,19.02,46.56,623.98,19.93
MZO,6,3,11.45,60.09,0.67,14.67,29.62,2.55,60.39,18.6,47.81,623.77,17.53
