DATOS HORARIOS 2017_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,WS,WD,TEMP,HR,PBAR,PM2.5
NOV,3,11,18.42,32.13,0.99,16.68,45.12,2.36,111.33,24.91,38.76,626.44,37.33
NOV,3,12,23.38,30.38,0.89,12.84,36.75,3.45,99.03,26.89,28.01,625.87,20.68
NOV,3,13,25.93,25.71,0.86,10.88,28.21,3.56,100.49,28.36,22.38,625.02,14.92
NOV,3,14,27.59,25.06,1.15,12.88,32.43,3.03,103.43,29.51,22.38,624.15,11.46
NOV,3,15,27.7,11.69,1.06,6.62,23.1,2.34,81.64,30.42,20.96,623.52,10.88
NOV,3,16,31.94,3.64,0.85,6.29,41.51,2.35,64.46,30.51,22.14,622.99,7.56
NOV,3,17,30.7,3.09,0.82,6.26,29.26,3.42,51.35,30.27,22.05,622.76,3.93
NOV,3,18,24.67,5.05,0.85,9.94,23.98,3.24,45.46,29.19,23.99,622.93,1.44
NOV,3,19,20.15,5.49,0.92,12.33,37.16,2.74,46.08,27.34,28.62,623.34,0.4
NOV,3,20,20.03,19.05,1.35,8.92,33.07,3.16,49,25.82,31.28,623.92,2.77
NOV,3,21,12.38,150.38,1.38,13.28,44,3.35,70.51,24.35,34.19,624.5,3.75
NOV,3,22,13.92,108.53,0.85,11.81,30.66,3.36,78.95,23.49,34.17,624.86,16.27
NOV,3,23,12.1,64.72,0.83,17.87,37.2,2.89,83.84,21.58,38.34,625.09,10.62
NOV,4,0,10.32,50.84,0.87,19.84,46.95,2.16,99.86,20.44,42.57,625.16,28.65
NOV,4,1,9.54,16.57,1,24.57,41.75,2.02,124.31,19.25,41.82,625.05,26.82
NOV,4,2,9.58,12.59,1.02,25.17,44.4,1.9,115.62,18.56,43.9,624.98,7.4
NOV,4,3,10.31,74.11,0.9,21.44,51.61,1.86,86.52,18.63,47.45,624.81,14.46
NOV,4,4,9.66,65.21,0.92,23.71,51.12,1.47,94.38,17.68,50.68,624.75,35.24
NOV,4,5,9.4,25.41,0.94,23.75,41.65,1.72,100.04,16.79,52.97,624.7,31.7
NOV,4,6,9.67,23.19,1.05,23.5,40.76,1.57,106.11,16.08,56.14,624.85,16.24
NOV,4,7,9.62,16.77,1.27,22.46,51.48,1.07,124.68,15.35,59.39,625.32,21.14
NOV,4,8,9.37,36.53,1.43,21.48,51.71,0.96,100.04,16.13,58.55,625.84,22.49
NOV,4,9,10.16,49.5,1.23,20.74,64.62,1.94,99.78,17.9,55.12,625.91,24.95
NOV,4,10,11.55,56.26,1.14,20.95,58.82,1.92,101.59,21.36,46.49,625.87,35.32
NOV,4,11,18.71,23.73,1.01,14.16,43.78,2.72,104.81,24.55,34.3,625.67,39.26
NOV,4,12,23.67,29.35,0.95,12.35,34.99,2.85,112.12,26.47,28.97,624.93,10.39
NOV,4,13,25.63,40.65,0.93,11.21,40.42,2.9,97.94,28.28,24.58,623.94,10.35
NOV,4,14,25.5,18.67,1.11,6.13,27.76,3.08,63.71,29.41,20.63,622.95,18.12
NOV,4,15,29.06,3.97,0.84,4.59,19.04,3.59,57.81,29.9,19.78,622.41,1.91
NOV,4,16,29.62,3.35,0.86,5.9,25.46,3.53,80.96,30.28,17.37,621.98,4.86
NOV,4,17,28.99,3.11,0.83,4.58,33.91,2.91,60.39,30.25,17.56,621.81,4.99
NOV,4,18,24.08,22.98,1.4,5.62,35.72,4.58,51.56,28.81,16.92,622.07,3.58
NOV,4,19,23.53,18.93,0.86,8.45,29.57,3.86,48.87,26.51,21.75,622.44,4.7
NOV,4,20,23.13,3.78,0.85,7.2,27.68,3.73,51.22,24.7,26.25,622.89,4.29
NOV,4,21,20.53,3.23,0.88,8.83,24.85,2.59,49.08,23.44,27.86,623.44,4.04
NOV,4,22,21.92,2.92,0.82,6.99,21.31,2.71,53.31,22.67,19.64,623.7,4.96
NOV,4,23,15.16,36.08,0.93,15.66,26.78,3.9,96.37,20.71,27.41,624,3.82
NOV,5,0,10.56,72.93,0.86,18.37,54.26,3.21,91.12,19.4,37.77,624.32,17.18
NOV,5,1,9.82,43.43,0.85,14.42,46.21,3.06,99.93,18.53,41.29,624.48,NA
NOV,5,2,11.74,52.77,0.84,13.93,38.28,3.14,81.96,17.35,50.46,624.43,18.63
NOV,5,3,12.22,52.87,0.83,10.9,37.3,2.51,73.31,16.65,52.71,624.25,24.14
NOV,5,4,12.19,83.35,0.85,12.29,32.41,2.6,80.69,15.79,58.67,624.26,22.83
NOV,5,5,11.62,78.52,0.85,12.55,39.45,3.07,78.45,14.72,66.35,624.34,31.24
NOV,5,6,11.51,35.74,0.84,9.44,39.87,2.45,90.91,14.37,68.33,624.48,31.3
NOV,5,7,9.4,20.92,0.91,12.5,29.2,1.74,94.47,12.95,71.9,624.87,21.83
NOV,5,8,9.51,19.37,1.04,14.08,26.54,1.57,95.99,13.91,71.91,625.43,19.68
NOV,5,9,10.5,42.89,1.14,15.09,40,1.93,110.09,15.88,65.69,625.75,24.65
NOV,5,10,13.49,61.48,1.13,15.44,49.1,1.45,138.17,18.88,55.24,625.92,32.47
NOV,5,11,19.97,89.04,1.31,15.78,45.63,1.77,108.41,22.13,41.67,625.62,25.07
NOV,5,12,26.87,57.7,1.23,13.11,41.77,1.51,226.98,24.16,32.07,624.99,34.84
NOV,5,13,33.89,48.77,1.3,14.01,51.7,1.74,220.18,25.95,27.79,624.17,22.97
NOV,5,14,34.78,47.41,1.69,10.83,43.01,1.96,109.53,28.24,20.59,623.17,34.5
NOV,5,15,29.78,5.2,0.84,4.19,24.94,3.9,65.23,29.35,10.87,622.55,14.48
NOV,5,16,32.4,3.69,0.85,4.2,17.24,3.65,73.5,29.64,12.39,622.05,NA
NOV,5,17,31.66,3.28,0.82,4.22,19.81,3.3,65.09,30.03,12.58,621.85,NA
NOV,5,18,28.81,2.86,0.84,5.98,23.39,3.6,54.59,28.92,9.29,622.12,NA
NOV,5,19,20.07,3.25,1.05,16.18,31.99,2.16,75.82,25.91,11.55,622.57,0.33
NOV,5,20,21.18,3.08,0.95,12.83,32.22,2.65,66.53,23.78,12.94,622.98,1.96
NOV,5,21,21.67,3.33,0.91,11.05,26.71,2.52,55.85,22.71,12.92,623.58,2.99
NOV,5,22,19.72,15.07,1,14.96,22.34,3.44,84.93,21.56,15.96,623.9,3.02
NOV,5,23,14.64,52.5,0.84,17.4,33.8,3.43,77.29,20.29,20.46,624.15,11.49
NOV,6,0,13.81,149.71,0.84,24.75,46.94,2.88,85.79,19.54,25.21,624.39,12.23
NOV,6,1,11.24,89.58,0.99,22.6,56.56,1.38,91.55,18.02,30.72,624.47,NA
NOV,6,2,9.54,20.76,1.01,22.85,33.56,1.02,306.35,16.34,35.03,624.37,27.23
NOV,6,3,13.3,37.49,0.85,13.65,30.96,2.63,83.96,15.72,44.04,624.31,7.86
NOV,6,4,12.47,40.26,0.87,15.79,37.79,1.81,84.73,15.62,45.04,624.14,19.38
NOV,6,5,10.76,20.29,0.89,17.86,26.91,1.66,110.04,14.17,49.09,624.38,12.78
NOV,6,6,8.93,10.09,0.92,18.9,31.35,1.05,312.03,12.19,53.02,624.47,12.06
NOV,6,7,8.79,6.78,1.15,19.84,26.32,0.88,67.19,11.78,55.11,624.76,8.27
NOV,6,8,9.72,17.09,1.46,19.95,41.98,1.89,114.81,13.12,56.38,625.3,5.79
NOV,6,9,11.42,42.78,1.48,21.34,66.32,2.03,122.4,14.98,52.56,625.84,25.54
NOV,6,10,14.64,64.06,1.24,20.99,77.03,2.12,115.05,18.52,42.25,626.16,42.21
NOV,6,11,19.69,43.09,1.18,21.88,75,1.9,128.04,21.88,33.18,625.94,37.81
NOV,6,12,25.73,39.24,1.04,20.48,58.15,2.28,125.6,24.82,21.14,625.26,24.5
NOV,6,13,35.61,48.82,1.04,16.88,55.55,1.93,147.18,26.6,21.33,624.54,18.57
NOV,6,14,44.51,60.28,1.23,17.68,56.64,1.47,144.9,28.18,20.8,623.67,20.72
NOV,6,15,40.4,46.51,1.26,16.5,52.37,2.05,126.09,29.53,14.03,622.83,29.7
NOV,6,16,35.23,16.81,1.07,13.68,40.04,2.33,110.6,30.04,10.64,622.49,17.79
NOV,6,17,33.82,19.38,1.14,18.12,35.79,1.93,154.38,30.42,10.44,622.4,11.71
NOV,6,18,28.76,5.9,1.43,27.91,55.83,1.91,163.53,29.57,11.39,622.57,16.04
NOV,6,19,10.54,7.98,2.64,56.55,76.31,1.62,259.01,27.41,15.26,622.84,11.22
NOV,6,20,10.68,14.01,2.16,57.47,117.11,1.85,334.68,24.82,21.38,623.17,23.34
NOV,6,21,19.13,5.07,1.1,17.91,87.88,2.48,44.14,23.31,19.54,623.78,45.64
