DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
JUN,1,0,33.01,41.53,5.77,3.10,22,NA
JUN,1,1,32.19,38.84,5.76,3.07,19,NA
JUN,1,2,32.91,36.75,5.78,3.02,16,NA
JUN,1,3,32.14,34.69,5.74,2.98,14,NA
JUN,1,4,34.26,33.91,5.74,2.96,13,NA
JUN,1,5,31.98,32.96,5.77,2.94,14,NA
JUN,1,6,29.19,32.28,5.82,2.93,16,NA
JUN,1,7,25.02,31.34,5.95,2.94,17,NA
JUN,1,8,29.05,30.84,6.13,2.94,19,NA
JUN,1,9,37.35,31.49,6.24,2.94,20,NA
JUN,1,10,38.62,32.20,6.33,2.95,21,NA
JUN,1,11,44.23,33.71,6.41,2.96,20,NA
JUN,1,12,50.59,35.75,6.48,2.97,22,NA
JUN,1,13,53.21,38.41,6.57,2.98,20,NA
JUN,1,14,56.38,41.81,6.62,2.98,19,NA
JUN,1,15,58.61,46.00,5.97,2.97,15,NA
JUN,1,16,52.82,48.97,5.62,2.97,20,NA
JUN,1,17,51.81,50.78,5.29,2.99,18,NA
JUN,1,18,49.12,52.09,4.83,3.00,22,NA
JUN,1,19,37.94,51.31,4.77,3.01,61,NA
JUN,1,20,33.79,49.21,4.87,3.03,116,NA
JUN,1,21,29.06,46.19,4.97,3.04,70,NA
JUN,1,22,25.51,42.33,5.11,3.06,46,NA
JUN,1,23,29.74,38.72,5.34,3.06,34,NA
JUN,2,0,27.21,35.52,5.53,3.05,27,NA
JUN,2,1,26.45,32.35,5.60,3.03,26,NA
JUN,2,2,24.52,29.28,5.60,3.02,19,NA
JUN,2,3,20.74,27.13,5.58,3.00,17,NA
JUN,2,4,21.21,25.55,5.58,2.97,15,NA
JUN,2,5,21.29,24.58,5.82,2.95,14,NA
JUN,2,6,18.74,23.74,5.95,2.95,13,NA
JUN,2,7,18.44,22.33,5.95,2.95,15,NA
JUN,2,8,22.94,21.79,5.89,2.96,15,NA
JUN,2,9,28.31,22.02,5.89,2.97,17,NA
JUN,2,10,31.92,22.95,5.89,2.97,19,NA
JUN,2,11,37.82,25.08,5.91,2.98,18,NA
JUN,2,12,43.78,27.90,5.92,2.99,19,NA
JUN,2,13,52.89,31.85,6.01,3.01,34,NA
JUN,2,14,61.08,37.15,6.44,3.04,37,NA
JUN,2,15,55.77,41.81,7.37,3.08,27,NA
JUN,2,16,48.72,45.04,7.92,3.13,27,NA
JUN,2,17,44.73,47.09,8.13,3.15,36,NA
