DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.
JUL,7,9,23.85,21.28,6.32,2.032,9.52,16
JUL,7,10,32.16,21.2,6.28,2.036,7.52,15
JUL,7,11,36.11,21.88,6.23,2.039,8.16,14
JUL,7,12,41.27,23.54,6.19,2.04,6.01,14
JUL,7,13,44.04,26.22,6.14,2.042,7.1,11
JUL,7,14,44.00,30.23,6.06,2.031,6.04,10
JUL,7,15,47.52,34.98,5.89,2.015,5.08,6
JUL,7,16,52.57,40.19,5.78,2.015,4.52,10
JUL,7,17,52.36,43.75,5.71,2.027,4.44,13
JUL,7,18,52.13,46.25,5.67,2.042,4.53,15
JUL,7,19,46.08,47.5,5.63,2.064,9.25,44
JUL,7,20,39.17,47.23,5.6,2.083,10.78,49
JUL,7,21,33.39,45.9,5.55,2.102,10.18,32
JUL,7,22,29.42,44.08,5.33,2.123,10.35,25
JUL,7,23,33.66,42.35,5.17,2.127,6.85,18
JUL,8,0,31.19,39.67,5.06,2.116,8.36,15
JUL,8,1,28.21,36.66,4.97,2.104,7.38,12
JUL,8,2,19.16,32.53,4.93,2.09,10.34,12
JUL,8,3,21.87,29.51,4.92,2.072,10.65,12
JUL,8,4,20.91,27.23,4.91,2.06,11.86,14
JUL,8,5,16.58,25.12,4.95,2.049,14.75,22
JUL,8,6,15.10,23.34,4.98,2.042,12.83,20
JUL,8,7,13.78,20.85,4.97,2.056,11.5,18
JUL,8,8,17.42,19.13,4.94,2.065,10.08,12
JUL,8,9,18.34,17.9,4.92,2.067,9.2,15
JUL,8,10,24.22,18.53,4.91,2.063,7.01,14
JUL,8,11,28.08,19.3,4.91,2.062,7.97,12
JUL,8,12,32.98,20.81,4.93,2.055,6.93,13
JUL,8,13,35.37,23.16,4.94,2.044,6.08,11
JUL,8,14,34.35,25.57,4.92,2.028,5.67,10
JUL,8,15,31.53,27.79,4.93,2.011,4.55,11
JUL,8,16,29.62,29.31,4.9,2.007,6.42,23
JUL,8,17,24.41,30.07,4.88,2.013,6.95,22
JUL,8,18,13.43,28.72,4.85,2.04,8.57,34
JUL,8,19,11.47,26.65,4.82,2.064,6.88,53
JUL,8,20,11.95,24.02,4.81,2.085,7.66,31
JUL,8,21,8.11,20.61,4.8,2.103,10.53,22
JUL,8,22,7.51,17.25,4.79,2.116,9.77,16
JUL,8,23,10.45,14.62,4.77,2.112,7.74,14
JUL,9,0,8.76,12.01,4.74,2.104,9.43,9
JUL,9,1,8.04,9.96,4.76,2.089,7.18,6
JUL,9,2,12.81,9.89,4.79,2.055,5.86,7
JUL,9,3,11.97,9.95,4.79,2.021,6.33,5
JUL,9,4,11.63,9.91,4.81,1.991,7.89,4
JUL,9,5,5.85,9.63,4.79,1.969,9.58,6
JUL,9,6,3.24,9.09,4.74,1.962,10.92,4
JUL,9,7,3.80,8.26,4.69,1.97,13.76,7
JUL,9,8,2.80,7.52,4.67,1.998,13.58,11
JUL,9,9,7.27,7.42,4.75,2.013,11.88,17
JUL,9,10,11.80,7.3,4.87,2.023,10.09,14
JUL,9,11,14.95,7.67,4.97,2.042,8.63,16
JUL,9,12,19.44,8.64,5.03,2.056,8.5,14
JUL,9,13,24.83,11.02,5.17,2.091,9.31,9
JUL,9,14,31.32,14.53,5.59,2.11,10.06,11
JUL,9,15,28.48,17.61,6.24,2.156,7.5,12
JUL,9,16,20.00,19.76,6.64,2.148,6.19,14
JUL,9,17,15.44,20.78,6.89,2.153,10.3,15
JUL,9,18,17.87,21.54,7.08,2.162,10.96,15
JUL,9,19,24.43,22.73,7.28,2.166,6.71,22
JUL,9,20,22.99,23.17,7.43,2.173,6.79,25
JUL,9,21,20.26,22.6,7.53,2.16,6.83,53
JUL,9,22,21.68,21.39,7.63,2.143,9.11,37
JUL,9,23,23.35,20.75,7.76,2.114,8.64,23
JUL,10,0,NA,NA,NA,NA,6.45,NA
JUL,10,1,NA,NA,NA,NA,7.28,NA
JUL,10,2,NA,NA,NA,NA,6.91,NA
JUL,10,3,NA,NA,NA,NA,7.11,NA
JUL,10,4,NA,NA,NA,NA,9.92,NA
JUL,10,5,NA,NA,NA,NA,10.67,NA
JUL,10,6,NA,NA,NA,NA,13.47,NA
JUL,10,7,NA,NA,NA,NA,20.21,NA
JUL,10,8,NA,NA,NA,NA,17.68,NA
JUL,10,9,NA,NA,NA,NA,12.72,NA
JUL,10,10,NA,NA,NA,NA,9.82,NA
JUL,10,11,36.26,NA,NA,NA,10.39,NA
JUL,10,12,45.58,NA,NA,NA,8.96,21
JUL,10,13,50.75,NA,NA,NA,9.61,25
JUL,10,14,49.52,NA,NA,NA,9.2,20
JUL,10,15,48.75,NA,NA,NA,7.09,14
JUL,10,16,49.27,46.69,NA,2.342,6.88,8
JUL,10,17,51.92,47.43,NA,2.324,7.99,44
JUL,10,18,56.42,48.56,NA,2.312,8.26,55
JUL,10,19,54.35,50.82,NA,2.291,11.38,34
JUL,10,20,42.08,50.38,NA,2.291,19.77,33
JUL,10,21,35.01,48.41,NA,2.254,13.24,30
JUL,10,22,28.94,45.84,NA,2.251,11.84,26
JUL,10,23,26.46,43.05,NA,2.251,7.99,27
JUL,11,0,19.45,39.33,NA,2.256,8.08,27
JUL,11,1,19.87,35.32,NA,2.248,6.75,22
JUL,11,2,22.17,31.04,NA,2.237,7.47,21
JUL,11,3,20.93,26.86,NA,2.217,7.53,23
JUL,11,4,20.90,24.21,6.31,2.18,6.33,22
JUL,11,5,15.47,21.77,6.17,2.165,9.35,19
JUL,11,6,10.34,19.45,5.96,2.172,11.68,21
JUL,11,7,6.65,16.97,5.75,2.197,15.21,26
JUL,11,8,10.29,15.83,5.54,2.217,11.49,23
JUL,11,9,15.19,15.24,5.34,2.234,9.32,25
JUL,11,10,24.93,15.59,5.15,2.249,7.06,25
JUL,11,11,32.16,16.99,4.95,2.26,7.35,23
JUL,11,12,37.25,19.04,4.9,2.271,7.34,20
JUL,11,13,41.91,22.34,4.49,2.282,7.55,19
JUL,11,14,44.52,26.61,4.21,2.282,8.05,21
JUL,11,15,41.97,31.03,4.06,2.261,6.64,19
JUL,11,16,38.61,34.57,3.99,2.239,7.19,16
JUL,11,17,36.65,37.25,4.03,2.263,5.31,17
JUL,11,18,34.10,38.4,4.19,2.264,7.99,25
JUL,11,19,27.79,37.85,4.02,2.295,5.75,43
JUL,11,20,12.23,34.72,3.82,2.366,16.61,27
JUL,11,21,9.40,30.66,3.6,2.417,17.49,23
JUL,11,22,15.41,27.02,3.37,2.411,11.12,26
JUL,11,23,12.43,23.33,3.04,2.414,9.87,21
JUL,12,0,15.16,20.4,2.71,2.409,6.49,16
JUL,12,1,14.24,17.6,2.65,2.369,5.81,11
JUL,12,2,12.40,14.88,2.76,2.354,6.04,12
JUL,12,3,12.64,12.99,2.76,2.312,6.14,11
JUL,12,4,14.13,13.23,2.72,2.234,7.26,10
JUL,12,5,8.05,13.06,2.71,2.171,7.56,9
JUL,12,6,8.74,12.22,2.78,2.166,8.13,11
JUL,12,7,6.32,11.46,2.85,2.17,10.61,15
JUL,12,8,9.88,10.8,2.94,2.205,9.65,15
JUL,12,9,17.10,11.16,3.05,2.219,6.34,14
JUL,12,10,24.01,12.61,3.16,2.229,5.97,14
JUL,12,11,28.45,14.59,3.28,2.239,5.53,13
JUL,12,12,32.38,16.87,3.27,2.249,6.02,11
JUL,12,13,37.16,20.51,3.24,2.262,5.16,10
JUL,12,14,40.77,24.51,3.2,2.265,5.83,11
JUL,12,15,45.34,29.39,3.16,2.253,5.62,12
JUL,12,16,47.98,34.15,3.17,2.221,5.77,16
JUL,12,17,50.87,38.37,3.1,2.205,5.36,16
JUL,12,18,47.42,41.3,2.85,2.196,5.77,19
JUL,12,19,33.09,41.88,2.85,2.195,5.06,32
JUL,12,20,29.44,41.51,2.87,2.198,6.94,30
JUL,12,21,25.05,39.99,2.82,2.208,10.44,26
JUL,12,22,24.19,37.92,2.78,2.212,8.25,22
JUL,12,23,18.55,34.57,2.77,2.216,10.71,21
JUL,13,0,21.05,31.21,2.78,2.214,9.34,18
JUL,13,1,8.97,25.97,2.8,2.218,15.91,11
JUL,13,2,5.72,20.76,2.81,2.22,17.17,12
JUL,13,3,1.41,16.8,2.83,2.214,21.42,15
JUL,13,4,2.77,13.46,2.83,2.206,21.02,14
JUL,13,5,1.26,10.49,2.87,2.19,19.51,16
JUL,13,6,0.56,7.53,2.93,2.185,17.46,19
JUL,13,7,1.53,5.41,3.02,2.199,17.28,20
JUL,13,8,4.32,3.32,3.13,2.237,17.04,24
JUL,13,9,15.51,4.13,3.27,2.253,19.51,26
JUL,13,10,23.86,6.4,3.45,2.259,10.75,27
JUL,13,11,33.76,10.45,3.6,2.261,7.3,34
JUL,13,12,31.65,14.06,3.7,2.266,7.41,34
JUL,13,13,58.74,21.24,4.2,2.269,10.41,NA
JUL,13,14,57.12,28.31,4.56,2.267,9.1,NA
JUL,13,15,60.13,35.64,4.76,2.245,7.31,NA
JUL,13,16,65.55,43.29,4.87,2.21,5.49,28
JUL,13,17,71.10,50.24,5,2.194,6.89,25
JUL,13,18,70.89,56.12,5.13,2.187,6.95,25
JUL,13,19,68.11,60.41,5.28,2.187,8.26,32
JUL,13,20,55.19,63.35,5.41,2.209,15.98,34
JUL,13,21,39.11,60.9,5.62,2.252,20.71,37
JUL,13,22,27.64,57.21,6.24,2.262,12.46,38
JUL,13,23,25.62,52.9,6.55,2.263,10.85,36
JUL,14,0,13.46,46.39,6.87,2.26,13.29,33
JUL,14,1,6.53,38.32,7.15,2.269,15.14,35
JUL,14,2,4.13,29.97,7.36,2.271,20.99,35
JUL,14,3,8.61,22.54,7.47,2.265,17.45,31
JUL,14,4,11.90,17.12,7.56,2.233,12.52,26
JUL,14,5,13.57,13.93,7.69,2.186,15.47,25
JUL,14,6,1.53,10.67,7.87,2.202,21.04,31
JUL,14,7,2.51,7.78,8.06,2.238,21.04,31
JUL,14,8,5.53,6.79,8.14,2.272,20.68,NA
JUL,14,9,20.24,8.5,8.26,2.281,23.51,NA
JUL,14,10,27.76,11.46,8.36,2.291,13.52,NA
JUL,14,11,51.38,16.8,9.45,2.308,13.13,NA
JUL,14,12,78.67,25.15,10.92,2.327,8.45,NA
JUL,14,13,86.32,34.24,11.09,2.339,6.86,NA
JUL,14,14,52.54,40.62,10.97,2.313,5.55,NA
JUL,14,15,74.55,49.63,11,2.28,5.5,NA
JUL,14,16,84.60,59.51,11.22,2.248,8.05,NA
JUL,14,17,81.04,67.11,11.3,2.229,7.87,NA
JUL,14,18,77.65,73.34,11.33,2.221,7.7,NA
JUL,14,19,68.68,75.51,11.34,2.219,10.66,NA
JUL,14,20,55.99,72.67,11.35,2.231,12.44,NA
JUL,14,21,37.57,66.58,11.31,2.27,20.92,NA
JUL,14,22,29.65,63.72,10.88,2.304,31.52,NA
JUL,14,23,29.00,58.02,10.83,2.3,9.86,NA
JUL,15,0,20.65,50.03,10.7,2.301,9.42,NA
JUL,15,1,16.18,41.92,10.53,2.303,10.63,NA
JUL,15,2,18.75,34.56,10.4,2.301,9.19,NA
JUL,15,3,21.35,28.64,10.47,2.29,8.35,NA
JUL,15,4,19.21,24.04,10.6,2.261,9.31,NA
JUL,15,5,16.82,21.45,10.56,2.207,9.12,NA
JUL,15,6,10.79,19.09,10.43,2.18,12.76,NA
JUL,15,7,8.74,16.56,10.33,2.201,15.59,NA
JUL,15,8,8.91,15.09,10.26,2.225,13.65,NA
JUL,15,9,20.61,15.64,10.09,2.241,9.79,NA
JUL,15,10,34.29,17.59,9.9,2.248,8.32,NA
JUL,15,11,38.33,19.71,8.71,2.259,8.77,36
JUL,15,12,44.16,22.83,7.18,2.273,7.07,40
JUL,15,13,41.91,25.97,6.56,2.282,6.82,40
JUL,15,14,47.97,30.61,6.35,2.281,7.24,43
JUL,15,15,43.55,34.97,6.19,2.269,7.46,43
JUL,15,16,48.26,39.88,5.93,2.248,8.29,45
JUL,15,17,48.16,43.33,5.75,2.236,7.71,46
JUL,15,18,49.15,45.19,5.71,2.233,7.59,47
JUL,15,19,50.91,46.76,5.75,2.231,8.67,48
JUL,15,20,49.18,47.39,5.76,2.245,8.24,67
JUL,15,21,45.51,47.84,5.73,2.26,10.5,60
JUL,15,22,34.03,46.09,5.92,2.259,7.38,95
JUL,15,23,29.94,44.39,5.97,2.253,9.87,115
JUL,16,0,28.03,41.86,6.01,2.251,7.74,74
JUL,16,1,20.56,38.41,6.02,2.248,8.3,46
JUL,16,2,15.71,34.23,6.03,2.242,8,38
JUL,16,3,10.36,29.17,5.91,2.232,9.66,39
JUL,16,4,12.58,24.59,5.74,2.203,9.06,42
JUL,16,5,17.17,21.05,5.67,2.182,7.22,39
JUL,16,6,14.03,18.55,5.61,2.185,8.76,39
JUL,16,7,10.66,16.14,5.5,2.206,10.98,46
JUL,16,8,12.73,14.23,5.46,2.228,9.12,52
JUL,16,9,21.59,14.36,5.41,2.244,7.92,50
JUL,16,10,29.33,16.06,5.4,2.255,8.15,45
JUL,16,11,43.36,20.18,5.41,2.263,7.82,51
JUL,16,12,52.08,25.12,5.4,2.274,6.29,168
JUL,16,13,59.42,30.4,5.4,2.283,4.83,125
JUL,16,14,70.47,37.46,5.5,2.293,6.03,79
JUL,16,15,74.49,45.43,6.26,2.279,6.73,57
JUL,16,16,61.43,51.52,6.49,2.263,6.58,45
JUL,16,17,56.34,55.86,6.51,2.248,7.2,31
JUL,16,18,53.63,58.9,6.55,2.25,6.34,28
JUL,16,19,38.08,58.24,6.6,2.289,10.13,28
JUL,16,20,27.05,55.11,6.72,2.323,17.53,33
JUL,16,21,21.83,50.41,7.04,2.336,16.5,35
JUL,16,22,18.96,43.98,7.59,2.325,7.83,39
JUL,16,23,16.64,36.74,7.59,2.317,6.62,47
JUL,17,0,18.93,31.43,7.54,2.311,5.29,47
JUL,17,1,16.13,26.41,7.47,2.308,6.58,42
JUL,17,2,22.60,22.53,7.36,2.293,5.15,42
JUL,17,3,22.95,20.64,7.25,2.246,6.02,46
JUL,17,4,20.55,19.82,7.16,2.201,7.7,48
JUL,17,5,13.98,18.84,7.08,2.177,7.34,55
JUL,17,6,13.66,18.18,7.05,2.185,12.22,56
JUL,17,7,5.98,16.85,7.04,2.207,13.02,57
JUL,17,8,9.73,15.7,6.99,2.23,12.83,57
JUL,17,9,17.74,15.9,6.95,2.249,8.12,59
JUL,17,10,29.43,16.75,6.87,2.259,7.95,57
JUL,17,11,41.65,19.09,6.82,2.265,6.3,53
JUL,17,12,51.99,23.02,6.81,2.272,6.68,52
JUL,17,13,56.65,28.35,6.79,2.277,6.98,53
JUL,17,14,55.06,33.53,6.63,2.265,5.47,47
JUL,17,15,56.18,39.8,5.78,2.241,5.52,37
JUL,17,16,60.35,46.13,5.41,2.22,5.23,35
JUL,17,17,64.31,51.95,5.39,2.203,5.28,35
JUL,17,18,68.35,56.82,5.31,2.202,4.57,34
JUL,17,19,55.24,58.52,5.77,2.215,5.4,41
JUL,17,20,40.49,57.08,5.83,2.228,10.55,55
JUL,17,21,49.61,56.2,5.46,2.229,9.1,66
JUL,17,22,49.93,55.56,4.56,2.228,8.61,55
JUL,17,23,47.24,54.44,4.27,2.227,7,42
JUL,18,0,48.43,52.95,4.08,2.224,6.53,31
JUL,18,1,38.44,49.72,4,2.227,8.14,25
JUL,18,2,26.73,44.51,4.05,2.219,11.25,28
JUL,18,3,31.07,41.49,4.17,2.202,8.95,30
JUL,18,4,30.96,40.3,4.29,2.185,11.41,25
JUL,18,5,26.14,37.37,4.37,2.181,15.41,27
JUL,18,6,14.89,32.99,4.4,2.195,17.22,30
JUL,18,7,0.89,27.19,4.55,2.228,23.83,36
JUL,18,8,4.67,21.72,4.7,2.269,21.83,46
JUL,18,9,17.26,19.08,4.98,2.286,15.16,50
JUL,18,10,30.67,19.57,5.2,2.302,11.17,49
JUL,18,11,40.36,20.73,5.35,2.32,11.28,52
JUL,18,12,56.32,23.9,5.45,2.339,10.05,58
JUL,18,13,70.63,29.46,5.56,2.353,7.67,60
JUL,18,14,73.47,36.78,5.69,2.344,8.39,48
JUL,18,15,72.61,45.75,5.91,2.315,7.55,40
JUL,18,16,73.84,54.4,6.19,2.279,7.9,34
JUL,18,17,69.00,60.86,6.35,2.271,6.25,35
JUL,18,18,50.55,63.35,6.63,2.281,7.79,45
JUL,18,19,49.96,64.55,6.14,2.283,10.32,41
JUL,18,20,49.80,63.73,5.94,2.28,11.64,46
JUL,18,21,43.73,60.37,5.99,2.286,10.28,45
JUL,18,22,37.54,55.88,6.05,2.296,9.44,42
JUL,18,23,33.55,51,6.14,2.309,12.94,39
JUL,19,0,32.76,45.86,6.27,2.319,13.57,36
JUL,19,1,32.57,41.31,6.37,2.316,9.68,29
JUL,19,2,27.01,38.37,6.38,2.297,9.54,29
JUL,19,3,30.59,35.94,6.27,2.284,9.14,33
JUL,19,4,34.55,34.04,6.16,2.274,9.02,30
JUL,19,5,30.95,32.44,6.08,2.264,9.73,28
JUL,19,6,30.09,31.51,5.99,2.27,10.29,25
JUL,19,7,22.25,30.1,5.77,2.278,12.24,23
JUL,19,8,20.22,28.53,5.56,2.299,11.38,26
JUL,19,9,22.60,27.28,5.28,2.322,10.31,31
JUL,19,10,25.81,27.13,5.15,2.341,9.99,47
JUL,19,11,40.26,28.34,5.07,2.355,8.29,93
JUL,19,12,50.26,30.3,4.96,2.361,6.63,91
JUL,19,13,57.21,33.59,4.85,2.364,6.03,118
JUL,19,14,59.63,37.28,4.74,2.35,5.51,80
JUL,19,15,59.36,41.92,4.54,2.338,3.33,58
JUL,19,16,58.02,46.65,4.27,2.308,3.99,40
JUL,19,17,58.55,51.14,3.98,2.283,4.33,39
JUL,19,18,55.05,54.79,3.57,2.274,5.58,55
JUL,19,19,41.96,55.01,3.36,2.274,9.65,90
JUL,19,20,29.88,52.46,3.36,2.288,15.84,103
JUL,19,21,36.64,49.89,3.51,2.299,10.32,66
JUL,19,22,35.87,46.92,3.65,2.31,8.41,66
