DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 promedio 8 hrs.,SO2 promedio 24hrs,CO promedio 8hrs.,NO2 horario,PM10 promedio ponderado 12hrs.
JUL,1,0,NA,NA,NA,NA,5.08,NA
JUL,1,1,44.68,45.02,4.75,2.133,5.14,18
JUL,1,2,42.10,42.13,4.74,2.12,4.31,15
JUL,1,3,36.40,38.92,4.74,2.116,5.93,13
JUL,1,4,33.71,37.02,4.77,2.081,7.68,14
JUL,1,5,38.31,38.01,4.78,2.008,7.86,14
JUL,1,6,35.38,38.59,4.8,1.974,10.35,11
JUL,1,7,28.55,37.02,4.82,1.968,13.28,12
JUL,1,8,24.39,35.44,4.84,1.994,10.7,13
JUL,1,9,27.02,33.23,4.85,2.027,11.89,12
JUL,1,10,38.77,32.81,5.14,2.185,14.61,17
JUL,1,11,52.74,34.86,6.32,2.344,14.15,32
JUL,1,12,73.34,39.81,7.45,2.408,11.26,36
JUL,1,13,91.19,46.42,8.61,2.564,10.51,40
JUL,1,14,110.89,55.86,10.44,2.776,10.09,55
JUL,1,15,101.93,65.03,11.66,2.895,8.52,51
JUL,1,16,85.71,72.7,12.33,2.907,6.58,41
JUL,1,17,67.95,77.82,12.64,2.886,5.39,31
JUL,1,18,66.18,81.24,12.85,2.742,5.6,43
JUL,1,19,64.93,82.77,13.01,2.599,8.48,37
JUL,1,20,51.92,80.09,13.14,2.547,9.7,36
JUL,1,21,39.81,73.67,13.24,2.425,10.69,35
JUL,1,22,30.68,63.64,13.35,2.273,12.46,32
JUL,1,23,28.10,54.41,13.48,2.159,8.23,21
JUL,2,0,28.44,47.25,13.2,2.125,7.59,19
JUL,2,1,32.35,42.8,13.21,2.112,8.41,11
JUL,2,2,29.85,38.26,13.19,2.096,8.47,11
JUL,2,3,31.69,34.1,13.16,2.072,5.16,10
JUL,2,4,29.21,31.26,13.11,2.053,5.71,10
JUL,2,5,24.51,29.35,13.06,2.021,7.6,10
JUL,2,6,20.25,28.05,13,1.967,11.2,12
JUL,2,7,16.14,26.55,12.92,1.98,21.29,13
JUL,2,8,14.07,24.76,12.84,2.007,10.78,16
JUL,2,9,22.44,23.52,12.76,2.028,8.39,15
JUL,2,10,28.59,23.36,12.43,2.039,8.61,16
JUL,2,11,39.46,24.33,11.26,2.044,8.46,20
JUL,2,12,45.05,26.31,10.11,2.044,8.2,24
JUL,2,13,46.95,29.12,8.87,2.058,8.57,24
JUL,2,14,49.60,32.79,7.01,2.057,9.65,25
JUL,2,15,56.95,37.89,5.76,2.063,6.42,25
JUL,2,16,59.25,43.54,5.33,2.081,8.03,26
JUL,2,17,62.10,48.49,5.43,2.088,8.14,25
JUL,2,18,57.94,52.16,5.48,2.102,5.42,25
JUL,2,19,49.50,53.42,5.38,2.121,4.7,26
JUL,2,20,47.29,53.7,5.25,2.16,12.4,30
JUL,2,21,36.30,52.37,5.15,2.174,10.55,38
JUL,2,22,38.56,50.99,5,2.187,8.07,34
JUL,2,23,35.42,48.29,4.83,2.169,8.37,31
JUL,3,0,27.52,44.33,4.69,2.126,8.94,30
JUL,3,1,14.77,38.41,4.67,2.1,9.66,34
JUL,3,2,16.71,33.26,4.69,2.072,7.37,39
JUL,3,3,10.33,28.36,4.72,2.047,9.57,35
JUL,3,4,15.07,24.33,4.75,2.003,8.03,37
JUL,3,5,17.85,22.03,4.82,1.973,8.6,38
JUL,3,6,9.71,18.42,4.9,1.968,11.84,40
JUL,3,7,9.65,15.2,4.99,1.971,16.16,42
JUL,3,8,13.39,13.43,5.09,1.985,13.25,46
JUL,3,9,24.75,14.68,5.17,1.991,8.7,50
JUL,3,10,32.89,16.7,5.23,1.999,8.03,47
JUL,3,11,40.79,20.51,5.28,2.013,8.86,43
JUL,3,12,49.65,24.83,5.32,2.025,9.9,41
JUL,3,13,58.17,29.87,5.39,2.038,8.36,43
JUL,3,14,62.83,36.52,5.46,2.032,7.64,42
JUL,3,15,63.86,43.29,5.49,2.017,7.99,36
JUL,3,16,61.78,49.34,5.25,1.993,7.48,27
JUL,3,17,61.31,53.91,4.81,1.987,9.19,21
JUL,3,18,60.50,57.36,4.51,1.993,7.76,22
JUL,3,19,38.93,57.13,5.15,2.057,8.86,30
JUL,3,20,29.37,54.59,5.43,2.077,13.85,38
JUL,3,21,23.61,50.27,5.65,2.081,11.32,33
JUL,3,22,23.50,45.36,5.83,2.087,10.77,36
JUL,3,23,20.77,39.97,5.99,2.093,8.59,34
JUL,4,0,20.33,34.79,6.11,2.1,6.44,33
JUL,4,1,16.52,29.19,6.17,2.097,7.74,30
JUL,4,2,16.56,23.7,6.22,2.082,8.08,27
JUL,4,3,14.66,20.67,6.32,2.002,10.94,22
JUL,4,4,11.47,18.43,6.44,1.97,11.81,22
JUL,4,5,10.24,16.76,6.51,1.953,11.69,24
JUL,4,6,8.83,14.92,6.57,1.948,13.18,25
JUL,4,7,6.55,13.15,6.6,1.956,15.01,29
JUL,4,8,8.26,11.64,6.61,1.971,13.44,39
JUL,4,9,19.10,11.96,6.65,1.987,10.71,39
JUL,4,10,28.96,13.51,6.67,1.997,8.05,35
JUL,4,11,38.73,16.52,6.67,2.013,9.04,30
JUL,4,12,45.72,20.8,6.67,2.022,7.66,26
JUL,4,13,48.41,25.57,6.65,2.026,7.34,24
JUL,4,14,53.90,31.2,6.62,2.026,9.34,21
JUL,4,15,56.49,37.45,6.61,2.018,8.17,19
JUL,4,16,60.09,43.93,6.6,2.005,7.85,18
JUL,4,17,63.18,49.44,6.6,1.996,7.36,20
JUL,4,18,64.85,53.92,6.61,1.995,6.86,19
JUL,4,19,53.38,55.75,5.9,2.008,7.44,22
JUL,4,20,45.01,55.67,6.12,2.111,10.39,38
JUL,4,21,29.80,53.34,6.89,2.163,11.91,38
JUL,4,22,25.40,49.78,6.93,2.176,9.54,35
JUL,4,23,25.73,45.93,7,2.187,9.51,30
JUL,5,0,22.30,41.21,6.99,2.199,8.96,24
JUL,5,1,26.54,36.63,6.96,2.204,9.01,21
JUL,5,2,24.57,31.59,6.89,2.207,8.14,19
JUL,5,3,23.43,27.85,6.77,2.19,9.01,17
JUL,5,4,24.16,25.24,6.64,2.088,12.32,14
JUL,5,5,12.03,23.02,6.5,2.038,12.24,16
JUL,5,6,1.83,20.07,6.39,2.032,17.72,17
JUL,5,7,2.77,17.2,6.29,2.029,15.07,19
JUL,5,8,8.05,15.42,6.25,2.02,11.77,18
JUL,5,9,14.58,13.93,6.19,2.02,11.28,17
JUL,5,10,28.80,14.46,6.12,2.017,7.52,19
JUL,5,11,34.59,15.85,6.09,2.02,6.68,14
JUL,5,12,41.00,17.96,6.05,2.018,6.51,20
JUL,5,13,48.71,22.54,6.02,2.023,7.81,127
JUL,5,14,54.60,29.14,5.99,2.021,6.47,121
JUL,5,15,49.65,35,5.97,2.013,5.73,68
JUL,5,16,52.70,40.58,6.13,2.024,4.31,39
JUL,5,17,60.50,46.32,6.26,2.033,4.53,27
JUL,5,18,62.28,50.5,6.36,2.055,4.8,25
JUL,5,19,48.38,52.23,6.39,2.069,7.43,78
JUL,5,20,36.73,51.69,5.85,2.093,8.98,135
JUL,5,21,27.72,49.07,4.83,2.147,12.88,94
JUL,5,22,23.12,45.13,4.6,2.159,12.05,61
JUL,5,23,19.77,41.4,4.35,2.167,10.61,39
JUL,6,0,24.81,37.91,4.22,2.155,9.52,25
JUL,6,1,17.35,32.52,4.19,2.14,10.64,23
JUL,6,2,12.38,26.28,4.21,2.119,13.42,21
JUL,6,3,15.92,22.23,4.24,2.1,12.12,16
JUL,6,4,2.82,17.99,4.27,2.079,20.49,19
JUL,6,5,1.52,14.71,4.32,2.023,24.72,19
JUL,6,6,1.50,12.01,4.4,2.027,24.77,24
JUL,6,7,1.28,9.7,4.5,2.031,24.7,23
JUL,6,8,3.82,7.07,4.56,2.04,16.76,27
JUL,6,9,13.23,6.56,4.64,2.046,13.56,30
JUL,6,10,26.53,8.33,4.77,2.071,12.46,25
JUL,6,11,43.78,11.81,4.9,2.089,7.42,24
JUL,6,12,54.15,18.23,5.03,2.102,5.67,25
JUL,6,13,58.94,25.4,5.13,2.107,5.22,24
JUL,6,14,65.79,33.44,5.25,2.108,6.89,25
JUL,6,15,74.37,42.58,5.43,2.11,8.52,29
JUL,6,16,71.66,51.06,5.42,2.107,8.09,26
JUL,6,17,72.83,58.51,5.36,2.112,9.89,25
JUL,6,18,76.18,64.71,5.33,2.102,8.62,26
JUL,6,19,74.25,68.52,5.35,2.101,8.67,28
JUL,6,20,64.72,69.84,5.42,2.131,18.31,34
JUL,6,21,43.05,67.86,5.5,2.175,23.82,38
JUL,6,22,28.10,63.15,5.77,2.185,13.3,37
JUL,6,23,19.21,56.25,6.01,2.179,11.31,33
JUL,7,0,27.28,50.7,6.17,2.177,7.91,30
JUL,7,1,31.04,45.48,6.26,2.167,6.62,21
JUL,7,2,32.83,40.06,6.29,2.149,6.3,16
JUL,7,3,30.64,34.61,6.3,2.13,5.58,13
JUL,7,4,27.96,30.01,6.31,2.086,6.37,10
JUL,7,5,22.62,27.46,6.27,2.035,7.25,12
JUL,7,6,11.89,25.43,6.26,2.016,12.1,15
JUL,7,7,9.57,24.23,6.28,2.025,16.94,19
JUL,7,8,10.87,22.18,6.31,2.033,15.68,23
