DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,1,0,0.0157,0.0271,0.003,2.639,19,NA
SEP,1,1,0.0266,0.026,0.003,2.635,17,NA
SEP,1,2,0.0238,0.0243,0.003,2.63,16,NA
SEP,1,3,0.0173,0.0222,0.003,2.622,18,NA
SEP,1,4,0.016,0.0211,0.003,2.597,25,NA
SEP,1,5,0.0149,0.019,0.003,2.599,27,NA
SEP,1,6,0.0079,0.0169,0.003,2.611,23,NA
SEP,1,7,0.0016,0.0155,0.003,2.653,26,NA
SEP,1,8,0.0047,0.0141,0.003,2.682,27,NA
SEP,1,9,0.0095,0.012,0.003,2.723,28,NA
SEP,1,10,0.02,0.0115,0.0034,2.762,25,NA
SEP,1,11,0.0274,0.0128,0.0035,2.777,23,NA
SEP,1,12,0.0376,0.0155,0.0035,2.793,19,NA
SEP,1,13,0.0486,0.0197,0.0036,2.798,19,NA
SEP,1,14,0.0545,0.0255,0.0036,2.788,19,NA
SEP,1,15,0.0628,0.0331,0.0036,2.752,20,NA
SEP,1,16,0.0752,0.042,0.0037,2.735,21,NA
SEP,1,17,0.0868,0.0516,0.004,2.726,24,NA
SEP,1,18,0.0776,0.0588,0.0041,2.71,27,NA
SEP,1,19,0.0738,0.0646,0.0044,2.72,37,NA
SEP,1,20,0.0503,0.0662,0.0044,2.75,38,NA
SEP,1,21,0.0341,0.0644,0.0045,2.747,32,NA
SEP,1,22,0.0323,0.0616,0.0045,2.74,24,NA
SEP,1,23,0.0313,0.0577,0.0045,2.732,20,NA
SEP,2,0,0.0299,0.052,0.0045,2.72,18,NA
SEP,2,1,0.0301,0.0449,0.0044,2.686,18,NA
SEP,2,2,0.0302,0.039,0.0044,2.661,15,NA
SEP,2,3,0.0264,0.0331,0.0043,2.63,15,NA
SEP,2,4,0.0208,0.0294,0.0043,2.586,21,NA
SEP,2,5,0.0232,0.028,0.0042,2.578,23,NA
SEP,2,6,0.022,0.0267,0.0041,2.583,21,NA
SEP,2,7,0.0223,0.0256,0.004,2.598,30,NA
SEP,2,8,0.0249,0.025,0.0039,2.619,27,NA
SEP,2,9,0.0289,0.0248,0.0039,2.644,17,NA
SEP,2,10,0.0367,0.0256,0.0033,2.663,17,NA
SEP,2,11,0.0442,0.0279,0.0032,2.677,26,NA
SEP,2,12,0.0544,0.0321,0.0031,2.689,20,NA
SEP,2,13,0.0728,0.0383,0.003,2.714,20,NA
SEP,2,14,0.0713,0.0444,0.003,2.722,21,NA
SEP,2,15,0.0684,0.0502,0.0029,2.717,21,NA
SEP,2,16,0.067,0.0555,0.0027,2.707,20,NA
SEP,2,17,0.0671,0.0602,0.0024,2.693,18,NA
SEP,2,18,0.0649,0.0638,0.0022,2.69,20,NA
SEP,2,19,0.0604,0.0658,0.0019,2.705,22,NA
SEP,2,20,0.0459,0.0647,0.0018,2.744,26,NA
SEP,2,21,0.0283,0.0592,0.0017,2.804,35,NA
SEP,2,22,0.0154,0.0522,0.0017,2.845,43,NA
