DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario (ppm),O3 Promedio de 8 hrs.  (ppm),SO2 promedio de 24 hrs. (ppm),CO Promedio de 8 hrs. (ppm),PM10 Promedio ponderado  de 12 hrs. (µg/m³),NO2 Horario (ppm)
SEP,2,23,0.0153,0.0455,0.0019,2.87,44,NA
SEP,3,0,0.0132,0.0388,0.002,2.885,47,NA
SEP,3,1,0.016,0.0324,0.002,2.899,47,NA
SEP,3,2,0.0143,0.0261,0.002,2.897,42,NA
SEP,3,3,0.0134,0.0202,0.0021,2.879,38,NA
SEP,3,4,0.0099,0.0157,0.0025,2.836,39,NA
SEP,3,5,0.0101,0.0134,0.0027,2.762,35,NA
SEP,3,6,0.0053,0.0122,0.0028,2.732,36,NA
SEP,3,7,0.0026,0.0106,0.003,2.747,46,NA
SEP,3,8,0.007,0.0098,0.0031,2.762,55,NA
SEP,3,9,0.0187,0.0102,0.0033,2.762,52,NA
SEP,3,10,0.0344,0.0127,0.0035,2.765,47,NA
SEP,3,11,0.042,0.0163,0.0039,2.77,42,NA
SEP,3,12,0.0438,0.0205,0.0049,2.777,41,NA
SEP,3,13,0.0498,0.0254,0.0063,2.777,40,NA
SEP,3,14,0.0552,0.0317,0.0068,2.757,40,NA
SEP,3,15,0.0571,0.0385,0.0073,2.711,34,NA
SEP,3,16,0.0619,0.0453,0.0077,2.673,29,NA
SEP,3,17,0.0594,0.0504,0.008,2.659,29,NA
SEP,3,18,0.0592,0.0535,0.008,2.653,27,NA
SEP,3,19,0.0494,0.0545,0.0081,2.662,31,NA
SEP,3,20,0.026,0.0522,0.0082,2.688,34,NA
SEP,3,21,0.0226,0.0488,0.0084,2.696,36,NA
SEP,3,22,0.0202,0.0445,0.0087,2.701,37,NA
SEP,3,23,0.0132,0.039,0.0087,2.707,38,NA
SEP,4,0,0.0179,0.0335,0.0087,2.708,36,NA
SEP,4,1,0.0141,0.0278,0.0088,2.703,36,NA
SEP,4,2,0.0135,0.0221,0.0091,2.695,31,NA
SEP,4,3,0.01,0.0172,0.0093,2.679,31,NA
SEP,4,4,0.014,0.0157,0.0092,2.643,35,NA
SEP,4,5,0.0116,0.0143,0.0093,2.631,35,NA
SEP,4,6,0.0084,0.0129,0.0094,2.647,45,NA
SEP,4,7,0.0122,0.0127,0.0094,2.665,43,NA
SEP,4,8,0.0085,0.0115,0.0093,2.698,48,NA
SEP,4,9,0.0183,0.0121,0.0095,2.722,47,NA
SEP,4,10,0.0259,0.0136,0.0102,2.736,44,NA
SEP,4,11,0.032,0.0164,0.0103,2.745,41,NA
SEP,4,12,0.0362,0.0191,0.0099,2.753,37,NA
SEP,4,13,0.0413,0.0228,0.0088,2.752,32,NA
SEP,4,14,0.0421,0.0271,0.0087,2.734,33,NA
SEP,4,15,0.0408,0.0306,0.0087,2.722,32,NA
SEP,4,16,0.0413,0.0347,0.0086,2.703,32,NA
SEP,4,17,0.0309,0.0363,0.0089,2.692,31,NA
SEP,4,18,0.0208,0.0357,0.0091,2.697,35,NA
SEP,4,19,0.0222,0.0345,0.0097,2.697,27,NA
SEP,4,20,0.0213,0.0326,0.01,2.697,24,NA
SEP,4,21,0.0243,0.0305,0.0101,2.694,20,NA
SEP,4,22,0.0267,0.0286,0.0106,2.684,19,NA
SEP,4,23,0.0259,0.0267,0.0107,2.666,19,NA
SEP,5,0,0.0255,0.0247,0.0109,2.645,17,NA
SEP,5,1,0.0195,0.0233,0.0114,2.625,22,NA
SEP,5,2,0.0233,0.0236,0.0117,2.602,20,NA
SEP,5,3,0.0233,0.0237,0.0116,2.584,18,NA
SEP,5,4,0.0236,0.024,0.0114,2.57,15,NA
SEP,5,5,0.0194,0.0234,0.0112,2.565,14,NA
SEP,5,6,0.0161,0.0221,0.0111,2.575,14,NA
SEP,5,7,0.0102,0.0201,0.0116,2.596,18,NA
SEP,5,8,0.0118,0.0184,0.0117,2.621,22,NA
SEP,5,9,0.0171,0.0181,0.0115,2.655,24,NA
SEP,5,10,0.0234,0.0181,0.0108,2.68,23,NA
SEP,5,11,0.0296,0.0189,0.0111,2.703,24,NA
SEP,5,12,0.0342,0.0202,0.0109,2.729,23,NA
SEP,5,13,0.0392,0.0227,0.0106,2.751,24,NA
SEP,5,14,0.0423,0.026,0.0103,2.765,25,NA
SEP,5,15,0.0338,0.0289,0.0098,2.778,22,NA
SEP,5,16,0.0306,0.0313,0.0099,2.781,21,NA
SEP,5,17,0.032,0.0331,0.01,2.774,32,NA
SEP,5,18,0.0288,0.0338,0.0097,2.775,26,NA
SEP,5,19,0.0262,0.0334,0.0092,2.778,18,NA
SEP,5,20,0.0204,0.0317,0.0094,2.781,17,NA
SEP,5,21,0.0159,0.0288,0.0092,2.798,18,NA
SEP,5,22,0.0119,0.025,0.0087,2.8,23,NA
SEP,5,23,0.0145,0.0225,0.0086,2.782,20,NA
SEP,6,0,0.0164,0.0208,0.0085,2.763,16,NA
SEP,6,1,0.0178,0.019,0.0081,2.742,16,NA
SEP,6,2,0.0178,0.0176,0.0076,2.722,11,NA
SEP,6,3,0.0202,0.0169,0.0075,2.7,11,NA
SEP,6,4,0.0181,0.0166,0.0075,2.673,11,NA
SEP,6,5,0.015,0.0165,0.0074,2.638,19,NA
SEP,6,6,0.0149,0.0168,0.0073,2.621,14,NA
SEP,6,7,0.0141,0.0168,0.007,2.623,14,NA
SEP,6,8,0.0169,0.0169,0.0068,2.646,13,NA
SEP,6,9,0.018,0.0169,0.0075,2.676,16,NA
SEP,6,10,0.0222,0.0174,0.008,2.703,17,NA
SEP,6,11,0.0255,0.0181,0.0077,2.729,18,NA
SEP,6,12,0.0317,0.0198,0.0076,2.753,16,NA
SEP,6,13,0.0344,0.0222,0.0079,2.767,15,NA
SEP,6,14,0.0343,0.0247,0.0085,2.774,15,NA
SEP,6,15,0.0341,0.0272,0.0088,2.78,13,NA
SEP,6,16,0.0298,0.0288,0.0122,2.785,22,NA
SEP,6,17,0.0319,0.0305,0.013,2.771,32,NA
SEP,6,18,0.031,0.0316,0.0162,2.761,25,NA
SEP,6,19,0.0269,0.0318,0.0171,2.751,25,NA
SEP,6,20,0.0225,0.0306,0.0174,2.749,22,NA
SEP,6,21,0.0224,0.0291,0.0217,2.756,22,NA
SEP,6,22,0.0188,0.0272,0.0251,2.759,25,NA
SEP,6,23,0.0167,0.025,0.0255,2.747,23,NA
SEP,7,0,0.0122,0.0228,0.0255,2.718,18,NA
SEP,7,1,0.0131,0.0205,0.0255,2.702,12,NA
SEP,7,2,0.0116,0.018,0.0257,2.687,14,NA
SEP,7,3,0.0102,0.0159,0.0259,2.672,14,NA
SEP,7,4,0.0075,0.0141,0.026,2.65,14,NA
SEP,7,5,0.007,0.0121,0.0261,2.629,16,NA
SEP,7,6,0.0033,0.0102,0.0262,2.63,21,NA
SEP,7,7,0.0021,0.0084,0.026,2.657,30,NA
SEP,7,8,0.0071,0.0077,0.026,2.68,31,NA
SEP,7,9,0.0097,0.0073,0.0258,2.704,27,NA
SEP,7,10,0.0191,0.0082,0.0254,2.718,26,NA
SEP,7,11,0.0264,0.0103,0.0252,2.733,21,NA
SEP,7,12,0.036,0.0138,0.0252,2.752,20,NA
SEP,7,13,0.0436,0.0184,0.0251,2.767,22,NA
SEP,7,14,0.0499,0.0242,0.0249,2.765,26,NA
SEP,7,15,0.0561,0.031,0.0248,2.743,24,NA
SEP,7,16,0.0616,0.0378,0.0211,2.723,21,NA
SEP,7,17,0.0622,0.0444,0.0199,2.709,23,NA
SEP,7,18,0.0507,0.0483,0.0166,2.717,27,NA
SEP,7,19,0.0424,0.0503,0.0156,2.735,30,NA
SEP,7,20,0.0278,0.0493,0.0148,2.751,28,NA
SEP,7,21,0.0209,0.0465,0.0103,2.777,28,NA
SEP,7,22,0.0253,0.0434,0.0067,2.78,26,NA
SEP,7,23,NA,0.0415,0.0063,2.793,26,NA
SEP,8,0,0.0149,0.0349,0.0062,2.807,30,NA
SEP,8,1,0.017,0.0284,0.0062,2.807,23,NA
SEP,8,2,0.0174,0.0237,0.0059,2.79,14,NA
SEP,8,3,0.0184,0.0202,0.0056,2.76,12,NA
SEP,8,4,0.013,0.0181,0.0055,2.73,12,NA
SEP,8,5,0.0127,0.017,0.0054,2.69,12,NA
SEP,8,6,0.0082,0.0145,0.0053,2.704,14,NA
SEP,8,7,0.0016,0.0129,0.0052,2.754,17,NA
SEP,8,8,0.0021,0.0113,0.0051,2.792,22,NA
SEP,8,9,0.0087,0.0103,0.0046,2.819,30,NA
SEP,8,10,0.0172,0.0102,0.0047,2.84,34,NA
SEP,8,11,0.0224,0.0107,0.0055,2.872,36,NA
SEP,8,12,0.0304,0.0129,0.009,2.883,44,NA
SEP,8,13,0.0422,0.0166,0.0091,2.892,39,NA
SEP,8,14,0.0443,0.0211,0.0089,2.875,31,NA
SEP,8,15,0.0438,0.0264,0.0087,2.825,24,NA
SEP,8,16,0.0467,0.032,0.0086,2.788,22,NA
SEP,8,17,0.047,0.0368,0.0086,2.761,18,NA
SEP,8,18,0.041,0.0397,0.0086,2.75,16,NA
SEP,8,19,0.032,0.0409,0.0085,2.745,22,NA
SEP,8,20,0.0233,0.04,0.0085,2.758,23,NA
SEP,8,21,0.0196,0.0372,0.0085,2.772,23,NA
SEP,8,22,0.0164,0.0337,0.0085,2.788,25,NA
SEP,8,23,0.0187,0.0306,0.0083,2.792,21,NA
SEP,9,0,0.0199,0.0272,0.0081,2.787,23,NA
SEP,9,1,0.0223,0.0241,0.0081,2.79,34,NA
SEP,9,2,0.0179,0.0213,0.0083,2.787,46,NA
SEP,9,3,0.02,0.0198,0.0084,2.767,42,NA
SEP,9,4,0.0134,0.0185,0.0085,2.749,33,NA
SEP,9,5,0.0131,0.0177,0.0085,2.739,30,NA
SEP,9,6,0.0058,0.0164,0.0086,2.746,35,NA
SEP,9,7,0.0036,0.0145,0.0087,2.774,61,NA
SEP,9,8,0.008,0.013,0.0088,2.8,56,NA
SEP,9,9,0.0155,0.0121,0.0089,2.82,47,NA
SEP,9,10,0.0246,0.013,0.0088,2.825,43,NA
SEP,9,11,0.0312,0.0144,0.0077,2.832,32,NA
SEP,9,12,0.0398,0.0177,0.0043,2.847,27,NA
SEP,9,13,0.0478,0.022,0.0041,2.852,26,NA
SEP,9,14,0.0523,0.0278,0.004,2.836,24,NA
SEP,9,15,0.0496,0.0336,0.004,2.808,21,NA
SEP,9,16,0.0456,0.0383,0.0041,2.787,20,NA
SEP,9,17,0.0462,0.0421,0.0041,2.768,19,NA
SEP,9,18,0.0442,0.0446,0.0042,2.77,21,NA
SEP,9,19,0.0359,0.0452,0.0052,2.801,29,NA
SEP,9,20,0.0284,0.0438,0.0063,2.807,44,NA
SEP,9,21,0.0196,0.0402,0.0069,2.818,39,NA
SEP,9,22,0.0276,0.0371,0.0071,2.817,31,NA
SEP,9,23,0.0373,0.0356,0.0072,2.812,23,NA
SEP,10,0,0.0296,0.0336,0.0074,2.808,18,NA
SEP,10,1,0.0335,0.032,0.0074,2.802,14,NA
SEP,10,2,0.0265,0.0298,0.0073,2.788,12,NA
SEP,10,3,0.0212,0.028,0.0072,2.752,13,NA
SEP,10,4,0.0178,0.0266,0.0071,2.737,15,NA
SEP,10,5,0.0109,0.0255,0.0071,2.717,22,NA
SEP,10,6,0.0061,0.0229,0.007,2.729,25,NA
SEP,10,7,0.0022,0.0185,0.0069,2.769,29,NA
SEP,10,8,0.0036,0.0152,0.0068,2.798,31,NA
SEP,10,9,0.005,0.0117,0.0068,2.841,33,NA
SEP,10,10,0.0148,0.0102,0.0067,2.86,27,NA
SEP,10,11,0.0198,0.01,0.0072,2.85,25,NA
SEP,10,12,0.0256,0.011,0.0078,2.85,24,NA
SEP,10,13,0.0296,0.0133,0.0082,2.848,21,NA
SEP,10,14,0.0295,0.0163,0.0086,2.839,24,NA
SEP,10,15,0.0272,0.0194,0.0091,2.808,26,NA
SEP,10,16,0.0294,0.0226,0.0095,2.783,23,NA
SEP,10,17,0.0302,0.0258,0.0099,2.753,22,NA
SEP,10,18,0.0287,0.0275,0.0101,2.747,21,NA
SEP,10,19,0.0254,0.0282,0.0094,2.765,21,NA
SEP,10,20,0.0199,0.0275,0.0088,2.771,22,NA
SEP,10,21,0.0152,0.0257,0.0086,2.776,21,NA
SEP,10,22,0.015,0.0239,0.0088,2.769,20,NA
SEP,10,23,0.0126,0.022,0.0091,2.76,20,NA
SEP,11,0,0.0129,0.02,0.0092,2.75,20,NA
SEP,11,1,0.0116,0.0177,0.0096,2.732,21,NA
SEP,11,2,0.0123,0.0156,0.0098,2.715,17,NA
SEP,11,3,0.0123,0.014,0.01,2.695,17,NA
SEP,11,4,0.0107,0.0128,0.0104,2.679,18,NA
SEP,11,5,0.0105,0.0122,0.0109,2.667,21,NA
SEP,11,6,0.0073,0.0113,0.011,2.68,19,NA
SEP,11,7,0.0046,0.0103,0.0112,2.704,23,NA
SEP,11,8,0.0037,0.0091,0.0112,2.738,25,NA
SEP,11,9,0.0087,0.0088,0.012,2.763,31,NA
SEP,11,10,0.0139,0.009,0.013,2.787,38,NA
SEP,11,11,0.0223,0.0102,0.0129,2.808,33,NA
SEP,11,12,0.0318,0.0129,0.0123,2.824,27,NA
SEP,11,13,0.0354,0.016,0.0119,2.842,24,NA
SEP,11,14,0.0375,0.0197,0.0118,2.835,21,NA
SEP,11,15,0.0388,0.024,0.012,2.818,20,NA
SEP,11,16,0.0362,0.0281,0.0121,2.799,21,NA
SEP,11,17,0.0332,0.0311,0.0122,2.79,21,NA
SEP,11,18,0.0302,0.0332,0.012,2.786,21,NA
SEP,11,19,0.0273,0.0338,0.0119,2.79,20,NA
SEP,11,20,0.0215,0.0325,0.0116,2.797,22,NA
SEP,11,21,0.0191,0.0305,0.0113,2.792,22,NA
SEP,11,22,0.0164,0.0278,0.0112,2.793,29,NA
SEP,11,23,0.015,0.0249,0.0111,2.79,22,NA
SEP,12,0,0.0174,0.0225,0.0109,2.776,17,NA
SEP,12,1,0.0142,0.0201,0.0107,2.761,11,NA
SEP,12,2,0.0114,0.0178,0.0112,2.745,13,NA
SEP,12,3,0.0147,0.0162,0.0115,2.72,15,NA
SEP,12,4,0.0138,0.0152,0.0113,2.693,14,NA
SEP,12,5,0.0156,0.0148,0.011,2.675,13,NA
SEP,12,6,0.0153,0.0147,0.0109,2.668,13,NA
SEP,12,7,0.0108,0.0141,0.0108,2.673,16,NA
SEP,12,8,0.0085,0.013,0.0108,2.7,22,NA
SEP,12,9,0.0164,0.0133,0.0107,2.717,25,NA
SEP,12,10,0.0251,0.015,0.0098,2.732,23,NA
SEP,12,11,0.0302,0.017,0.0097,2.743,21,NA
SEP,12,12,0.0352,0.0196,0.0099,2.751,19,NA
SEP,12,13,0.0415,0.0229,0.0099,2.757,16,NA
SEP,12,14,0.0477,0.0269,0.0099,2.749,19,NA
SEP,12,15,0.0523,0.0321,0.01,2.739,24,NA
SEP,12,16,0.0585,0.0384,0.0107,2.725,31,NA
SEP,12,17,0.0468,0.0422,0.011,2.732,31,NA
SEP,12,18,0.039,0.0439,0.0109,2.744,25,NA
SEP,12,19,0.0308,0.044,0.011,2.778,25,NA
SEP,12,20,0.0214,0.0422,0.0139,2.8,27,NA
SEP,12,21,0.0263,0.0403,0.0139,2.817,30,NA
SEP,12,22,0.0231,0.0373,0.0138,2.836,32,NA
SEP,12,23,0.0203,0.0333,0.0135,2.845,27,NA
SEP,13,0,0.0185,0.0283,0.0133,2.837,22,NA
SEP,13,1,0.0191,0.0248,0.013,2.82,25,NA
SEP,13,2,0.0221,0.0227,0.0123,2.798,20,NA
SEP,13,3,0.0155,0.0208,0.012,2.759,21,NA
SEP,13,4,0.0099,0.0194,0.0119,2.738,20,NA
SEP,13,5,0.0063,0.0168,0.0121,2.722,20,NA
SEP,13,6,0.0071,0.0148,0.0122,2.723,19,NA
SEP,13,7,0.0036,0.0128,0.0122,2.728,20,NA
SEP,13,8,0.0044,0.011,0.0122,2.745,20,NA
SEP,13,9,0.0092,0.0097,0.012,2.766,27,NA
SEP,13,10,0.0196,0.0094,0.0119,2.78,25,NA
SEP,13,11,0.0292,0.0112,0.0118,2.786,20,NA
SEP,13,12,0.0293,0.0136,0.0118,2.826,17,NA
SEP,13,13,0.0297,0.0165,0.0121,2.846,15,NA
SEP,13,14,0.0306,0.0194,0.0127,2.85,19,NA
SEP,13,15,0.0314,0.0229,0.0127,2.846,20,NA
SEP,13,16,0.0332,0.0265,0.0118,2.836,18,NA
SEP,13,17,0.032,0.0294,0.0119,2.818,16,NA
SEP,13,18,0.0316,0.0309,0.0126,2.82,17,NA
SEP,13,19,0.032,0.0312,0.0126,2.824,16,NA
SEP,13,20,0.0263,0.0309,0.0099,2.798,21,NA
SEP,13,21,0.0247,0.0302,0.0101,2.792,25,NA
SEP,13,22,0.0252,0.0296,0.0103,2.78,25,NA
SEP,13,23,0.0208,0.0282,0.0105,2.776,23,NA
SEP,14,0,0.0232,0.027,0.0106,2.768,24,NA
SEP,14,1,0.0243,0.026,0.0106,2.761,19,NA
SEP,14,2,0.0251,0.0252,0.0106,2.742,17,NA
SEP,14,3,0.0263,0.0245,0.0104,2.725,18,NA
SEP,14,4,0.0231,0.0241,0.0101,2.705,16,NA
SEP,14,5,0.0179,0.0232,0.0099,2.689,18,NA
SEP,14,6,0.012,0.0216,0.01,2.702,21,NA
SEP,14,7,0.0054,0.0197,0.0101,2.731,30,NA
SEP,14,8,0.0098,0.018,0.0101,2.778,37,NA
SEP,14,9,0.0211,0.0176,0.0098,2.8,36,NA
SEP,14,10,0.0303,0.0182,0.0097,2.817,31,NA
SEP,14,11,0.039,0.0198,0.0095,2.829,25,NA
SEP,14,12,0.0412,0.0221,0.0092,2.843,22,NA
SEP,14,13,0.0418,0.0251,0.0088,2.853,21,NA
SEP,14,14,0.045,0.0292,0.0079,2.841,21,NA
SEP,14,15,0.0458,0.0342,0.0071,2.815,19,NA
SEP,14,16,0.0468,0.0389,0.0066,2.774,21,NA
SEP,14,17,0.0461,0.042,0.0058,2.76,21,NA
SEP,14,18,0.0425,0.0435,0.005,2.761,33,NA
SEP,14,19,0.0308,0.0425,0.0048,2.776,34,NA
SEP,14,20,0.0222,0.0401,0.0046,2.797,32,NA
SEP,14,21,0.0213,0.0375,0.0043,2.812,30,NA
SEP,14,22,0.0204,0.0345,0.0041,2.816,26,NA
SEP,14,23,0.0204,0.0313,0.0039,2.809,20,NA
SEP,15,0,0.0232,0.0283,0.0038,2.798,18,NA
SEP,15,1,0.0205,0.0252,0.0038,2.788,28,NA
SEP,15,2,0.0213,0.0225,0.0038,2.768,23,NA
SEP,15,3,0.0195,0.0211,0.0037,2.744,19,NA
SEP,15,4,0.0171,0.0205,0.0037,2.712,19,NA
SEP,15,5,0.0158,0.0198,0.0037,2.686,30,NA
SEP,15,6,0.0175,0.0194,0.0035,2.681,18,NA
SEP,15,7,0.0144,0.0187,0.0033,2.695,18,NA
SEP,15,8,0.0133,0.0174,0.0032,2.714,15,NA
SEP,15,9,0.0211,0.0175,0.0033,2.733,35,NA
SEP,15,10,0.0284,0.0184,0.0032,2.744,28,NA
SEP,15,11,0.0327,0.02,0.0031,2.754,22,NA
SEP,15,12,0.0364,0.0224,0.0031,2.765,24,NA
SEP,15,13,0.0382,0.0253,0.0032,2.773,25,NA
SEP,15,14,0.039,0.0279,0.0032,2.786,18,NA
SEP,15,15,0.0379,0.0309,0.0033,2.784,18,NA
SEP,15,16,0.0393,0.0341,0.0034,2.774,14,NA
SEP,15,17,0.0364,0.036,0.004,2.792,15,NA
SEP,15,18,0.031,0.0364,0.0041,2.814,19,NA
SEP,15,19,0.0258,0.0355,0.0041,2.845,22,NA
SEP,15,20,0.0195,0.0334,0.0041,2.899,29,NA
SEP,15,21,0.0225,0.0314,0.0041,2.913,28,NA
SEP,15,22,0.0241,0.0296,0.0046,2.897,24,NA
SEP,15,23,0.023,0.0277,0.0058,2.889,21,NA
SEP,16,0,0.0216,0.0255,0.0062,2.887,17,NA
SEP,16,1,0.0209,0.0235,0.0062,2.855,24,NA
SEP,16,2,0.0203,0.0222,0.0062,2.824,21,NA
SEP,16,3,0.0186,0.0213,0.0062,2.783,15,NA
SEP,16,4,0.0191,0.0213,0.0061,2.715,12,NA
SEP,16,5,0.0185,0.0208,0.006,2.693,11,NA
SEP,16,6,0.0137,0.0195,0.006,2.693,14,NA
SEP,16,7,0.0048,0.0172,0.006,2.701,21,NA
SEP,16,8,0.0049,0.0151,0.0063,2.725,28,NA
SEP,16,9,0.0099,0.0137,0.0068,2.75,41,NA
SEP,16,10,0.0207,0.0138,0.0068,2.764,33,NA
SEP,16,11,0.0288,0.0151,0.0068,2.774,25,NA
SEP,16,12,0.0315,0.0166,0.0067,2.79,18,NA
SEP,16,13,0.0321,0.0183,0.0066,2.801,15,NA
SEP,16,14,0.0334,0.0208,0.0064,2.805,14,NA
SEP,16,15,0.0347,0.0245,0.0062,2.799,12,NA
SEP,16,16,0.032,0.0279,0.0061,2.787,12,NA
SEP,16,17,0.0289,0.0303,0.0054,2.779,15,NA
SEP,16,18,0.0242,0.0307,0.0052,2.798,14,NA
SEP,16,19,0.0205,0.0297,0.0051,2.84,16,NA
SEP,16,20,0.016,0.0277,0.0052,2.873,17,NA
SEP,16,21,0.0183,0.026,0.0052,2.885,21,NA
SEP,16,22,0.0222,0.0246,0.0046,2.885,19,NA
SEP,16,23,0.0208,0.0229,0.0032,2.881,16,NA
SEP,17,0,0.0237,0.0218,0.0028,2.866,14,NA
SEP,17,1,0.0211,0.0209,0.0027,2.854,12,NA
SEP,17,2,0.0185,0.0201,0.0027,2.831,11,NA
SEP,17,3,0.0169,0.0197,0.0028,2.787,15,NA
SEP,17,4,0.0092,0.0188,0.0031,2.752,19,NA
SEP,17,5,0.003,0.0169,0.0032,2.739,22,NA
SEP,17,6,0.0006,0.0142,0.0034,2.749,22,NA
SEP,17,7,0.0009,0.0117,0.0035,2.779,28,NA
SEP,17,8,0.0028,0.0091,0.0034,2.81,32,NA
SEP,17,9,0.0125,0.008,0.003,2.83,33,NA
SEP,17,10,0.0212,0.0084,0.0031,2.831,26,NA
SEP,17,11,0.0275,0.0097,0.0032,2.836,21,NA
SEP,17,12,0.032,0.0126,0.0033,2.832,17,NA
SEP,17,13,0.0345,0.0165,0.0034,2.831,15,NA
SEP,17,14,0.0368,0.021,0.0035,2.824,14,NA
SEP,17,15,0.0379,0.0256,0.0036,2.803,16,NA
SEP,17,16,0.0354,0.0297,0.0037,2.783,17,NA
SEP,17,17,0.0312,0.0321,0.0041,2.768,18,NA
SEP,17,18,0.0286,0.033,0.0043,2.786,19,NA
SEP,17,19,0.0245,0.0326,0.0045,2.807,24,NA
SEP,17,20,0.0149,0.0305,0.0045,2.842,28,NA
SEP,17,21,0.0163,0.0282,0.0047,2.869,30,NA
SEP,17,22,0.0169,0.0257,0.0053,2.869,29,NA
SEP,17,23,0.0134,0.0226,0.0056,2.865,24,NA
SEP,18,0,0.0156,0.0202,0.0058,2.856,22,NA
SEP,18,1,0.0144,0.0181,0.006,2.849,20,NA
SEP,18,2,0.0149,0.0164,0.0065,2.823,20,NA
SEP,18,3,0.0144,0.0151,0.0071,2.791,19,NA
SEP,18,4,0.0166,0.0153,0.0079,2.748,19,NA
SEP,18,5,0.0176,0.0155,0.0082,2.715,19,NA
SEP,18,6,0.0155,0.0153,0.0082,2.72,22,NA
SEP,18,7,0.0129,0.0152,0.0083,2.73,23,NA
SEP,18,8,0.0142,0.0151,0.0084,2.751,22,NA
SEP,18,9,0.0172,0.0154,0.0087,2.77,22,NA
SEP,18,10,0.0226,0.0164,0.0089,2.783,22,NA
SEP,18,11,0.0254,0.0178,0.0095,2.797,23,NA
SEP,18,12,0.0263,0.019,0.0102,2.821,25,NA
SEP,18,13,0.0318,0.0208,0.0107,2.842,25,NA
SEP,18,14,0.0356,0.0233,0.011,2.847,26,NA
SEP,18,15,0.0372,0.0263,0.0112,2.845,26,NA
SEP,18,16,0.038,0.0293,0.0115,2.834,26,NA
SEP,18,17,0.0355,0.0316,0.0114,2.827,27,NA
SEP,18,18,0.0335,0.0329,0.0117,2.829,28,NA
SEP,18,19,0.0282,0.0333,0.0119,2.845,29,NA
