DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.
ABRIL,4,10,38.467567,27.361931,5.474112,0.671452,36.8016
ABRIL,4,11,43.592517,28.790581,5.406978,0.690608,32.8746
ABRIL,4,12,46.77565,31.037913,5.351867,0.703772,27.9072
ABRIL,4,13,46.514517,33.549021,5.304289,0.706364,29.4704
ABRIL,4,14,43.807917,35.945457,5.185675,0.699779,25.6239
ABRIL,4,15,47.660217,39.906113,5.077596,0.68078,23.493
ABRIL,4,16,51.998583,43.615727,4.985269,0.654055,22.8494
ABRIL,4,17,53.25695,46.50924,4.881203,0.627518,22.2119
ABRIL,4,18,51.720683,48.165879,4.776238,0.610768,23.4593
ABRIL,4,19,51.637217,49.171467,4.66089,0.592652,28.3318
ABRIL,4,20,48.797033,49.42414,4.569802,0.584485,39.8619
ABRIL,4,21,37.504533,48.297892,4.472473,0.574993,52.2375
ABRIL,4,22,29.6794,46.531827,4.358469,0.571224,52.5329
ABRIL,4,23,25.989,43.822925,4.237866,0.571497,45.5952
ABRIL,5,0,25.368967,40.494223,4.136685,0.57935,39.867
ABRIL,5,1,25.8678,37.070579,4.071458,0.591627,37.432
ABRIL,5,2,25.153017,33.749621,4.048013,0.603322,37.4358
ABRIL,5,3,23.87345,30.27915,4.039767,0.615875,32.8988
ABRIL,5,4,27.0318,27.558496,4.025795,0.623657,32.8953
ABRIL,5,5,25.529167,26.061575,4.005658,0.637029,28.6176
ABRIL,5,6,22.544267,25.169684,3.980599,0.661072,29.7502
ABRIL,5,7,18.417483,24.223244,3.948665,0.67895,30.9213
ABRIL,5,8,11.31234,22.466166,3.919324,0.717654,34.613
ABRIL,5,9,23.017983,22.109938,3.906674,0.73719,40.0808
ABRIL,5,10,35.399917,23.321851,3.870098,0.757531,34.8786
ABRIL,5,11,40.984933,25.529736,3.860903,0.75061,24.1551
ABRIL,5,12,44.157783,27.670484,3.845577,0.747028,21.7901
ABRIL,5,13,45.630833,30.183192,3.849762,0.746531,19.1695
ABRIL,5,14,47.998883,33.365019,3.844711,0.730913,20.7377
ABRIL,5,15,50.0978,37.325059,3.855567,0.719494,15.5434
ABRIL,5,16,51.074633,42.295346,3.854796,0.68409,17.8205
ABRIL,5,17,51.450733,45.849439,3.834473,0.661606,20.5332
ABRIL,5,18,50.408083,47.72546,3.824532,0.652633,20.008
ABRIL,5,19,45.401783,48.277566,3.948134,0.654297,26.5816
ABRIL,5,20,35.89805,47.2451,4.065631,0.673335,43.033
ABRIL,5,21,28.14855,45.059814,4.05682,0.692008,56.7962
ABRIL,5,22,26.162967,42.330325,4.06863,0.710309,56.7537
ABRIL,5,23,20.85765,38.675306,4.085413,0.726112,58.2969
ABRIL,6,0,24.26205,35.323733,4.084988,0.724624,51.6202
ABRIL,6,1,24.8349,31.996754,4.10222,0.726866,42.2978
ABRIL,6,2,11.64423,27.151273,4.109291,0.740986,38.0101
ABRIL,6,3,7.917368,22.465721,4.1168,0.7433,34.9933
ABRIL,6,4,19.732683,20.44505,4.133321,0.726846,31.6067
ABRIL,6,5,18.1752,19.198381,4.156387,0.713569,29.8422
