DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MZO,17,17,54.13,40.23,2.86,0.96,16
MZO,17,18,54.44,45.15,2.86,0.97,23
MZO,17,19,45.58,48.01,2.85,0.96,28
MZO,17,20,32.09,47.78,2.87,0.98,38
MZO,17,21,25.93,45.49,2.9,0.98,41
MZO,17,22,28.46,42.55,2.86,0.98,40
MZO,17,23,22.10,39.17,2.88,0.99,38
MZO,18,0,14.29,34.63,2.93,1,37
MZO,18,1,13.99,29.61,2.97,1.01,34
MZO,18,2,14.37,24.6,2.95,1.02,30
MZO,18,3,14.95,20.77,2.93,1.03,30
MZO,18,4,14.15,18.53,2.91,1.04,26
MZO,18,5,8.81,16.39,2.89,1.05,25
MZO,18,6,8.08,13.84,2.87,1.05,25
MZO,18,7,2.24,11.36,2.84,1.06,30
MZO,18,8,3.00,9.95,2.81,1.07,37
MZO,18,9,5.61,8.9,2.78,1.08,48
MZO,18,10,21.71,9.82,2.74,1.08,39
MZO,18,11,34.87,12.31,2.64,1.09,34
MZO,18,12,41.59,15.74,2.5,1.09,31
MZO,18,13,47.10,20.53,2.4,1.09,24
MZO,18,14,44.51,25.08,2.32,1.1,23
MZO,18,15,46.66,30.63,2.29,1.09,14
MZO,18,16,47.93,36.25,2.21,NA,16
MZO,18,17,44.31,41.08,2.16,NA,22
MZO,18,18,48.47,44.43,2.13,NA,26
MZO,18,19,43.23,45.47,2.09,NA,31
MZO,18,20,34.73,44.62,2.05,NA,38
MZO,18,21,32.00,42.73,1.98,NA,45
MZO,18,22,23.96,40.16,1.91,NA,37
MZO,18,23,15.87,36.31,1.84,NA,35
MZO,19,0,16.56,32.39,1.81,NA,31
MZO,19,1,28.13,30.37,1.74,NA,24
MZO,19,2,26.68,27.64,1.72,NA,22
MZO,19,3,7.70,23.2,1.71,NA,20
MZO,19,4,0.60,18.94,1.79,NA,21
MZO,19,5,9.18,16.08,1.84,NA,22
MZO,19,6,1.57,13.29,1.87,NA,27
MZO,19,7,0.03,11.31,1.92,NA,29
MZO,19,8,0.26,9.27,1.99,NA,38
MZO,19,9,6.94,6.62,2,NA,38
MZO,19,10,20.72,5.87,2.09,NA,40
MZO,19,11,36.25,9.44,2.9,NA,34
MZO,19,12,43.98,14.86,3.55,NA,26
MZO,19,13,46.44,19.52,3.85,NA,23
MZO,19,14,49.28,25.49,3.95,NA,13
MZO,19,15,54.49,32.29,3.95,NA,13
MZO,19,16,58.83,39.62,4.11,NA,21
MZO,19,17,58.63,46.08,4.28,NA,24
MZO,19,18,58.02,50.74,4.41,NA,30
MZO,19,19,53.98,52.96,4.52,NA,38
MZO,19,20,34.65,51.79,4.61,NA,40
MZO,19,21,27.95,49.48,4.71,NA,41
MZO,19,22,30.20,47.09,4.8,NA,45
MZO,19,23,31.29,44.19,4.86,NA,41
MZO,20,0,27.14,40.23,4.87,NA,37
MZO,20,1,29.75,36.62,4.91,NA,39
MZO,20,2,26.48,32.68,4.95,NA,35
MZO,20,3,21.21,28.58,4.95,NA,35
MZO,20,4,18.39,26.55,4.89,NA,31
