DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,O3 Horario [ppb],O3 Promedio de 8 hrs. [ppb],SO2 Promedio de 24 hrs. [ppb],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
MZO,22,13,49.70,23.87,4.82,NA,29
MZO,22,14,63.19,29.85,6.16,NA,34
MZO,22,15,57.99,35.86,6.55,NA,38
MZO,22,16,60.51,42.17,7.04,NA,37
MZO,22,17,52.60,46.92,7.16,NA,34
MZO,22,18,50.30,50.32,7.16,NA,26
MZO,22,19,40.42,51.65,7.16,NA,29
MZO,22,20,22.82,49.69,7.16,NA,40
MZO,22,21,15.58,45.43,7.24,NA,52
MZO,22,22,32.39,41.58,7.34,NA,45
MZO,22,23,21.01,36.95,7.4,NA,39
MZO,23,0,9.35,30.56,9.07,NA,40
MZO,23,1,21.92,26.72,9.27,NA,36
MZO,23,2,19.23,22.84,9.37,NA,32
MZO,23,3,19.03,20.17,9.49,NA,26
MZO,23,4,12.62,18.89,9.53,NA,22
MZO,23,5,5.72,17.66,9.7,NA,22
MZO,23,6,1.88,13.84,9.87,NA,29
MZO,23,7,3.02,11.59,10.1,NA,36
MZO,23,8,3.91,10.92,10.31,NA,45
MZO,23,9,10.70,9.51,10.44,NA,45
MZO,23,10,22.10,9.87,10.55,NA,40
MZO,23,11,32.83,11.6,10.74,NA,38
MZO,23,12,45.14,15.66,10.22,NA,33
MZO,23,13,56.81,22.05,9.01,NA,31
MZO,23,14,61.78,29.54,7.67,NA,25
MZO,23,15,57.69,36.37,7.39,NA,17
MZO,23,16,58.02,43.13,7.14,NA,20
MZO,23,17,60.38,49.34,7.09,NA,18
MZO,23,18,60.72,54.17,7.08,NA,25
MZO,23,19,55.09,56.95,7.11,NA,29
MZO,23,20,32.01,55.31,7.13,NA,41
MZO,23,21,15.46,50.14,7.12,NA,53
MZO,23,22,19.72,44.88,7.17,NA,61
MZO,23,23,28.43,41.23,7.09,NA,55
MZO,24,0,34.67,38.31,5.4,NA,49
MZO,24,1,20.17,33.28,5.17,NA,43
MZO,24,2,20.49,28.25,5.05,NA,41
MZO,24,3,26.52,24.68,4.95,NA,41
MZO,24,4,16.17,22.7,4.96,NA,39
MZO,24,5,16.84,22.88,4.83,NA,32
MZO,24,6,13.84,22.14,4.67,NA,29
MZO,24,7,14.27,20.37,4.52,NA,31
MZO,24,8,24.89,19.15,4.54,NA,48
MZO,24,9,16.24,18.66,4.81,NA,72
MZO,24,10,10.05,17.35,4.99,NA,74
MZO,24,11,34.78,18.38,4.84,NA,53
MZO,24,12,46.13,22.13,4.61,NA,36
MZO,24,13,61.17,27.67,4.48,NA,29
MZO,24,14,59.88,33.43,4.4,NA,24
MZO,24,15,61.26,39.3,4.23,NA,19
MZO,24,16,66.23,44.47,3.95,NA,21
MZO,24,17,66.85,50.79,3.89,NA,24
MZO,24,18,65.71,57.75,3.96,NA,31
MZO,24,19,59.69,60.86,4.04,NA,41
MZO,24,20,35.25,59.5,4.08,NA,57
MZO,24,21,15.78,53.83,4.4,NA,77
MZO,24,22,22.60,49.17,4.97,NA,64
MZO,24,23,18.50,43.83,5.15,NA,50
MZO,25,0,17.99,37.8,5.27,NA,39
MZO,25,1,9.91,30.68,5.42,NA,38
MZO,25,2,7.87,23.45,5.43,NA,38
MZO,25,3,17.71,18.2,5.46,NA,35
MZO,25,4,22.97,16.67,5.4,NA,29
MZO,25,5,13.90,16.43,5.41,NA,30
MZO,25,6,7.92,14.6,5.52,NA,36
MZO,25,7,2.08,12.55,5.65,NA,41
MZO,25,8,1.07,10.43,5.57,NA,51
MZO,25,9,11.55,10.63,5.12,NA,52
MZO,25,10,22.44,12.46,4.76,NA,48
MZO,25,11,40.90,15.35,4.65,NA,42
MZO,25,12,51.85,18.96,4.61,NA,35
MZO,25,13,58.33,24.52,4.55,NA,30
MZO,25,14,62.57,31.35,4.66,NA,24
MZO,25,15,65.60,39.29,4.8,NA,29
MZO,25,16,48.86,45.26,4.96,NA,32
MZO,25,17,65.10,51.96,5,NA,19
MZO,25,18,71.37,58.07,4.93,NA,20
MZO,25,19,72.27,61.99,4.83,NA,25
MZO,25,20,33.85,59.74,4.78,NA,49
MZO,25,21,26.72,55.79,4.67,NA,72
MZO,25,22,27.89,51.46,4,NA,62
MZO,25,23,22.17,46.03,3.85,NA,52
MZO,26,0,10.70,41.26,3.88,NA,48
MZO,26,1,15.16,35.02,3.86,NA,52
MZO,26,2,5.93,26.84,4.21,NA,50
MZO,26,3,4.29,18.34,4.49,NA,42
MZO,26,4,1.33,14.27,5.04,NA,41
MZO,26,5,1.17,11.08,5.4,NA,41
MZO,26,6,1.33,7.76,5.68,NA,47
MZO,26,7,0.72,5.08,5.91,NA,50
MZO,26,8,0.57,3.81,6.04,NA,60
MZO,26,9,3.94,2.41,6.25,NA,59
MZO,26,10,11.68,3.13,6.45,NA,54
MZO,26,11,39.32,7.51,6.9,NA,40
MZO,26,12,50.21,13.62,8.11,NA,34
MZO,26,13,65.54,21.66,9.81,NA,53
MZO,26,14,77.38,31.17,10.4,NA,46
MZO,26,15,76.13,40.6,10.36,0.41,42
MZO,26,16,58.64,47.86,10.11,0.39,33
MZO,26,17,64.19,55.39,10.13,0.38,32
MZO,26,18,57.21,61.08,10.14,0.35,33
MZO,26,19,50.14,62.43,10.15,0.33,35
MZO,26,20,30.20,59.93,10.18,0.35,58
MZO,26,21,35.63,56.19,9.91,0.33,71
MZO,26,22,31.42,50.45,9.75,0.31,62
MZO,26,23,28.57,44.5,9.69,0.3,56
MZO,27,0,27.04,40.55,9.56,0.31,51
MZO,27,1,29.35,36.2,9.45,0.31,44
MZO,27,2,31.58,32.99,9.17,0.32,39
MZO,27,3,31.38,30.65,8.92,0.33,37
MZO,27,4,28.43,30.43,8.52,0.31,33
MZO,27,5,24.89,29.08,8.24,0.32,34
MZO,27,6,23.14,28.05,7.94,0.33,33
MZO,27,7,16.88,26.59,7.62,0.35,33
MZO,27,8,14.34,25,7.43,0.38,36
MZO,27,9,23.47,24.26,7.33,0.4,36
MZO,27,10,32.57,24.39,7.28,0.42,31
MZO,27,11,39.54,25.41,6.94,0.43,26
MZO,27,12,43.98,27.35,5.91,0.44,17
MZO,27,13,47.24,30.15,4.47,0.44,16
MZO,27,14,49.26,33.41,3.65,0.45,19
MZO,27,15,50.55,37.62,3.38,0.43,19
MZO,27,16,51.67,42.29,3.31,0.4,18
MZO,27,17,53.29,46.01,3.28,0.38,20
MZO,27,18,54.26,48.73,3.29,0.36,28
MZO,27,19,49.76,50,3.3,0.35,45
MZO,27,20,39.96,49.5,3.28,0.35,56
MZO,27,21,35.46,48.03,3.28,0.34,55
MZO,27,22,33.91,46.11,3.28,0.33,54
MZO,27,23,30.85,43.64,3.23,0.33,48
MZO,28,0,25.40,40.36,3.19,0.33,41
MZO,28,1,29.08,37.33,3.18,0.33,31
MZO,28,2,31.88,34.54,3.18,0.33,29
MZO,28,3,29.86,32.05,3.18,0.33,25
MZO,28,4,27.67,30.51,3.18,0.33,26
MZO,28,5,26.05,29.34,3.18,0.33,25
MZO,28,6,23.79,28.07,3.2,0.34,27
MZO,28,7,7.93,25.21,3.23,0.38,33
MZO,28,8,5.09,22.67,3.28,0.43,45
MZO,28,9,11.54,20.48,3.36,0.47,50
MZO,28,10,32.36,20.54,3.4,0.5,43
MZO,28,11,42.21,22.08,3.44,0.51,31
MZO,28,12,45.72,24.34,3.5,0.52,26
MZO,28,13,46.72,26.92,3.54,0.53,20
MZO,28,14,47.67,29.91,3.56,0.52,18
MZO,28,15,52.79,35.51,3.59,0.49,19
MZO,28,16,54.95,41.75,3.63,0.45,18
MZO,28,17,54.15,47.07,3.68,0.41,20
MZO,28,18,54.67,49.86,3.72,0.39,24
MZO,28,19,49.51,50.77,3.79,0.4,30
MZO,28,20,34.01,49.31,3.86,0.45,63
MZO,28,21,15.64,45.42,3.95,0.55,67
MZO,28,22,30.67,43.3,4.04,0.57,76
MZO,28,23,28.37,40.25,4.14,0.59,67
MZO,29,0,22.20,36.15,4.23,0.6,56
MZO,29,1,11.70,30.85,4.3,0.64,48
MZO,29,2,12.29,25.55,4.38,0.66,49
MZO,29,3,15.49,21.3,4.56,0.67,47
MZO,29,4,23.11,19.93,4.7,0.63,41
MZO,29,5,30.27,21.76,4.95,0.52,42
MZO,29,6,29.51,21.62,5.04,0.52,47
MZO,29,7,32.71,22.16,5.11,0.51,48
MZO,29,8,30.55,23.2,5.18,0.52,48
MZO,29,9,31.87,25.73,5.34,0.51,46
MZO,29,10,40.95,29.31,5.43,0.5,50
MZO,29,11,46.01,33.12,5.52,0.5,49
MZO,29,12,50.28,36.52,5.66,0.5,48
MZO,29,13,56.13,39.75,5.83,0.5,44
MZO,29,14,60.29,43.6,6.03,0.5,41
MZO,29,15,64.03,47.51,6.17,0.49,42
MZO,29,16,64.18,51.72,6.31,0.47,43
MZO,29,17,64.05,55.74,6.37,0.45,37
MZO,29,18,65.11,58.76,6.43,0.43,37
MZO,29,19,63.11,60.9,6.46,0.43,40
MZO,29,20,36.93,59.23,6.77,0.42,51
MZO,29,21,32.74,56.3,6.86,0.41,67
MZO,29,22,31.87,52.75,6.95,0.42,83
MZO,29,23,33.67,48.96,6.99,0.41,76
MZO,30,0,34.21,45.21,7,0.4,70
MZO,30,1,32.95,41.32,7.02,0.39,64
MZO,30,2,24.97,36.31,7.37,0.39,50
MZO,30,3,22.50,31.23,7.65,0.37,47
MZO,30,4,22.96,29.48,8.16,0.36,45
MZO,30,5,27.68,28.85,8.06,0.37,41
MZO,30,6,23.67,27.83,8.04,0.37,41
MZO,30,7,17.20,25.77,8,0.4,46
MZO,30,8,16.59,23.56,8.02,0.45,55
MZO,30,9,16.07,21.45,7.93,0.49,55
MZO,30,10,26.12,21.6,8.33,0.51,50
MZO,30,11,37.94,23.53,8.9,0.53,46
MZO,30,12,55.44,27.59,9.22,0.56,44
MZO,30,13,59.26,31.53,9.28,0.57,40
MZO,30,14,62.51,36.39,9.21,0.58,33
MZO,30,15,64.89,42.35,9.15,0.57,30
MZO,30,16,60.73,47.87,9.07,0.53,35
MZO,30,17,63.64,53.82,9.15,0.51,36
MZO,30,18,61.39,58.23,9.22,0.5,39
MZO,30,19,55.30,60.4,9.2,0.51,40
MZO,30,20,36.23,57.99,8.9,0.55,49
MZO,30,21,16.88,52.7,8.81,0.62,54
MZO,30,22,25.93,48.12,8.74,0.63,61
MZO,30,23,28.64,43.59,8.71,0.63,56
MZO,31,0,25.69,39.21,8.66,0.63,47
MZO,31,1,18.56,33.58,8.64,0.63,41
MZO,31,2,19.04,28.28,8.26,0.62,41
MZO,31,3,29.15,25.01,7.83,0.59,34
MZO,31,4,28.78,24.08,7.21,0.52,30
MZO,31,5,23.63,24.93,7.09,0.45,29
MZO,31,6,16.48,23.75,7.04,0.43,31
MZO,31,7,13.03,21.8,7.02,0.45,36
MZO,31,8,11.19,19.98,6.94,0.49,39
MZO,31,9,20.31,20.2,6.84,0.51,44
MZO,31,10,33.90,22.06,6.37,0.53,38
MZO,31,11,43.91,23.9,5.71,0.54,33
MZO,31,12,49.23,26.46,5.27,0.55,29
MZO,31,13,53.58,30.2,5.13,0.55,24
MZO,31,14,59.32,35.56,5.38,0.56,25
MZO,31,15,61.91,41.67,5.47,0.54,27
MZO,31,16,63.31,48.18,5.56,0.5,30
MZO,31,17,62.59,53.47,5.49,0.47,34
MZO,31,18,62.04,56.99,5.57,0.46,37
MZO,31,19,59.51,58.94,6.14,0.49,43
MZO,31,20,47.34,58.7,8.32,0.54,56
MZO,31,21,37.08,56.64,8.82,0.54,64
MZO,31,22,29.59,52.92,9.39,0.53,61
MZO,31,23,35.86,49.67,9.53,0.52,71
