DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
AGO,18,3,7.97,19.32,3.74,2.59,26,NA
AGO,18,4,7.37,18.05,3.70,2.53,24,NA
AGO,18,5,5.08,15.69,3.65,2.52,25,NA
AGO,18,6,7.11,13.88,3.58,2.52,23,NA
AGO,18,7,3.09,11.36,3.53,2.54,25,NA
AGO,18,8,4.92,9.07,3.49,2.56,34,NA
AGO,18,9,12.55,7.76,3.46,2.58,31,NA
AGO,18,10,18.08,8.27,3.41,2.59,29,NA
AGO,18,11,24.91,10.39,3.42,2.60,26,NA
AGO,18,12,34.32,13.76,3.40,2.61,22,NA
AGO,18,13,46.72,18.96,3.36,2.62,22,NA
AGO,18,14,54.66,24.91,3.35,2.61,23,NA
AGO,18,15,61.11,32.16,3.34,2.61,25,NA
AGO,18,16,62.14,39.31,3.32,2.59,26,NA
AGO,18,17,61.01,45.37,3.29,2.58,27,NA
AGO,18,18,51.85,49.59,3.26,2.58,28,NA
