DATOS MÓVILES 2020_NATIVITAS,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,,
ENE,2,23,14.72,7.41,2.01,28.92,,
ENE,3,0,14.45,7.47,2.01,28.97,,
ENE,3,1,14.36,7.51,2.00,29.44,,
ENE,3,2,14.04,7.47,1.99,29.42,,
ENE,3,3,13.53,7.53,1.97,29.92,,
ENE,3,4,14.14,7.55,1.94,30.14,,
ENE,3,5,14.02,7.54,1.92,30.28,,
ENE,3,6,12.83,7.55,1.92,30.59,,
ENE,3,7,11.66,7.62,1.94,31.44,,
ENE,3,8,10.37,7.69,1.99,32.53,,
ENE,3,9,9.12,7.77,2.04,33.25,,
ENE,3,10,9.14,7.83,2.06,33.57,,
ENE,3,11,10.27,7.87,2.09,33.24,,
ENE,3,12,11.58,7.90,2.10,29.43,,
ENE,3,13,14.12,7.91,2.11,27.82,,
ENE,3,14,18.01,7.88,2.09,25.73,,
ENE,3,15,22.53,7.88,2.07,24.66,,
ENE,3,16,27.10,7.86,2.01,23.30,,
ENE,3,17,31.62,7.86,1.96,23.28,,
ENE,3,18,34.89,7.81,1.95,23.41,,
ENE,3,19,36.16,7.79,1.97,23.97,,
ENE,3,20,34.38,7.77,2.06,25.20,,
ENE,3,21,30.98,7.82,2.19,27.14,,
ENE,3,22,26.96,7.91,2.29,29.61,,
ENE,3,23,22.71,8.01,2.38,32.69,,
ENE,4,0,18.24,8.22,2.49,35.43,,
ENE,4,1,13.48,8.42,2.60,38.41,,
ENE,4,2,8.87,8.45,2.67,41.80,,
ENE,4,3,5.62,8.31,2.65,42.96,,
ENE,4,4,6.37,8.44,2.54,43.31,,
ENE,4,5,8.22,8.72,2.41,43.53,,
ENE,4,6,8.19,8.70,2.33,44.11,,
ENE,4,7,8.18,8.58,2.25,44.40,,
ENE,4,8,8.30,8.44,2.18,44.53,,
ENE,4,9,8.71,8.32,2.11,44.94,,
ENE,4,10,10.17,8.53,2.05,45.21,,
ENE,4,11,12.69,9.11,2.06,46.07,,
ENE,4,12,14.32,9.02,2.06,46.92,,
ENE,4,13,16.46,8.91,2.05,47.32,,
ENE,4,14,20.64,8.91,2.03,47.55,,
ENE,4,15,24.89,9.30,2.03,47.20,,
ENE,4,16,29.30,9.63,2.00,47.33,,
ENE,4,17,33.47,10.30,1.98,47.20,,
ENE,4,18,36.56,10.57,1.95,46.65,,
ENE,4,19,38.06,10.55,1.93,45.87,,
ENE,4,20,38.61,10.39,1.93,44.10,,
ENE,4,21,38.36,10.28,1.93,41.22,,
ENE,4,22,37.73,10.51,1.92,38.30,,
ENE,4,23,35.62,10.37,1.91,35.48,,
ENE,5,0,33.36,10.09,1.90,33.06,,
ENE,5,1,31.35,9.79,1.88,29.76,,
ENE,5,2,29.87,9.71,1.87,26.46,,
ENE,5,3,29.04,9.70,1.86,25.08,,
ENE,5,4,28.31,9.45,1.85,24.52,,
ENE,5,5,27.25,9.06,1.84,24.00,,
ENE,5,6,25.79,8.99,1.84,23.52,,
ENE,5,7,25.44,8.98,1.84,23.09,,
ENE,5,8,24.15,9.04,1.87,22.96,,
ENE,5,9,22.83,9.10,1.90,22.23,,
ENE,5,10,22.03,8.83,1.92,21.62,,
ENE,5,11,22.12,8.27,1.94,20.60,,
ENE,5,12,22.97,8.52,1.95,20.24,,
ENE,5,13,24.62,8.68,1.95,19.63,,
ENE,5,14,27.09,8.82,1.96,19.49,,
ENE,5,15,29.75,8.61,1.94,19.23,,
ENE,5,16,33.62,8.42,1.92,18.81,,
ENE,5,17,37.18,8.07,1.88,18.25,,
ENE,5,18,39.93,7.92,1.88,18.38,,
ENE,5,19,39.45,8.07,1.99,19.00,,
ENE,5,20,35.74,8.59,2.31,25.75,,
