DATOS MÓVILES 2020_NATIVITAS,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,,
ENE,22,14,10.90,7.87,2.38,38.33,,
ENE,22,15,15.02,7.72,2.36,38.60,,
ENE,22,16,18.92,7.55,2.32,39.40,,
ENE,22,17,22.59,7.41,2.27,39.61,,
ENE,22,18,25.83,7.24,2.24,39.83,,
ENE,22,19,28.03,7.06,2.24,40.06,,
ENE,22,20,29.29,6.80,2.24,39.11,,
ENE,22,21,28.27,6.51,2.27,37.16,,
ENE,22,22,25.96,6.19,2.28,34.65,,
ENE,22,23,23.10,5.93,2.30,32.99,,
ENE,23,0,20.47,5.71,2.31,32.12,,
ENE,23,1,18.13,5.61,2.31,31.19,,
ENE,23,2,15.80,5.62,2.32,30.42,,
ENE,23,3,13.19,5.66,2.31,29.39,,
ENE,23,4,10.99,5.74,2.30,28.88,,
ENE,23,5,9.79,5.85,2.27,28.87,,
ENE,23,6,8.92,5.95,2.25,28.75,,
ENE,23,7,8.15,6.05,2.28,29.07,,
ENE,23,8,6.92,6.17,2.43,29.83,,
ENE,23,9,5.74,6.29,2.55,30.90,,
ENE,23,10,5.24,6.35,2.60,31.16,,
ENE,23,11,6.12,6.41,2.63,31.65,,
ENE,23,12,8.51,6.46,2.63,31.63,,
ENE,23,13,11.34,6.51,2.62,31.69,,
ENE,23,14,13.59,6.59,2.63,31.88,,
ENE,23,15,15.94,6.61,2.61,32.08,,
ENE,23,16,18.32,6.76,2.48,31.55,,
ENE,23,17,20.11,6.89,2.38,31.52,,
ENE,23,18,21.87,7.01,2.33,31.24,,
ENE,23,19,23.29,7.14,2.30,29.76,,
ENE,23,20,22.19,7.25,2.34,28.59,,
ENE,23,21,19.76,7.41,2.38,28.20,,
ENE,23,22,17.06,7.60,2.41,28.27,,
ENE,23,23,14.43,7.75,2.41,28.06,,
ENE,24,0,12.06,7.90,2.41,27.78,,
ENE,24,1,10.32,7.98,2.40,27.92,,
ENE,24,2,8.09,7.93,2.41,28.32,,
ENE,24,3,5.59,7.89,2.40,28.08,,
ENE,24,4,4.31,7.85,2.35,27.86,,
ENE,24,5,3.86,7.84,2.33,27.67,,
ENE,24,6,3.72,7.86,2.34,27.81,,
ENE,24,7,3.38,7.91,2.40,28.14,,
ENE,24,8,3.23,7.95,2.49,27.67,,
ENE,24,9,3.07,7.92,2.53,26.79,,
ENE,24,10,3.85,7.88,2.54,25.65,,
ENE,24,11,5.93,7.82,2.55,24.48,,
ENE,24,12,9.34,7.87,2.55,23.50,,
ENE,24,13,13.57,7.90,2.51,22.61,,
ENE,24,14,18.18,7.89,2.46,22.01,,
ENE,24,15,23.46,7.94,2.37,21.11,,
ENE,24,16,29.01,7.87,2.26,20.58,,
ENE,24,17,34.25,7.80,2.19,21.01,,
ENE,24,18,38.87,7.74,2.16,20.90,,
ENE,24,19,41.13,7.69,2.18,22.14,,
ENE,24,20,38.97,7.70,2.28,24.29,,
ENE,24,21,35.49,7.66,2.37,27.69,,
ENE,24,22,32.03,7.57,2.40,27.78,,
ENE,24,23,28.29,7.50,2.41,28.00,,
ENE,25,0,24.50,7.42,2.42,28.55,,
ENE,25,1,21.23,7.35,2.43,28.52,,
ENE,25,2,17.58,7.36,2.43,28.09,,
ENE,25,3,15.28,7.35,2.40,28.11,,
ENE,25,4,16.11,7.30,2.29,27.94,,
ENE,25,5,16.77,7.21,2.20,27.92,,
ENE,25,6,16.63,7.10,2.18,27.66,,
ENE,25,7,15.42,6.98,2.19,27.41,,
ENE,25,8,13.93,6.86,2.23,27.38,,
ENE,25,9,12.58,6.75,2.26,26.95,,
ENE,25,10,11.95,6.73,2.29,27.69,,
ENE,25,11,11.66,6.75,2.32,28.48,,
ENE,25,12,12.50,6.70,2.33,28.98,,
ENE,25,13,14.90,6.63,2.32,29.40,,
ENE,25,14,18.32,6.59,2.32,29.42,,
ENE,25,15,22.49,6.58,2.30,29.38,,
ENE,25,16,25.92,6.59,2.27,30.01,,
ENE,25,17,28.64,6.60,2.25,29.50,,
ENE,25,18,30.79,6.62,2.25,29.81,,
ENE,25,19,32.02,6.65,2.24,30.02,,
ENE,25,20,30.84,6.59,2.26,29.44,,
ENE,25,21,28.23,6.50,2.29,26.48,,
ENE,25,22,24.71,6.44,2.33,26.42,,
ENE,25,23,21.20,6.41,2.37,26.59,,
ENE,26,0,18.13,6.39,2.40,26.92,,
ENE,26,1,14.80,6.43,2.42,27.41,,
ENE,26,2,11.56,6.50,2.43,28.01,,
ENE,26,3,9.55,6.57,2.41,27.70,,
ENE,26,4,8.72,6.63,2.39,27.59,,
ENE,26,5,8.10,6.69,2.36,27.58,,
ENE,26,6,7.73,6.76,2.33,27.43,,
ENE,26,7,7.48,6.81,2.30,27.01,,
ENE,26,8,7.54,6.86,2.30,26.83,,
ENE,26,9,7.74,6.90,2.32,26.64,,
ENE,26,10,7.78,6.97,2.34,26.79,,
ENE,26,11,7.87,7.02,2.36,26.47,,
ENE,26,12,8.65,7.06,2.38,26.51,,
ENE,26,13,10.27,7.19,2.39,26.71,,
ENE,26,14,12.86,7.34,2.40,26.62,,
ENE,26,15,15.97,7.45,2.38,26.25,,
ENE,26,16,19.06,7.53,2.34,25.50,,
ENE,26,17,22.46,7.60,2.29,25.02,,
ENE,26,18,25.81,7.63,2.24,24.76,,
ENE,26,19,27.83,7.66,2.23,24.31,,
ENE,26,20,28.12,7.72,2.26,24.02,,
ENE,26,21,26.46,7.80,2.34,24.20,,
ENE,26,22,23.57,7.95,2.44,25.54,,
ENE,26,23,20.70,8.06,2.47,25.11,,
ENE,27,0,18.38,8.13,2.48,24.22,,
ENE,27,1,15.99,8.14,2.49,23.71,,
ENE,27,2,13.41,8.08,2.50,23.11,,
ENE,27,3,10.82,8.04,2.50,23.37,,
ENE,27,4,9.38,8.02,2.46,23.46,,
ENE,27,5,8.98,8.02,2.37,23.47,,
ENE,27,6,8.77,8.01,2.27,23.75,,
ENE,27,7,7.93,8.02,2.30,23.96,,
ENE,27,8,6.54,8.06,2.38,24.47,,
ENE,27,9,5.26,8.17,2.50,25.92,,
ENE,27,10,4.72,8.29,2.59,26.84,,
ENE,27,11,6.12,8.35,2.59,26.30,,
ENE,27,12,8.50,8.34,2.60,25.89,,
ENE,27,13,11.92,8.25,2.59,25.72,,
ENE,27,14,15.84,8.13,2.58,25.90,,
ENE,27,15,20.27,8.03,2.53,26.18,,
ENE,27,16,25.12,7.98,2.43,26.26,,
ENE,27,17,30.10,7.92,2.31,26.88,,
ENE,27,18,34.47,7.88,2.22,26.82,,
ENE,27,19,35.93,7.86,2.24,26.90,,
ENE,27,20,33.73,7.85,2.33,27.92,,
ENE,27,21,32.00,7.85,2.41,29.19,,
ENE,27,22,29.25,7.78,2.47,29.14,,
ENE,27,23,27.35,7.71,2.48,29.35,,
ENE,28,0,24.59,7.67,2.49,29.66,,
ENE,28,1,21.11,7.65,2.51,30.13,,
ENE,28,2,18.06,7.67,2.52,30.72,,
ENE,28,3,15.99,7.68,2.49,31.35,,
ENE,28,4,15.86,7.66,2.40,31.67,,
ENE,28,5,14.22,7.65,2.34,31.84,,
ENE,28,6,13.40,7.67,2.30,32.25,,
ENE,28,7,12.73,7.73,2.38,33.46,,
ENE,28,8,11.58,7.82,2.51,34.87,,
ENE,28,9,11.43,7.99,2.59,36.45,,
ENE,28,10,10.80,7.97,2.61,36.26,,
ENE,28,11,11.86,7.94,2.61,37.53,,
ENE,28,12,14.82,7.92,2.61,37.89,,
ENE,28,13,19.39,7.88,2.59,37.64,,
ENE,28,14,24.67,7.86,2.57,37.72,,
ENE,28,15,28.89,7.84,2.48,37.85,,
ENE,28,16,34.23,7.82,2.33,37.64,,
ENE,28,17,38.46,7.81,2.24,37.23,,
ENE,28,18,42.76,7.78,2.20,37.63,,
ENE,28,19,43.98,7.73,2.21,37.69,,
ENE,28,20,41.18,7.70,2.34,37.76,,
ENE,28,21,36.86,7.68,2.46,39.95,,
ENE,28,22,31.99,7.65,2.54,40.07,,
ENE,28,23,25.98,7.66,2.66,42.06,,
ENE,29,0,21.46,7.70,2.78,43.48,,
ENE,29,1,18.31,7.79,2.83,45.70,,
ENE,29,2,14.49,7.85,2.92,47.60,,
ENE,29,3,13.19,8.00,2.95,49.58,,
ENE,29,4,14.27,8.38,2.84,51.14,,
ENE,29,5,14.84,8.62,2.74,53.51,,
ENE,29,6,15.11,8.75,2.68,54.64,,
ENE,29,7,16.88,8.74,2.59,54.80,,
ENE,29,8,16.41,8.65,2.51,53.90,,
ENE,29,9,15.62,8.41,2.50,52.40,,
ENE,29,10,15.77,8.27,2.44,51.69,,
ENE,29,11,16.64,8.17,2.40,51.11,,
ENE,29,12,18.73,8.13,2.38,51.11,,
ENE,29,13,22.32,8.11,2.36,51.87,,
ENE,29,14,26.49,8.09,2.33,51.84,,
ENE,29,15,30.75,8.06,2.30,51.45,,
ENE,29,16,35.83,8.03,2.27,51.69,,
ENE,29,17,39.84,7.99,2.23,51.95,,
ENE,29,18,43.07,7.97,2.20,52.74,,
ENE,29,19,43.42,7.94,2.19,54.06,,
ENE,29,20,42.35,7.86,2.18,53.08,,
ENE,29,21,41.06,7.74,2.18,49.33,,
ENE,29,22,38.58,7.64,2.19,47.50,,
ENE,29,23,35.15,7.53,2.20,45.04,,
ENE,30,0,32.42,7.38,2.19,42.93,,
ENE,30,1,30.22,7.20,2.19,40.03,,
ENE,30,2,28.94,7.09,2.18,37.21,,
ENE,30,3,28.75,6.92,2.17,34.00,,
ENE,30,4,29.14,6.56,2.16,31.85,,
ENE,30,5,28.07,6.29,2.16,28.92,,
ENE,30,6,26.92,6.13,2.16,27.27,,
ENE,30,7,25.27,6.04,2.19,26.07,,
ENE,30,8,22.34,5.98,2.26,25.73,,
ENE,30,9,19.52,6.01,2.33,25.58,,
ENE,30,10,17.14,6.09,2.40,25.98,,
ENE,30,11,16.08,6.11,2.43,26.72,,
ENE,30,12,16.20,6.11,2.45,27.01,,
ENE,30,13,18.28,6.11,2.45,27.17,,
ENE,30,14,21.25,6.11,2.43,28.86,,
ENE,30,15,24.92,6.12,2.40,30.51,,
ENE,30,16,27.95,6.12,2.33,33.19,,
ENE,30,17,30.48,6.12,2.27,35.25,,
ENE,30,18,31.89,6.13,2.22,35.71,,
ENE,30,19,31.76,6.17,2.22,33.93,,
ENE,30,20,30.67,6.22,2.23,33.19,,
ENE,30,21,28.89,6.25,2.25,32.78,,
ENE,30,22,26.94,6.28,2.27,32.08,,
ENE,30,23,24.74,6.32,2.28,31.81,,
ENE,31,0,23.43,6.37,2.29,31.78,,
ENE,31,1,22.45,6.42,2.29,32.63,,
ENE,31,2,21.97,6.45,2.29,32.69,,
ENE,31,3,21.40,6.48,2.26,33.12,,
ENE,31,4,20.31,6.49,2.24,33.52,,
ENE,31,5,19.16,6.54,2.23,33.60,,
ENE,31,6,17.36,6.57,2.23,33.73,,
ENE,31,7,15.19,6.60,2.26,33.77,,
ENE,31,8,12.77,6.64,2.35,33.28,,
ENE,31,9,10.84,6.64,2.44,33.45,,
ENE,31,10,10.26,6.61,2.47,32.51,,
ENE,31,11,11.34,6.64,2.49,31.55,,
ENE,31,12,13.63,6.69,2.50,31.03,,
ENE,31,13,16.09,6.76,2.51,30.56,,
ENE,31,14,19.08,6.77,2.50,34.47,,
ENE,31,15,23.07,6.79,2.47,33.23,,
ENE,31,16,27.02,6.82,2.38,30.50,,
ENE,31,17,30.69,6.86,2.29,28.90,,
ENE,31,18,32.21,6.93,2.29,28.39,,
ENE,31,19,31.61,6.98,2.32,29.47,,
ENE,31,20,29.90,7.04,2.35,30.29,,
ENE,31,21,26.90,7.10,2.39,31.14,,
ENE,31,22,23.74,7.18,2.44,33.06,,
ENE,31,23,20.37,7.25,2.47,35.10,,
