DATOS MÓVILES 2020_NATIVITAS,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,
,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,MPM10,
FEB,5,17,16.26,6.41,2.39,14.07,
FEB,5,18,17.05,6.49,2.39,13.43,
FEB,5,19,16.84,6.56,2.39,13.27,
FEB,5,20,15.99,6.59,2.42,14.01,
FEB,5,21,15.12,6.64,2.44,14.17,
FEB,5,22,14.57,6.66,2.44,13.47,
FEB,5,23,13.59,6.67,2.43,12.97,
FEB,6,0,12.15,6.68,2.44,12.64,
FEB,6,1,10.41,6.71,2.44,12.7,
FEB,6,2,8.7,6.73,2.44,12.4,
FEB,6,3,7.41,6.76,2.43,12.4,
FEB,6,4,6.72,6.75,2.39,12.43,
FEB,6,5,6.76,6.73,2.35,12.43,
FEB,6,6,6.74,6.72,2.33,12.39,
FEB,6,7,6.83,6.69,2.36,11.93,
FEB,6,8,6.43,6.69,2.46,12.18,
FEB,6,9,6.55,6.73,2.57,11.4,
FEB,6,10,7.68,6.77,2.59,11.1,
FEB,6,11,9.79,6.78,2.6,11.03,
FEB,6,12,12.55,6.79,2.6,10.3,
FEB,6,13,14.1,6.67,2.61,10.27,
FEB,6,14,17.46,6.63,2.62,10.35,
FEB,6,15,21.69,6.61,2.59,10.67,
FEB,6,16,26.72,6.6,2.48,10.67,
FEB,6,17,29.49,6.48,2.37,10.76,
FEB,6,18,32.87,6.46,2.33,11.18,
FEB,6,19,30.3,6.23,2.44,10.86,
FEB,6,20,28.06,6.13,2.51,NA,
FEB,6,21,26.61,6.21,2.61,NA,
FEB,6,22,22.51,7.31,2.72,NA,
FEB,6,23,17.68,9.65,2.87,NA,
FEB,7,0,12.41,10.14,2.96,NA,
FEB,7,1,9.11,10.46,3.04,NA,
FEB,7,2,4.4,10.61,3.09,NA,
FEB,7,3,4.64,10.68,3.01,NA,
FEB,7,4,3.77,10.71,2.98,NA,
FEB,7,5,3.04,10.72,2.92,NA,
FEB,7,6,2.87,10.71,2.84,NA,
FEB,7,7,2.8,10.73,2.76,NA,
FEB,7,8,2.88,10.79,2.83,NA,
FEB,7,9,2.94,10.88,2.89,NA,
FEB,7,10,3,10.93,2.94,NA,
FEB,7,11,3.96,10.96,2.94,NA,
FEB,7,12,6.76,11.23,2.93,NA,
FEB,7,13,10.54,11.95,2.92,NA,
FEB,7,14,14.88,12.06,2.91,NA,
FEB,7,15,19.45,12.03,2.84,NA,
FEB,7,16,24.26,12,2.7,46.11,
FEB,7,17,28.49,12.03,2.56,44.37,
FEB,7,18,32.14,11.94,2.48,43.48,
FEB,7,19,33.24,12.05,2.48,43.42,
FEB,7,20,31.81,12.05,2.51,43.87,
FEB,7,21,29.71,11.83,2.52,44.27,
FEB,7,22,26.84,10.62,2.55,44.31,
FEB,7,23,22.51,8.24,2.68,44.66,
FEB,8,0,17.88,7.72,2.83,44.99,
FEB,8,1,13.92,7.53,2.94,46.35,
FEB,8,2,11.29,7.6,3,46.3,
FEB,8,3,10.34,7.74,3.03,47.09,
FEB,8,4,9.29,7.93,3.03,47.17,
FEB,8,5,7.87,8.06,3.03,45.36,
FEB,8,6,6.77,8.2,3.05,44.99,
FEB,8,7,7.33,8.3,2.98,44.97,
FEB,8,8,7.96,8.37,2.91,45.99,
FEB,8,9,8.27,8.42,2.89,45.43,
FEB,8,10,7.96,8.57,2.87,44.91,
FEB,8,11,8.87,10.56,2.84,44.92,
FEB,8,12,12.44,11.58,2.81,46.1,
FEB,8,13,17.06,11.26,2.77,46.14,
FEB,8,14,21.72,11.15,2.71,45.43,
FEB,8,15,26.16,11.11,2.65,45.06,
FEB,8,16,30.59,11.07,2.58,44.5,
FEB,8,17,35.12,11.07,2.5,44.38,
FEB,8,18,39.45,11.08,2.45,43.83,
FEB,8,19,41.02,11.11,2.48,43.39,
FEB,8,20,37.6,11.16,2.65,44.2,
FEB,8,21,33.94,11.26,2.73,47.47,
FEB,8,22,30.31,11.33,2.77,47.65,
FEB,8,23,25.91,11.35,2.82,47.52,
FEB,9,0,21.53,11.32,2.85,46.35,
FEB,9,1,16.72,11.21,2.9,44.68,
FEB,9,2,11.67,11.09,2.94,44.21,
FEB,9,3,8.19,11.02,2.92,43.54,
FEB,9,4,7.73,11.07,2.77,43.23,
FEB,9,5,6.53,11.17,2.71,43.11,
FEB,9,6,5.13,11.23,2.71,42.22,
FEB,9,7,4.29,11.28,2.72,41.95,
FEB,9,8,3.48,11.31,2.78,39.96,
FEB,9,9,3.31,11.53,2.8,38.57,
FEB,9,10,4.12,11.65,2.79,37.29,
FEB,9,11,6.3,12.84,2.89,36.83,
FEB,9,12,9.42,14.44,2.97,36.94,
FEB,9,13,13.64,15.19,2.99,37.38,
FEB,9,14,17.84,15.6,2.96,37.54,
FEB,9,15,20.69,15.82,2.91,37.57,
FEB,9,16,23.58,16.01,2.83,37.36,
FEB,9,17,26.37,16.51,2.81,38.55,
FEB,9,18,28.51,16.66,2.78,39.69,
FEB,9,19,29.17,16.87,2.65,40.07,
FEB,9,20,27.11,17.05,2.61,37,
FEB,9,21,23.9,17.19,2.59,31.36,
FEB,9,22,20.32,17.33,2.59,30.5,
FEB,9,23,18.08,17.46,2.6,28.4,
FEB,10,0,15.58,17.6,2.61,26.8,
FEB,10,1,14.33,17.65,2.59,25.1,
FEB,10,2,11.64,17.55,2.59,23.59,
FEB,10,3,8.82,17.39,2.58,23.07,
FEB,10,4,7.65,17.12,2.51,22.64,
FEB,10,5,6.5,16.89,2.49,21.64,
FEB,10,6,5.55,16.71,2.5,21.4,
FEB,10,7,4.7,16.58,2.54,21,
FEB,10,8,3.97,16.47,2.6,21.94,
FEB,10,9,3.82,16.14,2.66,23.06,
FEB,10,10,4.33,15.89,2.74,22.78,
FEB,10,11,5.84,12.71,2.76,22.73,
FEB,10,12,8.4,9.78,2.78,21.29,
FEB,10,13,11.42,8.73,2.79,20.34,
FEB,10,14,14.67,8.35,2.78,20.38,
FEB,10,15,18.19,8.2,2.73,20.47,
FEB,10,16,21.75,8.06,2.66,20.89,
FEB,10,17,24.86,7.94,2.6,20.45,
FEB,10,18,27.46,7.82,2.51,20.25,
FEB,10,19,28.58,7.65,2.5,20.41,
FEB,10,20,27.01,7.51,2.53,21.81,
FEB,10,21,24.3,7.36,2.58,23.56,
FEB,10,22,22.05,7.24,2.58,24.42,
FEB,10,23,19.66,7.09,2.59,25.36,
FEB,11,0,16.75,6.98,2.62,26.67,
FEB,11,1,14.01,6.93,2.65,27.8,
FEB,11,2,11.33,6.98,2.67,29.1,
FEB,11,3,9.37,6.99,2.67,29.55,
FEB,11,4,9.17,7.01,2.62,29.23,
FEB,11,5,9.55,6.99,2.56,29.5,
FEB,11,6,9.21,7.03,2.57,29.74,
FEB,11,7,8.56,7.09,2.61,30.64,
FEB,11,8,8.38,7.18,2.71,31.74,
FEB,11,9,8.04,7.22,2.74,34.3,
FEB,11,10,8.18,7.23,2.75,36.7,
FEB,11,11,9.31,7.17,2.77,37.22,
FEB,11,12,11.15,7.17,2.8,37.83,
FEB,11,13,13.95,7.19,2.81,37.91,
FEB,11,14,17.46,7.22,2.8,37.86,
FEB,11,15,21.91,7.25,2.75,38.18,
FEB,11,16,26.81,7.3,2.63,38.6,
FEB,11,17,31.98,7.39,2.58,39.03,
FEB,11,18,36.53,7.47,2.56,39.39,
FEB,11,19,39.06,7.54,2.54,40.24,
FEB,11,20,39.41,7.57,2.53,40.37,
FEB,11,21,38.36,7.59,2.53,39.96,
FEB,11,22,36.71,7.58,2.52,39.21,
FEB,11,23,33.83,7.62,2.52,39.41,
FEB,12,0,30.22,7.61,2.52,38.85,
