DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm],,,,,
NOV,5,2,0.0246,0.0248,0.0103,3.081,21,NA,,,,,
NOV,5,3,0.0260,0.0249,0.0104,3.062,17,NA,,,,,
NOV,5,4,0.0282,0.0254,0.0104,3.047,17,NA,,,,,
NOV,5,5,0.0259,0.0254,0.0105,3.036,15,NA,,,,,
NOV,5,6,0.0261,0.0254,0.0105,3.027,15,NA,,,,,
NOV,5,7,0.0232,0.0252,0.0106,3.029,18,NA,,,,,
NOV,5,8,0.0210,0.0248,0.0108,3.036,25,NA,,,,,
NOV,5,9,0.0251,0.0250,0.0109,3.039,28,NA,,,,,
NOV,5,10,0.0291,0.0256,0.0110,3.045,27,NA,,,,,
NOV,5,11,0.0319,0.0263,0.0111,3.054,24,NA,,,,,
NOV,5,12,0.0362,0.0273,0.0112,3.067,27,NA,,,,,
NOV,5,13,0.0399,0.0290,0.0113,3.076,28,NA,,,,,
NOV,5,14,0.0409,0.0309,0.0116,3.090,28,NA,,,,,
NOV,5,15,0.0423,0.0333,0.0135,3.138,35,NA,,,,,
NOV,5,16,0.0387,0.0355,0.0146,3.183,37,NA,,,,,
NOV,5,17,0.0356,0.0368,0.0160,3.265,42,NA,,,,,
NOV,5,18,0.0308,0.0370,0.0158,3.313,45,NA,,,,,
NOV,5,19,0.0252,0.0362,0.0161,3.329,50,NA,,,,,
NOV,5,20,0.0234,0.0346,0.0154,3.337,47,NA,,,,,
NOV,5,21,0.0248,0.0327,0.0152,3.347,42,NA,,,,,
NOV,5,22,0.0254,0.0308,0.0137,3.345,32,NA,,,,,
NOV,5,23,0.0252,0.0286,0.0136,3.295,27,NA,,,,,
NOV,6,0,0.0249,0.0269,0.0137,3.242,22,NA,,,,,
NOV,6,1,0.0247,0.0256,0.0137,3.155,17,NA,,,,,
NOV,6,2,0.0237,0.0247,0.0136,3.101,15,NA,,,,,
NOV,6,3,0.0232,0.0244,0.0136,3.077,17,NA,,,,,
NOV,6,4,0.0244,0.0246,0.0137,3.058,16,NA,,,,,
NOV,6,5,0.0234,0.0244,0.0138,3.041,15,NA,,,,,
NOV,6,6,0.0249,0.0243,0.0146,3.032,17,NA,,,,,
NOV,6,7,0.0197,0.0236,0.0149,3.040,17,NA,,,,,
NOV,6,8,0.0117,0.0220,0.0148,3.070,22,NA,,,,,
NOV,6,9,0.0164,0.0209,0.0147,3.086,31,NA,,,,,
NOV,6,10,0.0304,0.0218,0.0146,3.093,29,NA,,,,,
NOV,6,11,0.0331,0.0230,0.0145,3.100,25,NA,,,,,
NOV,6,12,0.0371,0.0246,0.0144,3.110,26,NA,,,,,
NOV,6,13,0.0414,0.0268,0.0144,3.123,27,NA,,,,,
NOV,6,14,0.0457,0.0294,0.0148,3.139,29,NA,,,,,
NOV,6,15,0.0517,0.0334,0.0147,3.186,32,NA,,,,,
NOV,6,16,0.0504,0.0383,0.0145,3.177,38,NA,,,,,
NOV,6,17,0.0314,0.0402,0.0126,3.171,28,NA,,,,,
NOV,6,18,0.0478,0.0423,0.0101,3.179,28,NA,,,,,
NOV,6,19,0.0226,0.0410,0.0099,3.322,66,NA,,,,,
NOV,6,20,0.0017,0.0366,0.0098,3.647,117,NA,,,,,
NOV,6,21,0.0179,0.0337,0.0098,3.659,100,NA,,,,,
NOV,6,22,0.0161,0.0300,0.0102,3.667,70,NA,,,,,
NOV,6,23,0.0188,0.0258,0.0102,3.625,54,NA,,,,,
NOV,7,0,0.0207,0.0221,0.0102,3.612,46,NA,,,,,
NOV,7,1,0.0210,0.0208,0.0102,3.610,35,NA,,,,,
NOV,7,2,0.0214,0.0175,0.0103,3.599,28,NA,,,,,
NOV,7,3,0.0214,0.0174,0.0102,3.456,26,NA,,,,,
NOV,7,4,0.0191,0.0195,0.0101,3.127,25,NA,,,,,
NOV,7,5,0.0087,0.0184,0.0100,3.109,25,NA,,,,,
NOV,7,6,0.0137,0.0181,0.0091,3.093,29,NA,,,,,
NOV,7,7,0.0099,0.0170,0.0088,3.096,29,NA,,,,,
NOV,7,8,0.0071,0.0153,0.0087,3.123,32,NA,,,,,
NOV,7,9,0.0143,0.0144,0.0087,3.142,25,NA,,,,,
NOV,7,10,0.0221,0.0145,0.0087,3.157,31,NA,,,,,
NOV,7,11,0.0288,0.0155,0.0088,3.168,34,NA,,,,,
NOV,7,12,0.0406,0.0182,0.0090,3.179,42,NA,,,,,
NOV,7,13,0.0550,0.0240,0.0099,3.188,61,NA,,,,,
NOV,7,14,0.0616,0.0299,0.0098,3.214,57,NA,,,,,
NOV,7,15,0.0668,0.0370,0.0082,3.232,59,NA,,,,,
NOV,7,16,0.0596,0.0436,0.0074,3.228,52,NA,,,,,
NOV,7,17,0.0521,0.0483,0.0070,3.234,44,NA,,,,,
NOV,7,18,0.0479,0.0515,0.0068,3.269,41,NA,,,,,
NOV,7,19,0.0210,0.0506,0.0067,3.452,53,NA,,,,,
NOV,7,20,0.0019,0.0457,0.0065,3.809,75,NA,,,,,
NOV,7,21,0.0012,0.0390,0.0065,4.068,136,NA,,,,,
NOV,7,22,0.0256,0.0345,0.0062,4.093,146,NA,,,,,
NOV,7,23,0.0079,0.0271,0.0062,4.161,117,NA,,,,,
NOV,8,0,0.0013,0.0199,0.0064,4.285,111,NA,,,,,
NOV,8,1,0.0013,0.0135,0.0065,4.335,105,NA,,,,,
NOV,8,2,0.0034,0.0080,0.0070,4.332,94,NA,,,,,
NOV,8,3,0.0053,0.0060,0.0072,4.185,77,NA,,,,,
NOV,8,4,0.0050,0.0064,0.0074,3.855,71,NA,,,,,
NOV,8,5,0.0065,0.0070,0.0074,3.617,67,NA,,,,,
NOV,8,6,0.0072,0.0047,0.0075,3.600,61,NA,,,,,
NOV,8,7,0.0027,0.0041,0.0094,3.575,85,NA,,,,,
NOV,8,8,0.0043,0.0045,0.0100,3.511,98,NA,,,,,
NOV,8,9,0.0091,0.0054,0.0103,3.502,93,NA,,,,,
NOV,8,10,0.0199,0.0075,0.0116,3.543,79,NA,,,,,
NOV,8,11,0.0485,0.0129,0.0137,3.604,71,NA,,,,,
NOV,8,12,0.0492,0.0184,0.0138,3.594,56,NA,,,,,
NOV,8,13,0.0426,0.0229,0.0129,3.581,41,NA,,,,,
NOV,8,14,0.0453,0.0277,0.0123,3.562,31,NA,,,,,
NOV,8,15,0.0458,0.0331,0.0120,3.499,30,NA,,,,,
NOV,8,16,0.0452,0.0382,0.0118,3.431,27,NA,,,,,
NOV,8,17,0.0460,0.0428,0.0117,3.393,28,NA,,,,,
NOV,8,18,0.0437,0.0458,0.0115,3.361,34,NA,,,,,
NOV,8,19,0.0174,0.0419,0.0114,3.489,51,NA,,,,,
NOV,8,20,0.0007,0.0358,0.0112,3.959,92,NA,,,,,
NOV,8,21,0.0005,0.0306,0.0111,4.432,222,NA,,,,,
NOV,8,22,0.0009,0.0250,0.0111,4.653,245,NA,,,,,
NOV,8,23,0.0133,0.0209,0.0110,4.685,174,NA,,,,,
NOV,9,0,0.0148,0.0171,0.0109,4.695,109,NA,,,,,
NOV,9,1,0.0078,0.0124,0.0107,4.697,75,NA,,,,,
NOV,9,2,0.0036,0.0074,0.0102,4.682,60,NA,,,,,
NOV,9,3,0.0004,0.0052,0.0100,4.487,60,NA,,,,,
NOV,9,4,0.0001,0.0052,0.0101,4.029,60,NA,,,,,
NOV,9,5,0.0000,0.0051,0.0102,3.583,64,NA,,,,,
NOV,9,6,0.0000,0.0050,0.0106,3.397,66,NA,,,,,
NOV,9,7,0.0002,0.0034,0.0093,3.435,81,NA,,,,,
NOV,9,8,0.0005,0.0016,0.0090,3.498,89,NA,,,,,
NOV,9,9,0.0021,0.0009,0.0089,3.547,90,NA,,,,,
NOV,9,10,0.0138,0.0021,0.0082,3.559,86,NA,,,,,
NOV,9,11,0.0288,0.0057,0.0065,3.562,80,NA,,,,,
NOV,9,12,0.0420,0.0109,0.0065,3.563,67,NA,,,,,
NOV,9,13,0.0681,0.0194,0.0068,3.550,59,NA,,,,,
NOV,9,14,0.0650,0.0276,0.0069,3.515,49,NA,,,,,
NOV,9,15,0.0647,0.0356,0.0070,3.454,42,NA,,,,,
NOV,9,16,0.0643,0.0436,0.0074,3.372,38,NA,,,,,
NOV,9,17,0.0633,0.0512,0.0078,3.314,37,NA,,,,,
NOV,9,18,0.0532,0.0562,0.0078,3.285,38,NA,,,,,
NOV,9,19,0.0229,0.0554,0.0078,3.343,56,NA,,,,,
NOV,9,20,0.0016,0.0504,0.0078,3.532,111,NA,,,,,
NOV,9,21,0.0019,0.0421,0.0078,3.705,162,NA,,,,,
NOV,9,22,0.0097,0.0352,0.0076,3.767,129,NA,,,,,
NOV,9,23,0.0201,0.0296,0.0075,3.776,94,NA,,,,,
NOV,10,0,0.0166,0.0237,0.0075,3.792,71,NA,,,,,
NOV,10,1,0.0112,0.0172,0.0075,3.799,55,NA,,,,,
NOV,10,2,0.0117,0.0120,0.0076,3.797,50,NA,,,,,
NOV,10,3,0.0069,0.0100,0.0076,3.731,47,NA,,,,,
NOV,10,4,0.0091,0.0109,0.0075,3.525,43,NA,,,,,
NOV,10,5,0.0003,0.0107,0.0075,3.356,46,NA,,,,,
NOV,10,6,0.0001,0.0095,0.0072,3.318,52,NA,,,,,
NOV,10,7,0.0003,0.0070,0.0069,3.360,63,NA,,,,,
NOV,10,8,0.0013,0.0051,0.0071,3.425,88,NA,,,,,
NOV,10,9,0.0092,0.0048,0.0072,3.443,88,NA,,,,,
NOV,10,10,0.0229,0.0063,0.0067,3.456,76,NA,,,,,
NOV,10,11,0.0337,0.0096,0.0065,3.447,63,NA,,,,,
NOV,10,12,0.0448,0.0141,0.0064,3.454,55,NA,,,,,
NOV,10,13,0.0517,0.0205,0.0062,3.431,45,NA,,,,,
NOV,10,14,0.0530,0.0271,0.0062,3.404,39,NA,,,,,
NOV,10,15,0.0531,0.0337,0.0063,3.337,30,NA,,,,,
NOV,10,16,0.0584,0.0409,0.0061,3.256,28,NA,,,,,
NOV,10,17,0.0600,0.0472,0.0059,3.224,28,NA,,,,,
NOV,10,18,0.0548,0.0512,0.0060,3.226,34,NA,,,,,
NOV,10,19,0.0236,0.0499,0.0061,3.335,57,NA,,,,,
NOV,10,20,0.0022,0.0446,0.0061,3.577,103,NA,,,,,
NOV,10,21,0.0003,0.0382,0.0064,3.930,200,NA,,,,,
NOV,10,22,0.0042,0.0321,0.0065,4.022,178,NA,,,,,
NOV,10,23,0.0153,0.0273,0.0066,4.063,137,NA,,,,,
NOV,11,0,0.0198,0.0225,0.0067,4.087,100,NA,,,,,
NOV,11,1,0.0092,0.0162,0.0067,4.111,82,NA,,,,,
NOV,11,2,0.0009,0.0094,0.0067,4.132,82,NA,,,,,
NOV,11,3,0.0008,0.0066,0.0067,4.053,83,NA,,,,,
NOV,11,4,0.0016,0.0065,0.0068,3.840,77,NA,,,,,
NOV,11,5,0.0002,0.0065,0.0068,3.530,73,NA,,,,,
NOV,11,6,0.0003,0.0060,0.0068,3.493,76,NA,,,,,
NOV,11,7,0.0001,0.0041,0.0067,3.515,84,NA,,,,,
NOV,11,8,0.0007,0.0017,0.0064,3.569,91,NA,,,,,
NOV,11,9,0.0057,0.0013,0.0074,3.601,123,NA,,,,,
NOV,11,10,0.0200,0.0037,0.0079,3.587,121,NA,,,,,
NOV,11,11,0.0375,0.0083,0.0082,3.547,90,NA,,,,,
NOV,11,12,0.0463,0.0139,0.0083,3.511,65,NA,,,,,
NOV,11,13,0.0503,0.0201,0.0082,3.488,62,NA,,,,,
NOV,11,14,0.0474,0.0260,0.0082,3.430,48,NA,,,,,
NOV,11,15,0.0524,0.0325,0.0080,3.368,37,NA,,,,,
NOV,11,16,0.0380,0.0372,0.0078,3.292,24,NA,,,,,
NOV,11,17,0.0595,0.0439,0.0077,3.241,28,NA,,,,,
NOV,11,18,0.0510,0.0478,0.0077,3.242,35,NA,,,,,
NOV,11,19,0.0159,0.0451,0.0077,3.423,44,NA,,,,,
NOV,11,20,0.0106,0.0406,0.0077,3.592,75,NA,,,,,
NOV,11,21,0.0173,0.0365,0.0075,3.661,86,NA,,,,,
NOV,11,22,0.0144,0.0324,0.0075,3.727,103,NA,,,,,
NOV,11,23,0.0292,0.0295,0.0074,3.746,88,NA,,,,,
NOV,12,0,0.0214,0.0274,0.0074,3.768,67,NA,,,,,
NOV,12,1,0.0122,0.0215,0.0074,3.788,67,NA,,,,,
NOV,12,2,0.0040,0.0156,0.0074,3.795,75,NA,,,,,
NOV,12,3,0.0017,0.0139,0.0074,3.637,77,NA,,,,,
NOV,12,4,0.0026,0.0129,0.0074,3.482,73,NA,,,,,
NOV,12,5,0.0000,0.0107,0.0073,3.425,68,NA,,,,,
NOV,12,6,0.0001,0.0089,0.0073,3.394,68,NA,,,,,
NOV,12,7,0.0001,0.0053,0.0074,3.438,97,NA,,,,,
NOV,12,8,0.0007,0.0027,0.0073,3.466,113,NA,,,,,
NOV,12,9,0.0026,0.0015,0.0068,3.514,115,NA,,,,,
NOV,12,10,0.0135,0.0026,0.0074,3.531,140,NA,,,,,
NOV,12,11,0.0318,0.0064,0.0075,3.528,116,NA,,,,,
NOV,12,12,0.0470,0.0120,0.0075,3.530,82,NA,,,,,
NOV,12,13,0.0553,0.0189,0.0075,3.516,61,NA,,,,,
NOV,12,14,0.0583,0.0262,0.0076,3.497,69,NA,,,,,
NOV,12,15,0.0667,0.0345,0.0080,3.445,63,NA,,,,,
NOV,12,16,0.0728,0.0435,0.0085,3.407,49,NA,,,,,
NOV,12,17,0.0752,0.0526,0.0093,3.364,44,NA,,,,,
NOV,12,18,0.0622,0.0587,0.0098,3.364,50,NA,,,,,
NOV,12,19,0.0186,0.0570,0.0099,3.532,61,NA,,,,,
NOV,12,20,0.0007,0.0512,0.0100,3.864,97,NA,,,,,
NOV,12,21,0.0004,0.0444,0.0102,4.152,132,NA,,,,,
NOV,12,22,0.0007,0.0372,0.0103,4.621,196,NA,,,,,
NOV,12,23,0.0007,0.0289,0.0105,4.810,207,NA,,,,,
NOV,13,0,0.0040,0.0203,0.0107,4.848,179,NA,,,,,
NOV,13,1,0.0014,0.0111,0.0110,4.872,151,NA,,,,,
NOV,13,2,0.0004,0.0034,0.0112,4.891,132,NA,,,,,
NOV,13,3,0.0010,0.0012,0.0114,4.763,118,NA,,,,,
NOV,13,4,0.0003,0.0011,0.0114,4.449,105,NA,,,,,
NOV,13,5,-0.0002,0.0010,0.0114,4.195,108,NA,,,,,
NOV,13,6,0.0002,0.0010,0.0117,3.752,117,NA,,,,,
NOV,13,7,0.0004,0.0010,0.0119,3.602,113,NA,,,,,
NOV,13,8,0.0004,0.0005,0.0120,3.641,124,NA,,,,,
NOV,13,9,0.0043,0.0009,0.0114,3.640,114,NA,,,,,
NOV,13,10,0.0210,0.0034,0.0101,3.611,102,NA,,,,,
NOV,13,11,0.0356,0.0078,0.0105,3.573,89,NA,,,,,
NOV,13,12,0.0505,0.0140,0.0114,3.556,91,NA,,,,,
NOV,13,13,0.0591,0.0214,0.0117,3.518,84,NA,,,,,
NOV,13,14,0.0642,0.0294,0.0118,3.488,67,NA,,,,,
NOV,13,15,0.0603,0.0369,0.0113,3.446,52,NA,,,,,
NOV,13,16,0.0660,0.0451,0.0108,3.359,45,NA,,,,,
NOV,13,17,0.0702,0.0533,0.0100,3.304,46,NA,,,,,
NOV,13,18,0.0684,0.0593,0.0095,3.299,49,NA,,,,,
NOV,13,19,0.0256,0.0580,0.0094,3.543,101,NA,,,,,
NOV,13,20,0.0003,0.0518,0.0093,3.993,160,NA,,,,,
NOV,13,21,0.0003,0.0444,0.0092,4.215,172,NA,,,,,
NOV,13,22,0.0107,0.0377,0.0091,4.276,178,NA,,,,,
NOV,13,23,0.0173,0.0324,0.0089,4.320,129,NA,,,,,
NOV,14,0,0.0175,0.0263,0.0087,4.349,94,NA,,,,,
NOV,14,1,0.0106,0.0188,0.0087,4.364,77,NA,,,,,
NOV,14,2,0.0033,0.0107,0.0087,4.350,70,NA,,,,,
NOV,14,3,0.0033,0.0079,0.0085,4.110,69,NA,,,,,
NOV,14,4,0.0114,0.0093,0.0084,3.659,64,NA,,,,,
NOV,14,5,0.0011,0.0094,0.0083,3.452,62,NA,,,,,
NOV,14,6,-0.0001,0.0081,0.0079,3.413,60,NA,,,,,
NOV,14,7,0.0000,0.0059,0.0076,3.401,59,NA,,,,,
NOV,14,8,0.0003,0.0037,0.0075,3.437,84,NA,,,,,
NOV,14,9,0.0022,0.0027,0.0076,3.479,114,NA,,,,,
NOV,14,10,0.0141,0.0040,0.0078,3.511,103,NA,,,,,
NOV,14,11,0.0315,0.0076,0.0072,3.519,98,NA,,,,,
NOV,14,12,0.0464,0.0119,0.0062,3.517,75,NA,,,,,
NOV,14,13,0.0575,0.0190,0.0059,3.511,63,NA,,,,,
NOV,14,14,0.0717,0.0280,0.0057,3.509,60,NA,,,,,
NOV,14,15,0.0711,0.0368,0.0057,3.497,57,NA,,,,,
NOV,14,16,0.0731,0.0459,0.0057,3.445,57,NA,,,,,
NOV,14,17,0.0703,0.0545,0.0057,3.405,62,NA,,,,,
NOV,14,18,0.0610,0.0603,0.0057,3.396,57,NA,,,,,
NOV,14,19,0.0282,0.0599,0.0057,3.501,71,NA,,,,,
NOV,14,20,0.0182,0.0564,0.0055,3.626,105,NA,,,,,
NOV,14,21,0.0079,0.0502,0.0053,3.821,127,NA,,,,,
NOV,14,22,0.0116,0.0427,0.0052,3.928,140,NA,,,,,
NOV,14,23,0.0214,0.0365,0.0056,3.984,123,NA,,,,,
NOV,15,0,0.0202,0.0298,0.0055,4.042,122,NA,,,,,
NOV,15,1,0.0235,0.0240,0.0053,4.074,106,NA,,,,,
NOV,15,2,0.0131,0.0180,0.0051,4.093,89,NA,,,,,
NOV,15,3,0.0104,0.0158,0.0051,4.000,82,NA,,,,,
NOV,15,4,0.0061,0.0143,0.0051,3.889,81,NA,,,,,
NOV,15,5,0.0042,0.0138,0.0052,3.713,88,NA,,,,,
NOV,15,6,0.0057,0.0131,0.0055,3.631,95,NA,,,,,
NOV,15,7,0.0010,0.0105,0.0055,3.610,91,NA,,,,,
NOV,15,8,0.0057,0.0087,0.0055,3.593,94,NA,,,,,
NOV,15,9,0.0117,0.0072,0.0054,3.588,87,NA,,,,,
NOV,15,10,0.0282,0.0091,0.0061,3.558,83,NA,,,,,
NOV,15,11,0.0431,0.0132,0.0064,3.540,84,NA,,,,,
NOV,15,12,0.0553,0.0194,0.0066,3.530,74,NA,,,,,
NOV,15,13,0.0592,0.0262,0.0066,3.505,62,NA,,,,,
NOV,15,14,0.0643,0.0336,0.0066,3.459,56,NA,,,,,
NOV,15,15,0.0660,0.0417,0.0067,3.412,52,NA,,,,,
NOV,15,16,0.0521,0.0475,0.0066,3.365,62,NA,,,,,
NOV,15,17,0.0477,0.0520,0.0065,3.327,77,NA,,,,,
NOV,15,18,0.0398,0.0534,0.0065,3.300,84,NA,,,,,
NOV,15,19,0.0326,0.0521,0.0067,3.280,92,NA,,,,,
NOV,15,20,0.0320,0.0492,0.0068,3.262,95,NA,,,,,
NOV,15,21,0.0310,0.0457,0.0070,3.251,100,NA,,,,,
NOV,15,22,0.0310,0.0415,0.0076,3.243,72,NA,,,,,
NOV,15,23,0.0308,0.0371,0.0072,3.231,53,NA,,,,,
NOV,16,0,0.0272,0.0340,0.0072,3.221,40,NA,,,,,
NOV,16,1,0.0273,0.0315,0.0072,3.209,36,NA,,,,,
NOV,16,2,0.0267,0.0298,0.0071,3.198,31,NA,,,,,
NOV,16,3,0.0232,0.0286,0.0072,3.180,30,NA,,,,,
NOV,16,4,0.0213,0.0273,0.0072,3.167,31,NA,,,,,
