DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm],,,,,
NOV,1,0,0.0182,0.0306,NA,3.395,48,NA,,,,,
NOV,1,1,0.0218,0.0263,NA,3.381,38,NA,,,,,
NOV,1,2,0.0281,0.0229,NA,3.342,29,NA,,,,,
NOV,1,3,0.0230,0.0207,NA,3.218,25,NA,,,,,
NOV,1,4,0.0225,0.0218,NA,3.088,23,NA,,,,,
NOV,1,5,0.0241,0.0221,0.0057,3.061,20,NA,,,,,
NOV,1,6,0.0225,0.0224,0.0056,3.037,22,NA,,,,,
NOV,1,7,0.0155,0.0220,0.0055,3.044,22,NA,,,,,
NOV,1,8,0.0156,0.0216,0.0054,3.056,26,NA,,,,,
NOV,1,9,0.0232,0.0218,0.0052,3.067,29,NA,,,,,
NOV,1,10,0.0300,0.0221,0.0052,3.079,29,NA,,,,,
NOV,1,11,0.0335,0.0234,0.0050,3.086,27,NA,,,,,
NOV,1,12,0.0340,0.0248,0.0049,3.095,24,NA,,,,,
NOV,1,13,0.0366,0.0264,0.0049,3.110,30,NA,,,,,
NOV,1,14,0.0354,0.0280,0.0050,3.120,32,NA,,,,,
NOV,1,15,0.0348,0.0304,0.0050,3.117,35,NA,,,,,
NOV,1,16,0.0332,0.0326,0.0058,3.114,46,NA,,,,,
NOV,1,17,0.0337,0.0339,0.0070,3.120,58,NA,,,,,
NOV,1,18,0.0342,0.0344,0.0076,3.123,64,NA,,,,,
NOV,1,19,0.0334,0.0344,0.0075,3.133,64,NA,,,,,
NOV,1,20,0.0319,0.0341,0.0076,3.137,56,NA,,,,,
NOV,1,21,0.0332,0.0337,0.0083,3.133,53,NA,,,,,
NOV,1,22,0.0322,0.0333,0.0083,3.129,45,NA,,,,,
NOV,1,23,0.0343,0.0333,0.0080,3.118,37,NA,,,,,
NOV,2,0,0.0357,0.0336,0.0073,3.102,33,NA,,,,,
NOV,2,1,0.0337,0.0336,0.0070,3.082,27,NA,,,,,
NOV,2,2,0.0311,0.0332,0.0070,3.064,24,NA,,,,,
NOV,2,3,0.0302,0.0328,0.0070,3.044,24,NA,,,,,
NOV,2,4,0.0314,0.0327,0.0070,3.030,22,NA,,,,,
NOV,2,5,0.0316,0.0325,0.0070,3.017,22,NA,,,,,
NOV,2,6,0.0298,0.0322,0.0070,3.007,23,NA,,,,,
NOV,2,7,0.0220,0.0307,0.0070,3.012,25,NA,,,,,
NOV,2,8,0.0153,0.0281,0.0072,3.032,35,NA,,,,,
NOV,2,9,0.0248,0.0270,0.0072,3.040,36,NA,,,,,
NOV,2,10,0.0296,0.0268,0.0072,3.047,36,NA,,,,,
NOV,2,11,0.0303,0.0268,0.0073,3.055,38,NA,,,,,
NOV,2,12,0.0322,0.0269,0.0073,3.062,41,NA,,,,,
NOV,2,13,0.0334,0.0272,0.0073,3.071,46,NA,,,,,
NOV,2,14,0.0346,0.0278,0.0072,3.078,49,NA,,,,,
NOV,2,15,0.0356,0.0295,0.0071,3.074,47,NA,,,,,
NOV,2,16,0.0356,0.0320,0.0063,3.062,44,NA,,,,,
NOV,2,17,0.0350,0.0333,0.0050,3.064,39,NA,,,,,
NOV,2,18,0.0331,0.0337,0.0040,3.074,43,NA,,,,,
NOV,2,19,0.0289,0.0335,0.0038,3.081,45,NA,,,,,
NOV,2,20,0.0264,0.0328,0.0037,3.090,44,NA,,,,,
NOV,2,21,0.0275,0.0321,0.0033,3.094,41,NA,,,,,
NOV,2,22,0.0307,0.0316,0.0033,3.090,34,NA,,,,,
NOV,2,23,0.0305,0.0309,0.0033,3.084,27,NA,,,,,
NOV,3,0,0.0306,0.0303,0.0033,3.078,22,NA,,,,,
NOV,3,1,0.0298,0.0297,0.0033,3.064,19,NA,,,,,
NOV,3,2,0.0310,0.0294,0.0033,3.045,17,NA,,,,,
NOV,3,3,0.0331,0.0299,0.0033,3.025,16,NA,,,,,
NOV,3,4,0.0343,0.0309,0.0034,3.005,16,NA,,,,,
NOV,3,5,0.0336,0.0317,0.0034,2.990,16,NA,,,,,
NOV,3,6,0.0251,0.0310,0.0036,2.989,22,NA,,,,,
NOV,3,7,0.0182,0.0294,0.0038,2.999,32,NA,,,,,
NOV,3,8,0.0198,0.0281,0.0038,3.017,35,NA,,,,,
NOV,3,9,0.0261,0.0276,0.0038,3.039,37,NA,,,,,
NOV,3,10,0.0337,0.0280,0.0038,3.054,40,NA,,,,,
NOV,3,11,0.0379,0.0286,0.0038,3.070,53,NA,,,,,
NOV,3,12,0.0415,0.0295,0.0037,3.085,53,NA,,,,,
NOV,3,13,0.0445,0.0308,0.0037,3.105,46,NA,,,,,
NOV,3,14,0.0471,0.0336,0.0037,3.119,45,NA,,,,,
NOV,3,15,0.0477,0.0373,0.0037,3.121,41,NA,,,,,
NOV,3,16,0.0470,0.0407,0.0037,3.115,39,NA,,,,,
NOV,3,17,0.0450,0.0430,0.0039,3.117,40,NA,,,,,
NOV,3,18,0.0376,0.0435,0.0049,3.131,44,NA,,,,,
NOV,3,19,0.0306,0.0426,0.0050,3.146,50,NA,,,,,
NOV,3,20,0.0269,0.0408,0.0052,3.161,50,NA,,,,,
NOV,3,21,0.0277,0.0387,0.0049,3.161,44,NA,,,,,
NOV,3,22,0.0274,0.0362,0.0049,3.158,37,NA,,,,,
NOV,3,23,0.0261,0.0335,0.0048,3.154,29,NA,,,,,
NOV,4,0,0.0283,0.0312,0.0047,3.142,22,NA,,,,,
NOV,4,1,0.0294,0.0293,0.0047,3.124,14,NA,,,,,
NOV,4,2,0.0281,0.0281,0.0047,3.101,13,NA,,,,,
NOV,4,3,0.0281,0.0278,0.0046,3.075,16,NA,,,,,
NOV,4,4,0.0265,0.0277,0.0046,3.048,16,NA,,,,,
NOV,4,5,0.0273,0.0277,0.0046,3.033,16,NA,,,,,
NOV,4,6,0.0221,0.0270,0.0043,3.024,15,NA,,,,,
NOV,4,7,0.0195,0.0262,0.0040,3.027,17,NA,,,,,
NOV,4,8,0.0189,0.0250,0.0039,3.044,19,NA,,,,,
NOV,4,9,0.0237,0.0243,0.0039,3.061,32,NA,,,,,
NOV,4,10,0.0294,0.0245,0.0039,3.066,29,NA,,,,,
NOV,4,11,0.0329,0.0251,0.0039,3.072,27,NA,,,,,
NOV,4,12,0.0344,0.0260,0.0039,3.079,28,NA,,,,,
NOV,4,13,0.0380,0.0274,0.0039,3.085,28,NA,,,,,
NOV,4,14,0.0402,0.0296,0.0039,3.088,27,NA,,,,,
NOV,4,15,0.0420,0.0325,0.0039,3.084,29,NA,,,,,
NOV,4,16,0.0399,0.0351,0.0041,3.074,32,NA,,,,,
NOV,4,17,0.0364,0.0367,0.0049,3.076,35,NA,,,,,
NOV,4,18,0.0297,0.0367,0.0069,3.151,43,NA,,,,,
NOV,4,19,0.0252,0.0357,0.0071,3.164,50,NA,,,,,
NOV,4,20,0.0249,0.0345,0.0079,3.172,50,NA,,,,,
NOV,4,21,0.0259,0.0330,0.0085,3.177,46,NA,,,,,
NOV,4,22,0.0257,0.0312,0.0101,3.180,40,NA,,,,,
NOV,4,23,0.0250,0.0291,0.0102,3.180,32,NA,,,,,
NOV,5,0,0.0240,0.0271,0.0102,3.176,29,NA,,,,,
NOV,5,1,0.0234,0.0255,0.0103,3.159,26,NA,,,,,
