DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2020,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario,O3 Promedio de 8 hrs. ,SO2 promedio de 24 hrs.,CO Promedio de 8 hrs.,PM10 Promedio ponderado  de 12 hrs.,NO2 Horario
MAY,1,0,NA,NA,NA,NA,NA,NA
MAY,1,1,32.11,38.292799,NA,2.280541,13.5499,8.3
MAY,1,2,26.37,35.827846,NA,2.273717,14.4911,9.5
MAY,1,3,28.71,33.896751,NA,2.250051,15.8881,8.63
MAY,1,4,22.24,30.330077,NA,2.225737,15.2923,12.24
MAY,1,5,14.04,25.855834,NA,2.207439,23.2181,15.92
MAY,1,6,7.63,21.423987,NA,2.198776,25.8157,20.79
MAY,1,7,8.58,17.3067,NA,2.204245,39.4858,21.39
MAY,1,8,15.63,16.316825,NA,2.217206,38.7054,17.46
MAY,1,9,26.25,15.000643,NA,2.234314,36.9289,14.8
MAY,1,10,40.6,16.883999,NA,2.231065,33.3952,10.25
MAY,1,11,51.99,20.087509,NA,2.2291,27.8481,8.26
MAY,1,12,61.4,25.506895,NA,2.244183,24.3313,6.65
MAY,1,13,64.52,32.668389,NA,2.256313,22.8019,5.95
MAY,1,14,69.8,40.60484,NA,2.264421,24.1755,5.35
MAY,1,15,72.69,49.016016,NA,2.266245,20.3679,5.49
MAY,1,16,67.69,56.352956,NA,2.259849,16.2799,4.57
MAY,1,17,66.1,61.572277,NA,2.255469,17.7917,4.86
MAY,1,18,61.12,63.98135,7.92096,2.287922,18.9833,4.63
MAY,1,19,56.73,65.13565,7.836789,2.306173,19.407,8.56
MAY,1,20,48.61,64.262669,7.71416,2.316902,48.4855,8.96
MAY,1,21,46.32,62.478031,7.583282,2.328634,51.0213,10.25
MAY,1,22,47.88,60.60826,7.479393,2.341883,39.9914,9.69
MAY,1,23,50.71,58.028558,7.385674,2.345052,34.5225,6.95
MAY,2,0,61.93,55.453144,7.314328,2.352432,25.9118,7.37
MAY,2,1,46.08,51.619256,7.29373,2.361184,21.6907,9.43
MAY,2,2,39.84,48.007977,7.275316,2.345654,21.2821,9.16
MAY,2,3,45.98,44.452392,7.258809,2.342603,19.5298,9.5
MAY,2,4,26.04,40.952836,7.222983,2.334234,21.1524,11.89
MAY,2,5,26.97,37.130419,7.1995,2.32844,28.8772,14
MAY,2,6,22.04,32.672694,7.272623,2.327628,35.8606,20.67
