DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
DICIEMBRE,3,4,0.013,0.007,1.38,0.006,4,NA,13.61,2.67,107.27,76.01,625.41,NA
DICIEMBRE,3,5,0.013,0.007,1.38,0.007,24,NA,13.50,3.02,91.22,77.84,625.33,NA
DICIEMBRE,3,6,0.012,0.007,1.40,0.007,12,NA,13.36,2.81,98.00,79.80,625.47,NA
DICIEMBRE,3,7,0.006,0.007,1.61,0.013,14,NA,12.87,2.04,92.96,82.15,626.14,NA
DICIEMBRE,3,8,0.005,0.007,1.73,0.016,26,NA,12.98,1.85,84.95,81.33,626.44,NA
DICIEMBRE,3,9,0.010,0.007,1.71,0.014,35,NA,15.47,2.95,88.10,71.59,626.77,0.57
DICIEMBRE,3,10,0.017,0.007,1.68,0.010,60,NA,18.04,4.54,80.77,62.95,626.96,1.43
DICIEMBRE,3,11,0.019,0.007,1.66,0.010,47,NA,19.37,4.73,86.18,57.21,626.97,2.39
DICIEMBRE,3,12,0.023,0.007,1.69,0.010,47,NA,21.08,4.88,88.41,51.28,626.42,3.08
DICIEMBRE,3,13,0.026,0.006,1.67,0.009,60,NA,22.77,5.13,85.70,42.83,625.50,3.33
DICIEMBRE,3,14,0.029,0.006,1.67,0.010,62,NA,24.89,4.91,85.19,33.53,624.50,3.14
DICIEMBRE,3,15,0.033,0.006,1.66,0.009,57,NA,26.06,5.87,82.48,27.55,623.69,2.47
DICIEMBRE,3,16,0.033,0.006,1.69,0.010,84,NA,26.56,5.76,86.24,26.78,623.22,1.53
DICIEMBRE,3,17,0.032,0.006,1.67,0.009,84,NA,26.24,5.95,81.37,26.88,623.20,0.59
DICIEMBRE,3,18,0.022,0.009,1.69,0.009,78,NA,24.20,5.04,60.45,34.46,623.71,NA
DICIEMBRE,3,19,0.015,0.023,1.68,0.009,55,NA,21.41,4.68,54.42,45.66,624.44,NA
DICIEMBRE,3,20,0.012,0.036,1.60,0.010,56,NA,20.26,4.50,61.49,48.06,625.33,NA
DICIEMBRE,3,21,0.018,0.015,1.55,0.007,37,NA,19.21,5.06,68.16,50.02,625.85,NA
DICIEMBRE,3,22,0.018,0.009,1.56,0.007,35,NA,18.10,4.44,82.50,54.63,626.37,NA
DICIEMBRE,3,23,0.018,0.008,1.54,0.007,31,NA,17.26,3.32,80.31,58.90,626.68,NA
DICIEMBRE,4,0,0.017,0.007,1.52,0.007,19,NA,16.51,3.06,83.34,63.17,626.82,NA
DICIEMBRE,4,1,0.015,0.007,1.49,0.007,19,NA,16.19,2.27,101.50,65.57,626.78,NA
DICIEMBRE,4,2,0.014,0.007,1.46,0.007,22,NA,16.45,2.02,85.92,66.02,626.74,NA
DICIEMBRE,4,3,0.017,0.007,1.45,0.006,20,NA,16.09,2.31,77.62,68.34,626.47,NA
DICIEMBRE,4,4,0.016,0.007,1.44,0.006,26,NA,15.71,2.33,81.98,70.92,626.18,NA
DICIEMBRE,4,5,0.012,0.006,1.45,0.007,10,NA,15.18,3.06,80.28,73.64,626.11,NA
DICIEMBRE,4,6,0.012,0.006,1.45,0.007,25,NA,14.68,2.62,91.76,77.64,626.10,NA
DICIEMBRE,4,7,0.011,0.006,1.55,0.009,19,NA,14.59,2.23,101.18,78.69,626.35,NA
DICIEMBRE,4,8,0.006,0.006,1.74,0.013,15,NA,14.25,1.87,124.86,79.29,626.76,NA
