DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
AGOSTO,1,0,0.02,0.008,0.28,NA,17,6,20.96,3.15,87.27,56.5,625.78,0.02
AGOSTO,1,1,0.021,0.008,0.27,NA,22,5,19.88,3.1,87.35,61.87,625.78,0.02
AGOSTO,1,2,0.015,0.008,0.26,NA,20,10,18.9,2.32,84.85,67.37,625.8,0.02
AGOSTO,1,3,0.02,0.008,0.23,NA,12,11,18.3,2.92,81.43,68.78,625.45,0.01
AGOSTO,1,4,0.017,0.008,0.24,NA,12,9,17.73,3.77,73.12,70.4,625.19,0.01
AGOSTO,1,5,0.02,0.008,0.31,NA,13,7,17.5,2.74,87.18,71.39,625.08,0.01
AGOSTO,1,6,0.015,0.008,0.43,NA,21,6,17.06,2.12,84.98,73.5,625.43,0.01
AGOSTO,1,7,0.006,0.008,0.65,NA,37,8,16.89,2,92.95,74.63,625.71,0.06
AGOSTO,1,8,0.009,0.008,0.64,NA,34,17,17.11,2.55,89.04,74.26,626.11,0.45
AGOSTO,1,9,0.018,0.008,0.62,NA,35,11,19.43,3.01,86.62,64.35,626.32,1.33
AGOSTO,1,10,0.029,0.008,0.53,NA,31,10,21.25,4.2,83.11,56.21,626.29,2.99
AGOSTO,1,11,0.036,0.008,0.51,NA,25,6,22.74,4.03,85.09,48.81,626.09,4.39
AGOSTO,1,12,0.041,0.008,0.5,NA,16,4,24.6,2.79,99.27,41.1,625.8,5.57
AGOSTO,1,13,0.047,0.008,0.44,NA,51,5,25.57,2.65,103,38.15,625.24,6.09
AGOSTO,1,14,0.046,0.012,0.46,NA,329,8,26.71,2.9,119.95,32.75,624.69,5.62
AGOSTO,1,15,0.049,0.009,0.47,NA,245,6,27.88,2.93,111.54,32.22,623.78,5.49
AGOSTO,1,16,0.049,0.009,0.46,NA,37,4,28.68,2.5,132.4,30.85,622.81,3.7
AGOSTO,1,17,0.05,0.009,0.5,NA,20,4,29.19,2.02,145.66,29.37,622.43,2.16
AGOSTO,1,18,0.048,0.009,0.45,NA,20,1,28.26,3.13,118.1,32.46,622.41,0.67
AGOSTO,1,19,0.035,0.01,0.45,NA,37,6,24.87,3.44,217.08,42.94,622.57,0.18
AGOSTO,1,20,0.037,0.009,0.48,NA,41,11,21.78,4.33,169.01,57.33,623.94,0.02
AGOSTO,1,21,0.035,0.008,0.4,NA,46,7,16.86,3.85,191.99,87.43,625.38,0.01
AGOSTO,1,22,0.031,0.008,0.43,NA,23,7,16.63,2.67,181.53,91.46,625.78,0.01
AGOSTO,1,23,0.034,0.008,0.35,NA,13,16,16.72,1.36,244.7,90.61,626.18,0.02
AGOSTO,2,0,0.032,0.008,0.33,NA,7,9,16.64,1.38,290.12,90.45,626.16,0.02
AGOSTO,2,1,0.028,0.008,0.33,NA,11,10,16.77,0.91,204.16,90.35,625.98,0.02
AGOSTO,2,2,0.022,0.008,0.32,NA,10,16,16.64,0.94,232.48,91.36,625.69,0.03
AGOSTO,2,3,0.023,0.008,0.32,NA,14,10,16.77,0.77,167.27,90.3,625.4,0.03
AGOSTO,2,4,0.015,0.008,0.34,NA,9,17,16.88,1.14,242,89.78,625.32,0.03
AGOSTO,2,5,0.007,0.008,0.35,NA,21,9,16.7,1.46,293.76,91.52,625.38,0.04
AGOSTO,2,6,0.008,0.008,0.41,NA,18,6,16.47,1.55,258.66,92.08,625.59,0.04
AGOSTO,2,7,0.013,0.008,0.46,NA,22,21,16.45,1.43,270.53,92.06,625.8,0.08
AGOSTO,2,8,0.015,0.008,0.54,NA,16,12,17.08,1.36,292.82,88.49,626.1,0.33
AGOSTO,2,9,0.015,0.008,0.55,NA,23,13,18.03,1.38,281.33,83,626.34,0.81
AGOSTO,2,10,0.015,0.008,0.65,NA,24,13,19.56,1.28,225.84,79.32,626.34,1.69
AGOSTO,2,11,0.024,0.009,0.68,NA,31,12,21.55,2.27,111.49,70.87,626.29,3.23
AGOSTO,2,12,0.033,0.009,0.6,NA,42,24,23.46,2.11,106.35,61.27,626.08,3.95
AGOSTO,2,13,0.044,0.009,0.56,NA,32,22,24.88,1.96,163.74,55.61,625.61,4.49
AGOSTO,2,14,0.048,0.008,0.55,NA,38,18,25.68,2.27,178.97,51.83,624.86,5.08
AGOSTO,2,15,0.048,0.008,0.49,NA,13,16,26.79,2.2,150.8,46.68,624.14,4.77
AGOSTO,2,16,0.046,0.008,0.48,NA,22,17,27.45,2.54,178.95,43.26,623.56,3.8
AGOSTO,2,17,0.046,0.008,0.49,NA,16,11,26.94,2.64,147.65,43.21,623.23,2.27
AGOSTO,2,18,0.046,0.008,0.54,NA,29,11,26.4,2.21,158.4,44.35,623.11,1.09
AGOSTO,2,19,0.043,0.009,0.48,NA,NA,11,24,2.59,252.21,52.68,622.99,0.45
AGOSTO,2,20,0.038,0.009,0.62,NA,NA,16,23,1.04,202.69,60.95,623.64,0.08
AGOSTO,2,21,0.025,0.009,0.71,NA,4,16,22.79,3.15,125.55,60.09,624.09,0.06
AGOSTO,2,22,0.034,0.01,0.45,NA,4,25,20.58,2.3,162.33,64.81,624.15,0.05
AGOSTO,2,23,0.028,0.009,0.4,NA,4,16,19.65,2.87,91.58,69.36,624.65,0.05
AGOSTO,3,0,0.021,0.009,0.42,NA,9,16,18.59,2.48,88.33,80.5,625.1,0.04
AGOSTO,3,1,0.014,0.008,0.41,NA,31,14,18.32,1.98,93.04,83.91,624.93,0.04
AGOSTO,3,2,0.013,0.008,0.4,NA,42,13,18.45,2.28,76.75,81.22,624.43,0.04
AGOSTO,3,3,0.007,0.008,0.41,NA,28,13,18.14,2.04,84.49,82.61,624.03,0.04
AGOSTO,3,4,0.004,0.008,0.41,NA,116,14,17.75,1.3,153.26,84.66,623.93,0.04
AGOSTO,3,5,0.003,0.008,0.48,NA,133,14,17.54,2.17,113.66,85.86,623.82,0.04
AGOSTO,3,6,0.003,0.008,0.67,NA,159,17,17.4,1.59,107.15,86.34,624.03,0.04
AGOSTO,3,7,0.003,0.008,0.82,NA,190,17,17.52,1.71,117.23,85.99,624.54,0.09
AGOSTO,3,8,0.005,0.008,0.92,NA,214,16,17.9,1.34,77.89,84.85,624.79,0.49
AGOSTO,3,9,0.01,0.008,0.78,NA,44,21,20.93,1.73,104.84,72.68,625.01,1.58
AGOSTO,3,10,0.023,0.008,0.64,NA,32,9,22.2,2.98,113.91,66.37,625.11,2.9
AGOSTO,3,11,0.031,0.008,0.62,NA,32,23,23.52,2.4,106.58,60.7,625.03,3.68
AGOSTO,3,12,0.044,0.008,0.44,NA,31,15,25.17,1.81,178.28,52.86,624.66,4.87
AGOSTO,3,13,0.052,0.008,0.42,NA,34,15,25.89,2.33,269.92,51.78,624.27,5.33
AGOSTO,3,14,0.05,0.008,0.43,NA,20,16,26.58,2.81,247.2,48.55,623.69,5.35
AGOSTO,3,15,0.053,0.008,0.43,NA,27,15,27.73,2.59,252.5,43.75,622.97,5.22
AGOSTO,3,16,0.057,0.008,0.4,NA,18,14,28.37,2.93,280.41,40.74,622.32,4.03
AGOSTO,3,17,0.06,0.008,0.4,NA,22,19,28.5,2.83,278.03,39.82,621.82,2.69
AGOSTO,3,18,0.061,0.008,0.42,NA,28,18,27.5,3.52,275.31,46.24,621.66,1.24
AGOSTO,3,19,0.05,0.008,0.49,NA,50,18,24.07,2.67,258.14,58.39,622.13,0.14
AGOSTO,3,20,0.034,0.008,0.58,NA,41,18,23.7,1.71,282.94,57.56,622.53,0.07
AGOSTO,3,21,0.032,0.008,0.53,NA,35,22,22.88,1.45,284.69,58.53,623.05,0.06
AGOSTO,3,22,0.019,0.008,0.59,NA,48,19,22.43,2.35,214.95,65.06,623.46,0.06
AGOSTO,3,23,0.024,0.008,0.45,NA,38,22,21.02,2.3,117.42,73.38,623.99,0.05
AGOSTO,4,0,0.022,0.008,0.45,NA,30,23,20.14,2.02,97.72,78.59,624.29,0.05
AGOSTO,4,1,0.022,0.008,0.36,NA,36,22,19.24,2.29,99.55,78.76,624.15,0.05
AGOSTO,4,2,0.023,0.008,0.34,NA,23,11,18.51,2.14,116.64,78.61,623.98,0.04
AGOSTO,4,3,0.027,0.008,0.33,NA,18,10,18.49,1.47,159.73,76.48,623.72,0.04
AGOSTO,4,4,0.025,0.008,0.36,NA,17,8,18.55,1.34,103.17,74.55,623.64,0.04
AGOSTO,4,5,0.011,0.008,0.44,NA,28,16,18.14,1.17,102.07,79.43,623.7,0.04
AGOSTO,4,6,0.005,0.008,0.55,NA,43,20,18.07,1.64,115.26,79.46,623.8,0.04
AGOSTO,4,7,0.004,0.008,0.81,NA,60,18,17.68,1.57,104.1,81.42,624.1,0.09
AGOSTO,4,8,0.005,0.008,0.82,NA,82,25,18.01,2.01,101.23,81.09,624.54,0.44
AGOSTO,4,9,0.007,0.008,0.88,NA,58,19,19.07,2.35,111.65,77.22,624.79,0.88
AGOSTO,4,10,0.015,0.008,0.66,NA,44,21,21.21,2.18,108.23,69.37,624.83,2.44
AGOSTO,4,11,0.028,0.008,0.58,NA,45,18,22.84,1.5,113.41,62.11,624.78,2.54
AGOSTO,4,12,0.039,0.008,0.52,NA,41,22,24.65,1.71,177.68,56.46,624.6,4.71
AGOSTO,4,13,0.058,0.008,0.48,NA,41,19,25.85,2.27,247.44,50.68,624.13,5.88
AGOSTO,4,14,0.067,0.008,0.5,NA,39,28,27.24,2.19,223.23,45.26,623.55,5.87
AGOSTO,4,15,0.069,0.008,0.47,NA,26,22,28.48,2.5,254.5,40.45,622.78,5.16
AGOSTO,4,16,0.073,0.008,0.45,NA,30,26,29.18,2.64,266.97,37.36,621.94,4.03
AGOSTO,4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,18,0.071,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,19,0.054,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,20,0.029,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,21,0.025,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,22,0.038,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,4,23,0.037,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,0,0.026,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,1,0.025,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,2,0.021,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,3,0.015,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,4,0.013,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,5,0.004,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,6,0.002,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,7,0.004,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,8,0.009,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGOSTO,5,9,0.017,0.008,0.45,NA,78,20,20.39,2.54,95.76,66.79,624.24,1.79
AGOSTO,5,10,0.029,0.008,0.55,NA,150,34,21.44,3.3,96.6,60.8,624.39,2.94
AGOSTO,5,11,0.039,0.008,0.57,NA,116,NA,NA,3.55,116.76,NA,NA,4.3
AGOSTO,5,12,0.045,0.008,0.52,NA,56,NA,NA,2.88,122.08,NA,NA,5.53
AGOSTO,5,13,0.049,0.008,0.57,NA,40,NA,NA,3.03,105.65,NA,NA,6.1
AGOSTO,5,14,0.051,0.008,0.5,NA,27,NA,NA,2.92,107.24,NA,NA,5.39
AGOSTO,5,15,0.057,0.009,0.52,NA,28,NA,NA,2.62,125.82,NA,NA,4.39
AGOSTO,5,16,0.061,0.01,0.49,NA,17,NA,NA,2.5,133.57,NA,NA,3.79
AGOSTO,5,17,0.057,0.009,0.51,NA,31,NA,NA,4.24,100.43,NA,NA,2.48
AGOSTO,5,18,0.043,0.01,0.6,NA,54,NA,NA,3.21,74.94,NA,NA,0.77
AGOSTO,5,19,0.035,0.011,0.68,NA,46,NA,NA,2.57,78.57,NA,NA,0.41
AGOSTO,5,20,0.029,0.012,0.55,NA,55,NA,NA,3.89,69.62,NA,NA,0.07
AGOSTO,5,21,0.019,0.01,0.58,NA,53,NA,NA,3.29,80.71,NA,NA,0.05
AGOSTO,5,22,0.02,0.009,0.53,NA,53,NA,NA,3.21,94.85,NA,NA,0.04
AGOSTO,5,23,0.019,0.008,0.47,NA,50,NA,NA,3.12,99.72,NA,NA,0.04
AGOSTO,6,0,0.016,0.008,0.38,NA,47,NA,NA,2.9,101.69,NA,NA,0.03
AGOSTO,6,1,0.025,0.008,0.31,NA,32,NA,NA,3.36,84.56,NA,NA,0.03
AGOSTO,6,2,0.019,0.008,0.32,NA,28,NA,NA,3.58,83.44,NA,NA,0.03
AGOSTO,6,3,0.021,0.008,0.31,NA,23,NA,NA,2.74,83.26,NA,NA,0.03
AGOSTO,6,4,0.026,0.008,0.32,NA,31,NA,NA,2.61,85.48,NA,NA,0.03
AGOSTO,6,5,0.018,0.008,0.36,NA,31,NA,NA,1.89,109.41,NA,NA,0.02
AGOSTO,6,6,0.009,0.008,0.49,NA,40,NA,NA,2.06,116.04,NA,NA,0.02
AGOSTO,6,7,0.007,0.008,0.58,NA,53,NA,NA,2.49,89.82,NA,NA,0.09
AGOSTO,6,8,0.017,0.008,0.71,NA,54,NA,NA,2.3,81.17,NA,NA,0.55
AGOSTO,6,9,0.026,0.008,0.63,NA,60,NA,NA,4.58,82.21,NA,NA,1.55
AGOSTO,6,10,0.029,0.008,0.59,NA,58,NA,NA,4.42,87.58,NA,NA,2.83
AGOSTO,6,11,0.038,0.008,0.57,NA,48,NA,NA,3.44,82.4,NA,NA,4.1
AGOSTO,6,12,0.045,0.008,0.55,NA,37,NA,NA,2.31,122.86,NA,NA,5.3
AGOSTO,6,13,0.05,0.009,0.56,NA,37,NA,NA,2.48,132.44,NA,NA,5.75
AGOSTO,6,14,0.054,0.012,0.55,NA,33,NA,NA,2.19,151.02,NA,NA,5.55
AGOSTO,6,15,0.064,0.018,0.57,NA,33,NA,NA,2.07,217.23,NA,NA,4.6
AGOSTO,6,16,0.07,0.019,0.64,NA,36,NA,NA,2.3,201.86,NA,NA,3.31
AGOSTO,6,17,0.062,0.015,0.55,NA,47,NA,NA,3.29,149.13,NA,NA,1.71
AGOSTO,6,18,0.044,0.012,0.5,NA,67,NA,NA,3.14,201.47,NA,NA,0.24
AGOSTO,6,19,0.048,0.01,0.46,NA,43,NA,NA,3.3,242.82,NA,NA,0.08
AGOSTO,6,20,0.038,0.009,0.48,NA,33,NA,NA,2.45,289.23,NA,NA,0.04
AGOSTO,6,21,0.037,0.009,0.49,NA,37,NA,NA,2.01,257.81,NA,NA,0.03
AGOSTO,6,22,0.037,0.009,0.46,NA,34,NA,NA,2.19,215.63,NA,NA,0.03
AGOSTO,6,23,0.035,0.009,0.47,NA,32,NA,NA,2.4,176.95,NA,NA,0.03
AGOSTO,7,0,0.026,0.008,0.45,NA,25,NA,NA,2,145,NA,NA,0.03
AGOSTO,7,1,0.022,0.009,0.44,NA,18,NA,NA,1.26,106.76,NA,NA,0.03
AGOSTO,7,2,0.018,0.008,0.42,NA,27,NA,NA,1.22,261.42,NA,NA,0.03
AGOSTO,7,3,0.011,0.008,0.41,NA,26,NA,NA,1.64,105.51,NA,NA,0.03
AGOSTO,7,4,0.015,0.008,0.36,NA,26,NA,NA,1.96,83.42,NA,NA,0.02
AGOSTO,7,5,0.015,0.008,0.38,NA,30,NA,NA,1.94,78.58,NA,NA,0.02
AGOSTO,7,6,0.013,0.008,0.4,NA,28,NA,NA,1.41,114.03,NA,NA,0.02
AGOSTO,7,7,0.012,0.008,0.52,NA,38,NA,NA,1.41,118.87,NA,NA,0.07
AGOSTO,7,8,0.011,0.008,0.58,NA,38,NA,NA,1.3,110.79,NA,NA,0.52
AGOSTO,7,9,0.02,0.008,0.57,NA,41,NA,NA,3.32,80.7,NA,NA,1.55
AGOSTO,7,10,0.028,0.008,0.51,NA,39,NA,NA,4.63,75.29,NA,NA,2.83
AGOSTO,7,11,0.031,0.008,0.6,NA,36,NA,NA,4.53,83.18,NA,NA,3.69
AGOSTO,7,12,0.038,0.008,0.6,NA,46,NA,NA,4.21,82.98,NA,NA,5.34
AGOSTO,7,13,0.043,0.008,0.61,NA,148,NA,NA,3.62,96.42,NA,NA,5.37
AGOSTO,7,14,0.047,0.008,0.54,NA,69,NA,NA,3.6,82.16,NA,NA,5.56
AGOSTO,7,15,0.048,0.008,0.57,NA,29,NA,NA,4.04,83.08,NA,NA,5.27
AGOSTO,7,16,0.046,0.008,0.53,NA,25,NA,NA,3.68,79.23,NA,NA,4.12
AGOSTO,7,17,0.041,0.008,0.54,NA,29,NA,NA,3.63,95.91,NA,NA,2.29
AGOSTO,7,18,0.04,0.008,0.55,NA,29,NA,NA,2.36,105.55,NA,NA,1.2
AGOSTO,7,19,0.036,0.008,0.48,NA,33,NA,NA,2.32,235.5,NA,NA,0.33
AGOSTO,7,20,0.023,0.022,0.95,NA,91,NA,NA,4.7,52.72,NA,NA,0.06
AGOSTO,7,21,0.019,0.03,1.51,NA,134,NA,NA,5.67,48.95,NA,NA,0.04
AGOSTO,7,22,0.017,0.1,1.47,NA,226,NA,NA,4.32,57.27,NA,NA,0.04
AGOSTO,7,23,0.019,0.047,0.48,NA,84,NA,NA,4.13,89.17,NA,NA,0.03
AGOSTO,8,0,0.02,0.014,0.36,NA,37,NA,NA,3.93,70.31,NA,NA,0.03
AGOSTO,8,1,0.022,0.011,0.33,NA,30,NA,NA,3.04,73.4,NA,NA,0.03
AGOSTO,8,2,0.023,0.01,0.32,NA,17,NA,NA,3.04,87.72,NA,NA,0.03
AGOSTO,8,3,0.02,0.009,0.32,NA,16,NA,NA,2.8,85.17,NA,NA,0.02
AGOSTO,8,4,0.014,0.009,0.34,NA,16,NA,NA,2.67,77.98,NA,NA,0.02
AGOSTO,8,5,0.014,0.009,0.37,NA,21,NA,NA,3.01,82.95,NA,NA,0.02
AGOSTO,8,6,0.011,0.009,0.46,NA,24,NA,NA,3.01,80.5,NA,NA,0.02
AGOSTO,8,7,0.009,0.009,0.56,NA,33,NA,NA,3.32,73.64,NA,NA,0.08
AGOSTO,8,8,0.012,0.008,0.61,NA,37,NA,NA,3.49,81.13,NA,NA,0.52
AGOSTO,8,9,0.019,0.008,0.58,NA,37,NA,NA,4.36,70.83,NA,NA,1.64
AGOSTO,8,10,0.026,0.008,0.53,NA,25,NA,NA,4.79,61.32,NA,NA,3.14
AGOSTO,8,11,0.031,0.008,0.5,NA,23,NA,NA,4.25,60.72,NA,NA,4.45
AGOSTO,8,12,0.035,0.008,0.53,NA,23,NA,NA,3.93,77.49,NA,NA,5.62
AGOSTO,8,13,0.036,0.008,0.61,NA,45,NA,NA,3.93,97.91,NA,NA,6.08
AGOSTO,8,14,0.04,0.008,0.55,NA,142,NA,NA,3.92,103.21,NA,NA,5.84
AGOSTO,8,15,0.048,0.008,0.54,NA,56,NA,NA,3.69,89.59,NA,NA,5.14
AGOSTO,8,16,0.046,0.008,0.53,NA,24,NA,NA,4.04,78.78,NA,NA,3.67
AGOSTO,8,17,0.039,0.008,0.48,NA,45,NA,NA,6.17,37.92,NA,NA,1.13
AGOSTO,8,18,0.03,0.026,0.69,NA,33,NA,NA,4.17,54.91,NA,NA,0.45
AGOSTO,8,19,0.027,0.012,0.63,NA,109,NA,NA,3.1,66.41,NA,NA,0.24
AGOSTO,8,20,0.02,0.014,0.66,NA,163,NA,NA,3.12,75.19,NA,NA,0.05
AGOSTO,8,21,0.019,0.01,0.58,NA,62,NA,NA,3.24,81.16,NA,NA,0.03
AGOSTO,8,22,0.014,0.009,0.51,NA,52,NA,NA,2.82,84.28,NA,NA,0.03
AGOSTO,8,23,0.017,0.009,0.38,NA,36,NA,NA,3.06,71.12,NA,NA,0.03
AGOSTO,9,0,0.021,0.008,0.35,NA,15,NA,NA,3.27,77.57,NA,NA,0.02
AGOSTO,9,1,0.025,0.008,0.32,NA,16,NA,NA,4.07,68.27,NA,NA,0.02
AGOSTO,9,2,0.023,0.008,0.31,NA,13,NA,NA,3.01,70.68,NA,NA,0.02
AGOSTO,9,3,0.021,0.008,0.32,NA,14,NA,NA,2.97,68.11,NA,NA,0.02
AGOSTO,9,4,0.021,0.008,0.33,NA,10,NA,NA,2.82,79.34,NA,NA,0.02
AGOSTO,9,5,0.014,0.008,0.39,NA,16,NA,NA,2.5,107.14,NA,NA,0.02
AGOSTO,9,6,0.012,0.008,0.46,NA,24,NA,NA,2.78,92.75,NA,NA,0.02
AGOSTO,9,7,0.006,0.008,0.67,NA,38,NA,NA,2.32,93.19,NA,NA,0.08
AGOSTO,9,8,0.009,0.008,0.68,NA,42,NA,NA,2.41,88.52,NA,NA,0.62
AGOSTO,9,9,0.019,0.008,0.56,NA,36,NA,NA,4.02,78.7,NA,NA,1.66
AGOSTO,9,10,0.024,0.008,0.59,NA,35,NA,NA,3.94,86.08,NA,NA,2.88
AGOSTO,9,11,0.032,0.008,0.53,NA,25,NA,NA,2.82,103.62,NA,NA,4.4
AGOSTO,9,12,0.041,0.008,0.5,NA,23,NA,NA,2.46,122.65,NA,NA,5.35
AGOSTO,9,13,0.05,0.008,0.47,NA,26,NA,NA,2.19,206.82,NA,NA,5.71
AGOSTO,9,14,0.063,0.014,0.55,NA,34,NA,NA,2.06,195.41,NA,NA,3.83
AGOSTO,9,15,0.067,0.028,0.64,NA,32,NA,NA,2.6,236.7,NA,NA,4.86
AGOSTO,9,16,0.064,0.032,0.72,NA,23,NA,NA,2.04,204.35,NA,NA,3.24
AGOSTO,9,17,0.065,0.026,0.63,NA,23,NA,NA,2.01,195.3,NA,NA,2.27
AGOSTO,9,18,0.033,0.013,0.55,NA,70,NA,NA,4.19,131.02,NA,NA,0.13
AGOSTO,9,19,0.015,0.009,0.82,NA,31,NA,NA,2.19,199.32,NA,NA,0.06
AGOSTO,9,20,0.017,0.009,0.72,NA,17,NA,NA,2.87,124.93,NA,NA,0.05
AGOSTO,9,21,0.02,0.009,0.52,NA,23,NA,NA,3.45,162.53,NA,NA,0.07
AGOSTO,9,22,0.02,0.008,0.53,NA,19,NA,NA,2.58,169.22,NA,NA,0.09
AGOSTO,9,23,0.022,0.008,0.46,NA,15,NA,NA,1.38,76.38,NA,NA,0.11
AGOSTO,10,0,0.02,0.008,0.44,NA,19,NA,NA,1.47,99.55,NA,NA,0.12
AGOSTO,10,1,0.013,0.008,0.41,NA,19,NA,NA,1.09,154.06,NA,NA,0.15
AGOSTO,10,2,0.016,0.008,0.39,NA,16,NA,NA,1.33,112.63,NA,NA,0.18
AGOSTO,10,3,0.01,0.008,0.4,NA,12,NA,NA,1.31,170.8,NA,NA,0.2
AGOSTO,10,4,0.003,0.008,0.4,NA,19,NA,NA,1.22,265.04,NA,NA,0.21
AGOSTO,10,5,0.005,0.008,0.42,NA,22,NA,NA,1.27,256.34,NA,NA,0.22
AGOSTO,10,6,0.005,0.008,0.47,NA,23,NA,NA,1.16,268.03,NA,NA,0.21
AGOSTO,10,7,0.003,0.008,0.66,NA,24,NA,NA,0.77,265.25,NA,NA,0.26
AGOSTO,10,8,0.006,0.008,0.94,NA,24,NA,NA,1.3,152.55,NA,NA,0.69
AGOSTO,10,9,0.017,0.008,0.68,NA,26,NA,NA,3.19,83.34,NA,NA,1.41
AGOSTO,10,10,0.026,0.008,0.62,NA,23,NA,NA,4.19,81.14,NA,NA,2.84
AGOSTO,10,11,0.032,0.008,0.65,NA,26,NA,NA,4.05,88.97,NA,NA,3.91
AGOSTO,10,12,0.04,0.008,0.57,NA,27,NA,NA,3.32,99.97,NA,NA,4.86
AGOSTO,10,13,0.048,0.008,0.55,NA,22,NA,NA,3.09,103.58,NA,NA,5.27
AGOSTO,10,14,0.053,0.008,0.49,NA,22,NA,NA,2.2,159.33,NA,NA,5.28
AGOSTO,10,15,0.049,0.009,0.52,NA,14,NA,NA,3.28,99.25,NA,NA,4.72
AGOSTO,10,16,0.05,0.008,0.61,NA,21,NA,NA,3.74,101.76,NA,NA,3.04
AGOSTO,10,17,0.049,0.008,0.57,NA,27,NA,NA,3.31,127.76,NA,NA,1.57
AGOSTO,10,18,0.053,0.008,0.54,NA,32,NA,NA,3.63,201.98,NA,NA,0.82
AGOSTO,10,19,0.049,0.008,0.54,NA,44,NA,NA,3.59,237.63,NA,NA,0.04
AGOSTO,10,20,0.036,0.008,0.57,NA,39,NA,NA,3.06,228.6,NA,NA,NA
AGOSTO,10,21,0.03,0.008,0.51,NA,31,NA,NA,2.66,241.31,NA,NA,NA
AGOSTO,10,22,0.022,0.008,0.52,NA,32,NA,NA,1.88,193.95,NA,NA,NA
AGOSTO,10,23,0.024,0.008,0.45,NA,27,NA,NA,1.72,204.15,NA,NA,NA
AGOSTO,11,0,0.028,0.008,0.41,NA,19,NA,NA,1.23,174.85,NA,NA,NA
AGOSTO,11,1,0.026,0.008,0.4,NA,29,NA,NA,1.79,168.78,NA,NA,NA
AGOSTO,11,2,0.019,0.008,0.39,NA,29,NA,NA,1.31,166.86,NA,NA,NA
AGOSTO,11,3,0.011,0.008,0.37,NA,24,NA,NA,2.2,87.37,NA,NA,NA
AGOSTO,11,4,0.009,0.008,0.38,NA,16,NA,NA,2.04,86.63,NA,NA,NA
AGOSTO,11,5,0.015,0.008,0.4,NA,25,NA,NA,1.94,76.86,NA,NA,NA
AGOSTO,11,6,0.011,0.008,0.51,NA,21,NA,NA,1.93,77.48,NA,NA,NA
