DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
SEPTIEMBRE,1,0,0.018,0.005,0.66,NA,31,17,19.93,2.06,117,83.78,623.77,NA
SEPTIEMBRE,1,1,0.021,0.005,0.55,NA,19,16,19.46,2.33,93.72,73,623.81,NA
SEPTIEMBRE,1,2,0.019,0.005,0.55,NA,24,13,19.09,2.73,142.97,77,623.9,NA
SEPTIEMBRE,1,3,0.025,0.005,0.55,NA,12,12,18.32,1.59,147.09,83.16,623.81,NA
SEPTIEMBRE,1,4,0.023,0.005,0.57,NA,15,11,18.75,1.49,92.96,79.47,623.74,NA
SEPTIEMBRE,1,5,0.015,0.005,0.6,NA,24,11,18.44,1.31,158.4,82.22,623.97,NA
SEPTIEMBRE,1,6,0.01,0.005,0.94,0.012,22,11,18.3,1.31,124.17,82.37,624.11,NA
SEPTIEMBRE,1,7,0.006,0.005,1.12,0.013,33,11,18.32,1.76,86.13,81.78,624.2,NA
SEPTIEMBRE,1,8,0.008,0.005,1.08,0.011,47,13,18.97,2.09,78.73,77.07,624.5,NA
SEPTIEMBRE,1,9,0.017,0.005,0.88,0.007,35,20,20.46,3.49,82.42,69.8,624.56,0.76
SEPTIEMBRE,1,10,0.023,0.005,0.75,0.006,33,15,21.87,4.3,83.28,63.15,624.58,1.96
SEPTIEMBRE,1,11,0.029,0.005,0.84,0.008,35,15,23.21,3.91,85.52,57.44,624.56,3.02
SEPTIEMBRE,1,12,0.036,0.005,0.82,NA,27,15,24.66,3.39,84.39,51.35,624.08,3.9
SEPTIEMBRE,1,13,0.039,0.005,0.86,NA,30,14,25.54,3.12,109.71,48.57,623.43,3.86
SEPTIEMBRE,1,14,0.045,0.005,0.77,NA,27,13,26.79,3.16,84.69,44.53,622.76,4.64
SEPTIEMBRE,1,15,0.045,0.005,0.72,NA,21,11,27.74,2.75,91.15,39.83,621.97,3.47
SEPTIEMBRE,1,16,0.046,0.005,0.77,NA,25,11,28.6,2.81,92.4,35.81,621.2,2.51
SEPTIEMBRE,1,17,0.052,0.005,0.73,NA,28,10,29.08,2.54,81.32,31.61,620.52,1.11
SEPTIEMBRE,1,18,0.05,0.005,0.78,NA,29,8,29.36,2.16,99.42,30.2,620.28,NA
SEPTIEMBRE,1,19,0.035,0.005,0.8,NA,37,10,28.07,2.91,59.65,34.83,620.44,NA
SEPTIEMBRE,1,20,0.021,0.005,0.72,NA,42,9,25.37,3.83,46.56,44.36,620.99,NA
SEPTIEMBRE,1,21,0.018,0.005,0.67,NA,26,7,24.07,3.21,156.11,49.88,621.74,NA
