DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
JUL,3,8,NA,0.008,,NA,47,NA,18.921582,1.220198,175.660425,76.8268,624.833833,0.373032
JUL,3,9,NA,0.008,,NA,51,NA,20.57119,1.993953,98.07215,67.07565,624.899833,1.118803
JUL,3,10,NA,0.008,,NA,23,NA,21.983887,4.31052,89.633133,63.03565,624.871,2.15128
JUL,3,11,NA,0.008,,NA,36,NA,23.006237,3.699037,97.132,60.198467,624.782167,2.703442
JUL,3,12,NA,0.008,,NA,113,NA,24.058035,3.154112,87.125417,55.6089,624.361333,3.170113
JUL,3,13,NA,0.008,,NA,178,NA,26.52425,2.936628,93.338683,43.456567,623.863333,5.705222
JUL,3,14,NA,0.008,,NA,117,NA,28.116909,3.250063,98.213083,35.872017,623.3285,5.203715
JUL,3,15,NA,0.008,,NA,83,NA,28.903321,3.525193,89.607517,32.8267,622.657667,4.511825
JUL,3,16,NA,0.014,,NA,30,NA,28.685316,2.972583,90.348383,28.21615,622.161333,2.49192
JUL,3,17,NA,0.014,,NA,8,NA,30.276833,2.56126,174.415895,24.587367,621.795333,2.66806
JUL,3,18,NA,0.011,,NA,38,NA,28.964067,3.163685,122.6063,31.996367,621.641833,0.998478
JUL,3,19,NA,0.009,,NA,74,NA,27.681424,3.053427,107.61645,35.3214,621.730833,0.296818
JUL,3,20,NA,0.009,,NA,104,NA,25.087051,3.828177,213.199833,44.077017,622.491,0.025547
JUL,3,21,NA,0.008,,NA,44,NA,23.393729,2.789303,233.556833,49.350983,623.080167,0.008768
JUL,3,22,NA,0.008,,NA,35,NA,22.6211,2.401715,270.795667,52.744217,623.928667,0.008846
JUL,3,23,NA,0.008,,NA,29,NA,22.436517,3.444488,277.4595,51.5288,624.463167,0.008073
JUL,4,0,NA,0.008,,NA,30,NA,22.167508,4.277707,91.236117,51.815533,624.687333,0.00936
JUL,4,1,NA,0.008,,NA,60,NA,21.021678,3.960998,78.551717,57.528717,624.758333,0.008867
JUL,4,2,NA,0.010,,NA,44,NA,20.9262,3.457548,59.398033,58.100617,624.698667,0.009731
JUL,4,3,NA,0.019,,NA,50,NA,20.159967,2.781003,65.88625,61.035017,624.511333,0.008688
JUL,4,4,NA,0.019,,NA,22,NA,19.735867,3.41979,71.69655,60.832033,624.088667,0.009353
JUL,4,5,NA,0.025,,NA,29,NA,18.83995,2.442255,89.551733,63.865533,624.108667,0.0088
JUL,4,6,NA,0.012,,NA,37,NA,18.11775,2.239868,85.412717,69.115967,624.5365,0.008905
JUL,4,7,NA,0.010,,NA,59,NA,17.954367,2.071318,82.424717,70.445083,624.763,0.109247
JUL,4,8,NA,0.009,,NA,55,NA,19.28335,2.82442,83.715783,66.048067,625.004833,0.624277
JUL,4,9,NA,0.009,,NA,62,NA,21.747733,4.793567,70.095233,56.518567,625.060167,1.504267
JUL,4,10,NA,0.009,,NA,68,NA,22.982424,6.099118,66.808217,51.614867,625.031167,2.106568
JUL,4,11,NA,0.008,,NA,57,NA,24.547467,5.38406,73.127117,45.4358,624.8975,3.8849
JUL,4,12,NA,0.008,,NA,79,NA,26.083,5.793933,77.689467,39.023917,624.649667,4.057343
JUL,4,13,NA,0.008,,NA,163,NA,27.361922,6.512375,78.918383,33.01265,624.204333,5.849228
JUL,4,14,NA,0.008,,NA,151,NA,28.469691,6.750097,79.491567,28.965633,623.707833,5.535655
JUL,4,15,NA,0.008,,NA,76,NA,29.5716,5.572012,79.50775,26.567267,622.979667,5.079868
JUL,4,16,NA,0.008,,NA,37,NA,30.649018,3.88257,90.415967,25.336717,622.2995,4.043278
JUL,4,17,NA,0.008,,NA,27,NA,31.097526,4.279047,93.0149,24.169783,621.7365,2.511585
JUL,4,18,NA,0.008,,NA,30,NA,31.184439,4.712702,86.400783,22.82,621.2705,1.314452
JUL,4,19,NA,0.024,,NA,116,NA,29.179456,5.142585,61.8497,27.480433,621.413833,0.230893
JUL,4,20,NA,0.028,,NA,161,NA,27.774352,5.502185,46.924067,30.100667,621.845833,0.030185
JUL,4,21,NA,0.065,,NA,137,NA,25.786714,5.589498,55.0761,38.859383,622.689333,0.009185
JUL,4,22,NA,0.015,,NA,104,NA,24.316208,4.487735,85.100617,45.736417,623.5605,0.00934
JUL,4,23,NA,0.011,,NA,35,NA,23.47313,4.122705,81.33985,49.194733,624.031667,0.00886
JUL,5,0,NA,0.009,,NA,29,NA,22.1813,3.06581,109.485,55.419817,624.6345,0.009244
JUL,5,1,NA,0.009,,NA,19,NA,21.618796,2.390838,103.425617,57.622883,624.8315,0.009336
JUL,5,2,NA,0.008,,NA,18,NA,20.050273,1.665312,236.4256,68.923117,624.6755,0.008836
JUL,5,3,NA,0.008,,NA,22,NA,18.912583,1.702913,239.452667,77.920567,624.551333,0.008415
JUL,5,4,NA,0.008,,NA,14,NA,18.279317,1.629227,259.137833,81.778667,624.468167,0.009302
JUL,5,5,NA,0.008,,NA,14,NA,17.976338,1.611483,234.447333,82.206033,624.506833,0.008782
JUL,5,6,NA,0.008,,NA,18,NA,18.549552,1.474638,205.859333,80.074283,624.728833,0.00824
JUL,5,7,NA,0.008,,NA,31,NA,18.782089,2.5254,142.187783,77.96935,625.112,0.039875
JUL,5,8,NA,0.008,,NA,23,NA,18.652017,2.578937,71.332817,78.297733,625.282833,0.271238
JUL,5,9,NA,0.008,,NA,20,21,20.089947,2.732238,83.4554,71.46435,625.365333,0.657968
JUL,5,10,NA,0.008,,NA,28,16,20.874556,3.28461,101.995067,66.246817,625.391667,1.258293
JUL,5,11,NA,0.008,,NA,27,17,21.582264,3.462107,99.949567,62.710383,625.199,1.58951
JUL,5,12,NA,0.008,,NA,19,18,23.852833,2.278335,115.905033,55.363967,624.824,3.438573
JUL,5,13,NA,0.008,,NA,18,27,26.33037,1.96115,163.882367,45.8644,624.204833,5.851998
JUL,5,14,NA,0.009,,NA,25,28,27.5089,2.672612,186.232333,42.8969,623.407833,5.333328
