DATOS HORARIOS 2022_DIF,,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR,UV
NOVIEMBRE,1,0,0.008,0.006,1.45,0.019,47,NA,18.45,1.10,249.86,49.83,622.46,NA
NOVIEMBRE,1,1,0.005,0.006,1.51,0.020,61,NA,18.04,1.00,181.89,53.27,622.39,NA
NOVIEMBRE,1,2,0.004,0.006,1.31,0.019,73,NA,16.86,0.98,226.67,59.50,622.27,NA
NOVIEMBRE,1,3,0.004,0.006,1.18,0.018,54,NA,16.31,0.90,270.96,64.73,622.18,NA
NOVIEMBRE,1,4,0.004,0.006,1.16,0.018,49,NA,15.51,0.96,266.04,67.22,622.08,NA
NOVIEMBRE,1,5,0.004,0.006,1.19,0.015,42,NA,14.36,0.99,286.22,69.72,622.21,NA
NOVIEMBRE,1,6,0.004,0.007,1.20,0.015,49,NA,13.47,0.92,271.19,70.57,622.54,NA
NOVIEMBRE,1,7,0.004,0.007,1.56,0.016,52,NA,13.48,1.17,138.47,73.65,623.11,NA
NOVIEMBRE,1,8,0.006,0.006,1.70,0.017,62,NA,14.84,1.24,117.99,66.36,623.68,0.20
NOVIEMBRE,1,9,0.012,0.007,1.45,0.016,87,NA,17.09,1.31,81.61,58.23,624.13,0.86
NOVIEMBRE,1,10,0.022,0.007,1.29,0.015,102,NA,20.19,1.18,183.04,50.97,624.44,1.84
NOVIEMBRE,1,11,0.034,0.007,1.14,0.011,79,NA,22.56,1.67,226.41,37.68,624.33,2.88
NOVIEMBRE,1,12,0.043,0.006,1.06,0.007,50,NA,24.13,1.76,158.52,31.35,623.84,3.67
NOVIEMBRE,1,13,0.053,0.007,1.09,0.007,33,NA,25.76,1.99,187.16,28.74,623.16,3.95
NOVIEMBRE,1,14,0.060,0.013,1.10,0.006,41,NA,27.19,1.70,241.38,28.44,622.46,3.64
NOVIEMBRE,1,15,0.061,0.018,1.13,0.006,47,NA,27.13,1.94,259.09,28.53,621.81,2.29
NOVIEMBRE,1,16,0.067,0.022,1.19,0.007,48,NA,27.60,1.48,235.00,26.22,621.51,1.42
NOVIEMBRE,1,17,0.074,0.037,1.25,NA,47,NA,28.41,1.67,248.13,23.80,621.41,0.69
NOVIEMBRE,1,18,0.064,0.021,1.21,NA,55,NA,27.22,1.72,269.51,25.73,621.66,NA
NOVIEMBRE,1,19,0.028,0.009,1.50,0.027,62,NA,24.76,1.62,275.82,30.46,622.02,NA
NOVIEMBRE,1,20,0.018,0.007,1.59,0.030,117,NA,22.84,1.17,260.23,34.19,622.45,NA
NOVIEMBRE,1,21,0.023,0.015,1.64,0.020,90,NA,22.82,3.15,52.64,36.91,623.29,NA
NOVIEMBRE,1,22,0.019,0.028,1.47,0.017,78,NA,21.15,3.07,83.58,45.05,623.91,NA
NOVIEMBRE,1,23,0.029,0.008,1.15,0.009,85,NA,19.95,5.41,79.92,51.26,624.35,NA
NOVIEMBRE,2,0,0.031,0.007,1.09,0.006,123,NA,18.52,5.84,84.57,57.56,624.58,NA
NOVIEMBRE,2,1,0.030,0.006,1.05,NA,85,NA,17.57,4.37,78.23,61.75,624.70,NA
NOVIEMBRE,2,2,0.031,0.006,1.03,0.005,35,NA,16.99,3.23,70.13,65.35,624.79,NA
NOVIEMBRE,2,3,0.030,0.011,1.04,0.007,30,NA,17.26,3.03,66.77,64.21,624.82,NA
NOVIEMBRE,2,4,0.029,0.007,1.03,0.007,26,NA,16.45,2.79,71.67,67.58,624.87,NA
NOVIEMBRE,2,5,0.029,0.016,1.03,0.007,29,NA,16.49,2.35,73.02,66.61,625.07,NA
NOVIEMBRE,2,6,0.019,0.008,1.11,0.010,35,NA,14.84,1.60,129.54,74.99,625.31,NA
NOVIEMBRE,2,7,0.016,0.007,1.21,0.011,29,NA,13.87,2.03,93.36,80.81,625.59,NA
NOVIEMBRE,2,8,0.012,0.006,1.31,0.012,44,NA,14.09,2.13,81.30,79.87,626.11,0.20
NOVIEMBRE,2,9,0.016,0.006,1.44,0.012,50,NA,16.83,1.83,100.87,70.32,626.40,0.85
NOVIEMBRE,2,10,0.028,0.006,1.37,0.008,56,NA,19.77,4.10,84.75,58.81,626.67,1.82
NOVIEMBRE,2,11,0.033,0.006,1.37,0.008,58,NA,21.46,4.31,75.13,52.43,626.47,2.81
NOVIEMBRE,2,12,0.041,0.006,1.32,0.009,56,NA,22.98,3.84,73.11,45.72,625.78,3.49
NOVIEMBRE,2,13,0.043,0.006,1.39,0.010,60,NA,24.89,3.46,81.75,37.23,624.85,3.87
NOVIEMBRE,2,14,0.044,0.006,1.35,0.010,55,NA,26.35,3.41,105.03,31.74,623.98,3.56
NOVIEMBRE,2,15,0.044,0.006,1.35,0.010,58,NA,27.58,3.08,106.18,28.70,623.39,2.74
NOVIEMBRE,2,16,0.045,0.011,1.30,0.009,55,NA,28.35,2.80,88.33,27.48,623.02,1.70
NOVIEMBRE,2,17,0.046,0.012,1.18,0.007,44,NA,28.06,2.89,80.43,25.32,622.96,0.73
NOVIEMBRE,2,18,0.045,0.011,1.17,0.007,38,NA,27.32,2.39,155.38,26.00,623.12,NA
