DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JUNIO,3,12,0.054,0.001,0.56,0.007,25,17,30.17,1.30,264.31,19.22,621.76
JUNIO,3,13,0.055,0.001,0.61,0.009,24,18,31.94,1.51,268.49,15.31,621.20
JUNIO,3,14,0.055,0.001,0.51,0.006,30,14,33.68,1.50,274.32,10.28,620.59
JUNIO,3,15,0.049,0.001,0.58,0.009,24,20,34.81,0.88,242.35,7.40,619.77
JUNIO,3,16,0.047,0.000,0.53,0.008,23,31,35.74,1.36,261.30,5.59,619.14
JUNIO,3,17,0.047,0.000,0.49,0.008,28,22,36.21,1.56,263.15,4.48,618.60
JUNIO,3,18,0.051,0.000,0.47,0.007,28,23,35.89,1.30,246.03,5.65,618.36
JUNIO,3,19,0.046,0.001,0.59,0.013,31,19,35.38,1.22,231.65,6.48,618.41
JUNIO,3,20,0.046,0.001,0.63,0.013,39,23,33.22,2.90,234.20,9.25,618.77
JUNIO,3,21,0.044,0.001,0.62,0.015,43,21,30.95,2.98,244.09,11.94,619.28
JUNIO,3,22,0.036,0.001,0.52,0.012,39,22,30.03,2.55,258.76,11.62,619.96
JUNIO,3,23,0.024,0.001,0.44,0.012,37,22,28.15,1.00,270.19,13.04,620.60
JUNIO,4,0,0.020,0.001,0.59,0.015,35,17,27.30,0.45,253.61,13.53,621.13
JUNIO,4,1,0.020,0.001,0.51,0.015,35,12,25.88,0.47,288.48,15.72,621.21
JUNIO,4,2,0.016,0.001,0.58,0.015,30,13,24.75,0.45,278.68,16.50,621.04
JUNIO,4,3,0.014,0.001,0.61,0.016,31,18,24.30,0.45,249.10,17.59,620.75
JUNIO,4,4,0.016,0.001,0.53,0.013,28,20,23.42,0.45,294.87,18.28,620.71
JUNIO,4,5,0.016,0.001,0.48,0.013,23,17,22.53,0.45,299.70,19.46,620.86
JUNIO,4,6,0.010,0.001,0.53,0.016,27,12,21.16,0.45,283.55,22.86,621.09
JUNIO,4,7,0.011,0.001,0.55,0.015,33,18,20.79,0.45,295.77,23.66,621.36
JUNIO,4,8,0.016,0.001,0.53,0.011,25,30,21.96,0.45,297.27,23.47,621.69
JUNIO,4,9,0.027,0.001,0.57,0.011,31,23,25.07,0.45,281.05,24.99,621.72
JUNIO,4,10,0.039,0.001,0.56,0.008,31,23,27.23,0.70,234.21,19.57,621.76
JUNIO,4,11,0.046,0.000,0.50,0.006,20,21,28.56,0.54,232.65,16.87,621.72
JUNIO,4,12,0.050,0.000,0.48,0.006,19,15,30.60,0.92,251.34,14.09,621.27
JUNIO,4,13,0.047,0.001,0.41,0.005,15,23,32.15,0.96,224.49,8.97,620.54
JUNIO,4,14,0.040,0.001,0.39,0.005,28,20,33.89,4.82,269.01,3.34,619.86
JUNIO,4,15,0.040,0.001,0.40,0.006,29,17,34.70,3.77,257.05,2.73,619.20
JUNIO,4,16,0.043,0.001,0.39,0.004,33,24,35.24,1.91,267.46,2.72,618.83
JUNIO,4,17,0.045,0.001,0.31,0.003,27,20,35.25,1.88,271.54,2.71,618.45
JUNIO,4,18,0.043,0.001,0.33,0.004,26,23,35.07,3.69,265.13,2.72,618.44
JUNIO,4,19,0.041,0.001,0.38,0.007,35,18,34.06,4.23,266.00,2.83,618.57
JUNIO,4,20,0.028,0.000,0.55,0.013,51,25,32.10,1.55,252.84,5.06,619.06
JUNIO,4,21,0.028,0.000,0.57,0.011,39,21,30.80,1.78,250.60,5.41,619.52
JUNIO,4,22,0.025,0.000,0.44,0.012,39,24,29.10,1.36,270.21,7.03,620.09
JUNIO,4,23,0.023,0.001,0.48,0.011,32,17,27.22,0.56,258.54,9.98,620.69
JUNIO,5,0,0.020,0.001,0.40,0.012,34,20,25.85,0.45,280.03,12.33,621.01
JUNIO,5,1,0.017,NA,0.32,0.012,26,14,24.28,0.45,111.92,15.03,621.31
JUNIO,5,2,0.017,NA,0.35,0.012,32,14,22.95,0.45,124.96,34.13,621.48
JUNIO,5,3,0.020,0.011,0.33,0.007,30,17,21.02,0.47,110.16,57.00,621.45
JUNIO,5,4,0.021,0.022,0.31,0.007,24,15,20.28,0.45,100.14,62.55,621.65
JUNIO,5,5,0.020,0.032,0.32,0.008,16,16,19.93,0.51,110.44,64.29,621.59
JUNIO,5,6,0.019,0.028,0.38,0.010,22,20,19.34,0.45,115.51,66.91,621.74
JUNIO,5,7,0.016,0.044,0.51,0.014,29,24,19.20,0.47,106.25,67.72,622.11
JUNIO,5,8,0.019,0.109,0.54,0.011,35,28,20.77,1.41,84.90,63.65,622.33
JUNIO,5,9,0.027,0.057,0.47,0.007,27,37,22.70,1.80,95.72,58.42,622.62
JUNIO,5,10,0.033,0.049,0.53,0.009,37,31,24.64,0.67,176.32,43.76,622.67
JUNIO,5,11,0.044,0.011,0.63,0.006,16,28,26.21,0.53,254.78,31.34,622.55
JUNIO,5,12,0.048,0.001,0.45,0.004,15,16,27.63,0.76,238.54,22.63,622.22
JUNIO,5,13,0.054,0.001,0.49,0.006,11,17,28.96,0.84,243.22,19.90,621.80
JUNIO,5,14,0.061,0.002,0.54,0.006,16,16,30.33,0.62,192.95,17.49,621.23
JUNIO,5,15,0.065,0.001,0.51,0.006,17,22,31.28,0.85,158.58,15.05,620.60
JUNIO,5,16,0.064,NA,NA,0.007,17,8,32.46,0.80,213.64,11.91,619.92
JUNIO,5,17,0.066,0.002,0.49,0.008,21,NA,33.08,1.14,213.85,10.32,619.35
JUNIO,5,18,0.058,0.002,0.63,0.013,26,30,33.48,1.38,238.92,8.14,619.10
JUNIO,5,19,0.051,0.001,0.64,0.013,28,22,32.82,1.47,216.21,10.48,619.30
JUNIO,5,20,0.046,0.003,0.29,0.003,84,17,27.69,4.88,44.97,30.29,619.79
JUNIO,5,21,0.042,0.031,0.34,0.003,27,18,26.78,4.23,61.21,33.83,620.44
JUNIO,5,22,0.037,0.093,0.32,0.007,22,23,25.82,4.46,84.41,38.15,621.25
JUNIO,5,23,0.040,0.113,0.32,0.008,28,23,25.12,3.97,78.75,36.72,622.00
JUNIO,6,0,0.045,0.283,0.41,0.005,17,22,24.44,4.01,74.04,37.46,622.48
JUNIO,6,1,0.035,0.038,1.57,0.005,30,11,23.59,2.25,56.92,44.96,622.70
JUNIO,6,2,0.031,0.014,0.54,0.003,16,11,22.64,3.16,48.69,57.04,622.76
JUNIO,6,3,0.031,0.008,0.47,0.001,13,11,21.84,3.56,55.38,62.74,622.68
JUNIO,6,4,0.031,0.005,0.35,0.001,10,12,21.47,1.67,48.40,63.46,622.76
JUNIO,6,5,0.030,0.039,1.40,0.003,10,9,21.49,1.40,58.27,62.72,622.84
JUNIO,6,6,0.029,0.051,0.59,0.003,11,11,21.27,1.24,77.44,63.15,622.97
JUNIO,6,7,0.024,0.068,0.35,0.007,25,18,21.00,1.54,77.46,64.68,622.92
JUNIO,6,8,0.021,0.071,0.42,0.009,34,29,21.63,1.29,93.91,63.30,623.23
JUNIO,6,9,0.030,0.034,0.50,0.008,39,45,22.88,1.12,103.32,59.18,623.52
JUNIO,6,10,0.043,0.011,0.45,0.003,38,26,24.27,0.93,114.26,54.68,623.45
JUNIO,6,11,0.050,0.007,0.50,0.005,37,34,25.74,0.76,162.65,48.04,623.10
JUNIO,6,12,0.055,0.005,0.50,0.006,39,36,27.26,0.67,131.14,43.82,622.70
JUNIO,6,13,0.065,0.010,0.47,0.004,38,42,28.83,0.59,176.87,37.15,622.10
JUNIO,6,14,0.073,0.017,0.74,0.008,73,36,30.04,0.92,222.20,33.83,621.60
JUNIO,6,15,0.084,0.027,0.93,0.008,41,35,31.19,0.64,214.45,30.35,620.97
JUNIO,6,16,0.087,0.025,0.66,0.007,44,39,31.63,0.73,198.37,25.69,620.18
JUNIO,6,17,0.081,0.010,0.62,0.007,37,35,32.35,0.77,275.66,20.86,619.69
JUNIO,6,18,0.073,0.003,0.42,0.006,32,37,33.00,0.46,217.27,17.86,619.36
JUNIO,6,19,0.067,0.013,0.50,0.010,34,18,32.23,0.58,194.16,21.03,619.44
JUNIO,6,20,0.049,0.044,0.44,0.004,34,24,29.58,2.27,68.86,25.77,619.98
JUNIO,6,21,0.043,0.006,0.40,0.006,24,12,27.68,1.29,77.84,32.30,620.78
JUNIO,6,22,0.040,0.008,0.40,0.009,27,19,26.90,1.31,143.64,35.71,621.79
