DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
JULIO,3,13,0.052,0.015,0.493,0.008,21,29,26.69,0.45,160.96,49.93,623.22
JULIO,3,14,0.057,0.008,0.564,0.009,19,35,27.58,0.45,224.58,47.02,622.64
JULIO,3,15,0.061,0.005,0.491,0.009,17,25,28.61,0.45,233.29,40.86,621.85
JULIO,3,16,0.065,0.004,0.470,0.008,16,22,29.34,0.45,262.48,37.62,621.00
JULIO,3,17,0.067,0.004,0.436,0.008,16,20,30.36,0.45,263.20,33.05,620.35
JULIO,3,18,0.073,0.003,0.485,0.010,20,25,30.54,0.45,268.13,33.24,620.37
JULIO,3,19,0.056,0.003,0.577,0.012,34,30,28.76,2.41,200.24,39.95,620.48
JULIO,3,20,0.047,0.003,0.557,0.010,32,20,26.03,0.66,162.88,49.51,621.29
JULIO,3,21,0.045,0.003,0.492,0.012,21,18,24.35,0.45,168.02,54.62,621.81
JULIO,3,22,0.038,0.004,0.550,0.009,24,25,22.88,0.46,83.70,62.93,622.64
JULIO,3,23,0.017,0.011,0.542,0.014,32,30,22.27,0.45,150.33,68.45,623.66
JULIO,4,0,0.029,0.009,0.354,0.009,20,32,20.48,0.54,119.11,76.24,624.39
JULIO,4,1,0.018,0.006,0.274,0.009,18,17,19.47,0.45,92.59,80.64,624.29
JULIO,4,2,0.016,0.012,0.264,0.007,22,14,18.93,0.45,92.98,81.86,623.81
JULIO,4,3,0.027,0.037,0.296,0.008,16,23,19.05,0.45,233.98,79.36,623.49
JULIO,4,4,0.025,0.013,0.235,0.009,10,12,19.03,0.45,143.07,79.46,623.37
JULIO,4,5,0.019,0.009,0.244,0.010,13,10,19.10,0.45,102.11,79.79,623.51
JULIO,4,6,0.018,0.007,0.279,0.012,14,11,19.06,0.45,105.62,80.91,623.85
JULIO,4,7,0.010,0.008,0.402,0.014,24,20,19.14,0.47,114.60,80.69,624.15
JULIO,4,8,0.013,0.012,0.555,0.017,18,19,20.14,0.45,119.83,75.74,624.25
JULIO,4,9,0.014,0.038,0.539,0.016,28,28,21.99,0.56,115.07,69.07,624.49
JULIO,4,10,0.031,0.042,0.334,0.006,34,44,23.04,1.02,77.24,64.13,624.65
JULIO,4,11,0.034,0.028,0.400,0.014,30,29,23.83,0.89,124.45,61.50,624.61
JULIO,4,12,0.044,0.013,0.475,0.014,28,38,25.08,0.48,147.88,55.94,624.29
JULIO,4,13,0.059,0.020,0.647,0.009,24,26,26.76,0.55,169.34,50.21,623.75
JULIO,4,14,0.068,0.029,0.526,0.010,39,32,28.45,0.50,150.37,45.89,623.12
JULIO,4,15,0.076,0.023,0.537,0.010,34,48,29.09,0.45,179.82,42.42,622.28
JULIO,4,16,0.083,0.028,0.715,0.013,34,37,30.48,0.46,205.05,37.47,621.51
JULIO,4,17,0.084,0.022,0.608,0.010,41,38,30.55,0.81,204.97,36.86,621.15
JULIO,4,18,0.058,0.008,0.367,0.008,48,42,27.01,2.93,112.74,41.88,621.34
JULIO,4,19,0.047,0.005,0.546,0.015,21,21,25.53,1.58,279.45,49.15,621.80
JULIO,4,20,0.043,0.005,0.593,0.015,26,23,24.45,1.83,256.55,57.20,622.13
JULIO,4,21,0.034,0.005,0.533,0.017,29,23,23.32,0.75,293.05,64.97,622.93
JULIO,4,22,0.031,0.005,0.499,0.016,28,28,23.00,1.12,274.38,64.87,623.58
JULIO,4,23,0.033,0.004,0.380,0.015,17,22,22.09,0.45,290.08,66.06,624.37
JULIO,5,0,0.035,0.012,0.325,0.012,18,20,21.73,0.70,146.29,68.64,624.96
JULIO,5,1,0.043,0.015,0.290,0.006,32,27,20.31,2.89,134.42,73.06,625.14
JULIO,5,2,0.049,0.006,0.261,0.003,13,8,19.34,1.59,162.49,75.54,624.77
JULIO,5,3,0.043,0.005,0.280,0.005,11,12,19.10,0.45,121.22,79.04,624.31
JULIO,5,4,0.040,0.004,0.279,0.004,13,15,18.78,0.45,103.90,79.59,623.95
JULIO,5,5,0.034,0.004,0.321,0.007,12,13,18.75,0.45,65.99,80.38,623.83
JULIO,5,6,0.036,0.005,0.338,0.007,15,24,18.59,0.45,140.33,79.51,623.93
JULIO,5,7,0.032,0.004,0.423,0.009,10,13,18.20,0.47,131.76,80.12,624.30
JULIO,5,8,0.030,0.004,0.543,0.014,16,11,19.16,0.45,107.29,77.79,624.58
JULIO,5,9,0.032,0.008,0.497,0.014,18,18,21.26,0.45,120.91,69.19,624.55
