DATOS HORARIOS 2023_CRUZ ROJA,,,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],PM2.5 [µg/m³],TEMP,WS,WD,HR,PBAR
ENERO,1,0,0.009,0.005,1.05,0.017,79,69,17.52,0.45,235.58,59.30,624.85
ENERO,1,1,0.009,0.007,1.12,0.015,113,67,16.85,0.54,309.30,60.08,624.55
ENERO,1,2,0.009,0.006,0.91,0.016,125,139,15.60,0.45,289.08,62.83,624.48
ENERO,1,3,0.008,0.007,1.49,0.017,108,105,14.94,0.45,228.02,65.40,624.33
ENERO,1,4,0.009,0.008,1.64,0.018,178,136,14.42,0.45,230.95,67.19,624.18
ENERO,1,5,0.007,0.006,1.39,0.014,143,143,12.90,0.45,140.48,71.30,624.10
ENERO,1,6,0.019,0.004,0.97,0.013,90,102,12.37,0.45,88.58,73.75,624.23
ENERO,1,7,0.016,0.004,1.14,0.013,80,88,11.64,0.45,128.48,75.75,624.50
ENERO,1,8,0.013,0.004,0.82,0.010,70,82,11.40,0.66,115.30,76.69,624.86
ENERO,1,9,0.013,0.007,0.73,0.009,48,67,13.40,0.52,108.71,71.26,625.26
ENERO,1,10,0.028,0.008,0.58,0.005,41,67,15.88,0.80,119.62,63.53,625.73
ENERO,1,11,0.034,0.006,0.51,0.005,34,50,18.27,0.58,153.73,56.55,625.60
ENERO,1,12,0.040,0.013,0.51,0.005,36,48,20.50,0.49,218.43,51.25,625.03
ENERO,1,13,0.044,0.005,0.40,0.003,20,33,22.31,0.46,219.93,45.40,624.25
ENERO,1,14,0.048,0.003,0.37,0.003,19,24,23.25,0.45,194.36,42.38,623.22
ENERO,1,15,0.045,0.002,0.43,0.005,15,23,23.89,0.45,229.21,40.25,622.52
ENERO,1,16,0.042,0.002,0.45,0.005,20,24,23.28,1.35,198.01,41.06,622.18
ENERO,1,17,0.035,0.001,0.41,0.005,16,21,22.48,3.73,122.94,44.27,622.01
ENERO,1,18,0.022,0.003,0.56,0.009,25,18,18.36,1.83,204.01,67.42,622.95
ENERO,1,19,0.017,0.004,0.57,0.009,7,10,17.07,0.58,213.05,72.07,623.18
ENERO,1,20,0.011,0.003,0.76,0.015,5,10,16.90,0.45,241.00,69.63,623.53
ENERO,1,21,0.007,0.003,1.42,0.018,13,17,16.46,0.45,220.55,72.62,624.03
ENERO,1,22,0.007,0.004,1.76,0.018,32,26,16.04,0.45,193.77,74.37,624.26
ENERO,1,23,0.007,0.003,1.24,0.016,27,42,15.12,0.55,266.49,75.98,624.34
