DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
ABR,3,11,8.77,9.79,0.08,4.25,33.52,26.25,3.13,262.88,23.82,27.6,623.18
ABR,3,12,10.81,9.32,0.06,3.49,22.55,16.88,3.53,257.21,25.36,21.01,622.91
ABR,3,13,13.48,9.21,0.03,2.7,24.96,15.1,3.93,252.71,26.85,14.98,622.44
ABR,3,14,13.44,9.22,0.01,2.7,25.78,14.61,4.31,261.24,28.13,10.86,621.62
ABR,3,15,15.77,9.32,0.01,2.83,31.83,17.21,4.94,248.19,29.44,10.66,620.86
ABR,3,16,15.8,9.41,0.01,2.7,39.42,19.12,4.61,247.77,29.97,10.73,620.25
ABR,3,17,15.54,9.36,0.05,4.11,36.36,20.6,4.49,240.5,30.4,8.17,619.86
ABR,3,18,15.21,9.26,0.14,6.81,39.41,12.85,4.47,240.25,30.18,7.89,619.95
ABR,3,19,15.15,9.22,0.19,10.07,43.57,19.47,3.66,243.82,29.19,10.24,620.26
ABR,3,20,7.41,9.14,0.49,17.71,64.38,22.3,2.43,229,27.1,14.53,620.73
ABR,3,21,5.62,9.23,0.49,17.26,66.98,15.73,2.16,223.27,25.15,15.54,621.2
ABR,3,22,4.28,9.11,0.4,16.37,57.57,20.83,1.81,222.64,23.71,17.17,621.77
ABR,3,23,2.39,8.94,0.29,18.56,59.46,17.84,1.35,288.45,22.12,21.08,622.3
ABR,4,0,3.54,9.55,0.24,17.67,57.75,24.66,1.53,293.71,20.95,24.61,622.71
ABR,4,1,2.98,9.97,0.24,17.88,66.15,27.98,1.78,265.04,20.36,24.17,622.71
ABR,4,2,2.9,9.63,0.17,17.65,62.11,26.66,2.07,284.52,18.6,29.01,622.52
ABR,4,3,10.77,9.15,0.08,8.27,50.28,30,1.52,199.82,18.05,31.13,622.6
ABR,4,4,10.06,13.5,0.06,11.23,36.35,26.21,1.11,188.33,17.88,32.3,622.66
ABR,4,5,3.85,12.45,0.09,12.14,42.8,26.85,1.43,243.35,16.68,36.43,622.74
ABR,4,6,1.32,13.39,0.21,14.32,47.72,27.57,1,191.91,15.48,35.58,623
ABR,4,7,0.8,11.42,0.78,12.9,65.68,24.46,0.73,289.81,15.85,35.11,623.33
ABR,4,8,4.2,11.92,1.2,15.02,101.91,28.5,0.9,232.28,17.29,35.3,623.74
ABR,4,9,4.57,20.34,1.26,21.33,125.1,38.15,1.47,114.98,19.35,34.58,624.15
ABR,4,10,11.21,29.12,1.12,23.93,123.91,51.47,2.15,146.59,21.72,36.75,624.16
ABR,4,11,13.27,42.76,0.23,16.78,86.99,63.65,3.79,99.73,23.5,42.62,624.05
ABR,4,12,21.51,45.85,0.13,11.64,65.74,46.19,4.1,96.5,25.62,36.33,623.55
ABR,4,13,23.66,35.15,0.09,10.7,69.88,44.09,3.6,104.1,27.36,29.04,622.97
ABR,4,14,26.63,15.89,0.09,9.5,75.97,33.91,3.19,129.16,28.4,24.97,622.29
ABR,4,15,28.65,15.3,0.06,6.25,52.18,25.54,2.4,127.48,29.51,19.51,621.67
ABR,4,16,24.08,10.83,0.04,5.48,63.62,22.26,2.46,159.99,30.53,14.27,621.1
ABR,4,17,24.05,10.94,0.12,8.03,70.94,18.39,2.7,237.24,30.87,15.6,620.74
ABR,4,18,20.37,10.13,0.22,10.12,45.1,22.99,3.17,257.12,30.57,15.15,620.72
ABR,4,19,19.16,9.71,0.27,13.12,48.8,19.81,2.69,269.08,29.54,19.39,621.05
ABR,4,20,12.94,16.69,0.15,7.06,58.56,23.25,4.73,49.98,25.97,38.63,621.76
ABR,4,21,9.28,39.23,0.08,7.56,52.1,26.52,5.52,62.28,24.68,43.62,622.47
ABR,4,22,6.4,69.17,0.01,11.28,97.91,29.74,6.8,82.82,22.91,50.05,623.26
ABR,4,23,7.26,76.68,0.03,8.44,98.19,60.65,6.34,70.41,21.93,52.82,624.03
ABR,5,0,6.69,72.34,1.27,7.82,50.99,32.69,5.48,60.86,21.27,55.59,624.29
ABR,5,1,7.2,41,0.67,4.31,59.89,47.14,5.49,54.55,20.12,61.15,624.22
ABR,5,2,7.76,30.79,0.24,2.7,39.67,37.33,4.42,49.6,19.56,63.53,624.11
ABR,5,3,7.26,53.24,0.66,2.7,33.21,27.84,4.15,61.68,19.41,63.8,623.75
ABR,5,4,6.04,67.54,1.01,2.7,33.09,31.91,2.82,54.73,19.04,64.84,623.61
ABR,5,5,4.18,82.91,0.77,5.22,35.31,35.11,2.98,75.14,18.76,66.15,623.58
