DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
DIC,3,11,7.51,15.62,0.33,5.35,45.16,37.23,1.88,139.34,18.28,59.9,623.88
DIC,3,12,17.88,39.05,0.24,7.06,46.47,25.97,1.39,244.29,21.19,48.82,623.44
DIC,3,13,32.45,25.99,0.18,6.5,48.06,36.28,1.55,169.31,23.25,39.77,622.66
DIC,3,14,44.96,18.37,0.28,8.58,49.22,24.51,1.72,250.99,24.47,33.69,621.75
DIC,3,15,58.71,10.55,0.45,11.47,45.76,23.68,1.57,228.04,25.8,29.03,621.17
DIC,3,16,53.62,6.9,0.31,8.91,46.15,29.05,1.73,237.65,26.48,25.26,620.84
DIC,3,17,48.3,4.79,0.24,6.53,37.59,22.44,1.51,280.01,26.67,22.77,620.8
DIC,3,18,27.81,5.06,1.57,23.74,38.22,16.6,1.17,264.03,26.38,23.53,621.13
DIC,3,19,4.07,6.48,4.37,41.12,75.08,16.09,0.96,13.76,23.79,29.75,621.51
DIC,3,20,2.59,7.1,2.15,40.5,96.85,24.57,1.1,48.19,21.25,38.11,621.93
DIC,3,21,4.62,4.47,1.38,34.61,98.87,33.99,1,68.85,19.46,41.76,622.31
DIC,3,22,3.5,5.39,1.33,33,107.7,34.8,1.31,119.8,18.43,47.1,622.73
DIC,3,23,4.01,6.24,1.03,30.92,108.14,51.77,1.47,204.9,16.77,53.36,623.05
DIC,4,0,1.78,5.61,0.94,28.49,106.96,43.16,1.33,134,15.76,58.25,623.27
DIC,4,1,4.62,10.98,0.57,24.43,92.54,40.46,2.39,102.31,15.67,52.87,623.47
DIC,4,2,2.76,9.88,0.44,21.78,61.64,35.6,3.52,101.29,14.49,56.78,623.43
DIC,4,3,1.57,19.36,0.31,21.27,65.79,29.64,2.98,91.09,14.14,61.16,623.41
DIC,4,4,1.31,53.16,0.13,18.51,51.6,29.11,2.42,80.92,13.24,64.73,623.3
DIC,4,5,3.79,21.39,0.05,9.96,39.96,34.05,1.67,105.38,12.37,73.61,623.3
DIC,4,6,4.07,26.82,0.03,7.58,25.26,18.48,2.21,95.56,12.47,77.7,623.53
DIC,4,7,1.64,43.74,0.13,13.79,54.16,36.93,2.54,91.38,12.48,78.69,623.93
DIC,4,8,1.17,37.57,0.32,15.2,62.37,40.94,2.27,97.77,12.44,78.92,624.46
DIC,4,9,5.21,42.06,0.74,14.01,45.8,36.61,1.9,89.89,14.6,72.07,624.97
DIC,4,10,15.42,32.59,0.78,7.26,47.78,41.43,4.32,76.55,17.27,63.78,625.21
DIC,4,11,22.61,29.09,0.23,4.48,31.44,24.49,3.99,71.35,18.8,59.79,625.04
DIC,4,12,24.97,25.62,0.19,5.91,40.02,22.87,4.06,92.34,20.62,54.77,624.47
DIC,4,13,35.76,30.31,0.13,8.17,45.14,36.04,3.36,93.21,22.53,48.28,623.71
DIC,4,14,39.31,36.85,0.15,10.28,46.09,39.09,2.53,108.78,24.52,40.66,622.77
DIC,4,15,44.03,12.21,0.23,10.22,45.41,43.23,1.75,123.39,25.88,34.21,622.17
DIC,4,16,48.02,8.61,0.23,9.19,42.27,18.5,1.46,152.91,26.3,34.91,621.77
DIC,4,17,46.51,21.4,0.29,12.33,44.45,19.55,1.24,138.3,26.58,34.27,621.58
DIC,4,18,45.4,6.52,0.41,15.51,53.98,36.04,1.25,31.33,25.76,34.77,621.71
DIC,4,19,7.88,4.5,1.64,42.66,75.6,22.54,0.91,237.28,23.9,40.24,622.02
DIC,4,20,4.45,4.73,1.97,43.04,93.78,30.11,1.01,48.76,22.08,45.82,622.55
DIC,4,21,16.48,4.12,0.35,13.79,70.64,31.65,2.43,56.06,20.39,52.33,623.2
DIC,4,22,9.37,55.79,0.19,14.31,34.35,12.85,3.28,82.53,19.88,57.13,623.81
DIC,4,23,6.4,39.84,0.14,13.36,52.15,39.9,3.63,86.3,17.89,65.81,624.28
DIC,5,0,6.48,60.65,0.07,10.94,47.1,32.5,3.89,79.9,17.14,68.52,624.46
DIC,5,1,11.51,50.33,1.05,5.08,30.44,23.06,4.07,67.92,17.18,68.18,624.32
DIC,5,2,8.85,33.18,0.36,8.1,24.31,17.19,2.61,79.32,16.83,69.46,624.28
DIC,5,3,3.75,49.54,0.1,10.93,29.45,16.41,2.65,98.01,15.49,74.06,624.22
DIC,5,4,4.17,54.21,0.04,8.88,40.1,36.32,2.94,91.97,14.35,77.34,624.13
DIC,5,5,0.8,99.43,0.02,13.68,51.51,34.46,3.59,82.79,13.87,77.71,624.33
DIC,5,6,0.8,63.64,0.01,12.64,48.31,54.38,3.31,83.82,13.97,76.76,624.53
DIC,5,7,0.8,29.02,0.01,9.9,16.65,31.58,3.84,81.33,14.51,74.33,624.87
DIC,5,8,2.81,30.73,0.41,5.41,13.72,13.06,3.87,73.58,14.46,73.13,625.3
DIC,5,9,4.14,38.03,1.53,6.73,26.14,11.65,4.95,55.22,14.89,71.12,625.89
DIC,5,10,9.92,19.94,0.7,4.47,26.56,23.76,4.82,60.58,15.92,65.94,626.37
DIC,5,11,15.28,11.48,0.38,3.16,22.04,12,4.67,57.3,16.46,64.57,626.36
DIC,5,12,15.92,14.28,0.36,3.99,11.39,9.92,4.72,63.3,18.06,61.33,625.82
DIC,5,13,18.19,19.83,0.27,5.65,26.14,9.67,4.87,85.19,19.79,58.33,624.97
DIC,5,14,23.72,20.68,0.39,5.02,39.7,22.97,3.59,67.31,21.25,54.33,623.94
DIC,5,15,25.46,18.48,1.08,6.22,30.29,17.04,3.49,66.48,22.24,50.99,623.24
DIC,5,16,29.47,17.4,0.42,3.88,23.53,11.96,3.19,68.69,23.17,46.09,622.81
DIC,5,17,26.26,14.75,0.34,2.7,18.63,15.54,3.39,68.85,23.46,42.65,622.68
DIC,5,18,27,7.6,0.11,3.48,22.22,9.04,2.7,50.46,23,45.48,622.75
DIC,5,19,18.18,9.89,0.21,8.74,27.66,7.22,2.3,50.29,21.61,49.7,623.19
DIC,5,20,17.11,3.55,0.1,5.44,24.11,6.92,3.92,49.56,19.55,58.7,623.75
DIC,5,21,13,3.13,0.05,3.25,19.93,7.04,4.11,47.48,18.32,62.09,624.41
DIC,5,22,13.71,4.68,0.18,2.83,12.66,6.1,4.42,50.22,17.39,63.93,624.92
DIC,5,23,10.4,25.2,1.04,4.4,21.45,8.02,4.99,72.15,17.3,63.46,625.32
DIC,6,0,5.18,29.58,1.99,5.54,26.93,7.79,4.31,60.35,16.55,65.83,625.55
DIC,6,1,8.16,21.66,0.82,3.33,26.56,10.22,5.3,70.96,16.04,67.31,625.46
DIC,6,2,8.78,25.06,0.81,2.7,12.15,10.47,4.74,69.63,15.5,69.24,625.36
DIC,6,3,8.61,18.65,0.96,3.14,19.78,8.07,4.25,58.78,15.43,68.92,625.07
DIC,6,4,9.97,22.19,0.63,2.7,10.87,10.46,3.74,73.1,15.47,68.43,624.96
DIC,6,5,7.09,28.38,0.42,2.7,18.24,10.95,4.05,88.48,15.39,68.85,624.9
DIC,6,6,8.77,16.19,0.03,2.7,14.32,20.38,3.06,98.03,14.76,71.52,625.11
DIC,6,7,7.91,38.48,0.01,2.7,17.09,10.05,3.39,80.44,14.65,71.71,625.2
DIC,6,8,7.23,29.38,0.01,3.86,20.45,21.1,3.36,82.3,14.54,71.87,625.72
DIC,6,9,3.86,49.29,0.14,9.69,35.68,8.6,1.98,87.79,14.87,72.01,626.29
DIC,6,10,14.66,48.07,0.28,6.23,28.66,33.17,1.98,77.62,17.35,64.4,626.61
DIC,6,11,16.5,38.58,1.53,3.37,29.33,20.48,2.28,71.84,19.06,59.09,626.47
DIC,6,12,18.46,43.51,0.89,5.42,41.91,19.43,2.13,126.64,20.73,55.34,625.99
DIC,6,13,23.5,22.57,0.22,4.4,41.97,29.66,1.76,136.6,22.53,51.09,625.21
DIC,6,14,29.68,7.77,0.23,4.96,34.94,23.1,1.81,227.97,23.69,47.77,624.25
DIC,6,15,42.29,5.51,0.14,2.7,25.75,12.7,1.59,279.42,24.84,44.55,623.49
DIC,6,16,36.12,5.08,0.17,2.7,32.51,19.1,1.72,180.65,25.36,41.77,622.97
DIC,6,17,39.43,5.61,0.25,2.7,32.66,15.93,1.81,258.47,25.62,39.98,622.88
DIC,6,18,43.93,6.21,0.45,8.37,55.85,23.44,1.85,304.52,24.64,42.67,622.93
DIC,6,19,15.9,5.2,1.19,27.65,69.25,30.84,0.9,305.88,23.28,44.93,623.23
DIC,6,20,3.9,5.41,2.45,37.2,93.02,30.43,0.98,271.38,22.18,49.48,623.69
DIC,6,21,5.28,4.66,1.07,27.85,108.21,46.33,1.38,48.89,20.69,54.71,624.13
DIC,6,22,21.64,4.15,0.29,4.92,61.87,41.58,2.11,58.46,20.56,54.84,624.59
DIC,6,23,7.71,7.39,0.32,11.41,40.1,15.82,2.34,125.15,19.74,58.6,625.03
DIC,7,0,5.43,17.62,0.25,9.18,56.07,29.85,1.49,142.25,19.5,59.75,625.29
DIC,7,1,7.12,11.62,0.1,3.75,40.1,29.93,2.43,100.94,18.43,63.69,625.23
DIC,7,2,6.12,40.95,0.01,2.71,27.02,15.31,2.21,87.7,17.65,65.8,625.1
DIC,7,3,6.36,58.06,0.01,3.96,35.43,26.69,2.87,89.47,17.03,67.23,624.92
DIC,7,4,1.55,36.26,0.02,8.51,37.18,30.91,1.84,105.7,16.15,71.02,624.86
DIC,7,5,2.54,17.99,0.01,9.05,31.38,37.38,1.78,32.99,15.46,72.89,624.86
DIC,7,6,0.8,8.82,0.1,11.22,50.25,17.87,0.89,44.6,14.57,76.22,625.01
DIC,7,7,0.8,18.82,0.08,11.84,38.84,17.77,1.82,76.94,14.57,75.93,625.12
DIC,7,8,12.05,20.67,0.37,10.44,42.13,18.01,2.1,96.46,14.37,77.4,625.57
DIC,7,9,NA,27.88,0.38,11.22,42.53,21.14,2.45,99.54,15.17,74.52,626.01
DIC,7,10,4.64,23.98,0.28,9.81,31.5,22.6,2.99,101.08,17.86,66.28,626.14
DIC,7,11,8.12,20.11,0.24,8.5,39.14,29.25,2.65,113.79,20.15,61.71,625.91
DIC,7,12,19.81,15.89,0.27,9.31,41.01,23.12,1.65,163.05,22.57,54.41,625.27
DIC,7,13,30.04,5.8,0.31,8.03,42.98,29.17,1.42,263.27,23.42,51.79,624.43
DIC,7,14,28.29,4.32,0.31,8.75,35.55,NA,1.87,266.44,24.12,48.93,623.53
DIC,7,15,30.25,3.78,0.3,8.81,27.94,24.74,2.55,283.05,25.18,44.87,622.76
DIC,7,16,26.79,3.24,0.32,8.49,29.86,15.02,2.11,243.45,26.2,40.55,622.29
DIC,7,17,25.34,2.7,0.3,8.67,32.71,12.07,2.29,232.12,26.34,39.09,622.1
DIC,7,18,16.3,2.22,0.74,15.94,44.7,11.79,2.12,255.72,25.3,41.52,622.19
DIC,7,19,5.4,2.57,1.07,20.05,69.04,13,2.51,242.91,23.47,47.91,622.52
DIC,7,20,NA,2.54,0.9,15.59,48.99,13.74,2.28,213.01,22.13,48.45,622.85
DIC,7,21,5.33,2.23,0.7,12.27,45.13,13.51,2.21,227.95,20.33,58.84,623.54
DIC,7,22,5.24,2.22,0.72,13.06,50.34,13.98,1.63,212.97,19.57,65.46,624.09
DIC,7,23,1.58,2.04,0.72,14.57,46.23,19.64,1.32,191.48,19.14,65.64,624.55
DIC,8,0,2.88,2.04,0.59,12.37,47.81,18.93,1.29,235.44,18.54,67.65,624.67
DIC,8,1,2.77,1.59,0.27,9.01,40.21,9.49,1.57,252.48,17.47,72.17,624.53
DIC,8,2,5.31,1.62,0.14,5.73,27.81,NA,2.05,219.18,16.94,74.55,624.5
DIC,8,3,8.98,1.36,0.05,2.7,19.89,3.85,1.82,246.8,16.35,76.91,624.45
DIC,8,4,2.83,1.14,0.01,3.24,19,5.62,1.05,295.54,14.91,79.74,624.29
DIC,8,5,1.59,0.92,0.01,3.64,19.08,7.3,0.47,299.06,14.42,81.15,624.17
DIC,8,6,3.08,0.93,0.01,2.7,18.41,10.93,0.57,280.3,14.11,82.35,624.18
DIC,8,7,0.8,0.78,0.01,4.69,21.11,NA,0.85,281,13.87,83.92,624.55
DIC,8,8,0.9,1.16,0.22,5.88,28.58,NA,0.51,92.36,14.22,84.49,625.09
DIC,8,9,1.36,2.64,0.5,8.06,57.08,NA,1.01,123.56,15.13,80.87,625.49
DIC,8,10,5.15,3.62,0.38,7.39,53.81,NA,1.31,188.61,17.42,74.73,625.83
DIC,8,11,9.25,2.34,0.24,4.13,38.6,NA,1.97,252.97,18.66,71.6,625.96
DIC,8,12,15.58,2.04,0.01,2.7,16.24,NA,1.33,213.12,20.74,62.26,625.41
DIC,8,13,16.15,1.95,0.05,3.49,19.34,23.67,2.52,240.78,21.86,55.63,624.63
DIC,8,14,21.7,1.77,0.13,2.89,34.39,9.44,2.41,253.96,22.72,52.1,623.74
DIC,8,15,23.12,1.64,0.15,3.73,24.84,6.93,2.24,238.54,23.44,48.62,623.09
DIC,8,16,20.85,1.46,0.21,6.35,32.33,17.36,2.53,245.45,24.26,43.73,622.65
DIC,8,17,18.4,1.64,0.21,8.13,25.08,14.75,3.52,235.13,25.09,38.72,622.37
DIC,8,18,13.97,1.35,0.31,10.56,24.9,9.46,2.91,221.9,24.61,39.07,622.43
DIC,8,19,NA,1.7,0.98,18.47,52.62,7.9,1.65,209.73,22.75,44.24,622.83
DIC,8,20,NA,1.72,1.29,17.63,71.58,7.64,1.46,214.18,21.53,47.58,623.32
DIC,8,21,1.38,1.61,1.02,15.44,71.49,10.06,1.29,185.28,19.97,52.76,623.82
DIC,8,22,1.94,1.4,0.6,14.61,62.8,19.52,0.75,119.87,18.79,57.68,624.41
DIC,8,23,1.8,2.47,1.18,15.36,57.42,29.37,1.01,144.72,19.12,56.49,624.52
DIC,9,0,2.18,2.1,1.22,12.63,98.36,24.26,1.37,230.68,18.63,58.31,624.49
DIC,9,1,0.85,1.52,0.56,9.79,65.91,34.9,1.16,301.49,16.97,64.27,624.47
DIC,9,2,1.78,1.16,0.23,8.28,53.35,23.07,1.1,306.69,15.79,68.09,624.41
DIC,9,3,1.07,2.34,0.21,9.13,45.24,17.97,0.92,107.52,15.72,69.12,624.23
DIC,9,4,2.09,4.6,0.21,8.47,50.02,27.92,1.16,123.37,15.05,73.76,623.95
DIC,9,5,1.24,3.04,0.25,8.12,43.12,20.42,0.46,93.92,14.76,75.2,624.09
DIC,9,6,0.8,4.24,0.22,8.19,44.33,16.07,0.81,124.09,14.03,76.43,624.24
DIC,9,7,0.8,4.69,0.24,11.31,53.24,31.2,0.49,107.04,13.67,76.79,624.46
DIC,9,8,0.88,8.89,0.39,11.52,43.59,31.27,0.5,86.98,13.42,77.44,624.83
DIC,9,9,0.8,18.21,0.35,12.09,30.25,21.47,2.03,93.21,15.53,70.97,625.34
DIC,9,10,2.23,16.65,0.36,13.76,53.94,31.45,3.02,109.01,17.44,67.39,625.66
DIC,9,11,5.65,7.99,0.33,15.14,50.97,35.48,2.72,131.09,19.53,61.2,625.54
DIC,9,12,15.98,16.92,0.26,13.74,40.26,23.66,1.95,156.16,21.58,53.26,624.95
DIC,9,13,21.4,16.58,0.3,12.92,33.16,29.72,2.23,195.52,22.85,48.3,624.27
DIC,9,14,30.19,8.02,0.21,9.7,34.1,20.46,1.88,199.23,23.96,44.1,623.46
DIC,9,15,34.55,4.18,0.17,8.46,27.36,20.16,1.61,182.69,24.84,41.03,622.85
DIC,9,16,25.53,2.76,0.25,9.43,26.09,17.01,2,229.6,25.58,37.32,622.59
DIC,9,17,28.02,2.26,0.24,10.95,33.73,16.74,1.65,262.26,25.37,36.73,622.51
DIC,9,18,28.83,1.63,0.2,9.16,26.61,15.32,1.73,294.21,24.92,36.2,622.65
DIC,9,19,8.65,1.71,0.72,25.5,38.36,12.42,0.73,314.72,22.92,41.51,622.89
DIC,9,20,3.68,1.98,0.93,29.27,50.86,10.69,1.26,16.68,21.68,46.52,623.33
DIC,9,21,5.06,2.5,0.66,24.03,60.6,30.83,1.57,109.68,20.9,50.01,623.78
DIC,9,22,6.7,3.78,0.4,15,55.59,28.02,2.71,61.05,19.91,55.08,624.21
DIC,9,23,10,15.31,0.22,9.19,21.37,16.09,2.94,70.79,18.06,61.32,624.6
DIC,10,0,3.65,26.01,0.18,11.07,27.69,10.37,2.89,93.21,17.17,64.83,624.74
DIC,10,1,1.64,61.46,0.16,13.84,26.33,11.32,3.44,86.14,16.94,64.12,624.64
DIC,10,2,5.5,38.29,0.29,9.57,23.24,24.88,3.66,79.36,16.4,65.65,624.6
DIC,10,3,4.85,57.41,0.12,11.41,20.3,15.77,3.95,80.5,15.49,68.74,624.47
DIC,10,4,1.85,58.41,0.17,12.22,36.13,24.68,2.9,84.45,14.37,72.25,624.44
DIC,10,5,7.92,15.09,0.32,5.4,21.77,24.98,3.39,47.25,14.24,71.39,624.57
DIC,10,6,12.73,5.06,0.05,2.7,7.21,5.86,3.87,49.97,13.56,73.32,624.82
DIC,10,7,10.75,3.56,0.06,2.7,10.25,6.04,3.87,52.76,13.33,73.85,625.07
DIC,10,8,9.28,3.19,0.11,2.89,6.81,6.58,3.76,45.48,13.2,73.75,625.52
DIC,10,9,10.11,3.33,0.22,3.87,7.11,6.6,3.42,55.34,13.95,71.08,626
DIC,10,10,11,17.62,0.49,4.22,11.78,5.89,5.45,68.45,15.8,65.36,626.32
