DATOS HORARIOS 2018_CRUZ ROJA,,,,,,,,,,,,,
,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR
MAY,3,12,17.66,31.54,NA,4.95,NA,29.04,2.52,277.84,26.9,38.43,625.54
MAY,3,13,17.3,NA,NA,7.56,NA,25.68,2.56,260.97,27.96,34.99,625.14
MAY,3,14,19.74,11.76,0.34,6.54,NA,30.26,2.42,266.22,28.7,32.81,624.37
MAY,3,15,15.24,8.6,0.26,8.94,NA,25.11,3.06,246.38,29.96,29.83,623.53
MAY,3,16,17.58,8.62,0.25,8.19,NA,30.55,3.54,253.86,30.05,30.12,622.89
MAY,3,17,17.05,8.6,0.29,9.6,NA,32.85,4.81,257.94,29.7,31.47,622.53
MAY,3,18,16.77,8.48,0.29,8.14,NA,37.13,3.75,273.24,29.22,32.13,622.71
MAY,3,19,14.31,8.61,0.36,10.1,NA,37,4.13,240.41,27.8,37.22,623.15
MAY,3,20,9.4,10.68,0.43,11.14,NA,34.83,3.91,147.62,23.02,59.06,624.31
MAY,3,21,7.66,48.06,0.93,6.85,NA,26.65,4.72,63.34,20.45,71.99,625.52
MAY,3,22,7.73,35.46,0.91,4.57,NA,44.68,3.58,58.09,19.59,73.15,626.01
MAY,3,23,9.59,54.08,0.95,4.98,NA,28.04,2.69,52.35,19.96,67.93,626.04
MAY,4,0,4.09,80.12,0.44,9.66,NA,19.59,2.27,94.23,20.19,68.22,625.96
MAY,4,1,3.47,35.15,0.16,7.75,NA,31.99,2.72,104.88,19.09,74.85,625.91
MAY,4,2,2.34,74.22,0.15,12.89,NA,27.43,2.36,71.68,19.87,69.14,625.63
MAY,4,3,4.16,51.11,0.15,6.39,NA,33.01,2.19,65.14,20.14,65.67,625.23
MAY,4,4,7.34,15.7,0.01,2.7,NA,20.93,1.16,27.92,19.71,67.78,625.01
MAY,4,5,4.41,13.49,0.05,6.76,NA,13.74,1.02,171.63,19.23,71.83,624.89
MAY,4,6,0.8,13.48,0.22,15.56,NA,20.44,0.96,133.54,18.31,75.97,625.13
MAY,4,7,0.8,18.81,0.41,19.03,NA,17.12,1.14,101.78,18.41,75.12,625.33
MAY,4,8,1.02,16.54,0.54,19.54,NA,25.26,1.87,115.8,17.96,71.55,624.73
MAY,4,9,1.7,30.81,0.52,20.31,NA,30.75,1.53,135.7,21.13,65.44,625.84
MAY,4,10,4.47,45.13,0.24,14.07,NA,40.7,2.08,119.41,22.92,56.35,625.63
MAY,4,11,11.83,58.01,0.35,11.88,NA,28.17,2.25,129.07,24.04,52.8,625.35
MAY,4,12,15.63,58.18,0.65,10.12,NA,34.39,2.19,155.44,25.86,48.4,624.87
MAY,4,13,27.23,46.57,0.81,11.63,NA,38.88,2.03,234.69,27.62,41.61,624.22
MAY,4,14,35.17,29.34,0.45,9.13,NA,52.62,1.97,178.85,29.18,36.01,623.54
MAY,4,15,32.27,15.26,0.3,10.01,NA,49.68,1.94,227.51,30.79,31.3,622.65
MAY,4,16,27.58,10.94,0.2,6.72,34.75,31.59,1.37,249.07,31.56,27.59,621.81
MAY,4,17,21.55,9.4,0.18,6.68,34.55,29.55,3.58,211.86,30.38,31.58,621.61
MAY,4,18,15.56,9.43,0.26,8.67,31.66,22.14,3.54,272.33,28.54,36.93,621.59
MAY,4,19,11.27,9.06,0.31,11.75,20.14,16.81,2.28,291.55,28.33,36.4,621.93
MAY,4,20,12.24,10.06,0.17,6.82,30.28,15.46,3.46,62.21,26.39,44.49,622.71
MAY,4,21,11.7,18.82,0.31,8.38,37.46,14.17,2.57,84.42,25.34,46.09,623.37
MAY,4,22,6.29,44.12,0.16,11.05,22.07,24.83,4.61,92.65,24.34,52.96,624.12
MAY,4,23,7.86,17.86,0.14,8.56,43.6,32.47,4.6,111.72,22.32,61.52,624.91
MAY,5,0,6.87,47.66,0.08,10.43,30.61,30.22,3.75,94.07,21.32,63.98,625.15
MAY,5,1,4.28,56.21,0.31,8.19,37.33,NA,3.15,80.2,20.36,68.09,624.81
MAY,5,2,3.09,87.7,0.12,14.82,30.16,NA,2.4,89.87,20.83,65.8,624.8
MAY,5,3,3.95,30.52,0.11,6.36,25.1,NA,2.12,215.05,20.47,68.31,625.11
MAY,5,4,3.57,14.55,0.1,5.05,31.68,22.45,1.22,224.76,18.04,83,624.96
MAY,5,5,5.22,10.75,0.11,4.68,12.79,NA,0.91,310.41,17.53,83.28,624.91
MAY,5,6,3.87,10.57,0.17,9.03,7.94,NA,0.84,357.07,17.79,84.25,624.93
MAY,5,7,1.14,10.67,0.39,15.93,16.34,13.32,0.66,277.51,17.87,85.22,625.39
MAY,5,8,0.8,15.15,0.49,17.75,21.86,NA,1.24,94.3,18.48,82.77,625.58
MAY,5,9,0.8,27.01,0.3,10.18,19.01,NA,3.45,60.24,19.8,73.04,625.92
MAY,5,10,1.89,20.48,0.3,7.79,5,NA,4.97,64.85,21.63,62.61,625.89
MAY,5,11,3.25,29.21,0.43,8.22,12.41,6.84,4.71,72.77,22.82,57.83,625.69
MAY,5,12,3.87,32.31,0.2,10.81,26.31,16.26,4.7,92.9,23.81,55.17,625.11
MAY,5,13,5.57,31.99,0.18,10.02,15.61,NA,4,95.22,24.7,52.25,624.67
MAY,5,14,6.75,32.28,0.2,8.84,11.29,NA,4.23,87.18,25.91,48.87,624.05
MAY,5,15,7.84,33.79,0.13,9.01,11.55,NA,4.19,90.93,26.94,45.68,623.49
