MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM25,TEMP,WIND_SPEED,WIND_DIR,HUMIDITY,PBAR,UV
MARZO,9.0,2.0,0.01,0.007,0.51,0.019,36.0,14.0,15.949931,1.384312,288.169167,32.559367,621.308833,0.008186
MARZO,9.0,3.0,0.004,0.007,0.53,0.03,35.0,12.0,15.1259,1.180858,271.506167,34.326367,621.177833,0.008837
MARZO,9.0,4.0,0.007,0.008,0.56,0.031,39.0,11.0,14.475589,1.232425,254.483167,37.67545,621.006667,0.008739
MARZO,9.0,5.0,0.018,0.007,0.53,0.022,45.0,16.0,13.2626,1.266372,275.926833,43.69975,621.010833,0.008831
MARZO,9.0,6.0,0.014,0.007,0.57,0.023,51.0,18.0,12.421733,0.847087,271.864,49.114867,621.170833,0.008198
MARZO,9.0,7.0,0.011,0.007,1.37,0.029,53.0,21.0,12.136633,0.776487,200.577167,48.769583,621.427667,0.010019
MARZO,9.0,8.0,0.006,0.009,2.04,0.038,116.0,19.0,13.744367,1.282452,161.972617,43.413817,621.726833,0.20663
MARZO,9.0,9.0,0.009,0.008,1.15,0.027,143.0,39.0,15.397283,2.04901,87.258017,39.032617,622.014333,0.929705
MARZO,9.0,10.0,0.02,0.008,0.8,0.015,71.0,22.0,18.273083,2.26326,91.40785,32.327867,622.096833,2.112492
MARZO,9.0,11.0,0.029,0.007,0.68,0.008,31.0,17.0,21.628018,2.223557,148.381983,26.3847,621.9045,3.389718
MARZO,9.0,12.0,0.041,0.013,0.56,0.007,29.0,14.0,22.792436,3.288132,282.617667,24.277867,621.535,4.31928
MARZO,9.0,13.0,0.045,0.007,0.52,0.004,21.0,17.0,23.941183,3.275448,263.275833,21.24255,620.964167,5.012285
MARZO,9.0,14.0,0.048,0.007,0.48,0.002,31.0,12.0,25.104233,3.740725,284.3555,19.692317,620.324333,4.926137
MARZO,9.0,15.0,0.045,0.007,0.48,0.004,57.0,19.0,26.758767,5.24706,269.320333,16.196183,619.525667,4.27799
MARZO,9.0,16.0,0.046,0.006,0.46,0.002,68.0,20.0,27.184729,6.068403,269.878167,17.305167,618.937667,3.081418
MARZO,9.0,17.0,0.044,0.006,0.46,0.003,90.0,12.0,27.147608,5.979548,264.654167,16.267283,618.778333,1.833367
MARZO,9.0,18.0,0.043,0.006,0.45,0.003,86.0,11.0,26.570917,5.656853,262.117667,16.8771,618.7815,0.751957
MARZO,9.0,19.0,0.038,0.007,0.49,0.006,84.0,10.0,24.802617,4.909702,256.456167,18.9694,619.140833,0.135195
MARZO,9.0,20.0,0.031,0.007,0.55,0.012,76.0,10.0,22.53455,4.329783,246.507167,20.086183,619.922167,0.008382
MARZO,9.0,21.0,0.027,0.007,0.54,0.009,60.0,4.0,20.92324,3.964136,230.989492,21.786322,620.970847,0.008284
MARZO,9.0,22.0,0.024,0.007,0.57,0.008,59.0,2.0,19.704033,3.129802,196.911,25.981283,621.596,0.008028
MARZO,9.0,23.0,0.019,0.008,0.61,0.015,45.0,21.0,18.393621,2.421528,218.816167,26.401683,621.977167,0.007135
MARZO,10.0,0.0,0.021,0.007,0.51,0.007,46.0,18.0,16.645891,1.835525,273.532333,30.603833,622.225333,0.008091
MARZO,10.0,1.0,0.018,0.007,0.5,0.011,39.0,10.0,15.4405,1.02673,209.203783,32.498967,622.078667,0.009037
MARZO,10.0,2.0,0.019,0.007,0.51,0.008,29.0,10.0,15.223364,1.374072,214.913367,31.9954,621.814167,0.008402
MARZO,10.0,8.0,0.001,0.012,1.56,0.032,161.0,30.0,11.670433,1.267953,98.835217,37.2944,622.364833,0.215775
MARZO,10.0,9.0,0.007,0.017,1.4,0.034,150.0,48.0,15.334733,1.194353,125.3257,29.194233,622.8415,0.955943
MARZO,10.0,10.0,0.018,0.017,1.03,0.033,97.0,32.0,19.04835,1.271695,182.61925,23.008517,623.114333,2.110347
MARZO,10.0,11.0,0.029,0.008,0.66,0.012,58.0,26.0,21.3859,1.797483,256.306833,19.57805,623.110333,3.403438
MARZO,10.0,12.0,0.038,0.007,0.56,0.003,14.0,16.0,22.5225,1.99027,175.175413,19.103817,622.892333,4.408525
MARZO,10.0,13.0,0.04,0.006,0.52,0.003,11.0,14.0,24.0516,2.872273,237.943883,18.9043,622.212167,5.137672
MARZO,10.0,14.0,0.042,0.006,0.54,0.003,17.0,13.0,26.0921,3.829365,264.8485,17.631333,621.371,5.035047
MARZO,10.0,15.0,0.045,0.006,0.51,0.003,45.0,20.0,27.069655,4.907707,269.112333,15.126517,620.751667,4.313148
MARZO,10.0,16.0,0.047,0.006,0.5,0.003,74.0,15.0,27.654842,5.141742,267.326333,13.8062,620.1855,3.114797
MARZO,10.0,17.0,0.046,0.006,0.48,0.003,63.0,13.0,27.8121,5.176568,269.5815,12.692933,620.017833,1.837582
MARZO,10.0,18.0,0.041,0.006,0.48,0.003,92.0,11.0,26.84415,5.904233,264.005333,11.649832,620.216833,0.780613
MARZO,10.0,19.0,0.035,0.006,0.48,0.005,91.0,10.0,24.616,4.89581,261.100833,13.41385,620.714833,0.143568
MARZO,10.0,20.0,0.032,0.007,0.6,0.013,71.0,7.0,22.2644,4.014015,248.065667,15.552683,621.398333,0.008826
MARZO,10.0,21.0,0.025,0.006,0.61,0.011,63.0,3.0,21.18805,3.482295,223.929333,17.978083,622.174167,0.008852
MARZO,10.0,22.0,0.024,0.007,0.57,0.008,46.0,1.0,19.580684,3.492427,226.878667,20.134667,622.541333,0.008139
MARZO,10.0,23.0,0.026,0.007,0.55,0.006,45.0,4.0,18.648633,3.664847,220.261667,20.979817,622.771333,0.007119
MARZO,11.0,0.0,0.024,0.007,0.52,0.008,39.0,6.0,17.192352,1.955272,206.672567,23.909383,622.9175,0.008581
