DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
DICIEMBRE,1,0,NA,NA,NA,NA,NA,NA
DICIEMBRE,1,1,0.025,NA,NA,NA,36,0.003
DICIEMBRE,1,2,0.025,NA,NA,NA,29,0.003
DICIEMBRE,1,3,0.023,NA,NA,NA,26,0.003
DICIEMBRE,1,4,0.020,NA,NA,NA,26,0.003
DICIEMBRE,1,5,0.023,NA,NA,NA,26,0.003
DICIEMBRE,1,6,0.018,NA,NA,NA,26,0.005
DICIEMBRE,1,7,0.012,NA,NA,NA,25,0.006
DICIEMBRE,1,8,0.011,0.020,NA,NA,28,0.006
DICIEMBRE,1,9,0.013,0.018,NA,NA,28,0.006
DICIEMBRE,1,10,0.019,0.017,NA,NA,34,0.005
DICIEMBRE,1,11,0.025,0.018,NA,NA,35,0.005
DICIEMBRE,1,12,0.028,0.019,NA,NA,35,0.004
DICIEMBRE,1,13,0.034,0.020,NA,NA,146,0.004
DICIEMBRE,1,14,0.033,0.022,NA,NA,104,0.004
DICIEMBRE,1,15,0.035,0.025,NA,NA,73,0.004
DICIEMBRE,1,16,0.038,0.028,NA,NA,54,0.004
DICIEMBRE,1,17,0.038,0.031,NA,NA,47,0.004
DICIEMBRE,1,18,0.032,0.033,NA,NA,48,0.006
DICIEMBRE,1,19,0.020,0.032,NA,NA,57,0.008
DICIEMBRE,1,20,0.020,0.031,NA,NA,52,0.004
DICIEMBRE,1,21,0.017,0.029,NA,NA,43,0.005
DICIEMBRE,1,22,0.014,0.027,NA,NA,38,0.006
DICIEMBRE,1,23,0.017,0.025,NA,NA,33,0.004
DICIEMBRE,2,0,0.018,0.022,0.014,NA,30,0.005
DICIEMBRE,2,1,0.015,0.019,0.014,NA,32,0.004
DICIEMBRE,2,2,0.016,0.017,0.014,NA,28,0.004
DICIEMBRE,2,3,0.016,0.017,0.014,NA,26,0.005
DICIEMBRE,2,4,0.016,0.016,0.014,NA,21,0.004
DICIEMBRE,2,5,0.013,0.015,0.014,NA,21,0.003
DICIEMBRE,2,6,0.005,0.014,0.014,NA,22,0.007
DICIEMBRE,2,7,0.002,0.012,0.014,NA,23,0.008
DICIEMBRE,2,8,0.004,0.011,0.014,NA,30,0.008
DICIEMBRE,2,9,0.007,0.010,0.014,NA,39,0.008
DICIEMBRE,2,10,0.014,0.010,0.013,NA,40,0.005
DICIEMBRE,2,11,0.024,0.011,0.013,NA,46,0.004
DICIEMBRE,2,12,0.030,0.012,0.013,NA,42,0.004
DICIEMBRE,2,13,0.037,0.015,0.014,NA,40,0.005
DICIEMBRE,2,14,0.051,0.021,0.015,NA,43,0.006
DICIEMBRE,2,15,0.066,0.029,0.017,NA,47,0.006
DICIEMBRE,2,16,0.070,0.037,0.018,NA,51,0.005
DICIEMBRE,2,17,0.069,0.045,0.019,NA,52,0.005
DICIEMBRE,2,18,0.063,0.051,0.020,NA,55,0.006
DICIEMBRE,2,19,0.031,0.052,0.019,NA,51,0.011
DICIEMBRE,2,20,0.024,0.051,0.016,NA,50,0.007
DICIEMBRE,2,21,0.022,0.050,0.016,NA,47,0.006
DICIEMBRE,2,22,0.019,0.045,0.016,NA,46,0.005
DICIEMBRE,2,23,0.019,0.040,0.016,NA,42,0.004
DICIEMBRE,3,0,0.018,0.033,0.016,NA,35,0.004
DICIEMBRE,3,1,0.016,0.026,0.016,NA,33,0.005
DICIEMBRE,3,2,0.017,0.021,0.015,NA,30,0.003
DICIEMBRE,3,3,0.017,0.019,0.015,NA,23,0.003
DICIEMBRE,3,4,0.016,0.018,0.015,NA,22,0.002
DICIEMBRE,3,5,0.015,0.017,0.015,NA,21,0.003
DICIEMBRE,3,6,0.013,0.016,0.015,NA,21,0.003
DICIEMBRE,3,7,0.006,0.015,0.015,NA,23,0.007
DICIEMBRE,3,8,0.006,0.013,0.015,NA,31,0.006
DICIEMBRE,3,9,0.015,0.013,0.015,NA,40,0.006
DICIEMBRE,3,10,0.019,0.013,0.014,NA,41,0.003
DICIEMBRE,3,11,0.023,0.014,0.014,NA,43,0.003
DICIEMBRE,3,12,0.029,0.016,0.014,NA,49,0.004
DICIEMBRE,3,13,0.033,0.018,0.013,NA,58,0.004
DICIEMBRE,3,14,0.036,0.021,0.012,NA,55,0.004
DICIEMBRE,3,15,0.039,0.025,0.010,NA,57,0.004
DICIEMBRE,3,16,0.040,0.029,0.009,NA,65,0.004
DICIEMBRE,3,17,0.041,0.033,0.008,NA,75,0.005
DICIEMBRE,3,18,0.025,0.033,0.009,NA,68,0.005
DICIEMBRE,3,19,0.018,0.033,0.011,NA,62,0.006
DICIEMBRE,3,20,0.017,0.031,0.011,NA,51,0.005
DICIEMBRE,3,21,0.021,0.030,0.010,NA,44,0.004
DICIEMBRE,3,22,0.022,0.028,0.010,NA,38,0.003
DICIEMBRE,3,23,0.023,0.026,0.010,NA,30,0.003
DICIEMBRE,4,0,0.019,0.023,0.009,NA,27,0.004
DICIEMBRE,4,1,0.017,0.020,0.009,NA,20,0.003
DICIEMBRE,4,2,0.024,0.020,0.009,NA,20,0.003
DICIEMBRE,4,3,0.016,0.020,0.009,NA,20,0.002
DICIEMBRE,4,4,0.033,0.022,0.009,NA,22,0.002
DICIEMBRE,4,5,0.016,0.021,0.009,NA,21,0.005
DICIEMBRE,4,6,0.018,0.021,0.009,NA,22,0.003
DICIEMBRE,4,7,0.015,0.020,0.009,NA,22,0.004
DICIEMBRE,4,8,0.008,0.018,0.009,NA,26,0.007
DICIEMBRE,4,9,0.011,0.018,0.009,NA,30,0.005
DICIEMBRE,4,10,0.019,0.017,0.009,NA,29,0.003
DICIEMBRE,4,11,0.025,0.018,0.009,NA,29,0.003
DICIEMBRE,4,12,0.031,0.018,0.009,NA,23,0.003
DICIEMBRE,4,13,0.038,0.021,0.009,NA,23,0.003
DICIEMBRE,4,14,0.042,0.024,0.009,NA,26,0.003
DICIEMBRE,4,15,0.043,0.027,0.009,NA,30,0.004
DICIEMBRE,4,16,0.042,0.031,0.009,NA,32,0.004
DICIEMBRE,4,17,0.043,0.035,0.009,NA,34,0.003
DICIEMBRE,4,18,0.037,0.038,0.007,NA,36,0.005
DICIEMBRE,4,19,0.030,0.038,0.005,NA,43,0.012
DICIEMBRE,4,20,0.021,0.037,0.005,NA,44,0.007
DICIEMBRE,4,21,0.019,0.035,0.008,NA,43,0.006
DICIEMBRE,4,22,0.019,0.032,0.009,NA,35,0.004
DICIEMBRE,4,23,0.011,0.028,0.009,NA,37,0.006
DICIEMBRE,5,0,0.008,0.024,0.009,NA,37,0.008
DICIEMBRE,5,1,0.008,0.019,0.009,NA,34,0.008
DICIEMBRE,5,2,0.011,0.016,0.009,NA,37,0.006
DICIEMBRE,5,3,0.009,0.013,0.009,NA,34,0.006
DICIEMBRE,5,4,0.012,0.012,0.009,NA,28,0.004
DICIEMBRE,5,5,0.004,0.010,0.009,NA,28,0.008
DICIEMBRE,5,6,0.010,0.009,0.009,NA,26,0.005
DICIEMBRE,5,7,0.010,0.009,0.009,NA,32,0.008
DICIEMBRE,5,8,0.015,0.010,0.009,NA,38,0.008
DICIEMBRE,5,9,0.008,0.010,0.009,NA,44,0.009
DICIEMBRE,5,10,0.013,0.010,0.009,NA,51,0.008
DICIEMBRE,5,11,0.023,0.012,0.009,NA,50,0.005
