DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
JUNIO,1,0,0.031,0.009,0.011,1.95,108,22.75,1.39,189.05,40.51
JUNIO,1,1,0.029,0.008,0.009,1.94,101,21.63,0.95,195.38,43.35
JUNIO,1,2,0.036,0.008,0.009,1.96,69,21.19,0.96,139.76,47.40
JUNIO,1,3,0.021,0.008,0.017,2.06,93,19.89,0.96,166.44,50.98
JUNIO,1,4,0.020,0.008,0.010,1.95,87,19.65,1.04,267.57,51.10
JUNIO,1,5,0.029,0.007,0.005,1.91,56,19.32,1.00,230.45,50.36
JUNIO,1,6,0.016,0.007,0.012,1.97,53,18.29,1.07,265.61,53.38
JUNIO,1,7,0.016,0.007,0.010,2.11,60,18.83,1.16,229.90,53.19
JUNIO,1,8,0.019,0.007,0.009,2.24,81,22.67,1.26,261.07,45.71
JUNIO,1,9,0.030,0.007,0.005,2.03,63,25.40,2.17,269.84,39.95
JUNIO,1,10,0.037,0.007,0.005,2.01,61,27.34,2.96,278.39,36.31
JUNIO,1,11,0.045,0.007,0.004,1.95,49,28.69,2.78,268.09,31.05
JUNIO,1,12,0.050,0.007,0.003,1.99,50,29.60,3.75,278.12,28.00
JUNIO,1,13,0.054,0.006,0.004,2.00,64,30.46,3.81,276.87,26.03
JUNIO,1,14,0.058,0.007,0.004,1.99,61,31.22,3.92,265.40,23.45
JUNIO,1,15,0.064,0.007,0.003,1.93,60,32.32,2.83,250.38,21.17
JUNIO,1,16,0.064,0.006,0.003,1.93,58,32.99,2.72,245.74,19.90
JUNIO,1,17,0.064,0.007,0.003,1.89,60,33.27,2.69,234.93,18.56
JUNIO,1,18,0.062,0.006,0.004,1.92,67,32.71,3.10,243.57,18.02
JUNIO,1,19,0.057,0.007,0.005,1.96,86,31.21,2.84,243.26,18.54
JUNIO,1,20,0.049,0.007,0.008,2.07,202,29.32,1.93,217.02,19.99
JUNIO,1,21,0.033,0.007,0.009,2.04,159,26.94,2.33,176.81,25.41
JUNIO,1,22,0.027,0.007,0.008,2.00,103,25.04,1.83,164.82,29.15
JUNIO,1,23,0.024,0.007,0.009,2.00,97,23.70,1.10,122.62,33.30
JUNIO,2,0,0.026,0.007,0.007,1.93,69,22.16,1.12,157.54,38.01
JUNIO,2,1,0.019,0.007,0.011,1.98,68,21.43,0.96,234.65,40.25
JUNIO,2,2,0.030,0.007,0.006,1.91,70,20.97,1.02,249.50,43.39
JUNIO,2,3,0.029,0.007,0.004,1.87,70,20.09,1.00,250.24,44.91
JUNIO,2,4,0.028,0.007,0.004,1.87,43,19.35,0.96,244.57,45.47
JUNIO,2,5,0.027,0.007,0.005,1.88,42,18.84,1.00,258.16,46.88
JUNIO,2,6,0.023,0.007,0.006,1.96,52,18.23,0.96,255.72,49.07
JUNIO,2,7,0.014,0.007,0.013,2.12,59,19.13,0.97,287.95,50.92
JUNIO,2,8,0.019,0.007,0.012,2.30,79,23.99,0.95,204.50,43.90
JUNIO,2,9,0.029,0.007,0.008,2.13,76,26.46,1.10,263.93,37.21
JUNIO,2,10,0.040,0.007,0.005,2.05,54,28.02,1.61,272.19,33.22
JUNIO,2,11,0.049,0.007,0.004,1.97,48,29.90,1.60,244.26,27.06
JUNIO,2,12,0.058,0.007,0.004,1.98,46,30.84,1.97,246.80,23.38
JUNIO,2,13,0.061,0.007,0.004,1.98,52,32.23,1.89,243.13,20.47
JUNIO,2,14,0.058,0.007,0.004,1.99,46,33.46,2.28,266.84,16.24
JUNIO,2,15,0.059,0.006,0.003,1.89,40,34.06,2.93,254.11,12.38
JUNIO,2,16,0.060,0.007,0.003,1.89,46,34.63,2.21,195.04,11.29
JUNIO,2,17,0.060,0.007,0.003,1.85,44,35.00,2.09,214.04,11.00
JUNIO,2,18,0.060,0.007,0.004,1.85,48,34.66,1.74,254.73,11.27
JUNIO,2,19,0.056,0.007,0.004,1.91,51,32.82,1.43,241.12,12.08
JUNIO,2,20,0.040,0.007,0.011,2.14,95,30.44,1.09,219.04,12.52
JUNIO,2,21,0.034,0.020,0.015,2.28,127,28.57,2.12,185.98,16.02
JUNIO,2,22,0.044,0.007,0.006,2.01,130,27.46,2.62,204.28,24.14
JUNIO,2,23,0.048,0.011,0.010,2.12,117,25.57,1.34,125.51,29.18
