DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
JULIO,1,0,0.018,NA,NA,0.831,16,16.38,1.30,134.36,NA
JULIO,1,1,0.019,0.007,0.006,0.772,11,16.28,1.08,75.88,NA
JULIO,1,2,0.017,0.007,0.007,0.753,16,16.19,0.96,109.96,NA
JULIO,1,3,0.013,0.007,0.008,0.751,12,16.00,0.96,130.99,NA
JULIO,1,4,0.008,0.007,0.010,0.769,16,15.95,0.96,125.05,NA
JULIO,1,5,0.007,0.007,0.010,0.777,14,15.97,0.96,121.46,NA
JULIO,1,6,0.008,0.007,0.009,0.795,17,16.13,1.07,115.13,NA
JULIO,1,7,0.007,0.007,0.009,0.902,26,16.16,1.33,110.78,NA
JULIO,1,8,0.011,0.007,0.010,1.036,42,18.86,1.03,102.43,NA
JULIO,1,9,0.017,0.007,0.008,0.936,38,22.53,1.29,125.73,83.29
JULIO,1,10,0.022,0.007,0.006,0.878,30,24.14,1.90,122.60,72.74
JULIO,1,11,0.029,0.007,0.005,0.827,26,25.59,2.06,134.06,57.16
JULIO,1,12,0.034,0.007,0.004,0.809,25,26.45,2.16,136.13,48.23
JULIO,1,13,0.037,0.007,0.003,0.764,14,28.07,1.69,144.98,42.09
JULIO,1,14,0.036,0.007,0.003,0.732,14,27.95,1.88,143.99,38.23
JULIO,1,15,0.038,0.007,0.003,0.732,11,29.13,1.73,138.32,33.99
JULIO,1,16,0.043,0.007,0.005,0.781,32,28.45,1.71,235.97,36.65
JULIO,1,17,0.041,0.007,0.005,0.802,78,26.31,2.97,232.27,44.46
JULIO,1,18,0.032,0.007,0.006,0.800,53,20.27,2.61,202.18,67.24
JULIO,1,19,0.025,0.010,0.010,0.785,43,19.77,3.92,94.71,69.93
JULIO,1,20,0.027,0.023,0.008,0.937,132,18.67,2.77,83.77,75.01
JULIO,1,21,0.028,0.025,0.011,0.939,113,19.00,0.99,82.80,69.71
JULIO,1,22,0.022,0.014,0.009,0.801,43,18.58,1.68,149.49,74.39
JULIO,1,23,0.017,0.010,0.011,0.838,24,17.97,1.45,146.90,83.85
JULIO,2,0,0.022,0.008,0.011,0.891,22,18.13,1.06,88.27,80.94
JULIO,2,1,0.024,0.008,0.009,0.841,11,18.07,0.97,87.92,79.30
JULIO,2,2,0.024,0.008,0.008,0.826,9,17.71,0.97,230.02,78.69
JULIO,2,3,0.018,0.008,0.010,0.824,16,18.09,0.97,270.05,78.52
JULIO,2,4,0.014,0.008,0.011,0.831,16,17.71,0.96,185.33,81.08
JULIO,2,5,0.011,0.007,0.012,0.868,24,17.25,0.96,181.58,83.51
