DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],TEMP,WS,WD,HR
SEPTIEMBRE,3,8,0.02,0.011,0.007,1.32,38,17.57,0.97,117.09,76.18
SEPTIEMBRE,3,9,0.04,0.018,0.006,1.24,81,20.38,2.83,66.73,63.76
SEPTIEMBRE,3,10,0.04,0.019,0.005,1.24,47,21.95,3.82,70.36,55.37
SEPTIEMBRE,3,11,0.04,0.019,0.005,1.27,40,23.71,2.73,69.01,47.34
SEPTIEMBRE,3,12,0.05,0.012,0.004,1.23,31,25.29,1.72,92.09,41.06
SEPTIEMBRE,3,13,0.05,0.011,0.004,1.2,35,26.19,1.65,89.95,37.9
SEPTIEMBRE,3,14,0.05,0.011,0.003,1.16,35,27.11,1.33,100.95,33.71
SEPTIEMBRE,3,15,0.05,0.014,0.004,1.15,32,28.02,1.25,120.3,32.2
SEPTIEMBRE,3,16,0.05,0.023,0.004,1.14,44,28.73,1.03,150.99,32.23
SEPTIEMBRE,3,17,0.05,0.014,0.003,1.15,44,29.15,0.94,177.17,32.52
SEPTIEMBRE,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPTIEMBRE,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
