DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
FEBRERO,1,0,NA,0.007,0.010,NA,63,16.86,1.02,282.04,51.21
FEBRERO,1,1,NA,0.007,0.016,NA,63,16.30,1.22,169.90,53.46
FEBRERO,1,2,NA,0.007,0.017,NA,97,14.88,1.94,118.01,56.78
FEBRERO,1,3,NA,0.006,0.016,NA,62,13.60,2.27,123.80,62.37
FEBRERO,1,4,NA,0.006,0.012,NA,53,12.73,2.77,110.02,68.76
FEBRERO,1,5,NA,0.005,0.010,NA,45,11.85,2.88,114.93,73.14
FEBRERO,1,6,NA,0.005,0.008,NA,40,11.12,2.69,102.57,76.29
FEBRERO,1,7,NA,0.005,0.013,NA,50,10.39,2.44,86.70,79.28
FEBRERO,1,8,NA,0.005,0.013,NA,74,10.41,2.20,96.77,82.55
FEBRERO,1,9,NA,0.005,0.014,NA,82,12.88,3.35,95.96,75.61
FEBRERO,1,10,NA,0.005,0.007,NA,76,16.10,3.98,100.59,64.11
FEBRERO,1,11,NA,0.005,0.005,NA,58,18.64,3.53,99.91,54.84
FEBRERO,1,12,NA,0.009,0.005,NA,72,21.04,2.97,128.63,46.39
FEBRERO,1,13,NA,0.012,0.005,NA,53,23.36,2.31,129.38,38.55
FEBRERO,1,14,NA,0.007,0.004,NA,36,24.74,2.44,168.82,32.65
FEBRERO,1,15,NA,0.006,0.004,NA,44,24.81,2.81,187.46,30.78
FEBRERO,1,16,NA,0.006,0.004,NA,45,25.94,2.34,232.87,28.63
FEBRERO,1,17,NA,0.006,0.006,NA,45,25.99,2.94,276.71,27.60
FEBRERO,1,18,NA,0.006,0.007,NA,60,24.76,1.77,269.62,28.98
FEBRERO,1,19,NA,0.006,0.012,NA,62,22.14,1.30,270.53,32.55
FEBRERO,1,20,NA,0.006,0.016,NA,97,20.63,2.49,209.22,37.10
FEBRERO,1,21,NA,0.005,0.005,NA,74,19.17,3.63,169.31,40.43
FEBRERO,1,22,NA,0.006,0.008,NA,68,18.64,2.49,213.38,43.38
FEBRERO,1,23,NA,0.006,0.006,NA,72,17.26,1.67,207.11,48.93
FEBRERO,2,0,NA,0.006,0.007,NA,62,15.76,1.24,214.78,52.39
FEBRERO,2,1,NA,0.005,0.005,NA,44,15.26,2.05,276.03,53.22
FEBRERO,2,2,NA,0.005,0.005,NA,36,14.30,1.18,250.88,54.55
FEBRERO,2,3,NA,0.005,0.011,NA,36,13.36,1.25,285.53,56.90
FEBRERO,2,4,NA,0.006,0.015,NA,47,12.26,1.12,261.87,60.88
FEBRERO,2,5,NA,0.005,0.014,NA,45,11.79,1.96,247.52,63.39
FEBRERO,2,6,NA,0.005,0.011,NA,44,10.74,1.14,212.70,64.11
FEBRERO,2,7,NA,0.006,0.016,NA,72,9.92,0.97,88.36,68.16
FEBRERO,2,8,NA,0.007,0.015,NA,113,9.68,0.97,139.86,71.30
FEBRERO,2,9,NA,0.006,0.019,NA,141,14.60,0.98,159.26,58.58
FEBRERO,2,10,NA,0.006,0.012,NA,115,18.16,2.17,290.53,50.45
FEBRERO,2,11,NA,0.006,0.008,NA,62,19.93,2.15,264.41,44.75
FEBRERO,2,12,NA,0.006,0.006,NA,53,22.00,2.06,215.73,38.33
FEBRERO,2,13,NA,0.006,0.004,NA,40,23.71,2.23,234.42,32.51
FEBRERO,2,14,NA,0.005,0.004,NA,25,24.74,3.32,262.16,22.58
FEBRERO,2,15,NA,0.005,0.004,NA,33,25.54,3.53,268.72,19.46
FEBRERO,2,16,NA,0.005,0.004,0.39,48,26.10,3.45,270.72,17.69
FEBRERO,2,17,NA,0.005,0.005,0.41,37,25.92,3.51,279.06,17.31
FEBRERO,2,18,NA,0.005,0.006,0.50,36,24.86,3.52,278.38,18.28
FEBRERO,2,19,NA,0.005,0.015,0.89,38,22.70,2.15,282.16,19.74
FEBRERO,2,20,NA,0.006,0.026,2.70,78,19.24,0.96,298.04,20.97
FEBRERO,2,21,NA,0.006,0.026,3.32,185,17.50,0.99,208.68,24.12
FEBRERO,2,22,NA,0.006,0.023,3.27,246,16.69,1.18,252.48,31.22
FEBRERO,2,23,NA,0.006,0.022,1.40,162,15.35,1.08,280.21,31.53
FEBRERO,3,0,NA,0.005,0.020,1.25,91,14.54,1.02,215.21,34.79
FEBRERO,3,1,NA,0.006,0.020,0.84,110,12.45,2.72,103.57,41.99
FEBRERO,3,2,NA,0.006,0.017,0.63,95,13.32,3.10,101.31,49.49
FEBRERO,3,3,NA,0.007,0.007,0.48,63,13.47,4.02,61.38,55.44
FEBRERO,3,4,NA,0.022,0.004,0.44,82,11.72,5.12,50.11,67.06
FEBRERO,3,5,NA,0.017,0.004,0.44,57,10.70,3.97,63.29,68.26
FEBRERO,3,6,NA,0.006,0.003,0.42,36,10.71,4.91,71.21,67.24
FEBRERO,3,7,NA,0.006,0.004,0.47,43,10.59,6.10,64.66,66.51
FEBRERO,3,8,NA,0.012,0.006,0.53,41,10.54,5.59,60.95,66.00
FEBRERO,3,9,NA,0.008,0.006,0.53,36,12.14,5.32,62.31,60.27
FEBRERO,3,10,NA,0.006,0.004,0.49,56,13.37,6.48,67.63,54.73
FEBRERO,3,11,0.034,0.005,0.004,0.49,111,14.06,6.87,63.63,51.83
FEBRERO,3,12,0.041,0.005,0.004,0.50,110,15.61,6.91,70.68,46.73
FEBRERO,3,13,0.051,0.005,0.005,0.54,248,17.22,6.64,88.62,41.66
FEBRERO,3,14,0.050,0.005,0.005,0.54,180,17.80,6.67,91.71,39.37
FEBRERO,3,15,0.051,0.005,0.005,0.50,142,18.49,6.44,93.22,37.02
FEBRERO,3,16,0.055,0.005,0.006,0.50,122,19.22,6.09,88.88,33.88
FEBRERO,3,17,0.062,0.005,0.006,0.50,103,19.66,5.85,83.67,31.72
FEBRERO,3,18,0.055,0.005,0.006,0.55,99,19.20,5.44,83.17,31.26
FEBRERO,3,19,0.041,0.010,0.008,0.55,83,17.00,5.75,73.83,34.32
FEBRERO,3,20,0.031,0.011,0.007,0.44,94,13.91,6.02,50.00,34.34
FEBRERO,3,21,0.031,0.016,0.006,0.42,64,12.41,5.69,55.87,37.97
FEBRERO,3,22,0.033,0.006,0.004,0.39,38,11.13,5.46,62.13,40.75
FEBRERO,3,23,0.034,0.005,0.004,0.42,31,9.98,5.25,70.20,43.70
FEBRERO,4,0,0.040,0.005,0.003,0.34,26,8.42,4.41,84.29,46.34
FEBRERO,4,1,0.041,0.004,0.004,0.33,18,7.58,4.22,81.56,49.32
FEBRERO,4,2,0.044,0.004,0.003,0.33,12,6.92,4.14,85.56,50.17
FEBRERO,4,3,0.039,0.004,0.003,0.33,16,6.04,3.90,83.04,52.26
FEBRERO,4,4,0.033,0.004,0.003,0.33,11,5.60,3.33,94.71,52.28
FEBRERO,4,5,0.029,0.004,0.004,0.34,16,4.89,2.93,99.22,53.57
FEBRERO,4,6,0.026,0.004,0.005,0.36,14,4.22,3.32,104.46,53.85
FEBRERO,4,7,NA,0.004,0.008,0.43,16,3.79,3.33,106.61,53.33
FEBRERO,4,8,NA,0.005,0.012,0.53,35,3.79,3.77,109.33,53.85
FEBRERO,4,9,0.021,0.005,0.010,0.54,58,6.44,3.61,109.66,46.87
FEBRERO,4,10,0.034,0.004,0.007,0.54,53,9.60,3.98,79.83,37.22
FEBRERO,4,11,0.037,0.005,0.005,0.45,51,12.55,4.35,102.08,30.85
FEBRERO,4,12,0.041,0.006,0.005,0.48,40,15.17,3.91,103.76,30.53
FEBRERO,4,13,0.047,0.006,0.005,0.48,42,18.25,2.74,119.77,29.85
FEBRERO,4,14,0.055,0.008,0.006,0.48,45,20.74,2.37,173.97,27.28
FEBRERO,4,15,0.066,0.032,0.006,0.63,56,22.90,1.81,215.81,23.48
FEBRERO,4,16,0.071,0.026,0.006,0.67,56,24.40,1.79,240.69,20.09
FEBRERO,4,17,0.058,0.007,0.005,0.48,44,24.50,2.35,255.24,18.62
FEBRERO,4,18,0.057,0.006,0.005,0.49,45,23.35,2.54,269.22,19.68
FEBRERO,4,19,0.044,0.006,0.013,0.83,54,20.79,1.87,277.16,22.51
FEBRERO,4,20,0.015,0.006,0.028,2.99,99,17.65,1.01,275.72,25.25
FEBRERO,4,21,0.016,0.007,0.028,4.61,214,15.91,1.01,219.87,28.59
FEBRERO,4,22,0.036,0.007,0.028,2.56,306,14.57,1.27,131.04,33.27
FEBRERO,4,23,0.026,0.007,0.027,1.34,165,13.65,1.20,133.69,34.51
FEBRERO,5,0,0.010,0.006,0.021,0.85,109,12.59,1.94,117.27,36.51
