DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
MAYO,1,0,0.026,0.008,0.013,1.90,102,20,1.14,112.16,20.24
MAYO,1,1,0.028,0.017,0.010,1.77,98,18,1.00,200.43,23.03
MAYO,1,2,0.020,0.010,0.011,1.85,68,18,1.03,196.00,24.74
MAYO,1,3,0.010,0.009,0.015,1.92,87,16,0.96,201.86,26.84
MAYO,1,4,0.012,0.008,0.014,1.86,84,16,1.40,218.54,28.34
MAYO,1,5,0.015,0.007,0.012,1.68,70,15,1.03,247.33,30.63
MAYO,1,6,0.015,0.007,0.012,1.74,70,15,0.97,262.86,31.91
MAYO,1,7,0.012,0.007,0.013,1.87,79,15,1.01,196.89,33.64
MAYO,1,8,0.014,0.008,0.013,2.00,120,17,1.02,124.04,34.37
MAYO,1,9,0.034,0.007,0.010,1.92,120,23,1.76,289.42,30.02
MAYO,1,10,0.047,0.007,0.006,1.78,86,24,2.52,287.68,29.25
MAYO,1,11,0.059,0.007,0.004,1.69,73,26,1.76,227.63,26.52
MAYO,1,12,0.060,0.007,0.004,1.66,61,28,2.49,248.09,21.95
MAYO,1,13,0.049,0.006,0.003,1.54,56,29,3.53,260.67,14.72
MAYO,1,14,0.052,0.006,0.003,1.53,45,30,2.90,227.56,14.02
MAYO,1,15,0.051,0.007,0.003,1.54,56,30,4.04,261.91,12.98
MAYO,1,16,0.052,0.007,0.004,1.58,48,30,3.91,278.34,13.10
MAYO,1,17,0.051,0.007,0.003,1.52,58,30,4.86,265.56,13.24
MAYO,1,18,0.046,0.006,0.003,1.48,38,29,5.08,263.45,12.21
MAYO,1,19,0.041,0.007,0.004,1.51,60,27,4.72,261.87,13.28
MAYO,1,20,0.035,0.007,0.005,1.58,85,25,3.84,249.73,13.99
MAYO,1,21,0.033,0.007,0.006,1.58,75,24,3.43,236.26,15.24
MAYO,1,22,0.037,0.007,0.005,1.63,86,22,3.70,240.41,17.72
MAYO,1,23,0.039,0.007,0.005,1.68,83,20,2.67,242.66,19.41
MAYO,2,0,0.040,0.007,0.004,1.57,67,19,2.29,243.00,22.16
MAYO,2,1,0.036,0.007,0.004,1.57,49,18,2.83,275.04,26.36
MAYO,2,2,0.033,0.007,0.004,1.59,47,17,1.46,263.29,28.66
MAYO,2,3,0.030,0.007,0.006,1.66,46,16,1.59,256.84,30.84
MAYO,2,4,0.037,0.007,0.003,1.63,47,16,2.07,255.77,33.09
MAYO,2,5,0.030,0.008,0.006,1.63,56,14,1.86,216.10,37.00
MAYO,2,6,0.025,0.008,0.009,1.68,62,14,1.85,281.01,39.27
MAYO,2,7,0.015,0.008,0.014,1.87,70,14,2.39,279.01,40.32
MAYO,2,8,0.020,0.008,0.012,2.06,122,19,1.37,250.81,34.24
MAYO,2,9,0.032,0.007,0.009,1.88,103,22,2.46,282.10,27.87
MAYO,2,10,0.044,0.007,0.005,1.67,69,24,2.80,267.61,24.67
MAYO,2,11,0.053,0.007,0.004,1.62,62,26,2.96,259.41,21.48
MAYO,2,12,0.054,0.007,0.003,1.61,58,28,3.41,259.24,18.23
MAYO,2,13,0.049,0.006,0.003,1.55,100,29,4.82,244.89,13.68
MAYO,2,14,0.049,0.006,0.003,1.54,127,29,4.85,230.91,13.07
MAYO,2,15,0.051,0.006,0.002,1.52,76,31,3.70,224.61,12.21
MAYO,2,16,0.048,0.006,0.003,1.51,61,31,4.83,258.46,10.93
MAYO,2,17,0.046,0.006,0.003,1.51,56,31,4.99,271.22,10.30
MAYO,2,18,0.043,0.006,0.004,1.51,53,30,4.59,265.20,10.57
MAYO,2,19,0.040,0.007,0.005,1.56,64,28,3.90,258.83,11.29
MAYO,2,20,0.031,0.007,0.009,1.71,84,26,2.94,261.20,13.17
MAYO,2,21,0.029,0.007,0.012,1.92,87,24,2.04,235.02,14.87
MAYO,2,22,0.033,0.007,0.008,1.77,104,23,2.10,231.02,16.67
MAYO,2,23,0.027,0.007,0.009,1.70,85,21,2.03,245.45,18.88
MAYO,3,0,0.033,0.007,0.008,1.68,91,20,2.60,260.80,21.82
MAYO,3,1,0.039,0.007,0.004,1.63,85,20,2.67,256.89,21.04
MAYO,3,2,0.031,0.007,0.005,1.63,71,18,1.12,172.27,23.19
MAYO,3,3,0.023,0.007,0.007,1.63,70,17,0.96,205.56,24.02
MAYO,3,4,0.029,0.006,0.004,1.61,46,16,1.26,228.67,26.18
MAYO,3,5,0.024,0.007,0.008,1.65,37,16,0.96,164.50,28.36
MAYO,3,6,0.025,0.008,0.016,1.86,108,14,0.97,74.68,32.88
MAYO,3,7,0.022,0.008,0.015,1.93,128,14,1.50,129.84,36.88
MAYO,3,8,0.013,0.008,0.014,2.02,138,16,1.59,135.32,35.20
MAYO,3,9,0.018,0.009,0.015,2.04,159,20,1.75,122.77,27.88
MAYO,3,10,0.038,0.118,0.014,1.87,156,25,1.12,185.88,20.94
MAYO,3,11,0.055,0.157,0.016,2.08,167,27,1.27,199.56,17.69
MAYO,3,12,0.075,0.046,0.007,2.03,114,28,1.94,238.31,14.60
MAYO,3,13,0.067,0.012,0.004,1.81,81,30,2.24,240.49,12.70
MAYO,3,14,0.050,0.007,0.003,1.62,52,31,2.17,237.97,10.87
MAYO,3,15,0.053,0.006,0.002,1.53,27,31,2.49,245.37,10.75
MAYO,3,16,0.060,0.007,0.004,1.57,41,32,2.81,236.97,10.69
MAYO,3,17,0.066,0.008,0.003,1.55,44,31,2.29,146.02,11.00
MAYO,3,18,0.065,0.013,0.005,1.64,56,30,1.91,163.18,11.62
MAYO,3,19,0.055,0.009,0.009,1.89,68,29,2.25,258.54,12.27
MAYO,3,20,0.028,0.008,0.022,2.25,76,27,1.66,304.81,13.15
MAYO,3,21,0.017,0.008,0.027,2.60,119,25,1.27,235.54,14.51
MAYO,3,22,0.035,0.008,0.009,1.92,138,24,2.18,252.60,22.26
MAYO,3,23,0.029,0.008,0.010,1.89,111,22,1.30,201.61,27.30
MAYO,4,0,0.027,0.008,0.010,1.82,99,22,1.25,178.23,27.90
MAYO,4,1,0.023,0.017,0.017,1.95,97,20,1.08,171.00,30.96
MAYO,4,2,0.010,0.009,0.020,1.88,136,19,0.97,119.26,34.34
MAYO,4,3,0.017,0.010,0.014,1.79,98,18,1.12,218.89,34.26
MAYO,4,4,0.025,0.007,0.006,1.62,61,18,2.08,274.44,30.33
MAYO,4,5,0.016,0.007,0.011,1.66,84,17,2.19,277.33,31.77
MAYO,4,6,0.010,0.008,0.016,1.76,90,17,1.28,273.85,31.60
MAYO,4,7,0.018,0.007,0.012,1.86,94,17,0.96,233.67,33.53
MAYO,4,8,0.017,0.007,0.014,2.19,129,19,1.72,260.68,34.80
MAYO,4,9,0.030,0.007,0.010,1.97,115,22,2.97,290.09,31.14
MAYO,4,10,0.048,0.007,0.007,1.87,107,26,1.55,221.51,24.73
MAYO,4,11,0.061,0.008,0.005,1.84,110,27,1.50,208.26,21.69
MAYO,4,12,0.066,0.007,0.005,1.84,95,27,1.80,242.89,21.54
MAYO,4,13,0.064,0.007,0.004,1.80,87,28,2.88,268.03,21.19
MAYO,4,14,0.061,0.007,0.004,1.78,64,30,3.08,268.63,17.63
MAYO,4,15,0.066,0.007,0.004,1.73,64,31,2.84,262.06,14.95
MAYO,4,16,0.058,0.007,0.003,1.63,54,31,2.27,251.56,14.21
MAYO,4,17,0.059,0.007,0.004,1.62,55,31,2.07,236.17,13.68
MAYO,4,18,0.058,0.009,0.005,1.67,59,29,1.94,233.14,14.70
MAYO,4,19,0.053,0.007,0.008,1.86,85,28,1.24,265.03,16.25
MAYO,4,20,0.044,0.007,0.011,1.92,91,27,1.14,216.51,17.18
MAYO,4,21,0.041,0.007,0.010,1.90,138,26,1.94,195.39,22.09
MAYO,4,22,0.041,0.007,0.009,1.95,141,25,1.57,230.01,24.38
MAYO,4,23,0.039,0.026,0.010,1.76,106,24,2.27,190.65,25.23
MAYO,5,0,0.044,0.010,0.008,1.66,120,24,3.22,97.88,28.77
MAYO,5,1,0.045,0.010,0.006,1.61,92,22,1.88,126.41,31.59
MAYO,5,2,0.036,0.009,0.007,1.68,78,22,0.98,169.44,31.58
MAYO,5,3,0.032,0.008,0.007,1.69,95,21,1.01,217.76,31.88
MAYO,5,4,0.036,0.008,0.007,1.71,81,21,1.00,193.13,33.44
MAYO,5,5,0.031,0.007,0.007,1.69,75,20,1.44,268.84,37.58
MAYO,5,6,0.033,0.007,0.007,1.77,80,18,1.18,259.62,41.42
MAYO,5,7,0.027,0.008,0.011,1.98,104,18,0.96,223.48,43.82
MAYO,5,8,0.029,0.007,0.012,2.08,135,20,1.22,223.00,43.60
MAYO,5,9,0.042,0.007,0.007,1.96,107,24,1.33,253.35,36.46
MAYO,5,10,0.050,0.007,0.009,2.08,118,27,1.90,272.39,29.98
MAYO,5,11,0.063,0.007,0.006,1.98,115,28,3.04,272.84,27.04
MAYO,5,12,0.064,0.007,0.004,1.89,104,30,2.89,270.65,20.71
MAYO,5,13,0.073,0.007,0.004,1.84,214,31,2.68,258.13,16.80
MAYO,5,14,0.081,0.016,0.005,1.87,216,32,2.34,169.45,14.77
