DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
NOVIEMBRE,1,0,0.023,0.008,0.003,0.90,27,4.32,79.71,13.95,66.43
NOVIEMBRE,1,1,0.023,0.008,0.003,0.88,16,4.03,86.71,13.12,69.00
NOVIEMBRE,1,2,0.022,0.008,0.002,0.86,15,4.08,89.28,12.79,69.49
NOVIEMBRE,1,3,0.021,0.008,0.002,0.86,15,4.41,75.70,12.40,69.21
NOVIEMBRE,1,4,0.021,0.008,0.002,0.86,NA,4.45,73.34,11.98,69.63
NOVIEMBRE,1,5,0.020,0.008,0.002,0.86,9,3.92,77.73,11.32,71.30
NOVIEMBRE,1,6,0.019,0.008,0.003,0.88,11,3.81,67.62,11.11,72.32
NOVIEMBRE,1,7,0.017,0.012,0.004,0.96,23,4.04,60.39,10.79,73.00
NOVIEMBRE,1,8,0.018,0.008,0.004,0.99,15,4.70,67.38,11.15,70.75
NOVIEMBRE,1,9,0.020,0.009,0.004,0.97,34,4.56,68.31,12.38,65.24
NOVIEMBRE,1,10,0.023,0.021,0.004,0.97,26,4.72,65.14,13.84,59.72
NOVIEMBRE,1,11,0.025,0.019,0.003,0.96,28,4.69,73.79,15.99,52.53
NOVIEMBRE,1,12,0.028,0.009,0.003,0.95,26,5.03,69.80,17.30,48.41
NOVIEMBRE,1,13,0.031,0.009,0.004,0.97,28,5.04,77.59,18.67,44.88
NOVIEMBRE,1,14,0.034,0.009,0.004,0.97,23,4.64,80.56,20.11,41.50
NOVIEMBRE,1,15,0.036,0.009,0.004,0.98,34,4.01,86.50,21.37,38.24
NOVIEMBRE,1,16,0.036,0.009,0.004,0.97,38,4.24,83.71,22.01,35.98
NOVIEMBRE,1,17,0.035,0.010,0.005,0.98,46,4.13,84.25,21.92,35.66
NOVIEMBRE,1,18,0.034,0.013,0.005,1.04,46,3.45,62.98,20.73,37.22
NOVIEMBRE,1,19,0.028,0.011,0.007,1.01,43,4.04,50.90,18.20,42.88
NOVIEMBRE,1,20,0.021,0.014,0.008,1.11,43,3.22,74.94,16.51,48.80
NOVIEMBRE,1,21,0.019,0.008,0.005,1.03,46,3.81,91.95,14.57,55.69
NOVIEMBRE,1,22,0.021,0.008,0.004,0.92,37,4.90,83.64,12.67,60.96
NOVIEMBRE,1,23,0.021,0.008,0.004,0.92,28,4.65,77.74,11.91,63.47
NOVIEMBRE,2,0,0.020,0.008,0.004,0.89,21,3.84,82.64,11.08,65.67
NOVIEMBRE,2,1,0.022,0.008,0.003,0.87,NA,4.11,78.59,10.57,67.41
NOVIEMBRE,2,2,0.022,0.007,0.002,0.85,3,3.84,81.73,9.96,69.51
NOVIEMBRE,2,3,0.021,0.008,0.003,0.85,10,2.51,92.36,9.32,71.83
NOVIEMBRE,2,4,0.020,0.008,0.003,0.86,8,2.23,91.01,8.85,73.73
NOVIEMBRE,2,5,0.021,0.008,0.003,0.87,5,2.78,89.60,9.44,72.50
NOVIEMBRE,2,6,0.021,0.008,0.003,0.88,16,2.84,87.70,9.41,72.70
NOVIEMBRE,2,7,0.019,0.009,0.004,0.96,19,2.86,84.52,9.41,73.13
NOVIEMBRE,2,8,0.017,0.009,0.005,1.00,20,3.06,87.23,9.64,72.73
NOVIEMBRE,2,9,0.019,0.009,0.006,1.00,37,3.25,89.48,10.78,69.52
NOVIEMBRE,2,10,0.024,0.009,0.004,0.96,36,3.94,93.84,14.17,58.24
NOVIEMBRE,2,11,0.026,0.009,0.004,0.96,33,3.71,89.71,16.77,50.64
NOVIEMBRE,2,12,0.031,0.008,0.003,0.94,32,3.40,100.74,19.23,43.82
NOVIEMBRE,2,13,0.037,0.008,0.003,0.93,31,2.39,100.32,21.59,36.80
NOVIEMBRE,2,14,0.043,0.008,0.003,0.93,34,2.15,104.10,24.65,31.40
NOVIEMBRE,2,15,0.045,0.008,0.003,0.93,38,3.06,103.39,25.92,28.90
NOVIEMBRE,2,16,0.047,0.024,0.004,0.95,45,3.11,84.80,26.68,26.37
NOVIEMBRE,2,17,0.044,0.017,0.004,0.93,40,3.20,60.70,26.08,26.40
NOVIEMBRE,2,18,0.041,0.016,0.005,0.96,39,3.40,52.43,24.63,28.29
NOVIEMBRE,2,19,0.038,0.009,0.005,0.98,42,3.68,52.24,22.51,33.58
NOVIEMBRE,2,20,0.031,0.009,0.007,1.01,42,3.46,63.24,20.76,37.01
NOVIEMBRE,2,21,0.029,0.008,0.006,1.02,50,3.43,85.26,18.79,42.52
NOVIEMBRE,2,22,0.025,0.008,0.006,1.02,51,3.14,94.24,17.47,47.09
NOVIEMBRE,2,23,0.023,0.008,0.006,0.98,39,3.18,93.78,16.43,50.47
NOVIEMBRE,3,0,0.020,0.008,0.006,0.96,49,4.24,97.10,15.50,54.70
NOVIEMBRE,3,1,0.020,0.008,0.005,0.91,31,2.91,89.10,13.91,59.64
NOVIEMBRE,3,2,0.022,0.008,0.004,0.87,26,2.97,94.86,12.88,62.94
NOVIEMBRE,3,3,0.020,0.008,0.004,0.88,16,2.42,107.79,12.10,66.56
