DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
ENERO,1,0,0.024,0.010,0.014,NA,201,10.38,1.09,236.97,55.65
ENERO,1,1,0.041,0.021,0.014,NA,285,14.57,1.50,279.41,58.29
ENERO,1,2,NA,0.017,0.012,NA,391,13.37,1.69,283.43,63.24
ENERO,1,3,NA,0.027,0.014,NA,343,12.28,1.25,243.25,65.08
ENERO,1,4,0.046,0.015,0.014,NA,427,11.49,1.53,238.98,68.21
ENERO,1,5,0.045,0.010,0.012,NA,264,10.54,1.23,120.48,72.20
ENERO,1,6,0.029,0.007,0.010,NA,165,9.27,1.15,96.74,79.65
ENERO,1,7,0.024,0.006,0.010,NA,171,8.48,1.18,114.70,83.52
ENERO,1,8,0.016,0.006,0.008,NA,129,7.82,1.87,126.37,86.49
ENERO,1,9,0.016,0.006,0.007,NA,95,11.76,1.76,122.20,76.34
ENERO,1,10,0.023,0.007,0.005,NA,84,15.87,2.22,119.47,62.16
ENERO,1,11,0.037,0.007,0.004,NA,66,18.80,2.21,155.76,52.82
ENERO,1,12,0.042,0.010,0.004,NA,44,21.89,1.58,232.53,43.58
ENERO,1,13,0.046,0.008,0.004,NA,46,22.87,2.24,237.86,39.08
ENERO,1,14,0.048,0.006,0.004,NA,29,24.07,2.26,214.70,35.02
ENERO,1,15,0.046,0.006,0.004,NA,35,22.67,1.88,260.60,37.45
ENERO,1,16,0.046,0.006,0.004,NA,54,21.49,2.57,175.64,40.16
ENERO,1,17,0.038,0.006,0.004,NA,84,20.66,3.52,133.44,43.77
ENERO,1,18,0.021,0.006,0.006,NA,53,15.18,2.80,238.25,70.27
ENERO,1,19,0.012,0.007,0.010,NA,19,14.01,1.64,281.48,84.88
ENERO,1,20,0.007,0.007,0.013,NA,38,14.10,1.50,298.84,85.61
ENERO,1,21,0.008,0.006,0.012,NA,57,13.20,0.96,233.06,86.64
ENERO,1,22,0.010,0.006,0.011,NA,64,12.44,1.04,179.88,88.69
ENERO,1,23,0.009,0.006,0.011,NA,51,11.75,1.53,241.55,88.31
ENERO,2,0,0.014,0.006,0.010,NA,78,11.15,1.05,176.29,88.31
ENERO,2,1,0.016,0.006,0.009,NA,64,10.95,1.01,159.73,89.90
ENERO,2,2,0.014,0.005,0.007,NA,51,10.02,1.06,198.00,89.72
ENERO,2,3,0.009,0.005,0.007,NA,43,9.70,1.00,282.32,89.13
