DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,3,18,0.029,0.019,0.008,0.96,63,1.160,163.620,24.560,49.080
OCTUBRE,3,19,0.023,0.011,0.012,1130927.00,78,1.220,262.810,23.740,50.780
OCTUBRE,3,20,0.019,0.011,0.014,1012918.00,98,2.040,205.740,17.690,87.700
OCTUBRE,3,21,0.019,0.010,0.010,0.98,42,1.630,193.950,17.270,96.590
OCTUBRE,3,22,0.029,0.010,0.004,0.89,42,2.670,163.860,16.300,98.830
OCTUBRE,3,23,0.028,0.010,0.004,0.86,47,0.960,183.670,15.920,NA
OCTUBRE,4,0,0.021,0.009,0.004,0.79,12,0.970,284.590,16.150,NA
OCTUBRE,4,1,0.021,0.008,0.003,0.77,10,0.960,298.160,16.040,NA
OCTUBRE,4,2,0.020,0.008,0.002,0.77,NA,0.960,216.470,16.030,NA
OCTUBRE,4,3,0.016,0.009,0.006,0.77,11,0.960,111.670,16.320,NA
OCTUBRE,4,4,0.014,0.009,0.005,0.78,26,0.960,158.680,16.280,NA
OCTUBRE,4,5,0.010,0.008,0.008,0.79,38,0.960,203.240,16.070,NA
OCTUBRE,4,6,0.009,0.008,0.009,0.82,53,0.960,202.030,15.550,NA
OCTUBRE,4,7,0.011,0.008,0.011,1066357.00,57,0.960,131.770,15.430,NA
OCTUBRE,4,8,0.008,0.009,0.012,118377.00,NA,0.950,95.260,17.280,NA
OCTUBRE,4,9,0.013,0.008,0.012,0.95,22,0.950,143.100,20.160,94.060
OCTUBRE,4,10,0.018,0.008,0.009,0.89,33,1.310,123.420,22.660,85.100
OCTUBRE,4,11,0.026,0.008,0.010,0.90,29,2.290,121.640,23.440,71.040
OCTUBRE,4,12,0.035,0.008,0.007,0.87,28,1.550,134.450,25.320,57.710
OCTUBRE,4,13,0.038,0.008,0.005,0.84,23,1.250,184.570,27.520,47.910
OCTUBRE,4,14,0.037,0.008,0.004,0.83,16,1.300,127.810,28.460,39.580
OCTUBRE,4,15,0.035,0.008,0.005,0.80,15,1.550,182.330,28.980,36.020
OCTUBRE,4,16,0.032,0.008,0.010,0.85,38,2.200,216.910,26.010,46.290
OCTUBRE,4,17,0.029,0.008,0.010,0.87,37,2.690,222.950,23.500,56.160
OCTUBRE,4,18,0.027,0.008,0.007,0.83,42,3.740,233.220,21.490,62.320
OCTUBRE,4,19,0.022,0.008,0.008,0.92,31,2.550,245.930,19.500,74.190
OCTUBRE,4,20,0.018,0.008,0.011,105714.00,33,1.080,278.100,18.740,82.690
OCTUBRE,4,21,0.016,0.008,0.013,1094863.00,36,1.230,271.630,19.440,78.890
OCTUBRE,4,22,0.017,0.008,0.011,1.00,40,0.950,238.140,18.840,79.940
OCTUBRE,4,23,0.017,0.008,0.009,0.95,20,0.960,196.020,18.500,82.670
OCTUBRE,5,0,0.012,0.008,0.008,0.86,26,0.950,141.740,17.450,89.680
OCTUBRE,5,1,0.005,0.008,0.010,0.90,28,0.960,99.210,16.740,92.610
OCTUBRE,5,2,0.006,0.008,0.009,0.89,27,0.950,107.670,16.390,95.830
OCTUBRE,5,3,0.003,0.008,0.012,0.90,33,0.960,110.500,16.030,96.870
OCTUBRE,5,4,0.005,0.008,0.008,0.90,38,0.960,116.080,16.000,95.390
OCTUBRE,5,5,0.004,0.008,0.012,0.88,42,0.960,108.210,15.390,97.360
OCTUBRE,5,6,0.004,0.008,0.014,0.92,43,0.960,124.930,14.990,99.220
OCTUBRE,5,7,0.007,0.008,0.012,113337.00,51,0.960,82.230,15.190,NA
OCTUBRE,5,8,0.005,0.008,0.011,1418942.00,71,0.950,171.430,17.810,93.250
OCTUBRE,5,9,0.012,0.008,0.013,106066.00,58,0.990,113.890,20.620,79.030
OCTUBRE,5,10,0.021,0.010,0.009,0.92,36,1.850,112.010,23.450,63.630
OCTUBRE,5,11,0.030,0.009,0.008,0.85,30,2.620,122.320,24.530,54.880
OCTUBRE,5,12,0.039,0.008,0.006,0.84,17,2.020,135.080,26.650,46.790
OCTUBRE,5,13,0.049,0.008,0.007,0.86,24,1.310,161.120,28.200,41.970
OCTUBRE,5,14,0.054,0.008,0.007,0.92,17,1.170,163.220,29.870,36.450
OCTUBRE,5,15,0.061,0.009,0.008,0.86,36,1.270,177.370,30.310,35.270
OCTUBRE,5,16,0.058,0.010,0.007,0.84,38,1.400,206.400,30.810,33.000
OCTUBRE,5,17,0.058,0.010,0.009,0.82,50,1.230,218.660,30.550,32.680
OCTUBRE,5,18,0.042,0.022,0.005,0.97,96,3.170,115.120,26.910,40.300
OCTUBRE,5,19,0.026,0.012,0.015,1288738.00,69,0.960,159.010,24.930,46.240
OCTUBRE,5,20,0.018,0.010,0.019,1668248.00,63,0.950,265.000,22.960,56.510
OCTUBRE,5,21,0.015,0.010,0.023,1414013.00,62,1.530,292.680,22.610,60.770
OCTUBRE,5,22,0.027,0.009,0.011,10105.00,60,1.580,268.150,22.620,59.730
OCTUBRE,5,23,0.019,0.015,0.006,0.82,42,2.440,90.430,22.700,54.100
OCTUBRE,6,0,0.018,0.009,0.007,0.78,29,2.650,101.440,21.220,62.990
OCTUBRE,6,1,0.016,0.008,0.007,0.74,17,3.130,107.390,20.610,63.040
OCTUBRE,6,2,0.021,0.009,0.004,0.70,22,2.460,68.560,19.540,62.100
OCTUBRE,6,3,0.018,0.008,0.004,0.70,20,2.300,65.240,18.440,66.420
OCTUBRE,6,4,0.018,0.008,0.003,0.71,40,3.010,61.300,17.850,69.170
OCTUBRE,6,5,0.022,0.015,0.003,0.73,48,2.530,51.210,17.690,69.180
OCTUBRE,6,6,0.022,0.014,0.004,0.75,24,2.550,63.030,17.530,69.050
OCTUBRE,6,7,0.015,0.013,0.006,0.91,41,1.570,64.620,16.620,72.740
OCTUBRE,6,8,0.016,0.016,0.006,1023.00,41,1.650,58.360,18.650,69.320
OCTUBRE,6,9,0.025,0.017,0.004,0.90,33,3.510,74.140,21.310,58.550
OCTUBRE,6,10,0.029,0.013,0.002,0.85,45,4.200,93.550,22.680,51.140
OCTUBRE,6,11,0.034,0.009,0.004,0.84,37,4.450,96.980,24.370,44.520
OCTUBRE,6,12,0.040,0.009,0.004,0.85,40,4.280,97.100,25.380,39.910
OCTUBRE,6,13,0.046,0.010,0.005,0.88,38,4.070,93.820,26.720,33.180
OCTUBRE,6,14,0.047,0.010,0.004,0.84,38,3.510,99.230,28.130,29.060
OCTUBRE,6,15,0.048,0.010,0.005,0.80,39,3.380,104.070,29.070,28.560
OCTUBRE,6,16,0.041,0.009,0.004,0.81,36,4.110,102.470,29.230,29.860
OCTUBRE,6,17,0.037,0.010,0.002,0.82,55,3.670,94.650,28.850,31.210
OCTUBRE,6,18,0.030,0.010,0.004,0.89,56,5.040,88.250,27.070,38.510
OCTUBRE,6,19,0.022,0.019,0.003,0.90,60,5.160,58.680,23.720,52.300
OCTUBRE,6,20,0.018,0.019,0.003,0.95,51,2.760,63.990,21.830,59.500
OCTUBRE,6,21,0.018,0.014,0.002,0.91,35,2.900,79.040,20.450,64.350
OCTUBRE,6,22,0.020,0.015,0.001,0.84,27,4.060,65.430,19.650,67.220
OCTUBRE,6,23,0.020,0.014,0.002,0.81,47,4.700,64.260,19.170,68.660
OCTUBRE,7,0,0.018,0.037,0.002,0.80,47,3.420,69.090,19.140,68.440
OCTUBRE,7,1,0.023,0.013,0.003,0.73,44,2.730,90.060,18.980,68.250
OCTUBRE,7,2,0.022,0.018,0.004,0.73,19,3.320,84.060,18.790,69.500
OCTUBRE,7,3,0.023,0.015,0.003,0.72,18,3.820,92.000,18.590,70.060
OCTUBRE,7,4,0.021,0.010,0.003,0.73,5,2.640,78.810,18.200,71.650
OCTUBRE,7,5,0.019,0.014,0.002,0.75,8,3.220,64.260,17.770,74.050
OCTUBRE,7,6,0.019,0.014,0.002,0.76,6,2.600,82.130,17.450,75.120
OCTUBRE,7,7,0.017,0.014,0.003,0.83,11,2.760,76.450,16.560,77.760
OCTUBRE,7,8,0.018,0.015,0.003,0.85,25,3.660,72.870,17.080,74.150
OCTUBRE,7,9,0.024,0.012,0.002,0.83,24,5.210,69.280,19.360,63.360
OCTUBRE,7,10,0.026,0.013,0.002,0.85,33,5.550,65.290,19.690,60.540
