DATOS HORARIOS 2023_NATIVITAS,,,,,,,,,,,
NOTA,LOS DATOS SON REVALIDADOS,,,,,,,,,,
,,,,,,,,,,,
MES,DÍA,HORA,O3 [ppm],SO2 [ppm],NO2 [ppm],CO [ppm],PM10 [µg/m3],WS,WD,TEMP,HR
OCTUBRE,12,20,0.011,0.008,0.022,14374.00,57,0.950,250.970,21.190,47.730
OCTUBRE,12,21,0.012,0.008,0.017,12416.00,47,0.970,255.840,20.010,55.010
OCTUBRE,12,22,0.014,0.008,0.017,10961.00,32,0.960,260.280,18.880,61.370
OCTUBRE,12,23,0.012,0.008,0.019,11049.00,29,0.950,268.450,18.150,64.860
OCTUBRE,13,0,0.015,0.007,0.014,0.98,32,0.960,279.520,17.820,67.400
OCTUBRE,13,1,0.016,0.008,0.015,0.92,28,0.950,226.020,17.190,70.230
OCTUBRE,13,2,0.015,0.008,0.016,0.93,27,0.960,271.950,16.620,71.080
OCTUBRE,13,3,0.006,0.008,0.017,0.92,28,0.960,248.000,15.880,74.350
OCTUBRE,13,4,0.004,0.008,0.015,0.90,30,0.960,255.700,14.900,77.610
OCTUBRE,13,5,0.003,0.008,0.016,0.96,34,0.960,217.440,14.330,78.930
OCTUBRE,13,6,0.004,0.008,0.015,10811.00,38,0.960,238.070,13.950,82.360
OCTUBRE,13,7,0.013,0.008,0.014,1245.00,40,0.960,198.970,13.860,85.420
OCTUBRE,13,8,0.007,0.009,0.017,15097.00,111,0.960,106.750,15.680,83.720
OCTUBRE,13,9,0.011,0.008,0.013,10665.00,71,0.950,127.920,19.310,70.950
OCTUBRE,13,10,0.021,0.008,0.011,0.96,43,0.940,187.780,23.460,59.700
OCTUBRE,13,11,0.032,0.008,0.007,0.95,33,0.940,236.750,24.380,53.320
OCTUBRE,13,12,0.039,0.009,0.005,0.97,27,0.960,243.360,27.440,42.330
OCTUBRE,13,13,0.045,0.013,0.007,0.93,34,1.050,227.250,28.390,38.050
OCTUBRE,13,14,0.042,0.010,0.009,0.89,29,1.010,200.220,29.270,34.180
OCTUBRE,13,15,0.042,0.009,0.005,0.85,26,1.170,247.870,29.870,31.220
OCTUBRE,13,16,0.040,0.010,0.006,0.87,22,1.130,272.890,29.720,28.640
OCTUBRE,13,17,0.041,0.009,0.008,0.84,24,0.940,232.380,29.880,27.890
OCTUBRE,13,18,0.035,0.008,0.008,0.93,37,1.240,291.320,28.350,28.510
OCTUBRE,13,19,0.024,0.008,0.022,12585.00,44,0.940,256.090,25.530,33.640
OCTUBRE,13,20,0.008,0.008,0.032,1951.00,81,0.940,245.520,24.400,38.280
OCTUBRE,13,21,0.006,0.008,0.029,18759.00,114,0.980,249.190,23.820,40.240
OCTUBRE,13,22,0.020,0.008,0.012,0.96,74,1.200,141.170,22.200,52.730
OCTUBRE,13,23,0.020,0.008,0.007,0.88,42,1.090,151.880,21.570,59.610
OCTUBRE,14,0,0.024,0.008,0.005,0.86,24,0.970,110.880,21.240,60.670
OCTUBRE,14,1,0.034,0.008,0.007,0.83,18,2.970,100.110,20.570,62.470
OCTUBRE,14,2,0.034,0.008,0.005,0.80,17,0.970,99.360,19.510,67.530
OCTUBRE,14,3,0.031,0.011,0.006,0.80,12,0.950,105.240,19.230,69.570
OCTUBRE,14,4,0.035,0.009,0.006,0.84,19,0.950,108.400,19.100,70.470
OCTUBRE,14,5,0.020,0.008,0.007,0.84,18,0.950,96.210,18.940,72.040
OCTUBRE,14,6,0.010,0.008,0.014,0.88,23,0.950,117.220,18.380,75.790
OCTUBRE,14,7,0.011,0.008,0.013,1.00,37,0.950,103.710,18.350,75.510
OCTUBRE,14,8,0.015,0.008,0.010,10442.00,68,0.960,97.830,18.920,72.950
OCTUBRE,14,9,0.026,0.008,0.006,0.98,54,2.190,88.440,22.000,59.890
OCTUBRE,14,10,0.036,0.009,0.003,0.92,64,4.760,91.640,23.740,48.760
OCTUBRE,14,11,0.038,0.008,0.003,0.95,79,4.700,92.550,23.220,47.740
OCTUBRE,14,12,0.038,0.010,0.005,0.97,76,4.570,95.200,22.430,50.120
OCTUBRE,14,13,0.042,0.008,0.004,0.95,71,4.860,97.620,25.130,44.230
OCTUBRE,14,14,0.044,0.009,0.003,0.92,42,4.590,95.100,26.560,40.080
OCTUBRE,14,15,0.044,0.010,0.003,0.90,45,4.570,95.510,27.620,36.660
OCTUBRE,14,16,0.040,0.009,0.003,0.91,19,4.800,97.680,27.850,34.330
OCTUBRE,14,17,0.037,0.013,0.002,0.90,57,4.950,77.060,27.010,36.250
OCTUBRE,14,18,0.031,0.017,0.001,0.88,69,5.040,66.710,24.890,42.270
OCTUBRE,14,19,0.026,0.029,0.003,0.89,60,4.420,75.940,23.180,46.340
OCTUBRE,14,20,0.026,0.018,0.003,0.89,57,4.810,71.620,21.790,52.220
OCTUBRE,14,21,0.023,0.017,0.003,0.90,45,4.010,81.170,20.550,56.440
OCTUBRE,14,22,0.020,0.018,0.003,0.91,38,2.690,76.080,19.170,62.510
OCTUBRE,14,23,0.020,0.015,0.003,0.90,31,2.150,80.200,18.390,67.110
OCTUBRE,15,0,0.022,0.017,0.003,0.84,31,2.590,83.810,17.860,69.490
OCTUBRE,15,1,0.022,0.011,0.002,0.83,28,1.800,93.550,17.820,70.290
OCTUBRE,15,2,0.023,0.009,0.002,0.80,11,2.570,79.370,17.920,70.580
OCTUBRE,15,3,0.026,0.009,0.002,0.79,7,2.650,74.250,17.310,70.680
OCTUBRE,15,4,0.024,0.012,0.001,0.79,6,2.090,87.030,16.990,70.980
OCTUBRE,15,5,0.024,0.017,0.001,0.79,15,2.860,65.480,16.620,71.610
OCTUBRE,15,6,0.026,0.013,NA,0.79,19,2.350,63.850,16.580,68.860
OCTUBRE,15,7,0.025,0.010,0.000,0.84,16,1.990,81.420,16.980,64.830
OCTUBRE,15,8,0.023,0.013,0.001,0.90,25,2.530,95.560,18.470,62.790
OCTUBRE,15,9,0.026,0.011,0.001,0.89,27,3.770,93.320,18.890,60.700
OCTUBRE,15,10,0.027,0.008,0.002,0.92,22,3.920,93.220,20.200,57.820
OCTUBRE,15,11,0.028,0.017,0.001,0.92,23,3.800,82.520,21.700,53.740
OCTUBRE,15,12,0.029,0.012,0.001,0.93,18,4.100,64.060,22.120,53.180
OCTUBRE,15,13,0.030,0.012,0.001,0.97,21,3.940,66.560,22.580,51.940
OCTUBRE,15,14,0.031,0.016,0.001,0.96,24,4.110,61.650,22.570,52.080
OCTUBRE,15,15,0.032,0.013,0.001,0.96,33,3.750,66.510,22.950,50.370
OCTUBRE,15,16,0.031,0.016,0.001,0.96,22,4.040,72.250,23.610,47.470
OCTUBRE,15,17,0.030,0.024,0.001,0.94,25,3.870,61.210,22.840,49.380
OCTUBRE,15,18,0.030,0.018,0.001,0.92,32,4.940,61.230,21.730,52.610
OCTUBRE,15,19,0.026,0.015,0.003,0.98,40,4.460,79.860,19.950,58.640
OCTUBRE,15,20,0.022,0.025,0.003,0.98,46,4.990,73.800,18.430,64.390
OCTUBRE,15,21,0.023,0.022,0.003,0.95,37,4.210,79.720,17.380,67.300
OCTUBRE,15,22,0.025,0.012,0.003,0.91,25,3.630,83.550,16.880,66.940
OCTUBRE,15,23,0.025,0.011,0.004,0.91,19,2.930,80.200,16.520,68.090
OCTUBRE,16,0,0.024,0.016,0.003,0.85,15,3.390,72.810,16.300,69.360
OCTUBRE,16,1,0.024,0.014,0.001,0.81,18,2.890,70.540,15.840,70.600
OCTUBRE,16,2,0.030,0.011,0.002,0.79,16,3.950,85.220,15.930,67.020
OCTUBRE,16,3,0.030,0.019,0.003,0.78,20,2.790,83.110,15.530,67.130
OCTUBRE,16,4,0.026,0.012,0.001,0.79,12,4.160,68.440,15.010,69.200
OCTUBRE,16,5,0.025,0.014,0.002,0.79,12,3.500,74.590,14.330,71.950
OCTUBRE,16,6,0.021,0.015,0.002,0.81,16,3.110,74.500,13.830,74.200
OCTUBRE,16,7,0.017,0.010,0.003,0.96,23,1.890,90.070,13.080,77.010
OCTUBRE,16,8,0.013,0.009,0.011,11228.00,43,1.140,97.240,12.930,77.800
OCTUBRE,16,9,0.026,0.035,0.004,0.97,45,3.910,74.580,16.470,63.910
OCTUBRE,16,10,0.033,0.027,0.001,0.90,55,5.500,81.340,18.530,53.610
OCTUBRE,16,11,0.036,0.013,0.001,0.90,77,5.860,79.620,20.350,46.570
OCTUBRE,16,12,0.039,0.016,0.001,0.89,62,5.750,86.550,21.520,41.940
OCTUBRE,16,13,0.039,0.013,0.002,0.89,56,6.100,89.910,22.450,38.770
OCTUBRE,16,14,0.040,0.014,0.003,0.91,54,5.300,94.010,23.490,36.210
OCTUBRE,16,15,0.042,0.009,0.003,0.89,52,5.230,98.430,24.560,34.180
OCTUBRE,16,16,0.037,0.027,0.002,0.91,51,5.070,77.080,23.940,36.140
OCTUBRE,16,17,0.035,0.036,0.001,0.92,57,4.860,75.480,23.040,38.140
OCTUBRE,16,18,0.033,0.011,0.004,0.98,59,5.200,93.120,21.100,42.300
OCTUBRE,16,19,0.028,0.013,0.004,10047.00,69,4.300,75.280,18.970,47.050
OCTUBRE,16,20,0.028,0.020,0.003,0.93,56,4.870,50.820,17.070,52.430
OCTUBRE,16,21,0.028,0.009,0.002,0.90,43,4.420,53.350,15.210,58.670
OCTUBRE,16,22,0.027,0.012,0.001,0.86,30,3.580,53.650,14.020,62.460
OCTUBRE,16,23,0.025,0.011,0.001,0.86,22,1.440,79.220,13.210,64.740
OCTUBRE,17,0,0.024,0.009,0.001,0.86,29,2.280,98.160,12.140,69.820
OCTUBRE,17,1,0.027,0.012,0.005,0.80,29,3.160,92.030,11.460,72.720
OCTUBRE,17,2,0.024,0.009,0.005,0.80,20,1.530,77.610,10.480,75.720
OCTUBRE,17,3,0.023,0.011,0.007,0.80,23,2.930,96.710,10.200,77.640
OCTUBRE,17,4,0.022,0.019,0.005,0.80,20,2.930,76.730,9.720,79.990
OCTUBRE,17,5,0.023,0.011,0.003,0.80,24,3.080,65.920,9.700,80.460
OCTUBRE,17,6,0.021,0.018,0.003,0.82,25,2.730,67.000,9.240,82.130
OCTUBRE,17,7,0.018,0.009,0.004,0.96,23,3.170,68.390,8.820,83.700
OCTUBRE,17,8,0.020,0.018,0.005,10214.00,22,3.320,74.810,10.580,78.650
OCTUBRE,17,9,0.025,0.037,0.003,0.93,34,4.810,71.760,13.210,67.530
OCTUBRE,17,10,0.029,0.016,0.003,0.93,41,4.010,93.740,15.480,57.690
OCTUBRE,17,11,0.032,0.011,0.004,0.91,27,3.860,93.930,17.620,50.890
OCTUBRE,17,12,0.038,0.011,0.003,0.89,34,4.200,90.620,19.740,42.880
OCTUBRE,17,13,0.042,0.009,0.002,0.95,31,3.720,87.690,22.020,34.420
OCTUBRE,17,14,0.046,0.013,0.002,0.88,32,3.680,76.050,23.830,29.330
OCTUBRE,17,15,0.050,0.008,0.001,0.85,30,3.590,91.070,25.240,24.910
OCTUBRE,17,16,0.050,0.011,0.003,0.85,35,2.480,96.900,25.870,23.070
OCTUBRE,17,17,0.054,0.009,0.006,0.85,38,2.800,122.490,25.690,23.350
OCTUBRE,17,18,0.046,0.008,0.007,10873.00,54,1.920,102.400,23.910,24.640
OCTUBRE,17,19,0.032,0.013,0.006,13258.00,91,2.900,69.800,21.470,27.910
OCTUBRE,17,20,0.031,0.009,0.004,11025.00,56,4.250,57.470,19.790,29.710
OCTUBRE,17,21,0.030,0.010,0.003,0.86,44,4.330,52.700,18.010,32.990
OCTUBRE,17,22,0.027,0.015,0.003,0.86,67,3.160,69.800,16.310,39.650
OCTUBRE,17,23,0.023,0.010,0.007,0.83,23,3.020,93.990,14.190,49.580
OCTUBRE,18,0,0.026,0.012,0.009,0.80,24,3.040,99.560,13.330,52.520
OCTUBRE,18,1,0.026,0.008,0.008,0.77,17,2.230,101.980,12.660,53.660
OCTUBRE,18,2,0.027,0.011,0.007,0.76,14,2.470,95.000,12.090,54.940
OCTUBRE,18,3,0.028,0.010,0.006,0.76,10,2.150,95.260,11.360,54.820
OCTUBRE,18,4,0.026,0.013,0.006,0.75,14,2.040,97.100,10.050,55.250
OCTUBRE,18,5,0.022,0.008,0.006,0.77,16,3.110,110.720,9.180,56.230
OCTUBRE,18,6,0.016,0.008,0.006,0.82,14,2.070,106.250,8.080,63.750
OCTUBRE,18,7,0.016,0.008,0.008,0.95,29,2.590,110.560,7.480,67.600
OCTUBRE,18,8,0.011,0.008,0.011,11462.00,50,3.600,107.610,8.390,67.090
OCTUBRE,18,9,0.021,0.008,0.010,10017.00,65,3.200,93.710,12.320,48.810
OCTUBRE,18,10,0.031,0.009,0.006,0.89,40,3.180,91.260,16.640,37.260
OCTUBRE,18,11,0.038,0.009,0.011,0.83,34,2.280,109.490,19.980,29.570
OCTUBRE,18,12,0.043,0.008,0.007,0.80,30,2.100,132.100,22.890,25.850
OCTUBRE,18,13,0.047,0.008,0.006,0.83,35,1.270,167.050,24.690,28.140
OCTUBRE,18,14,0.049,0.011,0.009,0.87,31,1.090,166.970,25.880,28.180
OCTUBRE,18,15,0.054,0.009,0.008,0.84,36,0.930,194.330,26.120,23.910
OCTUBRE,18,16,0.055,0.008,0.008,0.82,33,1.200,155.890,25.640,21.770
OCTUBRE,18,17,0.053,0.008,0.008,0.82,30,0.990,188.970,25.760,23.070
OCTUBRE,18,18,0.049,0.011,0.023,0.90,47,0.940,182.020,23.920,22.880
OCTUBRE,18,19,0.019,0.009,0.035,18467.00,71,0.960,286.450,21.730,28.090
OCTUBRE,18,20,0.009,0.010,0.040,27162.00,131,1.250,168.490,20.360,30.560
OCTUBRE,18,21,0.023,0.012,0.023,10093.00,93,1.850,94.300,20.550,23.510
OCTUBRE,18,22,0.020,0.008,0.015,10241.00,69,1.070,121.120,19.460,30.590
OCTUBRE,18,23,0.019,0.010,0.020,0.95,63,0.950,128.290,17.590,28.480
OCTUBRE,19,0,0.014,0.008,0.013,0.87,43,1.550,120.870,16.170,31.900
OCTUBRE,19,1,0.019,0.011,0.016,0.81,49,1.000,103.490,16.050,30.470
OCTUBRE,19,2,0.016,0.008,0.012,0.78,35,1.220,122.940,15.050,30.720
OCTUBRE,19,3,0.017,0.009,0.009,0.76,21,1.060,83.800,14.720,31.580
OCTUBRE,19,4,0.020,0.009,0.010,0.76,36,1.000,113.400,14.510,32.590
OCTUBRE,19,5,0.011,0.008,0.010,0.87,30,1.140,116.070,14.070,38.260
OCTUBRE,19,6,0.007,0.008,0.018,0.88,36,1.670,100.530,13.650,42.850
OCTUBRE,19,7,0.004,0.008,0.021,10645.00,55,2.150,104.560,12.900,45.120
OCTUBRE,19,8,0.007,0.008,0.020,12123.00,100,1.330,109.760,12.950,45.340
OCTUBRE,19,9,0.012,0.008,0.017,10819.00,101,1.460,107.330,15.310,38.410
OCTUBRE,19,10,0.024,0.011,0.015,0.93,73,1.850,106.090,18.920,26.890
OCTUBRE,19,11,0.034,0.020,0.014,0.85,55,2.080,107.220,21.790,17.910
OCTUBRE,19,12,0.038,0.007,0.011,0.80,37,1.990,128.290,22.710,16.800
OCTUBRE,19,13,0.040,0.008,0.009,0.83,32,2.440,129.080,23.490,14.630
OCTUBRE,19,14,0.044,0.008,0.010,0.79,26,2.460,147.540,25.120,13.980
OCTUBRE,19,15,0.045,0.008,0.012,0.83,50,2.580,159.710,24.540,14.650
OCTUBRE,19,16,0.040,0.008,0.015,0.90,64,2.870,233.210,23.290,23.650
OCTUBRE,19,17,0.036,0.008,0.014,0.91,60,2.800,245.280,21.920,33.550
OCTUBRE,19,18,0.032,0.008,0.016,10122.00,58,2.250,250.690,20.590,40.090
OCTUBRE,19,19,0.027,0.008,0.018,11235.00,60,1.550,266.700,19.070,45.750
OCTUBRE,19,20,0.016,0.008,0.024,12491.00,71,1.090,259.050,18.540,44.680
OCTUBRE,19,21,0.018,0.008,0.021,12254.00,79,0.990,230.650,18.000,46.500
OCTUBRE,19,22,0.014,0.010,0.020,13216.00,81,0.980,97.600,18.000,46.540
OCTUBRE,19,23,0.013,0.010,0.018,11326.00,106,1.090,105.580,17.560,48.140
OCTUBRE,20,0,0.017,0.013,0.012,0.90,66,1.800,89.740,18.120,38.100
OCTUBRE,20,1,0.024,0.012,0.006,0.77,25,2.080,92.630,17.840,32.060
OCTUBRE,20,2,0.025,0.011,0.004,0.74,13,2.120,87.340,17.600,30.930
OCTUBRE,20,3,0.028,0.008,0.006,0.75,19,2.120,101.360,16.920,31.180
OCTUBRE,20,4,0.029,0.008,0.007,0.74,16,2.030,93.770,16.510,30.930
OCTUBRE,20,5,0.028,0.011,0.005,0.73,17,3.260,84.410,16.260,31.640
OCTUBRE,20,6,0.025,0.014,0.005,0.75,30,3.500,71.470,15.830,35.950
OCTUBRE,20,7,0.019,0.011,0.006,0.92,37,2.190,92.050,15.180,42.790
OCTUBRE,20,8,0.017,0.010,0.015,11619.00,65,1.220,83.720,16.430,44.760
OCTUBRE,20,9,0.026,0.020,0.005,0.94,68,2.830,79.190,19.480,34.610
OCTUBRE,20,10,0.033,0.014,0.003,0.88,50,4.080,86.630,20.450,31.870
OCTUBRE,20,11,0.035,0.012,0.002,0.87,64,3.860,82.590,22.380,29.900
OCTUBRE,20,12,0.040,0.013,0.002,0.86,48,4.080,78.470,24.590,25.810
OCTUBRE,20,13,0.042,0.008,0.004,0.85,48,3.770,99.200,26.080,21.110
OCTUBRE,20,14,0.046,0.008,0.004,0.82,34,3.470,111.340,27.450,18.110
OCTUBRE,20,15,0.051,0.008,0.007,0.80,34,2.790,135.930,28.040,16.390
OCTUBRE,20,16,0.054,0.008,0.007,0.84,36,1.540,145.150,28.230,18.470
OCTUBRE,20,17,0.055,0.009,0.011,0.86,41,1.450,150.850,27.190,19.770
OCTUBRE,20,18,0.055,0.009,0.017,0.92,50,0.930,153.530,25.920,20.230
OCTUBRE,20,19,0.024,0.009,0.041,19709.00,123,0.940,212.380,23.250,23.960
OCTUBRE,20,20,0.022,0.016,0.023,13543.00,146,1.790,74.070,22.200,29.870
OCTUBRE,20,21,0.019,0.012,0.011,0.97,98,1.420,86.910,20.650,35.340
OCTUBRE,20,22,0.016,0.009,0.014,10742.00,87,1.030,131.970,18.770,40.390
OCTUBRE,20,23,0.015,0.009,0.018,0.96,62,0.970,97.180,17.950,45.160
OCTUBRE,21,0,0.016,0.009,0.012,0.93,45,0.960,86.550,16.850,47.900
OCTUBRE,21,1,0.018,0.008,0.011,0.92,27,0.960,69.100,15.830,48.810
OCTUBRE,21,2,0.017,0.008,0.010,0.84,17,0.960,89.760,15.070,49.820
OCTUBRE,21,3,0.016,0.008,0.005,0.83,25,0.970,121.380,13.900,51.830
OCTUBRE,21,4,0.019,0.008,0.011,0.80,27,0.960,113.870,13.250,53.430
OCTUBRE,21,5,0.014,0.008,0.013,0.82,30,0.960,109.150,12.560,59.530
OCTUBRE,21,6,0.011,0.008,0.011,0.92,33,0.980,98.020,12.530,64.100
OCTUBRE,21,7,0.006,0.008,0.020,0.99,48,1.080,105.950,11.780,70.510
OCTUBRE,21,8,0.008,0.008,0.017,10762.00,55,1.040,112.340,13.670,64.860
OCTUBRE,21,9,0.018,0.008,0.017,10314.00,57,0.950,113.810,17.840,49.260
OCTUBRE,21,10,0.029,0.008,0.012,0.94,42,1.720,99.120,20.480,37.450
OCTUBRE,21,11,0.035,0.008,0.013,0.93,45,2.040,116.590,23.080,30.720
OCTUBRE,21,12,0.041,0.009,0.012,0.91,42,1.290,139.740,25.750,27.410
OCTUBRE,21,13,0.047,0.009,0.008,0.94,44,1.150,135.250,27.400,27.140
OCTUBRE,21,14,0.054,0.008,0.007,0.90,40,1.090,188.550,28.750,26.270
OCTUBRE,21,15,0.055,0.008,0.007,0.94,44,1.340,247.160,29.740,25.590
OCTUBRE,21,16,0.059,0.008,0.006,0.93,41,1.080,158.880,30.000,25.940
OCTUBRE,21,17,0.056,0.008,0.011,0.97,52,1.160,230.720,28.780,28.120
OCTUBRE,21,18,0.040,0.008,0.010,1.00,73,2.970,212.420,25.320,40.160
OCTUBRE,21,19,0.034,0.008,0.007,0.97,99,3.280,227.100,21.510,57.690
OCTUBRE,21,20,0.032,0.008,0.008,0.98,48,2.830,237.050,19.850,64.250
OCTUBRE,21,21,0.023,0.008,0.004,1.05,58,2.620,219.290,18.480,72.680
OCTUBRE,21,22,0.017,0.008,0.005,0.98,34,1.040,238.820,17.810,78.990
OCTUBRE,21,23,0.017,0.008,0.003,10731.00,21,0.990,289.370,17.790,78.460
OCTUBRE,22,0,0.018,0.008,0.004,0.95,21,0.950,239.260,18.100,74.990
OCTUBRE,22,1,0.014,0.008,0.005,0.99,23,0.950,225.830,18.340,73.360
OCTUBRE,22,2,0.013,0.008,0.003,0.95,22,0.950,198.980,17.780,72.740
OCTUBRE,22,3,0.009,0.008,0.006,0.97,35,0.950,135.200,16.810,77.040
OCTUBRE,22,4,0.005,0.008,0.006,10684.00,42,0.960,172.700,16.470,77.760
OCTUBRE,22,5,0.004,0.008,0.006,10291.00,36,0.950,194.310,16.460,79.360
OCTUBRE,22,6,0.003,0.008,0.009,10603.00,40,0.960,171.990,15.370,83.760
OCTUBRE,22,7,0.004,0.008,0.009,10197.00,31,0.960,116.020,14.300,89.360
OCTUBRE,22,8,0.007,0.008,0.010,10904.00,37,0.950,142.320,16.860,85.800
OCTUBRE,22,9,0.014,0.009,0.014,12023.00,56,0.940,213.090,22.110,66.860
OCTUBRE,22,10,0.020,0.009,0.009,10294.00,53,0.940,216.550,24.230,56.450
OCTUBRE,22,11,0.023,0.009,0.006,0.93,36,1.030,207.960,25.500,49.620
OCTUBRE,22,12,0.022,0.008,0.003,0.91,16,1.630,246.860,26.790,43.050
OCTUBRE,22,13,0.024,0.008,0.004,0.94,15,1.640,261.360,27.370,40.560
OCTUBRE,22,14,0.026,0.008,0.004,0.93,15,1.570,228.030,28.130,37.270
OCTUBRE,22,15,0.028,0.008,0.004,0.94,23,1.170,265.010,27.680,37.410
OCTUBRE,22,16,0.030,0.008,0.005,0.92,26,1.080,207.400,27.530,37.920
OCTUBRE,22,17,0.030,0.008,0.003,0.89,23,1.350,244.280,28.210,34.920
OCTUBRE,22,18,0.025,0.008,0.006,0.95,33,2.170,248.610,25.220,42.520
OCTUBRE,22,19,0.020,0.008,0.004,0.94,70,2.880,206.810,22.070,55.630
OCTUBRE,22,20,0.015,0.008,0.006,10193.00,53,1.760,214.010,20.750,62.360
OCTUBRE,22,21,0.017,0.008,0.005,0.98,31,1.910,239.730,20.420,61.650
OCTUBRE,22,22,0.015,0.008,0.005,0.93,22,1.590,228.410,19.790,59.950
OCTUBRE,22,23,0.013,0.008,0.004,0.94,27,1.130,217.300,18.580,63.720
OCTUBRE,23,0,0.011,0.008,0.004,0.92,17,0.960,208.930,17.890,66.580
OCTUBRE,23,1,0.012,0.008,0.004,0.90,31,1.040,239.120,18.180,65.690
OCTUBRE,23,2,0.012,0.008,0.004,0.83,18,0.970,269.920,17.360,67.150
OCTUBRE,23,3,0.012,0.008,0.003,0.82,11,0.960,251.470,17.640,65.680
OCTUBRE,23,4,0.012,0.008,0.002,0.82,11,1.010,230.600,16.650,69.270
OCTUBRE,23,5,0.011,0.008,0.002,0.82,15,0.980,224.510,15.620,74.160
OCTUBRE,23,6,0.009,0.008,0.003,0.84,21,0.970,203.980,15.060,80.660
OCTUBRE,23,7,0.005,0.008,0.007,11102.00,25,0.960,154.640,15.090,80.280
OCTUBRE,23,8,0.005,0.010,0.012,11283.00,59,0.960,130.300,16.270,78.910
OCTUBRE,23,9,0.010,0.009,0.011,0.98,44,0.940,132.230,20.090,67.710
OCTUBRE,23,10,0.017,0.009,0.007,0.96,39,0.950,218.340,23.730,55.440
OCTUBRE,23,11,0.021,0.008,0.005,0.88,33,1.110,212.200,24.570,48.630
OCTUBRE,23,12,0.025,0.008,0.005,0.89,22,1.620,187.060,25.070,45.710
OCTUBRE,23,13,0.028,0.008,0.006,0.88,22,1.630,213.010,27.010,38.680
OCTUBRE,23,14,0.027,0.008,0.007,0.88,25,1.560,201.720,25.830,40.700
OCTUBRE,23,15,0.027,0.008,0.007,0.91,26,1.310,193.820,25.940,40.400
OCTUBRE,23,16,0.029,0.008,0.007,0.89,26,1.840,222.480,27.210,35.430
OCTUBRE,23,17,0.029,0.008,0.009,0.89,33,1.430,217.870,26.450,35.920
OCTUBRE,23,18,0.026,0.008,0.009,0.96,37,1.470,262.200,25.860,37.540
OCTUBRE,23,19,0.019,0.008,0.016,11481.00,48,1.280,243.510,23.730,42.710
OCTUBRE,23,20,0.015,0.009,0.016,11052.00,62,1.260,216.340,21.760,48.670
OCTUBRE,23,21,0.019,0.008,0.010,10276.00,57,1.790,237.290,20.610,51.700
OCTUBRE,23,22,0.015,0.008,0.010,0.93,34,1.430,236.850,19.790,54.410
OCTUBRE,23,23,0.014,0.008,0.005,0.90,32,0.970,217.430,18.380,56.230
OCTUBRE,24,0,0.015,0.008,0.005,0.86,17,0.970,259.990,17.390,58.760
OCTUBRE,24,1,0.012,0.008,0.004,0.86,28,0.960,253.240,16.860,60.270
OCTUBRE,24,2,0.002,0.008,0.009,0.84,14,0.960,259.070,16.260,61.720
OCTUBRE,24,3,0.002,0.008,0.013,0.86,14,0.960,230.220,15.890,63.640
OCTUBRE,24,4,0.004,0.008,0.009,0.84,23,0.960,233.300,15.710,64.870
OCTUBRE,24,5,0.011,0.008,0.005,0.83,19,0.960,228.460,15.220,67.400
OCTUBRE,24,6,0.007,0.008,0.011,0.89,22,0.960,228.550,14.530,69.030
OCTUBRE,24,7,0.005,0.008,0.012,11571.00,33,0.960,212.630,13.690,72.740
OCTUBRE,24,8,0.014,0.009,0.013,18793.00,66,0.960,173.070,15.440,72.740
OCTUBRE,24,9,0.008,0.009,0.010,16559.00,68,0.970,282.650,19.870,61.660
OCTUBRE,24,10,0.020,0.020,0.010,11003.00,52,0.950,241.260,22.730,49.430
OCTUBRE,24,11,0.026,0.022,0.017,0.99,59,1.010,220.460,25.450,41.080
OCTUBRE,24,12,0.035,0.010,0.006,0.91,40,1.240,167.910,26.460,38.280
OCTUBRE,24,13,0.037,0.009,0.007,0.91,28,1.300,180.190,26.670,36.970
OCTUBRE,24,14,0.036,0.008,0.008,0.86,44,1.530,190.200,26.050,34.870
OCTUBRE,24,15,0.038,0.008,0.007,0.89,33,1.530,156.990,28.090,30.850
OCTUBRE,24,16,0.042,0.008,0.007,0.88,35,1.170,199.790,28.800,28.520
OCTUBRE,24,17,0.041,0.008,0.004,0.89,37,0.990,176.230,27.890,29.190
OCTUBRE,24,18,0.035,0.008,0.012,1.00,40,1.150,249.420,26.610,30.980
OCTUBRE,24,19,0.020,0.009,0.027,1525.00,44,0.970,256.120,23.870,36.340
OCTUBRE,24,20,0.017,0.009,0.024,15945.00,132,1.550,229.490,22.730,42.760
OCTUBRE,24,21,0.023,0.008,0.009,0.98,84,2.090,230.530,20.820,53.820
OCTUBRE,24,22,0.022,0.008,0.007,0.98,51,1.430,244.940,20.470,54.160
OCTUBRE,24,23,0.020,0.008,0.009,0.95,40,0.970,179.230,20.100,55.670
OCTUBRE,25,0,0.016,0.008,0.006,0.97,47,0.950,180.870,19.890,56.180
OCTUBRE,25,1,0.016,0.009,0.008,0.91,30,0.950,144.060,19.570,56.140
OCTUBRE,25,2,0.008,0.009,0.014,0.93,31,0.980,81.990,18.900,60.080
OCTUBRE,25,3,0.014,0.010,0.018,0.97,50,0.950,129.310,18.830,63.320
OCTUBRE,25,4,0.016,0.009,0.015,0.98,81,0.950,150.010,18.580,65.200
OCTUBRE,25,5,0.012,0.009,0.013,0.96,65,0.950,145.900,17.940,67.890
OCTUBRE,25,6,0.006,0.009,0.012,0.97,56,0.960,223.910,17.520,68.210
