DATOS MÓVILES 2019_CRUZ ROJA,,,,,,,,
,,,,,,,,
,,,,,,,,
MES,DIA,HORA,MO3,MSO2,MCO,NO2,MPM10,MPM2.5
MZO,1,0,14.29,5.91,0.606,15.53,47,20
MZO,1,1,11.14,5.59,0.588,13.80,46,19
MZO,1,2,9.61,5.29,0.552,5.90,46,19
MZO,1,3,9.30,5.15,0.491,4.28,45,19
MZO,1,4,8.26,5.10,0.408,6.36,44,18
MZO,1,5,7.44,5.60,0.333,14.05,44,17
MZO,1,6,6.31,5.79,0.282,15.33,43,17
MZO,1,7,6.28,5.81,0.284,14.90,43,17
MZO,1,8,6.31,6.17,0.315,11.84,43,17
MZO,1,9,7.00,5.79,0.345,13.64,42,17
MZO,1,10,8.10,4.23,0.364,11.57,42,17
MZO,1,11,11.03,4.06,0.386,9.73,43,17
MZO,1,12,16.21,4.05,0.413,6.97,43,17
MZO,1,13,20.10,4.12,0.436,3.08,43,18
MZO,1,14,22.73,4.14,0.464,3.61,44,18
MZO,1,15,25.28,4.14,0.456,2.36,44,18
MZO,1,16,28.42,4.13,0.393,0.20,44,18
MZO,1,17,29.31,4.13,0.357,0.66,43,19
MZO,1,18,28.94,4.13,0.361,4.70,43,19
MZO,1,19,25.73,4.13,0.411,12.12,47,19
MZO,1,20,20.74,4.12,0.548,20.96,49,19
MZO,1,21,17.20,4.09,0.648,17.97,48,19
MZO,1,22,14.68,4.07,0.689,11.62,48,18
MZO,1,23,12.17,4.04,0.705,10.56,48,18
MZO,2,0,8.90,4.02,0.725,8.03,48,18
MZO,2,1,6.63,4.27,0.732,10.06,48,18
MZO,2,2,5.38,4.45,0.729,9.36,49,18
MZO,2,3,5.47,4.53,0.668,7.03,49,19
MZO,2,4,5.39,4.64,0.519,8.89,50,19
MZO,2,5,5.05,4.06,0.399,7.07,50,19
MZO,2,6,4.84,3.78,0.330,6.62,49,19
MZO,2,7,4.17,3.73,0.285,6.75,49,19
MZO,2,8,3.39,3.27,0.323,8.02,50,19
MZO,2,9,5.00,2.90,0.361,13.94,52,20
MZO,2,10,7.52,2.83,0.373,17.70,52,21
MZO,2,11,11.13,2.70,0.378,8.73,52,21
MZO,2,12,15.22,2.63,0.372,2.92,52,20
MZO,2,13,19.32,2.55,0.376,1.37,52,20
MZO,2,14,23.19,2.54,0.385,2.92,52,20
MZO,2,15,27.32,2.54,0.403,3.72,52,20
MZO,2,16,31.64,2.56,0.353,3.93,52,20
MZO,2,17,34.45,2.57,0.317,4.23,52,20
MZO,2,18,35.27,2.59,0.291,2.25,52,20
MZO,2,19,32.10,2.58,0.316,12.37,47,20
MZO,2,20,28.76,2.58,0.426,30.55,45,20
MZO,2,21,26.02,2.58,0.544,25.96,46,20
MZO,2,22,22.71,2.59,0.616,20.16,46,20
MZO,2,23,18.75,2.62,0.666,18.98,47,21
MZO,3,0,15.21,2.65,0.738,20.63,47,21
MZO,3,1,11.73,2.39,0.749,16.28,48,21
MZO,3,2,8.34,2.18,0.749,11.10,48,21
MZO,3,3,8.44,2.11,0.718,14.64,48,21
MZO,3,4,7.80,2.03,0.610,15.37,49,21
MZO,3,5,6.51,2.06,0.508,16.74,50,21
MZO,3,6,5.96,2.10,0.441,16.13,50,21
MZO,3,7,5.79,2.01,0.391,16.57,51,22
MZO,3,8,5.99,1.83,0.339,13.23,50,22
MZO,3,9,6.62,1.71,0.336,11.30,47,21
MZO,3,10,9.28,1.60,0.366,8.68,46,20
MZO,3,11,11.58,1.56,0.388,2.94,45,19
MZO,3,12,16.04,1.53,0.392,0.20,44,19
MZO,3,13,20.47,1.51,0.390,0.20,43,19
MZO,3,14,24.81,1.51,0.389,0.20,43,19
MZO,3,15,29.99,1.50,0.398,1.35,43,19
